GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1900153	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	12	0.0027835768963117608	4.410042288956694	7.331803694955409e-08	2.3949237691143532e-05	4.620708305706569	0.0008861217945723107	TNRC6B, CNOT7, PABPC1, TOB1, ZFP36L1, DHX36, TNRC6C, CPEB3, CNOT1, HELZ, ZFP36L2, AGO2
GO:0072583	clathrin-dependent endocytosis	20	0.004639294827186268	3.2948591814044264	3.452106307282145e-08	1.1589488008281113e-05	4.935935749548893	0.00041722156829812005	SCYL2, SGIP1, LMBRD1, FCHO2, FCHSD2, PICALM, SNAP91, GAS7, AP2A2, STON2, MAGI2, AP2B1, FNBP1L, CANX, AP2M1, DNAJC6, GPR107, CLTC, CLTA, INPP5F
GO:0070936	protein K48-linked ubiquitination	49	0.011366272326606355	2.4133994313276754	1.0041896008721546e-10	5.516652507336755e-08	7.258324371289509	1.2136635516140861e-06	HUWE1, AMFR, UBE2K, ANAPC10, KLHL3, RNF216, FBXO9, UBE2H, NT5C2, UBR4, UBE2D3, KCMF1, ZNRF2, NEDD4L, ANAPC5, UBE3C, HACE1, ASB3, TTC3, SKP1, RNF115, MYCBP2, UBE2D2, RNF6, CUL1, ARIH2, RNF170, ITCH, UBE2R2, ANAPC16, ZNRF1, FBXO38, KBTBD2, ANAPC1, FBXO7, PRKN, CDC27, UBE3A, UBE2E1, UBE2G1, CUL3, UBR5, UBE2G2, BTRC, UBE2E2, CDC16, UBE2E3, RNF146, RFFL
GO:0042752	regulation of circadian rhythm	34	0.007886801206216655	2.3887729065182093	9.892163329377839e-08	3.146228578917383e-05	4.502209728325471	0.0011955668599886056	CSNK1E, ROCK2, PPP1CC, PER2, USP9X, MAPK9, KDM2A, SKP1, USP7, RORA, PPARGC1A, NR1D2, CUL1, PSPC1, MAPK10, PPP1CB, MAPK8, CRY1, MAGED1, FBXW7, PRKAA1, SFPQ, RORB, UBE3A, CLOCK, MTOR, FBXL3, TARDBP, PRKDC, HNRNPD, BTRC, GSK3B, ATG7, PPARA
GO:0002181	cytoplasmic translation	45	0.010438413361169102	2.2871229956025405	5.412484006728528e-09	1.869008048723457e-06	5.728388828365064	6.541528170532099e-05	RPS2, RPS3A, RPS18, RPL21, RPL37, RPL6, RPL34, RPL15, RPL13A, RPL3, RPL38, RPS19, RPS21, RPS24, RPL37A, RPLP1, RPS28, RPS29, RPL17, RPL9, RPSA, RPS27A, RPL31, RPL26, RPL13, RPS27, RPL35, RPS15, RPS14, RPL36, RPL24, RPL28, RPS8, RPS6, RPL23, RPL14, FAU, RPL5, RPS20, RPL12, RPS12, RPL18, RPLP2, RPL7A, ZC3H15
GO:0048511	rhythmic process	68	0.01577360241243331	2.2251583238799757	4.383715588928965e-12	3.784399043413962e-09	8.42200307596593	5.298158660779547e-08	CSNK1E, HUWE1, SETX, KDM5A, HNRNPU, DHX9, ENOX2, ROCK2, PPP1CC, PER3, PER2, OGT, CSNK2A1, USP9X, LGR4, MAPK9, CREB1, CREM, FBXW11, KDM2A, USP7, RORA, MYCBP2, PPARGC1A, NR1D2, CIPC, NLGN1, PSPC1, KDM5B, MAPK10, PPP1CB, MAPK8, CRY1, MAGED1, KLF9, HDAC2, FBXW7, PRKAA1, DNM1L, TOP1, SFPQ, NRIP1, KAT2B, CUL4A, HLF, BHLHE41, UBE3A, RORB, CLOCK, DDX5, FBXL3, CREBBP, TARDBP, THRAP3, NCOA2, PRKDC, NPAS2, HNRNPD, ENOX1, KMT2A, BTRC, EP300, GSK3B, SIN3A, NCOR1, ATG7, SIRT1, PPARA
GO:0042147	retrograde transport, endosome to Golgi	39	0.009046624913013222	2.2181462703383374	2.1024894716896524e-07	5.909462268567707e-05	4.228452035940855	0.002541068775484114	SORL1, HEATR5A, GCC2, STX16, VPS35, VPS26A, GOSR1, SNX1, RAB7A, SPAG9, VPS29, PIKFYVE, TMEM87B, ANKFY1, SLC66A2, PREPL, MON2, GOLT1B, VPS50, SNX2, VPS53, RAB6A, TBC1D5, VPS54, HEATR5B, GBF1, SNX5, RAB6B, RIC1, EVI5, VTI1B, CLTC, DENND5A, RHOBTB3, ERC1, VTI1A, TBC1D23, CLN5, TMEM87A
GO:0000209	protein polyubiquitination	70	0.016237531895151938	2.185805273938231	7.407897103091036e-12	5.968789625863885e-09	8.224113727849243	8.953184438795827e-08	HUWE1, TRAF3IP2, AMFR, UBE2K, KLHL3, DZIP3, UBE2H, C10orf90, TAF1, MDM2, UBE2D3, TNKS2, WSB1, UBE2V1, UBE2V2, PIK3R1, MKRN3, FBXW11, RMND5A, PELI2, UBE3C, TNKS, RC3H2, SKP1, RNF115, ERCC8, CTNNB1, FBXL7, UBE2D2, RC3H1, TRAF6, HLTF, UBE3D, LNPEP, BIRC2, BCL2, TRIP12, UBE4B, TRIM2, ARIH2, SMURF1, RNF111, NPEPPS, KLHL42, RNF170, ITCH, SASH1, UBE2R2, KBTBD2, SHPRH, PRKN, UBE2N, UBE3A, UBE2E1, UBE2G1, CUL3, CBL, FBXO22, UBR5, CBFB, HECTD2, FBXL17, UBE2W, UBE2G2, AMBRA1, BTRC, RNF180, TPP2, UBE4A, CUL4B
GO:0001764	neuron migration	59	0.01368591974019949	2.1354182043117325	9.324241360390744e-10	3.8859579683338806e-07	6.410501901167883	1.1269278108168253e-05	ASTN2, ABI1, DNAAF4, RAC1, TUBA1A, ADGRL3, WASF2, MYH10, SEMA3A, MARK1, CEP85L, ASTN1, USP9X, NRP2, DDIT4, SH3RF1, NTRK3, DCC, KIRREL3, ABI2, CTNNB1, FAT3, NTRK2, AUTS2, BBS4, GPM6A, FYN, BBS1, ELP3, TUBB2A, NDEL1, SATB2, DAB1, PCM1, HSP90AA1, MAP1B, PAX6, NRCAM, TUBB2B, APBB2, LRP12, NAV1, PRKG1, FZD3, KIAA0319L, CDKL5, MARK2, RAPGEF2, KIAA0319, MEF2C, LARGE1, NEO1, PSEN1, TOP2B, SDCCAG8, DNER, PAFAH1B1, CHL1, YWHAE
GO:0006897	endocytosis	101	0.023428438877290653	2.1350979075959216	1.149083038070692e-15	1.54309084423582e-12	11.811608505570701	1.3887817598122383e-11	CSNK1E, SYNRG, AAK1, DENND1B, SH3GL2, LMBRD1, MYO5A, DGKD, FCHO2, FCHSD2, SCAMP1, SYNJ1, RAB7A, APP, CLINT1, MYO6, FNBP1, RAB31, OPHN1, CSNK1G3, RABGAP1L, ZFYVE9, LRP4, TBC1D2B, OCIAD1, GAPVD1, LRP6, EEA1, CALY, SGIP1, MTMR9, MIB1, RABEP1, ABL1, DENND1A, RAB5C, SORT1, EHBP1, ATP9B, STON2, RAB1A, MAGI2, DNM1L, EPS15, FNBP1L, C9orf72, AP2M1, HEATR5B, SNX5, MTMR6, LRP1, SORL1, APLP1, WASF2, RUBCN, PICALM, DPYSL2, PIK3C2A, RHOJ, RHOQ, RIN2, TFRC, PACSIN2, CDC42, REPS1, AP2A2, ITSN1, ANKFY1, AP2B1, EPN2, ATP6V1H, LRRK2, EPS15L1, CSNK1G1, ITSN2, CLTA, PIK3C3, KCNQ3, RAB22A, HEATR5A, RAC1, USP33, LRP1B, PIK3CB, RNASEK, DNM1, FKBP15, RABGEF1, LIPA, ANK2, ATP9A, SH3GLB1, LRP12, ESYT2, SNX9, AMPH, RAB5A, STEAP2, DNER, DNM3, CLCN5
GO:0000226	microtubule cytoskeleton organization	64	0.014845743446996056	2.080019945811774	6.051110211886264e-10	2.8128353084945147e-07	6.550855695032059	7.3133718020857385e-06	TTLL7, TTL, MAP2, TUBB, TUBA1B, TUBA1A, CEP70, TTBK2, ATXN3, TOGARAM2, MARK1, TUBE1, SIK3, SON, DST, PARD3, KIF2A, EML4, NEFL, PARD3B, TUBGCP3, BBS4, EFCAB11, FER, MAP6, MID1, TAOK1, CLASP2, BBS1, RNF19A, PAFAH1B1, NDEL1, SS18, MAP4, CDC14A, TUBB2A, MAP1B, WDR47, TUBB2B, NAV3, ATXN7, CLASP1, MARK3, DCLK2, DIAPH3, MARK2, CDK5RAP2, DYNC1LI1, TBCD, DYNC1LI2, TOGARAM1, DOCK7, EML1, TUBB4A, CFAP44, MAP1A, MAP7, TBCEL, CDC14B, TUBGCP5, SPATA7, CAMSAP2, ULK4, GAPDH
GO:0008104	intracellular protein localization	79	0.018325214567385756	2.062437809999328	1.1987404547196901e-11	9.05498570983886e-09	8.043112230732918	1.4487977135742175e-07	CSNK1E, ARMCX3, PARD3, RRAGB, KIFAP3, MECP2, PACRG, CEP128, MYO6, FRMD6, RAP2A, BCL6, CASK, NRCAM, YWHAB, LATS1, LRP4, YWHAG, ALS2, AHI1, YWHAQ, DMD, CNTLN, PHYHIP, C2CD5, SEPTIN2, MAPRE3, GRID2, CTNNB1, NPM1, BBS2, NIPBL, HAP1, AP1AR, YWHAH, CPE, HEATR5B, AP4E1, AKAP11, MLH3, SEPTIN11, ODR4, PARD3B, CDC42, ID4, YWHAZ, ITSN1, BBS1, IST1, SPG11, AP4S1, VPS13A, SCYL3, CTNNA1, LRRK2, VPS54, SEPTIN10, YWHAE, HEATR5A, ELMOD1, ULK2, USP9X, GJA1, ARFIP1, BBS4, AMOT, AKAP10, AKAP7, BBS7, ANK2, DDX42, SEPTIN9, NIN, MOSMO, LARGE1, DLG1, SIN3A, SEPTIN7, SEPTIN8
GO:0006886	intracellular protein transport	119	0.02760380422175829	2.0450645746450857	1.4457111443149405e-16	2.4961235557414813e-13	12.602733921293837	1.7472864890190371e-12	SYNRG, COG7, NAPG, VPS35, CHM, VPS26A, TNPO1, IPO5, ARF3, XPO6, RAMP1, TMED10, COPA, APPBP2, NAPB, STX17, VPS29, MYO6, COG3, RIMS2, RAB31, RAB18, SEC23A, RAB6A, SCFD2, IPO11, HERC2, SYTL4, RAB21, DNAJC15, STX8, RFFL, RAB28, SAR1B, SCFD1, XPOT, TMED7, TUBA1A, EXOC6B, AP1S3, NPM1, TLK1, RAB14, SEC23IP, RAB5C, AP3B1, YWHAH, RAB1A, GFAP, COPB2, SNX2, RPGR, TOMM20, AP2M1, AP4E1, IPO8, SNX5, PDCD6, STX7, SNX13, AP3S2, STX16, RAB3GAP2, EXPH5, COPB1, XPO1, SNX1, ARL5A, NUP214, MYRIP, AP2A2, KIF13A, STX12, SPG11, AP2B1, BCAP29, STXBP3, SIL1, VPS39, FAM91A1, VTI1B, STXBP1, CLTA, SNX27, ARF1, KPNB1, VTI1A, RAB22A, EXOC6, TMED5, STX18, COPG2, APBA1, VPS45, AP3S1, TPR, IPO9, WDR11, IPO7, ARFIP1, VPS41, USO1, AP1G1, WLS, VPS26C, SORCS2, ARL6, XPO7, SNX9, NSF, TRIM23, RAB6B, RIC1, LARGE1, HSPA9, RAB5A, CLTC, SCG5, SEC24B
