Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.4519737578542897	-2.9308442333651374	<0.0001	<0.0001	NPC.TAK
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.49033920844061546	-2.8330686978277244	<0.0001	<0.0001	PL21
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.4175205103214502	-2.784467647839138	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.442681587699973	-2.7621856557632154	<0.0001	<0.0001	NPC.CAS9
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.4278148736552818	-2.7082888717899927	<0.0001	<0.0001	NPC.TAK
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.44104684830265245	-2.681745346751899	<0.0001	<0.0001	U937
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.4090281289803669	-2.6776097732216817	<0.0001	<0.0001	NEU
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4200469160852909	-2.6380935467107607	<0.0001	<0.0001	THP1
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.36545914416471037	-2.62533202777838	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.4391172545569657	-2.6056270027382906	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.TAK_24H:P13	DB05294	Vandetanib	-0.3807851123163193	-2.596984490637053	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.3719857023843321	-2.5952725585198837	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I11	DB06589	Pazopanib	0.366327122333192	2.574933653402716	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:P13	DB05294	Vandetanib	-0.40449786145022654	-2.5632316530602828	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.4273464043206687	-2.552747935240011	<0.0001	<0.0001	NPC.TAK
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.43371783031134303	-2.5476078794879777	<0.0001	<0.0001	U937
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.368648525873322	2.542493715054165	<0.0001	<0.0001	NEU
CPC006_WSUDLCL2_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.39087523108698397	-2.538310698448467	<0.0001	<0.0001	WSUDLCL2
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.3586376915891412	2.5317976071011117	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D23	DB06616	Bosutinib	-0.3842834160407637	-2.5257898385256508	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O02	DB07101	PD-0325901	0.3385020892212766	2.519536862299718	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.3580148246947276	2.5186250929976506	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.4160472388421898	-2.4670556296900314	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:C01	DB11800	Tivozanib	0.40394690084934254	2.4585520073649287	<0.0001	<0.0001	JURKAT
LJP007_NEU_24H:P22	DB11886	Infigratinib	-0.36025934372455604	-2.4435908221235305	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A18	DB12742	Amuvatinib	-0.34596193916021817	-2.4409963456477857	<0.0001	<0.0001	NEU
LJP007_NEU_24H:C04	DB11800	Tivozanib	-0.3672449734894591	-2.437329768554017	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B12	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.3497203151831198	-2.436290339688685	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:I24	DB13005	Rebastinib	0.394830550781271	2.4348115571856908	<0.0001	<0.0001	JURKAT
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.40305451740951886	2.434415678082186	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.38598537019952206	-2.4070499193654613	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-A26711594-003-06-4:10	DB00622	Nicardipine	0.39758638578463584	2.404073092005736	<0.0001	<0.0001	U937
LJP009_NEU_24H:D24	DB13061	MLN8054	-0.3581778192898457	-2.3911740278616134	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O03	DB07101	PD-0325901	0.3291608817900402	2.388967976101874	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.3622484245152972	-2.3845661315859763	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A11	DB07232	Veliparib	0.3418838069998114	2.38445622026538	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M05	DB02709	Resveratrol	0.34444838037454173	2.3766942914023397	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M07	DB05575	Motesanib	0.32883525582708667	2.3647503336966675	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D24	DB06616	Bosutinib	-0.3802754081260043	-2.3494353786337863	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-K78126613-001-16-0:10	DB00170	Menadione	-0.35409367165974853	-2.3427423750696383	<0.0001	<0.0001	U937
