ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB04599	DB01247	Aniracetam	Isocarboxazid	1.6666666666666665	N	N	True	False
DB01186	DB01247	Pergolide	Isocarboxazid	1.5215686274509805	N	N	False	False
DB01200	DB01247	Bromocriptine	Isocarboxazid	1.5166666666666666	G, N	N	False	False
DB00762	DB04599	Irinotecan	Aniracetam	1.5	L	N	False	False
DB01030	DB04599	Topotecan	Aniracetam	1.5	L	N	False	False
DB00248	DB01247	Cabergoline	Isocarboxazid	1.4704545454545455	G, N	N	False	False
DB00925	DB01247	Phenoxybenzamine	Isocarboxazid	1.4375	C	N	False	False
DB00589	DB01247	Lisuride	Isocarboxazid	1.4294117647058822	G, N	N	False	False
DB01247	DB01403	Isocarboxazid	Methotrimeprazine	1.3922305764411027	N	N	False	False
DB01392	DB01247	Yohimbine	Isocarboxazid	1.375	G	N	True	False
DB06153	DB01247	Pizotifen	Isocarboxazid	1.3627450980392157	N	N	False	False
DB08597	DB00925	Dorsomorphin	Phenoxybenzamine	1.3375		C	False	False
DB08597	DB00248	Dorsomorphin	Cabergoline	1.3340909090909092		G, N	False	False
DB08597	DB01200	Dorsomorphin	Bromocriptine	1.3166666666666664		G, N	False	False
DB00247	DB01247	Methysergide	Isocarboxazid	1.3125	N	N	True	False
DB08597	DB00589	Dorsomorphin	Lisuride	1.3117647058823527		G, N	False	False
DB04599	DB07080	Aniracetam	TO-901317	1.2999999999999998	N		False	False
DB00363	DB01247	Clozapine	Isocarboxazid	1.2975734355044701	N	N	False	False
DB00734	DB01247	Risperidone	Isocarboxazid	1.2916666666666665	N	N	False	False
DB00762	DB00248	Irinotecan	Cabergoline	1.2886363636363638	L	G, N	False	False
DB01030	DB00248	Topotecan	Cabergoline	1.2886363636363638	L	G, N	False	False
DB08597	DB01186	Dorsomorphin	Pergolide	1.2862745098039217		N	False	False
DB01030	DB01186	Topotecan	Pergolide	1.2862745098039217	L	N	False	False
DB00762	DB01186	Irinotecan	Pergolide	1.2862745098039217	L	N	False	False
DB00875	DB01247	Flupentixol	Isocarboxazid	1.275	N	N	False	False
DB00622	DB01247	Nicardipine	Isocarboxazid	1.2705882352941178	C	N	False	False
DB01030	DB01200	Topotecan	Bromocriptine	1.2666666666666666	L	G, N	False	False
DB00762	DB01200	Irinotecan	Bromocriptine	1.2666666666666666	L	G, N	False	False
DB04599	DB08175	Aniracetam	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	1.2619047619047619	N		False	False
DB04599	DB00170	Aniracetam	Menadione	1.2571428571428571	N	B	False	False
DB01030	DB00589	Topotecan	Lisuride	1.2529411764705882	L	G, N	False	False
DB00762	DB00589	Irinotecan	Lisuride	1.2529411764705882	L	G, N	False	False
DB08597	DB07996	Dorsomorphin	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.25			False	False
DB00380	DB00248	Dexrazoxane	Cabergoline	1.2431818181818184	V	G, N	False	False
DB00773	DB00248	Etoposide	Cabergoline	1.2431818181818184	L	G, N	False	False
DB00694	DB00248	Daunorubicin	Cabergoline	1.2431818181818184	L	G, N	False	False
DB00380	DB00925	Dexrazoxane	Phenoxybenzamine	1.2374999999999998	V	C	False	False
DB00773	DB00925	Etoposide	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00694	DB00925	Daunorubicin	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00762	DB00925	Irinotecan	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB04149	DB00925	(R)-Rolipram	Phenoxybenzamine	1.2374999999999998		C	False	False
DB00925	DB03849	Phenoxybenzamine	Cilomilast	1.2374999999999998	C		False	False
DB01030	DB00925	Topotecan	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB01030	DB00320	Topotecan	Dihydroergotamine	1.2372549019607844	L	N	False	False
DB00320	DB01247	Dihydroergotamine	Isocarboxazid	1.2372549019607844	N	N	False	False
DB00762	DB00320	Irinotecan	Dihydroergotamine	1.2372549019607844	L	N	False	False
DB01136	DB01247	Carvedilol	Isocarboxazid	1.2333333333333334	C	N	False	False
DB08597	DB01136	Dorsomorphin	Carvedilol	1.2333333333333334		C	False	False
DB07080	DB00248	TO-901317	Cabergoline	1.2326923076923075		G, N	False	False
DB08597	DB01392	Dorsomorphin	Yohimbine	1.2321428571428572		G	False	False
DB01030	DB01392	Topotecan	Yohimbine	1.2321428571428572	L	G	False	False
DB00762	DB01392	Irinotecan	Yohimbine	1.2321428571428572	L	G	False	False
DB03849	DB01186	Cilomilast	Pergolide	1.2274509803921567		N	False	False
DB04149	DB01186	(R)-Rolipram	Pergolide	1.2274509803921567		N	False	False
DB15399	DB01186	BMS-754807	Pergolide	1.2274509803921567		N	False	False
DB08597	DB00734	Dorsomorphin	Risperidone	1.220238095238095		N	False	False
DB07080	DB01186	TO-901317	Pergolide	1.219047619047619		N	False	False
DB00694	DB01200	Daunorubicin	Bromocriptine	1.2166666666666663	L	G, N	False	False
DB00380	DB01200	Dexrazoxane	Bromocriptine	1.2166666666666663	V	G, N	False	False
DB00773	DB01200	Etoposide	Bromocriptine	1.2166666666666663	L	G, N	False	False
DB04149	DB01200	(R)-Rolipram	Bromocriptine	1.2166666666666663		G, N	False	False
DB01200	DB03849	Bromocriptine	Cilomilast	1.2166666666666663	G, N		False	False
DB00762	DB00247	Irinotecan	Methysergide	1.2125	L	N	False	False
DB01030	DB00247	Topotecan	Methysergide	1.2125	L	N	False	False
DB08175	DB01186	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Pergolide	1.2111111111111112		N	False	False
DB07863	DB01186	2-chloro-5-nitro-N-phenylbenzamide	Pergolide	1.211111111111111		N	False	False
