# Reference distribution mean: -0.03187698869036035 and standard deviation: 1.9800759579390543
# Threshold: 0.71
# 34.08% of reference distribution below threshold, 30.59% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB03754	-7.859026979751538	-3.952954410500495	Tromethamine
DB12274	-7.859026979751538	-3.952954410500495	Aducanumab
DB00746	-7.859026979751538	-3.952954410500495	Deferoxamine
DB05938	-7.859026979751538	-3.952954410500495	Edonerpic
DB05150	-7.859026979751538	-3.952954410500495	CAD106
DB09151	-7.859026979751538	-3.952954410500495	Flutemetamol (18F)
DB09148	-7.859026979751538	-3.952954410500495	Florbetaben (18F)
DB05088	-7.859026979751538	-3.952954410500495	Tetrathiomolybdate
DB09149	-7.859026979751538	-3.952954410500495	Florbetapir (18F)
DB06782	-7.859026979751538	-3.952954410500495	Dimercaprol
DB02235	-7.859026979751538	-3.952954410500495	L-methionine (R)-S-oxide
DB05846	-7.859026979751538	-3.952954410500495	Mito-4509
DB15569	-7.5196924041165385	-3.7815798860664964	Sotorasib
DB15568	-7.5196924041165385	-3.7815798860664964	Adagrasib
DB16390	-7.445417556701687	-3.744068775890623	Mobocertinib
DB11963	-7.445417556701687	-3.744068775890623	Dacomitinib
DB13164	-7.445417556701687	-3.744068775890623	Olmutinib
DB11828	-7.445417556701687	-3.744068775890623	Neratinib
DB05101	-7.445417556701687	-3.744068775890623	Matuzumab
DB01269	-7.445417556701687	-3.744068775890623	Panitumumab
DB09559	-7.445417556701687	-3.744068775890623	Necitumumab
DB12202	-7.445417556701687	-3.744068775890623	Zalutumumab
DB09330	-7.445417556701687	-3.744068775890623	Osimertinib
DB05374	-7.445417556701687	-3.744068775890623	Rindopepimut
DB11737	-7.445417556701687	-3.744068775890623	Icotinib
DB05424	-7.445417556701687	-3.744068775890623	Canertinib
DB00317	-7.445417556701687	-3.744068775890623	Gefitinib
DB05524	-7.445417556701687	-3.744068775890623	Pelitinib
DB16640	-7.445417556701687	-3.744068775890623	Almonertinib
DB07602	-7.445417556701687	-3.744068775890623	S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE
DB11942	-7.247792581767846	-3.6442620113362274	Selinexor
DB02623	-7.177782416195197	-3.608904698253391	Aminophosphonic acid-guanylate ester
DB03276	-7.007600613951853	-3.5229575902341224	4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid
DB00061	-7.007600613951853	-3.5229575902341224	Pegademase
DB07324	-7.00397413672268	-3.5211261063384502	3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE
DB03137	-7.00397413672268	-3.5211261063384502	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine
DB03093	-7.00397413672268	-3.5211261063384502	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB07495	-7.00397413672268	-3.5211261063384502	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB07502	-7.00397413672268	-3.5211261063384502	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB07319	-7.00397413672268	-3.5211261063384502	6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE
DB03749	-7.00397413672268	-3.5211261063384502	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB08194	-7.00397413672268	-3.5211261063384502	4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine
DB08197	-7.00397413672268	-3.5211261063384502	(5E,7S)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin-5(6H)-one oxime
DB03504	-7.00397413672268	-3.5211261063384502	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB07601	-7.00397413672268	-3.5211261063384502	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB07100	-7.00397413672268	-3.5211261063384502	4-CHLORO-6-(4-PIPERAZIN-1-YL-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB08557	-7.00397413672268	-3.5211261063384502	2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide
DB06957	-7.00397413672268	-3.5211261063384502	4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB06964	-7.00397413672268	-3.5211261063384502	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE
DB07317	-7.00397413672268	-3.5211261063384502	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
