GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1900153	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	12	0.0027835768963117608	4.410042288956694	7.331803694955409e-08	2.3949237691143532e-05	4.620708305706569	0.0008861217945723107	HELZ, ZFP36L2, DHX36, TNRC6C, CNOT7, TNRC6B, TOB1, ZFP36L1, PABPC1, CPEB3, CNOT1, AGO2
GO:0072583	clathrin-dependent endocytosis	20	0.004639294827186268	3.2948591814044264	3.452106307282145e-08	1.1589488008281113e-05	4.935935749548893	0.00041722156829812005	FCHSD2, LMBRD1, INPP5F, CANX, STON2, DNAJC6, SGIP1, PICALM, AP2B1, CLTA, SCYL2, SNAP91, GAS7, CLTC, AP2M1, GPR107, FNBP1L, MAGI2, AP2A2, FCHO2
GO:0070936	protein K48-linked ubiquitination	49	0.011366272326606355	2.4133994313276754	1.0041896008721546e-10	5.516652507336755e-08	7.258324371289509	1.2136635516140861e-06	CDC27, UBE2H, HACE1, MYCBP2, TTC3, SKP1, ASB3, ANAPC10, RFFL, CDC16, UBE2D3, ZNRF1, RNF115, ITCH, AMFR, UBE2R2, KLHL3, CUL3, RNF216, HUWE1, RNF6, ZNRF2, UBR5, NT5C2, PRKN, FBXO38, RNF170, FBXO9, UBE3A, UBE2K, KBTBD2, UBE2E3, BTRC, CUL1, UBE2G1, UBE2D2, UBR4, KCMF1, ANAPC5, ANAPC1, FBXO7, ARIH2, UBE2G2, UBE3C, ANAPC16, RNF146, NEDD4L, UBE2E2, UBE2E1
GO:0042752	regulation of circadian rhythm	34	0.007886801206216655	2.3887729065182093	9.892163329377839e-08	3.146228578917383e-05	4.502209728325471	0.0011955668599886056	NR1D2, PSPC1, PPP1CC, CSNK1E, USP9X, CLOCK, CRY1, FBXL3, MAPK10, FBXW7, MTOR, TARDBP, MAGED1, GSK3B, KDM2A, MAPK8, HNRNPD, PRKAA1, RORB, UBE3A, PPARGC1A, PRKDC, BTRC, CUL1, RORA, ROCK2, SFPQ, ATG7, PER2, USP7, PPP1CB, MAPK9, SKP1, PPARA
GO:0002181	cytoplasmic translation	45	0.010438413361169102	2.2871229956025405	5.412484006728528e-09	1.869008048723457e-06	5.728388828365064	6.541528170532099e-05	RPS8, RPS3A, RPLP1, RPL15, RPS12, RPL7A, RPL9, RPL14, RPL37, RPL34, RPS20, RPS21, RPS27, RPS14, RPS27A, RPS6, RPL31, RPL37A, FAU, RPL23, RPS18, RPL36, RPL17, RPL38, RPL28, RPL5, RPL35, RPL24, RPS19, RPS29, RPL6, RPL3, ZC3H15, RPL18, RPL13A, RPL13, RPL21, RPL26, RPL12, RPS15, RPLP2, RPSA, RPS24, RPS28, RPS2
GO:0048511	rhythmic process	68	0.01577360241243331	2.2251583238799757	4.383715588928965e-12	3.784399043413962e-09	8.42200307596593	5.298158660779547e-08	PSPC1, PER3, NRIP1, NCOA2, MYCBP2, OGT, PPP1CC, NCOR1, CREBBP, DHX9, CUL4A, CSNK1E, THRAP3, USP9X, CLOCK, HNRNPU, CRY1, LGR4, KDM5B, PPARA, MAPK10, FBXL3, ENOX2, FBXW7, CREM, TARDBP, KDM5A, HUWE1, MAGED1, SIN3A, GSK3B, KDM2A, SETX, MAPK8, HNRNPD, KMT2A, SIRT1, DDX5, CIPC, PRKAA1, RORB, HDAC2, KAT2B, UBE3A, PPARGC1A, ENOX1, HLF, PRKDC, BTRC, EP300, RORA, CREB1, ROCK2, CSNK2A1, KLF9, SFPQ, NLGN1, TOP1, NPAS2, BHLHE41, ATG7, PER2, PPP1CB, USP7, DNM1L, MAPK9, FBXW11, NR1D2
GO:0042147	retrograde transport, endosome to Golgi	39	0.009046624913013222	2.2181462703383374	2.1024894716896524e-07	5.909462268567707e-05	4.228452035940855	0.002541068775484114	RAB7A, VPS29, ERC1, CLN5, RAB6B, SNX2, TMEM87B, VPS35, PREPL, MON2, RIC1, SLC66A2, STX16, RHOBTB3, GBF1, RAB6A, VPS50, VTI1B, EVI5, SNX1, GOSR1, DENND5A, GCC2, GOLT1B, VPS54, SNX5, TMEM87A, VPS53, SPAG9, VPS26A, ANKFY1, CLTC, VTI1A, TBC1D23, HEATR5A, SORL1, PIKFYVE, TBC1D5, HEATR5B
GO:0000209	protein polyubiquitination	70	0.016237531895151938	2.185805273938231	7.407897103091036e-12	5.968789625863885e-09	8.224113727849243	8.953184438795827e-08	ERCC8, SHPRH, UBE2V1, UBE2H, FBXL17, UBE2W, RC3H2, SASH1, RMND5A, CBFB, LNPEP, HLTF, TRAF6, TNKS, FBXL7, WSB1, DZIP3, UBE2D3, CUL4B, RNF115, ITCH, TRIM2, AMFR, TAF1, UBE2R2, KLHL3, CUL3, HUWE1, MDM2, MKRN3, UBR5, UBE2V2, PRKN, C10orf90, NPEPPS, KLHL42, CTNNB1, RC3H1, UBE3A, UBE2K, KBTBD2, TRIP12, BTRC, RNF170, HECTD2, FBXO22, UBE2G1, UBE2D2, UBE4A, TNKS2, TPP2, UBE4B, TRAF3IP2, UBE2N, ARIH2, SMURF1, BIRC2, UBE3D, UBE2G2, UBE3C, BCL2, AMBRA1, CBL, PIK3R1, PELI2, RNF111, RNF180, FBXW11, SKP1, UBE2E1
GO:0001764	neuron migration	59	0.01368591974019949	2.1354182043117325	9.324241360390744e-10	3.8859579683338806e-07	6.410501901167883	1.1269278108168253e-05	MAP1B, NEO1, AUTS2, KIRREL3, ELP3, YWHAE, CHL1, USP9X, MEF2C, SDCCAG8, NRP2, FZD3, ASTN1, DDIT4, NAV1, KIAA0319, PSEN1, BBS4, KIAA0319L, PAX6, DNER, ABI2, TUBB2B, DAB1, DNAAF4, CEP85L, CTNNB1, BBS1, PCM1, LARGE1, NRCAM, NDEL1, FYN, FAT3, PAFAH1B1, ASTN2, TUBA1A, RAPGEF2, SH3RF1, SEMA3A, DCC, HSP90AA1, MARK1, TUBB2A, NTRK2, MYH10, MARK2, CDKL5, ABI1, GPM6A, APBB2, ADGRL3, LRP12, PRKG1, NTRK3, TOP2B, WASF2, RAC1, SATB2
GO:0006897	endocytosis	101	0.023428438877290653	2.1350979075959216	1.149083038070692e-15	1.54309084423582e-12	11.811608505570701	1.3887817598122383e-11	EPS15, RAB7A, RAB5C, KCNQ3, DNM3, STEAP2, OPHN1, PACSIN2, LRP1, RAB31, DNER, SYNJ1, LRP4, LRP1B, LRRK2, PICALM, AP2B1, ATP9B, PIK3C3, STON2, ZFYVE9, AAK1, EHBP1, CSNK1G3, FNBP1, GAPVD1, FKBP15, RUBCN, PIK3CB, MYO6, SORT1, TFRC, RAB5A, DENND1B, EEA1, MTMR9, SNX9, TBC1D2B, AP2M1, FNBP1L, LRP6, CLINT1, HEATR5A, DPYSL2, ESYT2, ATP9A, SH3GLB1, WASF2, RAC1, MTMR6, PIK3C2A, CSNK1E, MYO5A, AMPH, LMBRD1, RIN2, RHOJ, CSNK1G1, APLP1, EPN2, ATP6V1H, RAB1A, RABGAP1L, CDC42, ANKFY1, DENND1A, EPS15L1, DNM1, MAGI2, SORL1, SH3GL2, USP33, DGKD, LRP12, HEATR5B, FCHO2, RNASEK, AP2A2, FCHSD2, RABGEF1, CLCN5, SYNRG, LIPA, RABEP1, C9orf72, OCIAD1, APP, RHOQ, SGIP1, CALY, CLTA, ANK2, SNX5, ITSN1, SCAMP1, MIB1, ABL1, DNM1L, REPS1, RAB22A, ITSN2
GO:0000226	microtubule cytoskeleton organization	64	0.014845743446996056	2.080019945811774	6.051110211886264e-10	2.8128353084945147e-07	6.550855695032059	7.3133718020857385e-06	MAP1B, FER, MID1, NEFL, KIF2A, RNF19A, TUBGCP3, TUBA1B, PARD3B, TTBK2, SIK3, MAP2, CLASP2, ULK4, CDC14A, DYNC1LI1, DST, CEP70, TAOK1, CDK5RAP2, TUBB4A, ATXN3, EML1, PARD3, CDC14B, EML4, BBS4, EFCAB11, TUBE1, ATXN7, TUBB2B, CLASP1, DOCK7, GAPDH, BBS1, TUBB, NDEL1, CAMSAP2, TTLL7, PAFAH1B1, TBCD, TUBA1A, NAV3, SON, TOGARAM1, TOGARAM2, MARK1, TUBB2A, TUBGCP5, DCLK2, MARK3, TTL, MARK2, SS18, DIAPH3, TBCEL, WDR47, MAP7, MAP4, CFAP44, DYNC1LI2, SPATA7, MAP1A, MAP6
GO:0008104	intracellular protein localization	79	0.018325214567385756	2.062437809999328	1.1987404547196901e-11	9.05498570983886e-09	8.043112230732918	1.4487977135742175e-07	ALS2, SEPTIN9, YWHAE, KIFAP3, PACRG, FRMD6, SEPTIN10, NIPBL, AMOT, CTNNA1, YWHAG, DMD, SEPTIN2, LRP4, LRRK2, BBS1, ELMOD1, LARGE1, SEPTIN7, NIN, MLH3, LATS1, MOSMO, CEP128, PARD3, SEPTIN8, CNTLN, ODR4, AP4E1, PARD3B, USP9X, BCL6, ID4, RAP2A, BBS4, SIN3A, BBS7, MYO6, CPE, CTNNB1, YWHAZ, MECP2, NRCAM, RRAGB, HEATR5A, PHYHIP, MAPRE3, ULK2, DDX42, SEPTIN11, CSNK1E, ARFIP1, YWHAQ, AKAP11, AKAP10, AP4S1, AHI1, VPS54, DLG1, CDC42, BBS2, AP1AR, ARMCX3, SCYL3, HEATR5B, VPS13A, SPG11, NPM1, C2CD5, GJA1, YWHAB, AKAP7, IST1, HAP1, CASK, ANK2, ITSN1, GRID2, YWHAH
GO:0006886	intracellular protein transport	119	0.02760380422175829	2.0450645746450857	1.4457111443149405e-16	2.4961235557414813e-13	12.602733921293837	1.7472864890190371e-12	IPO7, RAB5C, SCFD1, IPO11, STX12, TMED7, SYTL4, XPOT, RFFL, KIF13A, SNX2, VPS35, COG3, BCAP29, RAB21, RAB31, USO1, EXOC6, STXBP1, SEC23A, COPG2, RPGR, LARGE1, AP2B1, TRIM23, STX17, AP1S3, RAB18, VPS26A, VPS39, EXPH5, HSPA9, AP4E1, SIL1, APBA1, TMED10, MYRIP, TPR, RAB6B, TOMM20, XPO1, TMED5, WDR11, IPO5, NUP214, SEC23IP, MYO6, NAPG, RAB5A, TUBA1A, WLS, SNX9, STX18, RAB14, VPS41, SCFD2, SNX27, AP2M1, RAMP1, VPS29, VPS45, ARF1, SCG5, ARFIP1, GFAP, PDCD6, COG7, STX7, RIC1, CHM, RAB6A, TNPO1, XPO7, XPO6, RAB3GAP2, RAB1A, COPB1, RAB28, NSF, RIMS2, COPA, ARF3, SNX13, EXOC6B, AP2A2, SPG11, DNAJC15, NPM1, APPBP2, SEC24B, VPS26C, ARL6, COPB2, SYNRG, IPO9, FAM91A1, SORCS2, KPNB1, STX16, ARL5A, AP3S2, STXBP3, STX8, NAPB, VTI1B, SNX1, AP1G1, AP3B1, CLTA, IPO8, SNX5, AP3S1, VTI1A, CLTC, HERC2, TLK1, RAB22A, YWHAH, SAR1B
