GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0012391	Hyporeflexia of upper limbs	9	0.0020876826722338203	4.777545813036419	7.661016684968405e-07	2.359708213431065e-05	4.6271416958143154	0.007880887863826997	ATP6AP2, ST3GAL5, GDAP1, RUBCN, SPTAN1, ACOX1, RYR1, PMP22, HSPB1
HP:0004309	Ventricular preexcitation	11	0.002551612154952447	4.042538764876969	1.7060843766470234e-06	4.985934654138616e-05	4.302253417676004	0.01755048998256793	MT-CYB, MT-CO3, NDUFS2, MT-ND4, MT-ND1, MT-CO1, MT-ND2, MT-ND5, MT-ND4L, MT-ATP6, PRKAG2
HP:0000576	Centrocecal scotoma	11	0.002551612154952447	4.042538764876969	1.7060843766470234e-06	4.985934654138616e-05	4.302253417676004	0.01755048998256793	MT-CYB, MT-CO3, NDUFS2, MT-ND4, MT-ND1, MT-CO1, MT-ND2, OPA1, MT-ND5, MT-ND4L, MT-ATP6
HP:0012209	Juvenile myelomonocytic leukemia	14	0.003247506379030387	3.715868965694992	3.9242264214109225e-07	1.2897289839314428e-05	4.889501540203612	0.004036851719705416	RAF1, BRAF, NF1, RASA2, SPRED2, KRAS, CBL, SOS2, MRAS, RRAS2, SOS1, PTPN11, MAP2K1, ARHGAP26
HP:0040082	Happy demeanor	16	0.003711435861749014	3.6400349051706047	9.072130769803107e-08	3.344982409640307e-06	5.475606161727619	0.0009332500922896457	ZSWIM6, TASP1, ASXL1, ADNP, UBE3A, SLC9A6, TCF4, TBC1D23, DYRK1A, WDR26, HNRNPC, SNRPN, HDAC8, GRIK2, ZEB2, SATB2
HP:0200125	Mitochondrial respiratory chain defects	14	0.003247506379030387	3.52029691486894	1.2018892428922664e-06	3.583720185980506e-05	4.445665907053623	0.012363834641632744	PREPL, PNPT1, MT-CYB, MT-CO3, NDUFS2, MT-ND4, MT-ND1, MT-CO1, MT-ND2, MT-ND5, MT-ND4L, CAMKMT, MT-ATP6, PPM1B
HP:0007183	Focal T2 hyperintense basal ganglia lesion	15	0.003479471120389701	3.412532723597442	9.377693162820292e-07	2.8207113908167352e-05	4.549641347658115	0.009646832956593234	NDUFS1, SPG11, NDUFS4, MT-ND1, MT-ND4, MT-ND2, PRNP, LRPPRC, MT-ND5, SUCLG1, MT-ATP6, MT-ND3, GFAP, PDSS2, IARS2
HP:0002236	Frontal upsweep of hair	19	0.004407330085826954	3.36197668324785	4.595860589204213e-08	1.7445615454296582e-06	5.758313704708845	0.0004727761788114374	YY1, TCF4, OGT, CREBBP, CAMTA1, UBR1, UBAP2L, MKRN3, FOXP1, HDAC4, MED27, FBXO11, TRIO, EP300, MED13L, HERC2, BRD4, FRMPD4, POLA1
HP:0002310	Orofacial dyskinesia	18	0.0041753653444676405	3.071279451237697	8.454886113290666e-07	2.5581003955123844e-05	4.592082415150001	0.008697541344742108	PDE10A, FTL, PRRT2, PNPT1, JAM2, IREB2, PLP1, GNAO1, PRKRA, LRPPRC, SLC35A1, CACNA2D1, PANK2, ATXN7, MRE11, MICU1, VPS13A, FGF14
HP:0007270	Atypical absence seizure	23	0.005335189051264208	3.052320936106601	2.933408730140877e-08	1.1606144464215078e-06	5.935312027979573	0.00030175975606959205	GABRB3, CHD2, HNRNPU, EPM2A, ZEB2, EIF4A2, MAPK10, CACNB4, FRRS1L, CEP85L, PPP3CA, CACNA1A, UBE3A, TRIM8, PAFAH1B1, KCNB1, SCN2A, SRPX2, GABRG2, AP2M1, DNM1, KCNMA1, OTUD7A
