ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB01030	DB00363	Topotecan	Clozapine	1.0906768837803322	L	N	True	False
DB01030	DB00734	Topotecan	Risperidone	1.077380952380952	L	N	False	False
DB01030	DB00334	Topotecan	Olanzapine	1.0538847117794488	L	N	False	False
DB04338	DB02910	SB220025	Octanoyl-Coenzyme A	1.0			False	False
DB00518	DB04338	Albendazole	SB220025	1.0	P		False	False
DB00518	DB06075	Albendazole	Linsitinib	1.0	P		False	False
DB00518	DB07715	Albendazole	Emodin	1.0	P		False	False
DB01030	DB06075	Topotecan	Linsitinib	1.0	L		False	False
DB01030	DB00541	Topotecan	Vincristine	1.0	L	L	True	False
DB01030	DB02910	Topotecan	Octanoyl-Coenzyme A	1.0	L		False	False
DB01030	DB01092	Topotecan	Ouabain	1.0	L	C	False	False
DB07374	DB04338	Anisomycin	SB220025	1.0			False	False
DB12340	DB08911	Navitoclax	Trametinib	1.0		L	False	False
DB00541	DB07715	Vincristine	Emodin	1.0	L		False	False
DB02910	DB07715	Octanoyl-Coenzyme A	Emodin	1.0			False	False
DB12340	DB01092	Navitoclax	Ouabain	1.0		C	False	False
DB12340	DB07715	Navitoclax	Emodin	1.0			False	False
DB07374	DB02910	Anisomycin	Octanoyl-Coenzyme A	1.0			False	False
DB07374	DB07715	Anisomycin	Emodin	1.0			False	False
DB06075	DB07715	Linsitinib	Emodin	1.0			False	False
DB12340	DB06075	Navitoclax	Linsitinib	1.0			False	False
DB12340	DB00541	Navitoclax	Vincristine	1.0		L	False	False
DB12340	DB00518	Navitoclax	Albendazole	1.0		P	False	False
DB08911	DB02910	Trametinib	Octanoyl-Coenzyme A	1.0	L		False	False
DB12340	DB07374	Navitoclax	Anisomycin	1.0			False	False
DB01030	DB04338	Topotecan	SB220025	1.0	L		False	False
DB01030	DB00518	Topotecan	Albendazole	1.0	L	P	False	False
DB06075	DB02910	Linsitinib	Octanoyl-Coenzyme A	1.0			False	False
DB00518	DB02910	Albendazole	Octanoyl-Coenzyme A	1.0	P		False	False
DB01030	DB08911	Topotecan	Trametinib	1.0	L	L	False	False
DB01030	DB12340	Topotecan	Navitoclax	1.0	L		False	False
DB00541	DB02910	Vincristine	Octanoyl-Coenzyme A	1.0	L		False	False
DB04338	DB00541	SB220025	Vincristine	1.0		L	False	False
DB12340	DB02910	Navitoclax	Octanoyl-Coenzyme A	1.0			False	False
DB01092	DB06075	Ouabain	Linsitinib	1.0	C		False	False
DB01092	DB07715	Ouabain	Emodin	1.0	C		False	False
DB01092	DB00541	Ouabain	Vincristine	1.0	C	L	False	False
DB01092	DB00518	Ouabain	Albendazole	1.0	C	P	False	False
DB08911	DB01092	Trametinib	Ouabain	1.0	L	C	False	False
DB08911	DB07715	Trametinib	Emodin	1.0	L		False	False
DB01092	DB07374	Ouabain	Anisomycin	1.0	C		False	False
DB01030	DB00934	Topotecan	Maprotiline	0.9974358974358974	L	N	False	False
DB01030	DB00555	Topotecan	Lamotrigine	0.9965277777777777	L	N	False	False
DB08911	DB01645	Trametinib	Genistein	0.98974358974359	L		False	False
DB12340	DB00363	Navitoclax	Clozapine	0.9814814814814814		N	False	False
DB00363	DB02910	Clozapine	Octanoyl-Coenzyme A	0.9814814814814814	N		False	False
DB01030	DB00502	Topotecan	Haloperidol	0.9722222222222223	L	N	False	False
DB01030	DB00321	Topotecan	Amitriptyline	0.9687100893997447	L	N	False	False
DB12340	DB00321	Navitoclax	Amitriptyline	0.9629629629629628		N	False	False
DB00363	DB00780	Clozapine	Phenelzine	0.9534702769996888	N	N	False	False
DB08911	DB00363	Trametinib	Clozapine	0.9527458492975733	L	N	False	False
DB12340	DB00334	Navitoclax	Olanzapine	0.9521531100478469		N	False	False
DB00334	DB02910	Olanzapine	Octanoyl-Coenzyme A	0.9521531100478469	N		False	False
DB00734	DB00780	Risperidone	Phenelzine	0.9458020050125311	N	N	False	False
DB00734	DB08911	Risperidone	Trametinib	0.9345238095238093	N	L	False	False
DB00734	DB06075	Risperidone	Linsitinib	0.9345238095238093	N		False	False
DB08911	DB00321	Trametinib	Amitriptyline	0.9342273307790547	L	N	False	False
DB00734	DB12340	Risperidone	Navitoclax	0.9249999999999998	N		False	False
DB00734	DB02910	Risperidone	Octanoyl-Coenzyme A	0.9249999999999998	N		False	False
DB01645	DB02910	Genistein	Octanoyl-Coenzyme A	0.9230769230769231			False	False
DB00363	DB06075	Clozapine	Linsitinib	0.9182630906768838	N		False	False
DB00334	DB06075	Olanzapine	Linsitinib	0.911027568922306	N		False	False
DB08911	DB00334	Trametinib	Olanzapine	0.911027568922306	L	N	False	False
DB01030	DB02546	Topotecan	Vorinostat	0.8999999999999999	L	L	True	False
DB01234	DB06075	Dexamethasone	Linsitinib	0.8999999999999999	C, H, D, S, R, A		False	False
DB01234	DB07715	Dexamethasone	Emodin	0.8999999999999999	C, H, D, S, R, A		False	False
