Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.49898321581876265	-2.866419775304964	<0.0001	<0.0001	PL21
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.42933493707371073	-2.7935077805604673	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.415635856540838	-2.7500779405996014	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.3979743953181338	2.722929593006887	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.3868683535902505	2.699089233839239	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.37758694465282866	-2.689960213150272	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.3834022777889149	-2.659438420945791	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A07	DB07232	Veliparib	0.4156368107814304	2.614873028120682	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.41366096182693507	-2.5994239210467374	<0.0001	<0.0001	NPC.TAK
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.4281989479407738	-2.593228559100046	<0.0001	<0.0001	U937
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.44449280985737566	-2.5929650481315365	<0.0001	<0.0001	U937
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.4305336483028251	2.5910835688787905	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.4384463281749131	-2.5867782755579465	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.43614333843277125	-2.586130484385113	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:D23	DB06616	Bosutinib	-0.3941743494777747	-2.5748728273080457	<0.0001	<0.0001	NEU
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.40874279627519405	-2.561455032781474	<0.0001	<0.0001	THP1
LJP007_JURKAT_24H:C01	DB11800	Tivozanib	0.42373757714544574	2.5596502739792544	<0.0001	<0.0001	JURKAT
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.4006705998296252	-2.5582616696417633	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.41135186323231737	-2.5548976911684984	<0.0001	<0.0001	NPC.CAS9
