ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB07080	DB01184	TO-901317	Domperidone	1.5		A	False	False
DB04599	DB03880	Aniracetam	Batimastat	1.5	N		False	False
DB01030	DB04599	Topotecan	Aniracetam	1.5	L	N	False	False
DB00762	DB04599	Irinotecan	Aniracetam	1.5	L	N	False	False
DB08597	DB01623	Dorsomorphin	Thiothixene	1.4333333333333336		N	False	False
DB07080	DB01623	TO-901317	Thiothixene	1.3888888888888888		N	False	False
DB08597	DB00800	Dorsomorphin	Fenoldopam	1.35		C	False	False
DB08597	DB00925	Dorsomorphin	Phenoxybenzamine	1.3375		C	False	False
DB08597	DB00248	Dorsomorphin	Cabergoline	1.3340909090909092		G, N	False	False
DB08597	DB00368	Dorsomorphin	Norepinephrine	1.3333333333333335		C	False	False
DB01623	DB03880	Thiothixene	Batimastat	1.3333333333333335	N		False	False
DB08175	DB01184	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Domperidone	1.3333333333333335		A	False	False
DB08175	DB01623	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Thiothixene	1.3333333333333333		N	False	False
DB01205	DB09099	Flumazenil	Somatostatin	1.3166666666666667	V	H	False	False
DB08597	DB01200	Dorsomorphin	Bromocriptine	1.3166666666666664		G, N	False	False
DB08597	DB00589	Dorsomorphin	Lisuride	1.3117647058823527		G, N	False	False
DB09099	DB00939	Somatostatin	Meclofenamic acid	1.3	H	M	False	False
DB04599	DB07080	Aniracetam	TO-901317	1.2999999999999998	N		False	False
DB08597	DB01614	Dorsomorphin	Acepromazine	1.2916666666666665		N	False	False
DB01623	DB07841	Thiothixene	Geranylgeranyl diphosphate	1.2904761904761906	N		True	False
DB00762	DB00248	Irinotecan	Cabergoline	1.2886363636363638	L	G, N	False	False
DB01030	DB00248	Topotecan	Cabergoline	1.2886363636363638	L	G, N	False	False
DB08597	DB01186	Dorsomorphin	Pergolide	1.2862745098039217		N	False	False
DB01030	DB01186	Topotecan	Pergolide	1.2862745098039217	L	N	False	False
DB00762	DB01186	Irinotecan	Pergolide	1.2862745098039217	L	N	False	False
DB04599	DB01262	Aniracetam	Decitabine	1.2857142857142856	N	L	False	False
DB08597	DB00960	Dorsomorphin	Pindolol	1.2857142857142856		C	False	False
DB00762	DB00960	Irinotecan	Pindolol	1.2857142857142856	L	C	False	False
DB01030	DB00960	Topotecan	Pindolol	1.2857142857142856	L	C	False	False
DB00960	DB07364	Pindolol	6-PHENYL[5H]PYRROLO[2,3-B]PYRAZINE	1.2857142857142856	C		False	False
DB08597	DB09286	Dorsomorphin	Pipamperone	1.275		N	False	False
DB01030	DB09286	Topotecan	Pipamperone	1.275	L	N	False	False
DB00762	DB09286	Irinotecan	Pipamperone	1.275	L	N	False	False
DB01262	DB01186	Decitabine	Pergolide	1.2666666666666668	L	N	False	False
DB00762	DB01200	Irinotecan	Bromocriptine	1.2666666666666666	L	G, N	False	False
DB01030	DB01200	Topotecan	Bromocriptine	1.2666666666666666	L	G, N	False	False
DB04599	DB08175	Aniracetam	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	1.2619047619047619	N		False	False
DB01030	DB00368	Topotecan	Norepinephrine	1.2619047619047619	L	C	False	False
DB00762	DB00368	Irinotecan	Norepinephrine	1.2619047619047619	L	C	False	False
DB04599	DB00170	Aniracetam	Menadione	1.2571428571428571	N	B	False	False
DB00762	DB00589	Irinotecan	Lisuride	1.2529411764705882	L	G, N	False	False
DB01030	DB00589	Topotecan	Lisuride	1.2529411764705882	L	G, N	False	False
DB00773	DB00373	Etoposide	Timolol	1.25	L	C, S	False	False
DB01203	DB07364	Nadolol	6-PHENYL[5H]PYRROLO[2,3-B]PYRAZINE	1.25	C		False	False
DB00694	DB00612	Daunorubicin	Bisoprolol	1.25	L	C	False	False
DB01030	DB00521	Topotecan	Carteolol	1.25	L	C, S	False	False
DB07364	DB00521	6-PHENYL[5H]PYRROLO[2,3-B]PYRAZINE	Carteolol	1.25		C, S	False	False
DB00762	DB01203	Irinotecan	Nadolol	1.25	L	C	False	False
DB01030	DB01203	Topotecan	Nadolol	1.25	L	C	False	False
DB05022	DB01203	Amonafide	Nadolol	1.25		C	False	False
DB00380	DB00373	Dexrazoxane	Timolol	1.25	V	C, S	False	False
DB00762	DB00612	Irinotecan	Bisoprolol	1.25	L	C	False	False
DB05022	DB00373	Amonafide	Timolol	1.25		C, S	False	False
DB05022	DB00612	Amonafide	Bisoprolol	1.25		C	False	False
DB00773	DB00612	Etoposide	Bisoprolol	1.25	L	C	False	False
