# Reference distribution mean: 0.17337741083178715 and standard deviation: 1.833006687958036
# Threshold: 0.67
# 29.35% of reference distribution below threshold, 33.13% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB00746	-7.859026979751538	-4.382092244044892	Deferoxamine
DB05938	-7.859026979751538	-4.382092244044892	Edonerpic
DB05846	-7.859026979751538	-4.382092244044892	Mito-4509
DB09149	-7.859026979751538	-4.382092244044892	Florbetapir (18F)
DB09151	-7.859026979751538	-4.382092244044892	Flutemetamol (18F)
DB09148	-7.859026979751538	-4.382092244044892	Florbetaben (18F)
DB12274	-7.859026979751538	-4.382092244044892	Aducanumab
DB05088	-7.859026979751538	-4.382092244044892	Tetrathiomolybdate
DB05150	-7.859026979751538	-4.382092244044892	CAD106
DB02235	-7.859026979751538	-4.382092244044892	L-methionine (R)-S-oxide
DB06782	-7.859026979751538	-4.382092244044892	Dimercaprol
DB03754	-7.859026979751538	-4.382092244044892	Tromethamine
DB15568	-7.5196924041165385	-4.1969676736522885	Adagrasib
DB15569	-7.5196924041165385	-4.1969676736522885	Sotorasib
DB11942	-7.247792581767846	-4.048632250691237	Selinexor
DB02623	-7.177782416195197	-4.010438082588861	Aminophosphonic acid-guanylate ester
DB00061	-7.007600613951853	-3.9175951031489293	Pegademase
DB03276	-7.007600613951853	-3.9175951031489293	4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid
DB08557	-7.00397413672268	-3.915616672162836	2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide
DB07495	-7.00397413672268	-3.915616672162836	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB12442	-7.00397413672268	-3.915616672162836	Alvespimycin
DB08786	-7.00397413672268	-3.915616672162836	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine
DB08787	-7.00397413672268	-3.915616672162836	4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine
DB08789	-7.00397413672268	-3.915616672162836	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB08788	-7.00397413672268	-3.915616672162836	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
DB06969	-7.00397413672268	-3.915616672162836	2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-N-ethylthieno[2,3-d]pyrimidine-6-carboxamide
DB03749	-7.00397413672268	-3.915616672162836	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB03809	-7.00397413672268	-3.915616672162836	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB06957	-7.00397413672268	-3.915616672162836	4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB04588	-7.00397413672268	-3.915616672162836	N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB08436	-7.00397413672268	-3.915616672162836	8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-
DB02550	-7.00397413672268	-3.915616672162836	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB08442	-7.00397413672268	-3.915616672162836	4-{[(2R)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol
DB08443	-7.00397413672268	-3.915616672162836	2-(1H-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol
DB07317	-7.00397413672268	-3.915616672162836	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB06956	-7.00397413672268	-3.915616672162836	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB06958	-7.00397413672268	-3.915616672162836	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE
DB06961	-7.00397413672268	-3.915616672162836	5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide
DB06964	-7.00397413672268	-3.915616672162836	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE
DB08194	-7.00397413672268	-3.915616672162836	4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine
DB08197	-7.00397413672268	-3.915616672162836	(5E,7S)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin-5(6H)-one oxime
DB02359	-7.00397413672268	-3.915616672162836	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB07325	-7.00397413672268	-3.915616672162836	N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE
