GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0072583	clathrin-dependent endocytosis	20	0.005521811154058531	3.9216283630686037	1.4913893416254206e-09	6.437475565316012e-07	6.191284406396354	1.8024931582884834e-05	SLC9B2, FCHSD2, LMBRD1, INPP5F, CANX, STON2, DNAJC6, SGIP1, PICALM, AP2B1, CLTA, SCYL2, SNAP91, GAS7, CLTC, AP2M1, FNBP1L, MAGI2, AP2A2, FCHO2
GO:0060291	long-term synaptic potentiation	34	0.009387078961899503	3.2768860728691895	5.5993696716313926e-12	5.2056909116413085e-09	8.28352162173459	6.767398185133701e-08	CALM3, CALM2, CALM1, VAMP2, NF1, CAMK2B, RELN, RGS14, LRRTM2, DRD1, SLC24A2, SLITRK4, NPTN, HMGCR, SNAP25, MECP2, PLK2, CAMK2A, MAPK1, PRRT1, GRIA1, SHANK2, PTK2B, GRIN2B, NTRK2, GRIA3, BRAF, PRKCG, TNR, SNCA, CAMK2D, SLC1A1, CALN1, SLC8A3
GO:0048813	dendrite morphogenesis	20	0.005521811154058531	3.1590895146941533	3.05900676704164e-07	8.802656139634585e-05	4.055386262766691	0.0036971155786465256	GABRB3, RERE, SDC2, MAP2, CTNNA2, DTNBP1, SLC11A2, TMEM106B, HPRT1, PICALM, FYN, MEF2A, FARP1, ABITRAM, DSCAM, ABI1, SLITRK5, TRAK2, RAC1, MAP6
GO:0035249	synaptic transmission, glutamatergic	22	0.006073992269464384	2.9785701138544876	3.138881978741202e-07	8.822448277922365e-05	4.054410879035293	0.0037936527595066167	ALS2, CLCN3, UNC13B, GRIA4, NR3C1, CACNB4, CNIH3, GRID1, CDH8, GRIA2, NAPB, PRKN, GRIA1, VPS54, GRIN2B, GRIK2, UNC13A, GRIA3, DSCAM, UNC13C, GRID2, EXT1
GO:0007612	learning	33	0.009110988404196576	2.8869218026589643	1.053738218632901e-09	4.898261580922016e-07	6.309958026047241	1.2735480110397242e-05	GABRB3, PAK5, SYT11, CNTNAP2, NLGN4Y, NRXN1, NLGN4X, DRD3, EIF2AK4, ATAD1, RELN, RGS14, GRM5, DRD1, SLC24A2, SYNJ1, PRKN, APP, VDAC1, PPP3CB, MECP2, DLG4, FYN, SHANK2, PRKAR2B, FGF13, NRXN3, NTRK2, SORCS3, SLC12A5, ATP8A1, ATXN1, SLC8A3
GO:0048812	neuron projection morphogenesis	36	0.009939260077305357	2.8042328842764537	5.289690356736799e-10	2.905963529614589e-07	6.536709840480711	6.393119765152095e-06	PPP1R12B, GABRB3, ALS2, NEFL, NYAP2, KIRREL3, PACSIN1, CNTNAP2, NRXN1, PAK1, EPB41L3, DTNBP1, MAP4K4, PLXNA4, SLIT1, NEGR1, LRRK2, TRIO, NCKAP1, VPS54, CCDC39, SHTN1, TAOK3, PPP1R12A, DICER1, GAS7, NLGN1, SRGAP2, SLC9A6, TNIK, GPM6A, ATP9A, MAP2K1, SGK1, RAC1, KDM1A
GO:0050804	modulation of chemical synaptic transmission	58	0.01601325234676974	2.7715037423031053	5.929891655313923e-15	1.0238381506589152e-11	10.989768691632863	7.166867054612407e-11	PRKAR1B, PTPRD, IQSEC2, GRIA4, AKAP12, SYN1, NLGN4X, BAIAP2, ARHGAP44, BSN, EPHA7, DLGAP1, VPS35, SYNGAP1, BTBD9, CAMKV, RELN, RGS14, GLRA2, GRM5, DLGAP2, GRID1, PXK, AKAP7, NRG3, PLPPR4, NPTN, SYNGR1, PRKN, PPP3CA, CACNA1A, UBE3A, LRRK2, ADCY1, SLC4A8, DLGAP4, GRIA1, FYN, PAFAH1B1, CFL1, JAK2, PRKAR2B, MAPK9, GRIK2, DGKE, RPS6KB1, GRIA3, CDKL5, NLGN1, CACNA1B, TNR, PCDH8, LRRC4C, GRID2, ABR, RTN4, GRIA2, CDH11
GO:0016241	regulation of macroautophagy	27	0.007454445057979017	2.6935394809497515	2.170745267597048e-07	6.558906826044481e-05	4.183168538517412	0.0026235627304177925	ATG14, RHEB, ATP6V1E1, UBQLN1, ATP6V0C, VPS35, MTOR, ATP6V1B2, ATP6V1D, ATP6V1C1, MAPK8, ATP6V1H, PSMD14, CDK5R1, GAPDH, PRKAA2, ULK1, UCHL1, UBQLN2, ATP6V0E2, EXOC4, VPS26A, ATP6V1A, PIK3C3, SH3GLB1, EXOC1, ATP6V0A1
GO:0070936	protein K48-linked ubiquitination	45	0.012424075096631695	2.638002584435324	5.312554178651192e-11	3.567084989065461e-08	7.447686543074756	6.42075298031783e-07	RNF34, RBX1, CDC27, UBE2H, HACE1, MYCBP2, TTC3, SKP1, ASB3, ANAPC10, UBE2D3, ZNRF1, RNF115, ITCH, AMFR, UBE2R2, KLHL3, CUL3, HUWE1, UBR5, KBTBD6, NT5C2, PRKN, FBXO38, UBE2B, FBXO9, UBE2K, UBE3A, UBE2E3, BTRC, CUL1, PELI1, UBE2G1, UBE2D2, UBR4, UBE2E2, KCMF1, ANAPC5, ANAPC1, UBE2G2, ANAPC7, UBE3C, RNF146, NEDD4L, MID2
GO:0042752	regulation of circadian rhythm	31	0.008558807288790724	2.5923116899990255	8.466284743809234e-08	2.6927241424652213e-05	4.5698081358352765	0.0010232351741367841	RBX1, PSPC1, USP9X, CLOCK, PPARG, FBXL3, MAPK10, FBXW7, MTOR, TARDBP, MAGED1, GSK3B, KDM2A, MAPK8, HNRNPD, PRKAA2, UBE3A, PRKDC, ADCY1, BTRC, CUL1, RORA, ROCK2, PRKCG, SFPQ, ATG7, PPP1CB, CRY2, MAPK9, SKP1, NR1D2
