term	id	nGeneIds	geneSetFdaCountsById.nodes	geneSetHash	pvalue	FDR	oddsRatio	nOverlap	Cell_Line	DrugBank_Name	DrugBank_ID
RAD001_HCC515_6H_H16_camptothecin_1.11uM down	f6438e32-5f56-452e-8fce-86a581f292f6	250	[{'approved': False, 'count': 1210}]	be474992-3f27-5b7c-b555-0afc858383eb	1.5529933993195335e-36	2.60562009034531e-30	2.5433222891566265	149	6H	camptothecin	DB04690
RAD001_HCC515_6H_H14_camptothecin_10uM down	1c62885e-1672-41e9-86a0-d0eb3c2965ca	250	[{'approved': False, 'count': 1210}]	6e28c5c2-38dd-579d-b186-7c4e97b16d16	1.1028809362995062e-33	9.252095746639965e-28	2.4750451807228915	145	6H	camptothecin	DB04690
RAD001_HCC515_6H_H15_camptothecin_3.33uM down	47d7618c-fba9-42e9-b71d-f9f446e3cac1	250	[{'approved': False, 'count': 1210}]	b16b5d8c-d32d-5602-844d-25ca331c41f9	2.649876962961478e-32	1.4819922726138608e-26	2.4409066265060244	143	6H	camptothecin	DB04690
CEGS002_HIMG002_24H_H22_topotecan_3.33uM down	6b83b8bf-9db2-4a60-a31c-a5452b2d94f9	250	[{'approved': True, 'count': 310}]	b0635cc2-8361-5dce-a690-542e5c093fce	5.558270424471064e-29	1.8651387819059347e-23	2.3555602409638556	138	24H	topotecan	DB01030
ASG003_U2OS_6H_H19_camptothecin_10uM down	43d2a117-494d-468d-9965-521d2c43ba80	250	[{'approved': False, 'count': 1210}]	9916bbca-9af3-5157-b520-6ee01ea2897b	3.074961977535539e-25	5.159186580719015e-20	2.253144578313253	132	6H	camptothecin	DB04690
CEGS002_HIMG001_24H_H20_topotecan_12.5uM down	75eb0de7-555d-47f3-9837-296ce93e92e3	250	[{'approved': True, 'count': 310}]	2ce102cf-b8b9-5f8b-9f13-de918dc9b045	3.074961977535539e-25	5.159186580719015e-20	2.253144578313253	132	24H	topotecan	DB01030
CEGS002_HIMG002_24H_H20_topotecan_12.5uM down	782f41e3-36b8-4774-8732-e365ece97870	250	[{'approved': True, 'count': 310}]	99647be6-4081-5af0-8b0b-16dfe1963702	3.074961977535539e-25	5.159186580719015e-20	2.253144578313253	132	24H	topotecan	DB01030
RAD001_HCC515_6H_H17_camptothecin_0.37uM down	55566f6d-815e-43d9-a21b-90b5e9dcc842	250	[{'approved': False, 'count': 1210}]	972095a3-2c86-51bb-a47a-affbfe4a6162	1.2190552370823122e-24	1.573336132348376e-19	2.2360753012048193	131	6H	camptothecin	DB04690
TSAI002_NPC-3_XH_B22_geldanamycin_10uM down	f4c3b44d-04a6-4a53-82f8-40a488f11da4	250	[{'approved': False, 'count': 3068}]	25c5f2d3-e2a3-5e03-9bdb-a3a49ae48fe9	1.2190552370823122e-24	1.573336132348376e-19	2.2360753012048193	131	XH	geldanamycin	DB02424
ASG003_MCF7_6H_H19_camptothecin_10uM down	7a1a6a48-cec2-4d71-bb63-cbcedf526c12	250	[{'approved': False, 'count': 1210}]	cdef1f75-8f93-539d-861c-87a270e1c135	4.752319798038978e-24	5.315643945832526e-19	2.2190060240963856	130	6H	camptothecin	DB04690
REP.B026_MCF10A_24H_B23_alvocidib_0.03uM up	99a9cc14-d2df-47d5-914b-609b41e73c45	250	[{'approved': False, 'count': 1540}]	0037e63b-a96b-56cc-8db2-a266cb9f1172	2.5456898411431537e-22	2.512453614070111e-17	2.1677981927710843	127	24H	alvocidib	DB03496
ASG003_A549_6H_H19_camptothecin_10uM down	0f4ad4d5-0190-4f06-9298-30282cda8275	250	[{'approved': False, 'count': 1210}]	f546d739-7984-5f3b-b85a-f9736e4f998c	3.326569795734102e-21	2.4266675809268066e-16	2.133659638554217	125	6H	camptothecin	DB04690
CRCGN016_MCF10A.WT.HP_24H_K16_acetaldehyde_100uM up	dbc0551a-c4fb-4f32-85e4-f6e02b1c03ef	250	[{'approved': False, 'count': 30}]	060d8b98-419d-5a36-a539-531756987706	1.1726800833179273e-20	6.148526584972609e-16	2.116590361445783	124	24H	acetaldehyde	DB03776
TAA001_SKNSH_24H_I19_withaferin-a_10uM down	4fe137b3-c6a2-4830-a967-b707934dcc46	250	[{'approved': False, 'count': 1816}]	ed94b15c-0341-516f-94cb-86e6fd19d4d0	1.1726800833179273e-20	6.148526584972609e-16	2.116590361445783	124	24H	withaferin-a	DB14450
CEGS002_HIMG001_24H_H22_topotecan_3.33uM down	895675bb-dea1-4784-a141-e4d00c54bee8	250	[{'approved': True, 'count': 310}]	108e3496-ee2b-5035-bac2-19027536a19d	1.1726800833179273e-20	6.148526584972609e-16	2.116590361445783	124	24H	topotecan	DB01030
REP.B012_MDAMB231_24H_D19_famotidine_2.22uM up	c300cf0c-22c2-4bbf-9dd3-9753c909b525	250	[{'approved': True, 'count': 332}]	fd5f2dbe-0289-5d48-af11-9fe724c5b85e	1.1726800833179273e-20	6.148526584972609e-16	2.116590361445783	124	24H	famotidine	DB00927
DPK.CP003_PC3_24H_P04_RITA_10uM down	47815621-1242-4001-9d16-92366a3b1c60	250	[{'approved': True, 'count': 910}]	92ee6bd8-a604-52dd-8c1f-f989b97f18fa	4.065275117992658e-20	1.843442951173965e-15	2.0995210843373493	123	24H	RITA	DB04911
ASG003_U2OS_6H_H20_camptothecin_1.11uM down	10a07d1e-955a-47b3-aa96-87a3c6c7ddbb	250	[{'approved': False, 'count': 1210}]	2c98d49a-1cdf-541c-8746-b29b5ad8cd38	1.3858901063234102e-19	5.407565929860347e-15	2.082451807228916	122	6H	camptothecin	DB04690
CEGS002_HIMG002_24H_H23_topotecan_1.67uM down	57a641fc-ef6f-442e-97ba-28dab96799b8	250	[{'approved': True, 'count': 310}]	975eaed4-a7b1-59b2-882b-8dcd0e749bf2	1.3858901063234102e-19	5.407565929860347e-15	2.082451807228916	122	24H	topotecan	DB01030
REP.B012_MDAMB231_24H_J04_oxatomide_0.08uM up	406f6c61-84a1-422d-a910-f69b7276d619	250	[{'approved': False, 'count': 300}]	8596c0f0-b017-5196-87b7-09efaa6ecbeb	1.3858901063234102e-19	5.407565929860347e-15	2.082451807228916	122	24H	oxatomide	DB12877
KTOX002_HPTEC_6H_H08_camptothecin_3.33uM down	ebd62bb9-d99c-4580-9abe-09e28fcb1711	250	[{'approved': False, 'count': 1210}]	91767947-f3b5-5f84-8b1f-cf7d94798e3d	4.646183032695062e-19	1.6240394006606124e-14	2.065382530120482	121	6H	camptothecin	DB04690
PAC019_U2OS_6H_G03_valproic-acid_20uM up	78f0c61d-ba8a-43ff-9a67-bb69b6c99e02	250	[{'approved': True, 'count': 1088}]	cfae34b6-d8a3-5d11-8e81-bf1468f4f441	4.646183032695062e-19	1.6240394006606124e-14	2.065382530120482	121	6H	valproic-acid	DB00313
PBIOA022_HCC515_24H_D19_topotecan_10uM down	d85b13a3-897c-422c-adea-f9aae2b0677f	250	[{'approved': True, 'count': 310}]	bd19ff0a-93fa-563c-8157-8b4b34f736ab	1.5317643095341291e-18	4.2131177333736216e-14	2.048313253012048	120	24H	topotecan	DB01030
RAD001_A549_6H_H15_camptothecin_3.33uM down	f73ea0af-1f18-4359-a9b8-1a8864167ad1	250	[{'approved': False, 'count': 1210}]	4421e12f-5f1b-596e-8fb6-b3fdbb8422c2	1.5317643095341291e-18	4.2131177333736216e-14	2.048313253012048	120	6H	camptothecin	DB04690
ASG003_A549_24H_F17_idarubicin_1.11uM down	0970205f-cdb6-4df0-998a-e2fbb83504a3	250	[{'approved': True, 'count': 758}]	87d87b05-6f05-5e12-af4f-acff0d04cabc	1.5317643095341291e-18	4.2131177333736216e-14	2.048313253012048	120	24H	idarubicin	DB01177
ASG003_U2OS_24H_H19_camptothecin_10uM down	2ffbb290-d2d7-4967-8f39-23f3d457664a	250	[{'approved': False, 'count': 1210}]	ea149fed-8bc4-5705-8c11-d1f2ced26aeb	1.5317643095341291e-18	4.2131177333736216e-14	2.048313253012048	120	24H	camptothecin	DB04690
ASG003_XC.P935_24H_H19_camptothecin_10uM down	a66be985-a8b4-424a-87ea-c3831c673706	250	[{'approved': False, 'count': 1210}]	acd18b8d-9486-51d4-a9ac-cbef7eacbd9e	1.5317643095341291e-18	4.2131177333736216e-14	2.048313253012048	120	24H	camptothecin	DB04690
ERG005_VCAP_6H_C03_withaferin-a_20uM down	0617ae5e-6c4e-452e-95ec-2d553aaf6df3	250	[{'approved': False, 'count': 1816}]	2f4c1121-f3dd-5652-9963-ee0b4af57954	4.9660875838786256e-18	1.262443421010527e-13	2.0312439759036147	119	6H	withaferin-a	DB14450
PBIOA011_XC.L10_24H_C16_topotecan_10uM down	ab0d5609-02a6-471d-8467-c148017fc425	250	[{'approved': True, 'count': 310}]	68d13bbe-d623-580e-b7de-4dae885dc466	4.9660875838786256e-18	1.262443421010527e-13	2.0312439759036147	119	24H	topotecan	DB01030
CPC006_HT29_24H_L23_SN-38_0.37uM down	8385e7e1-eb14-43b2-b958-70c466757f18	250	[{'approved': False, 'count': 518}]	a66a3f81-5041-5242-be7c-629af1ec0dc5	1.5832938742641756e-17	3.68952552598584e-13	2.0141746987951805	118	24H	SN-38	DB02515
LJP006_SKBR3_24H_G13_withaferin-a_10uM down	daa8f93d-86a5-4b25-92c1-bf3438684e05	250	[{'approved': False, 'count': 1816}]	5f114011-9488-511a-8ffe-19ff4b90bb0d	1.5832938742641756e-17	3.68952552598584e-13	2.0141746987951805	118	24H	withaferin-a	DB14450
CEGS002_HIMG001_24H_H24_topotecan_0.74uM down	1a7effde-39ee-4abb-afa4-d0dddd3113ac	250	[{'approved': True, 'count': 310}]	ee773c97-61cd-5208-8245-be52548d9759	4.963986582797064e-17	9.46431989607935e-13	1.997105421686747	117	24H	topotecan	DB01030
CVD001_HEPG2_6H_H19_ryuvidine_2.5uM down	f8106b2c-80a7-41d9-a5ad-ee9e3b4f4b07	250	[{'approved': False, 'count': 60}]	9e5f9e25-a376-51d9-9d30-87a21832412a	4.963986582797064e-17	9.46431989607935e-13	1.997105421686747	117	6H	ryuvidine	DB15228
RAD001_MCF7_6H_H15_camptothecin_3.33uM down	5228436f-aa43-42a9-9065-c341533ba3c6	250	[{'approved': False, 'count': 1210}]	c0c43fa5-08d5-51c3-b503-1d1bd278170d	4.963986582797064e-17	9.46431989607935e-13	1.997105421686747	117	6H	camptothecin	DB04690
CPC012_A549_6H_E08_topotecan_10uM down	7454efb5-b092-46dc-90cb-92d868299632	250	[{'approved': True, 'count': 310}]	3b66130c-3b5d-59aa-98c2-474dc0253794	4.963986582797064e-17	9.46431989607935e-13	1.997105421686747	117	6H	topotecan	DB01030
