ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB00679	DB06448	Thioridazine	Lonafarnib	1.4583333333333335	N		False	False
DB01030	DB00938	Topotecan	Salmeterol	1.4	L	R	False	False
DB00938	DB00762	Salmeterol	Irinotecan	1.4	R	L	False	False
DB00938	DB06448	Salmeterol	Lonafarnib	1.4	R		False	False
DB00540	DB06448	Nortriptyline	Lonafarnib	1.3839285714285714	N		False	False
DB00246	DB06448	Ziprasidone	Lonafarnib	1.3434065934065933	N		False	False
DB00363	DB06448	Clozapine	Lonafarnib	1.3320561941251596	N		False	False
DB06448	DB00939	Lonafarnib	Meclofenamic acid	1.3285714285714283		M	False	False
DB06448	DB00734	Lonafarnib	Risperidone	1.2916666666666665		N	False	False
DB06448	DB00543	Lonafarnib	Amoxapine	1.2836438923395446		N	False	False
DB00321	DB06448	Amitriptyline	Lonafarnib	1.2445721583652616	N		False	False
DB06448	DB00458	Lonafarnib	Imipramine	1.2323717948717952		N	False	False
DB06448	DB02659	Lonafarnib	Cholic Acid	1.1853002070393375		A	False	False
DB00938	DB02910	Salmeterol	Octanoyl-Coenzyme A	1.1666666666666665	R		False	False
DB00393	DB06448	Nimodipine	Lonafarnib	1.1666666666666665	C		False	False
DB00540	DB00762	Nortriptyline	Irinotecan	1.1339285714285714	N	L	False	False
DB01030	DB00540	Topotecan	Nortriptyline	1.1339285714285714	L	N	False	False
DB01030	DB00246	Topotecan	Ziprasidone	1.1291208791208793	L	N	False	False
DB00246	DB00762	Ziprasidone	Irinotecan	1.1291208791208793	N	L	False	False
DB00363	DB00762	Clozapine	Irinotecan	1.0906768837803322	N	L	True	False
DB01030	DB00363	Topotecan	Clozapine	1.0906768837803322	L	N	True	False
DB06448	DB01115	Lonafarnib	Nifedipine	1.0875		C	False	False
DB00270	DB06448	Isradipine	Lonafarnib	1.0873015873015874	C		False	False
DB06448	DB09068	Lonafarnib	Vortioxetine	1.0873015873015874		N	False	False
DB00762	DB00679	Irinotecan	Thioridazine	1.0833333333333335	L	N	False	False
DB01030	DB00679	Topotecan	Thioridazine	1.0833333333333335	L	N	False	False
DB00762	DB00734	Irinotecan	Risperidone	1.077380952380952	L	N	False	False
DB01030	DB00734	Topotecan	Risperidone	1.077380952380952	L	N	False	False
DB00924	DB06448	Cyclobenzaprine	Lonafarnib	1.0656565656565657	M		False	False
DB07374	DB00938	Anisomycin	Salmeterol	1.0625		R	False	False
DB00393	DB02910	Nimodipine	Octanoyl-Coenzyme A	1.0576923076923075	C		False	False
DB00938	DB02659	Salmeterol	Cholic Acid	1.0476190476190474	R	A	False	False
DB08911	DB00939	Trametinib	Meclofenamic acid	1.0428571428571427	L	M	False	False
DB00541	DB00939	Vincristine	Meclofenamic acid	1.0428571428571427	L	M	False	False
DB02659	DB01791	Cholic Acid	Piclamilast	1.0359523809523807	A		False	False
DB01030	DB00543	Topotecan	Amoxapine	1.022774327122153	L	N	False	False
DB00762	DB00543	Irinotecan	Amoxapine	1.022774327122153	L	N	False	False
DB00246	DB04868	Ziprasidone	Nilotinib	1.0219780219780221	N	L	True	False
DB00363	DB04868	Clozapine	Nilotinib	1.0217113665389528	N	L	True	False
DB12010	DB06448	Fostamatinib	Lonafarnib	1.0181581703320832	B		False	False
DB02659	DB00939	Cholic Acid	Meclofenamic acid	1.0117216117216117	A	M	False	False
DB00762	DB02659	Irinotecan	Cholic Acid	1.0113871635610767	L	A	False	False
DB08911	DB02659	Trametinib	Cholic Acid	1.0113871635610767	L	A	False	False
DB01030	DB02659	Topotecan	Cholic Acid	1.0113871635610767	L	A	False	False
DB00679	DB00780	Thioridazine	Phenelzine	1.0036630036630036	N	N	True	False
DB01030	DB01092	Topotecan	Ouabain	1.0	L	C	False	False
DB04868	DB02910	Nilotinib	Octanoyl-Coenzyme A	1.0	L		False	False
DB06448	DB00541	Lonafarnib	Vincristine	1.0		L	False	False
DB00762	DB00541	Irinotecan	Vincristine	1.0	L	L	False	False
DB08911	DB08877	Trametinib	Ruxolitinib	1.0	L	L	False	False
DB01030	DB02910	Topotecan	Octanoyl-Coenzyme A	1.0	L		False	False
DB03496	DB02910	Alvocidib	Octanoyl-Coenzyme A	1.0			False	False
DB01092	DB00762	Ouabain	Irinotecan	1.0	C	L	False	False
DB00762	DB02910	Irinotecan	Octanoyl-Coenzyme A	1.0	L		False	False
DB04868	DB00541	Nilotinib	Vincristine	1.0	L	L	False	False
DB00824	DB00762	Enprofylline	Irinotecan	1.0		L	False	False
DB08911	DB06448	Trametinib	Lonafarnib	1.0	L		False	False
DB08911	DB04868	Trametinib	Nilotinib	1.0	L	L	False	False
DB01030	DB00541	Topotecan	Vincristine	1.0	L	L	True	False
DB07374	DB02910	Anisomycin	Octanoyl-Coenzyme A	1.0			False	False
DB07374	DB01092	Anisomycin	Ouabain	1.0		C	False	False
DB00938	DB08877	Salmeterol	Ruxolitinib	1.0	R	L	False	False
