GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0072583	clathrin-dependent endocytosis	20	0.0044974139869575	3.194094430185402	5.995337708295499e-08	1.7252297986299857e-05	4.763153049210988	0.000724596515424594	FNBP1L, GPR107, AP2A2, DNAJC6, INPP5F, PICALM, SCYL2, SLC9B2, CLTC, STON2, AP2B1, FCHO2, MAGI2, CLTA, LMBRD1, CANX, GAS7, AP2M1, SNAP91, SGIP1
GO:0060291	long-term synaptic potentiation	34	0.007645603777827749	2.6689636509854293	1.8702330270595666e-09	9.041454546016768e-07	6.043761696682437	2.2603636365041923e-05	CALM3, PRKCG, HMGCR, SLC8A3, RGS14, SNCA, PLK2, SLITRK4, LARGE1, GRIA3, GRIN2B, LRRTM2, MAPK1, SLC1A1, NF1, NPTN, PRRT1, CALM2, RELN, SLC24A2, TNR, CAMK2B, MECP2, CAMK2D, PTK2B, CALN1, CALM1, CAMK2A, VAMP2, BRAF, GRIA1, SNAP25, SHANK2, NTRK2
GO:0007612	learning	35	0.007870474477175624	2.493850651260141	1.2402302808796796e-08	4.282692335631945e-06	5.3682831237674895	0.00014989423174711808	NRXN2, NLGN4X, APP, DRD3, NRXN1, SYNJ1, SORCS3, SLC8A3, RGS14, PRKN, GRM5, SYT11, VDAC1, SLC12A5, FGF13, VDAC3, NLGN4Y, SLC24A2, RELN, GABRB3, NRXN3, CNTNAP2, MECP2, FYN, PRKAR2B, PLCB1, DLG4, EIF2AK4, ATP8A1, PAK5, GMFB, SHANK2, NTRK2, ATAD1, PPP3CB
GO:0016241	regulation of macroautophagy	30	0.006746120980436249	2.437598380930965	2.635101512079367e-07	6.776135505317283e-05	4.16901791781561	0.0031847836874991232	CDK5R1, ATP6V0C, ATP6V1B2, UBQLN1, SH3GLB1, ATG14, EXOC4, VPS26B, GAPDH, ATP6V0E2, ULK1, ATP6V0A2, ATP6V1A, VPS26A, ATP6V0E1, ATP6V1H, VPS35, EXOC1, ATP6V0A1, ATP6V1C1, UCHL1, RHEB, PSMD14, ATP6V1D, MTOR, PRKAA2, PIK3C3, MAPK8, UBQLN2, ATP6V1E1
GO:0017148	negative regulation of translation	50	0.011243534967393748	2.4122067311296003	4.9769625410714176e-11	3.3417538484105085e-08	7.476025543136257	6.015156927138916e-07	CNOT1, PRKCH, EPHA4, PURA, EIF2AK2, RPL13A, LSM14A, ILF3, EIF2AK3, NCL, ACO1, QKI, XRN1, PURB, PRKCA, GAPDH, TRIM71, DDX6, RACK1, CAPRIN2, LARP1, DDX3X, ENC1, CELF1, CPEB3, EIF4E, CNOT9, CAPRIN1, IREB2, RBM4, FMR1, RPS3, OTUD6B, CIRBP, FXR1, HELZ, ZNF540, CNOT10, CSNK2A1, CPEB1, GIGYF2, DHX36, IGFBP5, DAPK1, SERBP1, DHFR, SYNCRIP, CYFIP1, TOB1, CELF4
GO:0048812	neuron projection morphogenesis	38	0.00854508657521925	2.410884974016653	1.0321412781594875e-08	3.6689586728928133e-06	5.43545718010442	0.00012474459487835565	ALS2, DTNBP1, PRICKLE1, KDM1A, NRXN1, NEFL, NYAP2, TAOK3, SLC9A6, PLXNA4, PPP1R12A, NLGN1, RAC1, ATP9A, NEGR1, KIRREL3, ADORA2A, EPB41L3, SGK1, MINK1, PACSIN1, GABRB3, TNIK, PPP1R12B, CNTNAP2, VPS54, SHTN1, GPM6A, CCDC39, LRRK2, GAS7, KIF20B, PAK1, NCKAP1, SRGAP2, MAP2K1, DICER1, TRIO
GO:0050804	modulation of chemical synaptic transmission	60	0.013492241960872498	2.3351782808918484	3.945114842247973e-12	3.667742921800693e-09	8.435601112357542	4.7680657983409006e-08	IQSEC2, GRID1, CAMKV, GLRA2, BSN, NLGN4X, GRIK2, NRG3, CDKL5, RPS6KB1, PLPPR4, GRIA2, SYNGAP1, BAIAP2, PCDH8, GRIA4, RGS14, CFL1, PRKN, GRM5, ARHGAP44, NLGN1, PAFAH1B1, VPS35, GRIA3, STAU1, LRRC4C, PTPRD, UBE3A, CACNA1B, DGKE, AKAP12, NPTN, JAK2, DLGAP1, CACNA1A, RELN, SYN1, GRID2, BTBD9, TNR, PRKAR1B, SLC4A8, ADCY1, DLGAP4, FYN, PRKAR2B, AKAP7, SYNGR1, MAPK9, DLGAP2, LRRK2, NTNG1, CDH11, GRIA1, NLGN2, RTN4, GRIK3, EPHA7, PPP3CA
GO:0070936	protein K48-linked ubiquitination	48	0.010793793568697998	2.2918450756794226	1.2198094275663975e-09	6.142756975653117e-07	6.211636666223754	1.474261674156748e-05	CDC16, RNF115, CDC27, ANAPC7, RNF170, NEDD4L, ANAPC5, RNF216, MID2, UBE2E3, KLHL3, BTRC, UBE2K, HUWE1, FBXO9, UBE2R2, CUL3, PRKN, ANAPC1, TTC3, ZNRF1, RBX1, UBR4, UBE3C, UBE3A, FBXO38, PELI1, CUL1, AMFR, ASB3, ANAPC10, SKP1, UBE2E2, UBE2H, KCMF1, UBE2D2, UBE2G1, HACE1, UBE2B, UBR5, NT5C2, ITCH, RNF146, RNF34, UBE2D3, KBTBD6, MYCBP2, UBE2G2
GO:0042147	retrograde transport, endosome to Golgi	41	0.009219698673262874	2.260582308030026	3.195942354390563e-08	9.904143409016498e-06	5.004183079825006	0.00038626159295164345	VPS53, SNX2, VPS50, TBC1D23, GOSR1, RAB7A, VTI1A, AP1S1, VPS26B, EVI5, WASHC1, ANKFY1, GBF1, STX16, VPS26A, SLC66A2, VPS35, CLTC, MON2, RIC1, GCC2, SORL1, RAB9B, RAB6A, PIKFYVE, RAB6B, GOLT1B, ARL1, VPS54, ERC1, PLEKHA3, PREPL, SPAG9, VPS29, VPS51, DCTN1, DENND5A, SNX1, TMEM87B, HEATR5B, TBC1D5
GO:0000209	protein polyubiquitination	72	0.016190690353047	2.179499728832392	2.91175433039225e-12	2.9326219030933945e-09	8.532743926104017	3.519146283712073e-08	DAW1, RNF115, NFE2L1, FBXL17, UBE2J1, RNF111, RNF114, RNF170, BTRC, KLHL3, UBE2K, SMURF1, HUWE1, UBE2R2, FBXL7, TRIM71, CUL3, HECTD2, UBE3D, CTNNB1, TAF1, PRKN, CHFR, PRPF19, TRIP12, LNPEP, FBXO22, UBE4B, AMBRA1, RBX1, WSB1, UBE2V1, UBE3A, UBE3C, TNKS, FBXO28, PELI1, AMFR, RC3H2, NPEPPS, SPOP, UBE2N, SKP1, UBE2W, UBE2H, RMND5A, UBE2V2, KLHL42, RNF180, FBXW11, UBE2D2, UBE2G1, MDM2, TPP2, UBE4A, UBE2B, TNKS2, UBR5, DZIP3, HLTF, ITCH, CUL4B, TRIM2, SHPRH, ERCC8, NHLRC3, PIK3R1, UBE2D3, CBL, RC3H1, UBE2G2, WSB2
