GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0004309	Ventricular preexcitation	12	0.0026984483921744995	4.275172545017384	1.0567933461539781e-07	4.68587635857154e-06	5.329209174872331	0.0010871233151885972	MT-CO1, MT-ND1, MT-ATP6, PRKAG2, MT-CO3, MT-ND5, MT-ND4L, MT-CYB, NDUFS2, MT-ND6, MT-ND4, MT-ND2
HP:0000576	Centrocecal scotoma	12	0.0026984483921744995	4.275172545017384	1.0567933461539781e-07	4.68587635857154e-06	5.329209174872331	0.0010871233151885972	MT-CO1, MT-ND1, MT-ATP6, MT-CO3, MT-ND5, MT-ND4L, MT-CYB, NDUFS2, MT-ND6, MT-ND4, MT-ND2, OPA1
HP:0032036	Reduced contrast sensitivity	11	0.002473577692826625	4.2454838467880975	4.534365056609764e-07	1.7803440205093374e-05	4.749496069728824	0.004664501333734464	MT-CO1, MT-ND1, MT-ATP6, MT-CO3, MT-ND5, MT-ND4L, MT-CYB, NDUFS2, MT-ND6, MT-ND4, MT-ND2
HP:0007768	Central retinal vessel vascular tortuosity	11	0.002473577692826625	4.2454838467880975	4.534365056609764e-07	1.7803440205093374e-05	4.749496069728824	0.004664501333734464	MT-ND1, MT-ATP6, MT-CO3, MT-ND5, MT-ND4L, SELENOI, MT-CYB, MT-ND6, MT-ND4, MT-ND2, NEK1
HP:0200125	Mitochondrial respiratory chain defects	15	0.0033730604902181245	3.656397571396447	1.5976933203531936e-07	6.819697587748259e-06	5.166234883244419	0.0016435471186473302	MT-CO1, MT-ND1, CAMKMT, MT-ATP6, MT-CO3, MT-ND5, MT-ND4L, MT-CYB, PNPT1, NDUFS2, MT-ND6, PREPL, MT-ND4, MT-ND2, PPM1B
HP:0025268	Stuttering	14	0.0031481897908702495	3.60222871848687	5.882748776769733e-07	2.2750314536327157e-05	4.643012594591618	0.006051583666663024	NEXMIF, MT-CO1, KANSL1, MT-ND1, NSD1, HEXB, MT-CO3, AP4E1, MT-ND5, MT-ND6, UBAP2L, MT-ND4, MAPT, MT-CO2
HP:0040082	Happy demeanor	15	0.0033730604902181245	3.3081692312634523	1.4280209720543907e-06	5.227776419759259e-05	4.281682994492632	0.014690051739523518	DYRK1A, ADNP, GRIK2, ZSWIM6, SNRPN, TBC1D23, HDAC8, ASXL1, WDR26, OCA2, HNRNPC, SLC9A6, PRKAR1B, TASP1, UBE3A
HP:0100023	Recurrent hand flapping	21	0.004722284686305375	3.2420058466381834	1.832902049476418e-08	9.474906222594931e-07	6.023425079746286	0.00018855063382963914	HERC2, SLC4A10, GRIK2, SYNGAP1, PDZD8, OCA2, NEXMIF, TRAPPC9, TRAPPC6B, FMR1, UBE3A, MBD5, CHD8, CDK19, BCL11A, CSNK2A1, PRKAR1B, KMT5B, HECW2, NOVA2, GABBR2
HP:0002883	Hyperventilation	23	0.005172026085001125	3.1330308601965635	1.0613770332306804e-08	5.746518705707372e-07	6.240595175270774	0.00010918385540844009	NRXN1, CDKL5, HLCS, MT-ND4, KCNT1, MT-ND5, TLK2, MT-ND6, CPLANE1, MT-ND2, ARL13B, MT-ND3, DEPDC5, BTD, GABRB3, GABRG2, CAMK2B, CNTNAP2, MT-ND1, MT-ATP6, GABRA1, SYT1, GABBR2
HP:0032792	Tonic seizure	54	0.012143017764785248	3.0132240226929756	1.8258921811610413e-17	3.0791726012464967e-15	14.511565966287458	1.8782952867603633e-13	CEP85L, VPS53, ATP6V0C, GABRA3, GRIK2, TBL1XR1, SCN2A, DMXL2, SYNJ1, SCN1A, ALG13, FGF12, GABRA5, GRIA2, SCN8A, DOCK7, CUL3, NEXMIF, LNPK, ADNP, TSEN2, GABBR2, ST3GAL3, ATP1A3, PSAP, ATP6V1A, PHACTR1, ARHGEF9, ATP6V0A1, NAPB, MAST3, CACNA1B, FBXO28, GNB1, CHD2, CACNA1A, GABRG2, CNTNAP2, RUSC2, MECP2, MTHFS, COG3, NSF, PLCB1, SLC25A12, CLCN3, DENND5A, ARFGEF1, STX1B, DNM1, SV2A, KCNQ5, HNRNPU, PPP3CA
