# Reference distribution mean: -0.053451949921836044 and standard deviation: 1.971978153077985
# Threshold: -0.48
# 26.59% of reference distribution below threshold, 29.54% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB03754	-7.859026979751538	-3.958246199455242	Tromethamine
DB02235	-7.859026979751538	-3.958246199455242	L-methionine (R)-S-oxide
DB05938	-7.859026979751538	-3.958246199455242	Edonerpic
DB05846	-7.859026979751538	-3.958246199455242	Mito-4509
DB05150	-7.859026979751538	-3.958246199455242	CAD106
DB09148	-7.859026979751538	-3.958246199455242	Florbetaben (18F)
DB09151	-7.859026979751538	-3.958246199455242	Flutemetamol (18F)
DB05088	-7.859026979751538	-3.958246199455242	Tetrathiomolybdate
DB09149	-7.859026979751538	-3.958246199455242	Florbetapir (18F)
DB06782	-7.859026979751538	-3.958246199455242	Dimercaprol
DB12274	-7.859026979751538	-3.958246199455242	Aducanumab
DB00746	-7.859026979751538	-3.958246199455242	Deferoxamine
DB03882	-7.845024417241484	-3.9511454298609148	5-Alpha-Androstane-3-Beta,17beta-Diol
DB07757	-7.845024417241484	-3.9511454298609148	(9aS)-4-bromo-9a-butyl-7-hydroxy-1,2,9,9a-tetrahydro-3H-fluoren-3-one
DB06937	-7.845024417241484	-3.9511454298609148	4-(6-HYDROXY-BENZO[D]ISOXAZOL-3-YL)BENZENE-1,3-DIOL
DB03860	-7.845024417241484	-3.9511454298609148	ICI-164384
DB04020	-7.845024417241484	-3.9511454298609148	4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol
DB05052	-7.845024417241484	-3.9511454298609148	MF101
DB07032	-7.845024417241484	-3.9511454298609148	2-(4-HYDROXY-PHENYL)BENZOFURAN-5-OL
DB07036	-7.845024417241484	-3.9511454298609148	(3aS,4R,9bR)-2,2-difluoro-4-(4-hydroxyphenyl)-6-(methoxymethyl)-1,2,3,3a,4,9b-hexahydrocyclopenta[c]chromen-8-ol
DB15569	-7.5196924041165385	-3.7861679362628506	Sotorasib
DB15568	-7.5196924041165385	-3.7861679362628506	Adagrasib
DB11942	-7.247792581767846	-3.6482861742746184	Selinexor
DB02623	-7.177782416195197	-3.6127836685985932	Aminophosphonic acid-guanylate ester
DB00061	-7.007600613951853	-3.526483624159605	Pegademase
DB03276	-7.007600613951853	-3.526483624159605	4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid
DB06958	-7.00397413672268	-3.5246446193899463	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE
DB06957	-7.00397413672268	-3.5246446193899463	4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB06964	-7.00397413672268	-3.5246446193899463	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE
DB06961	-7.00397413672268	-3.5246446193899463	5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide
DB03809	-7.00397413672268	-3.5246446193899463	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB02359	-7.00397413672268	-3.5246446193899463	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB08443	-7.00397413672268	-3.5246446193899463	2-(1H-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol
DB08442	-7.00397413672268	-3.5246446193899463	4-{[(2R)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol
DB08436	-7.00397413672268	-3.5246446193899463	8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-
DB03899	-7.00397413672268	-3.5246446193899463	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
DB08197	-7.00397413672268	-3.5246446193899463	(5E,7S)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin-5(6H)-one oxime
DB07601	-7.00397413672268	-3.5246446193899463	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB07317	-7.00397413672268	-3.5246446193899463	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB08194	-7.00397413672268	-3.5246446193899463	4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine
DB03749	-7.00397413672268	-3.5246446193899463	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB07100	-7.00397413672268	-3.5246446193899463	4-CHLORO-6-(4-PIPERAZIN-1-YL-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB02550	-7.00397413672268	-3.5246446193899463	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB06956	-7.00397413672268	-3.5246446193899463	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB02840	-7.00397413672268	-3.5246446193899463	4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid
DB07324	-7.00397413672268	-3.5246446193899463	3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE
DB04054	-7.00397413672268	-3.5246446193899463	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB08557	-7.00397413672268	-3.5246446193899463	2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide
DB08789	-7.00397413672268	-3.5246446193899463	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB08788	-7.00397413672268	-3.5246446193899463	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
DB08787	-7.00397413672268	-3.5246446193899463	4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine
DB08786	-7.00397413672268	-3.5246446193899463	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine
