GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1901740	negative regulation of myoblast fusion	26	0.014582164890633763	6.256963918489437	8.261633309562661e-16	3.328336672645811e-12	11.477772749786075	9.985010017937432e-12	RPL21, RPL37, RPL18A, RPL34, RPL8, CFLAR, UBA52, RPL13A, RPL38, RPL37A, RPLP1, RPL17, RPL13, RPL35, RPL36, RPL27, RPL28, RPL27A, RPL23, RPL5, RPL36A, RPL12, RPL18, RPLP2, RPL7A, RPL9
GO:0031032	actomyosin structure organization	15	0.008412787436904094	5.775659001682557	4.808721399233695e-09	2.9675971356025823e-06	5.527595056782544	5.811820683113843e-05	TJP1, EPB41L4A, CNN3, ROCK2, LIMCH1, EPB41L2, FRMD5, CDC42BPA, EPB41, EPB41L3, PHACTR1, TRPM7, EPB41L1, ROCK1, FRMD3
GO:0051893	regulation of focal adhesion assembly	13	0.007291082445316881	5.775659001682557	5.209940102591272e-08	2.421820618458389e-05	4.615858027707728	0.0006296733607991811	CLASP2, PTPRA, GPM6B, EFNA5, SLK, ROCK2, PEAK1, MACF1, LIMCH1, WDPCP, CLASP1, ROCK1, PTK2
GO:0002181	cytoplasmic translation	42	0.023555804823331465	5.161227192992924	1.6156385820678073e-20	1.952660790287152e-16	15.7093731943473	1.952660790287152e-16	RPS18, RPL21, RPL37, RPL18A, RPL34, RPS16, RPL8, UBA52, RPL13A, RPL3, RPL38, RPS19, RPS21, RPL37A, RPLP1, RPS28, RPS29, RPL17, RPL26, RPS17, RPL13, RPS9, RPS27, RPL35, RPS14, RPL36, RACK1, RPL27, RPL28, RPL27A, RPS8, RPL23, RPL5, RPS23, RPL36A, RPS20, RPL12, RPS12, RPL18, RPLP2, RPL7A, RPL9
GO:0006941	striated muscle contraction	28	0.015703869882220976	4.687491363684394	7.207262182316214e-13	1.088837134193422e-09	8.96303707617698	8.710697073547377e-09	RYR2, RPL21, RPL37, RPL18A, RPL34, RPL8, UBA52, RPL13A, RPL38, DTNA, RPL37A, RPLP1, RPL17, RPL13, RPL35, RPL36, RPL27, RPL28, RPL27A, VPS54, RPL23, RPL5, RPL36A, RPL12, RPL18, RPLP2, RPL7A, RPL9
GO:0007612	learning	24	0.01346045989904655	4.265102032011734	3.2565370457231027e-10	2.811321909614958e-07	6.551089422779234	3.935850673460942e-06	ATXN1, NLGN4X, SYT11, CNTNAP2, ATP8A1, PRKAR2B, SORCS3, NRXN1, SYNJ1, NTRK2, CLDN5, PPP3CB, MECP2, FGF13, GRM5, APP, FYN, NLGN4Y, PRKN, GABRB3, NRXN3, PLCB1, SLC24A2, ATAD1
GO:0060291	long-term synaptic potentiation	20	0.011217049915872126	3.91570101808987	5.1818852136153024e-08	2.421820618458389e-05	4.615858027707728	0.0006262826469175455	NPTN, CAMK2B, CAMK2D, CALM2, GRIA3, CALM1, NTRK2, SLC1A1, MECP2, GRIA1, SNAP25, BRAF, CALM3, NF1, CALN1, VAMP2, MAPK1, GRIN2B, SNCA, SLC24A2
GO:0048812	neuron projection morphogenesis	24	0.01346045989904655	3.7976935901474347	4.910801151088172e-09	2.9675971356025823e-06	5.527595056782544	5.935194271205165e-05	MAP2K1, NEGR1, EPB41L3, CNTNAP2, TNIK, TAOK3, DICER1, NRXN1, KIRREL3, GAS7, NLGN1, GPM6A, SHTN1, ATP9A, DTNBP1, GABRB3, LRRK2, NCKAP1, VPS54, MAP4K4, TRIO, PAK1, SRGAP2, PPP1R12A
GO:0050804	modulation of chemical synaptic transmission	35	0.01962983735277622	3.3974464715779744	5.539478213384471e-11	6.695013368696472e-08	7.174248551445801	6.695013368696471e-07	NPTN, JAK2, GRIA4, NLGN4X, DLGAP1, GRID1, EPHA7, CACNA1B, PRKAR2B, GRIA3, GRID2, ARHGAP44, RTN4, NLGN1, GRM5, LRRC4C, FYN, GRIA1, PRKN, GRM3, PRKACA, PLPPR4, UBE3A, LRRK2, EIF4EBP2, GNAI2, CACNA1A, CDKL5, DLGAP2, GRIA2, GRIK2, PPP3CA, BTBD9, PAFAH1B1, PTPRD
GO:0010976	positive regulation of neuron projection development	32	0.0179472798653954	3.2711697000679973	1.0580932033893343e-09	8.096324387195539e-07	6.09171209972034	1.2788114456163494e-05	NPTN, SETX, CAMK2B, LRRC7, DMD, NEGR1, SERPINI1, TMEM30A, CFLAR, RAP1A, KIDINS220, ADNP, SHOC2, NTRK3, TENM3, NDRG4, SCARB2, NTRK2, RIT2, APOE, FYN, CNTN1, ABL2, MAGI2, FBXO38, KAT2B, ITGA6, DISC1, FUT9, RAPGEF2, RAPGEF1, ZNF804A
