GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0000915	Pectus excavatum of inferior sternum	6	0.0033651149747616375	11.551318003365115	4.1770501921792393e-07	1.9355547444571097e-05	4.7131945407596945	0.004296931532694784	SOS1, MAP2K1, PTPN11, BRAF, NF1, FBXO11
HP:0001112	Leber optic atrophy	8	0.00448681996634885	9.241054402692091	1.1931715752843447e-07	6.1065452711194294e-06	5.214204418893344	0.0012274155994950054	MT-ATP6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0012429	Aplasia/Hypoplasia of the cerebral white matter	7	0.003925967470555244	8.984358447061757	1.1093867150197906e-06	4.601718200567978e-05	4.33707998012316	0.011412261137408586	MT-CO1, MT-CO2, MT-CO3, MT-ND1, MT-ND4, ZEB2, MT-ND5
HP:0000576	Centrocecal scotoma	10	0.005608524957936063	8.88562923335778	5.17447510603357e-09	3.671022442466713e-07	6.435212960467503	5.322982541576733e-05	MT-CO1, MT-ATP6, MT-ND4L, OPA1, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0004309	Ventricular preexcitation	10	0.005608524957936063	8.88562923335778	5.17447510603357e-09	3.671022442466713e-07	6.435212960467503	5.322982541576733e-05	MT-CO1, MT-ATP6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, PRKAG2, MT-CYB, MT-ND5
HP:0032036	Reduced contrast sensitivity	9	0.005047672462142457	8.663488502523837	4.6304918239393584e-08	2.6760600782507966e-06	5.572504140769715	0.0004763386939286418	MT-CO1, MT-ATP6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0007768	Central retinal vessel vascular tortuosity	9	0.005047672462142457	8.663488502523837	4.6304918239393584e-08	2.6760600782507966e-06	5.572504140769715	0.0004763386939286418	MT-ATP6, NEK1, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0200125	Mitochondrial respiratory chain defects	12	0.006730229949523275	7.2955692652832305	4.839926009327379e-09	3.506219637883855e-07	6.455160882157437	4.978831885795075e-05	CAMKMT, MT-CO1, MT-ATP6, PREPL, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, PPM1B, MT-ND5
HP:0020120	Retinal nerve fiber edema	9	0.005047672462142457	6.930790802019069	8.275457770941185e-07	3.561909376136903e-05	4.448317134267594	0.008512963408967197	MT-CO1, MT-ATP6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0100033	Tics	9	0.005047672462142457	6.497616376892877	1.7455705177260855e-06	6.893122091410131e-05	4.16158402918663	0.017956683915848242	SPTBN1, FRYL, ZSWIM6, GATAD2B, MAPK1, VPS13A, ZBTB20, ARID2, ACBD6
