Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5584887508681211	-3.1168739868794266	<0.0001	<0.0001	PL21
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.5000261459268205	-2.8769037464502936	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.4218026175789101	2.8511971549565662	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.49607876378382043	-2.811077059978123	<0.0001	<0.0001	U937
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.4458846158021859	-2.809354455101785	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.44906992313189553	-2.804544882332698	<0.0001	<0.0001	NPC.TAK
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.47539857088690424	-2.800907311876342	<0.0001	<0.0001	U937
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4579258534518656	-2.7824251253038605	<0.0001	<0.0001	THP1
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.4859844760069195	-2.7805954884226116	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.4317796050154985	-2.7702187759390062	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.4170040752550237	2.7617758378016712	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.4605569501583678	2.708135535389879	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.41988797738323136	-2.6997517643693207	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.3930049155572401	2.6772705277427367	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.3904863802291635	-2.669893724071812	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.43937837898729687	-2.65486731678727	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:O06	DB07101	PD-0325901	0.3750470350074236	2.652727868339911	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.4579471386615428	-2.6339966513516173	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.4378067621238131	-2.628018771786433	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A11	DB07232	Veliparib	0.38416818387470636	2.600143567036893	<0.0001	<0.0001	NEU
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.4225500859765733	-2.599319865543079	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.CAS9_24H:P13	DB05294	Vandetanib	-0.42543061428788204	-2.5980720258814842	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:A18	DB12742	Amuvatinib	-0.3757699666817073	-2.5549453934852577	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D24	DB13061	MLN8054	-0.39717282730133385	-2.5534224692933556	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I11	DB06589	Pazopanib	0.3771994095317006	2.549519548133892	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.40988856709896365	-2.5492146206556607	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A07	DB07232	Veliparib	0.41732897564800464	2.5469437887956174	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.37608421210408666	-2.5229391899432283	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M05	DB02709	Resveratrol	0.3786677350687664	2.5135430008785478	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.45472736724850465	-2.5133334869305943	<0.0001	<0.0001	NEU
LJP007_NEU_24H:N14	DB09330	Osimertinib	0.4126476780256177	2.5117168086524266	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O05	DB07101	PD-0325901	0.3555433946400232	2.507301607282738	<0.0001	<0.0001	NEU
LJP007_NEU_24H:E01	DB11743	Ipatasertib	-0.3783175098063136	-2.498671703106077	<0.0001	<0.0001	NEU
LJP008_NEU_24H:O04	DB07101	PD-0325901	0.39290100866137867	2.4980390934174537	<0.0001	<0.0001	NEU
LJP008_NEU_24H:N07	DB02665	(1R,2S)-2-Phenylcyclopropanaminium	0.38792664187655507	2.476310892537915	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:D19	DB06616	Bosutinib	-0.3864758356804906	-2.473711512810448	<0.0001	<0.0001	NPC.TAK
CPC014_NEU_24H:BRD-K83794624-001-01-7:10	DB11616	Pirarubicin	-0.43121632536161036	-2.4711102915942833	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M10	DB05575	Motesanib	0.3322645072977858	2.465245240462485	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:F13	DB12247	AZD-4547	-0.3834149301601011	-2.461111235909582	<0.0001	<0.0001	NPC.TAK
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4291842805274456	-2.459198882196821	<0.0001	<0.0001	NOMO1
LJP007_NEU_24H:K20	DB01590	Everolimus	0.3731615367392703	2.455565258273196	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E24	DB08901	Ponatinib	-0.39701270782281634	-2.4542375068640427	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D23	DB06616	Bosutinib	-0.3873486765071859	-2.4541959548353236	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H08	DB09053	Ibrutinib	0.34898336731094654	2.4525302847149626	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I24	DB13005	Rebastinib	-0.3389043683450493	-2.445324628143611	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D11	DB08875	Cabozantinib	0.40462044496311445	2.440940743169955	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O03	DB07101	PD-0325901	0.34587572346672363	2.4314087956139376	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.42144360920667534	-2.430098758116344	<0.0001	<0.0001	NEU
CPC006_WSUDLCL2_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.39026561403288074	-2.429971000695646	<0.0001	<0.0001	WSUDLCL2
NMH001_NEU_24H:BRD-A47564106-001-07-5:10	DB12161	Deutetrabenazine	-0.39097100886766195	-2.4290950335726174	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B12	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.36211809189322863	-2.422936480575517	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F01	DB12848	PF-04217903	0.3513890737406506	2.4224127648945775	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D23	DB13978	Selisistat	-0.4066955288691117	-2.4198534589152096	<0.0001	<0.0001	NEU
LJP008_NEU_24H:B03	DB00877	Sirolimus	-0.3053125508947361	-2.4092704467788417	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B03	DB00877	Sirolimus	-0.35827194311329874	-2.4041825612097605	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D24	DB13978	Selisistat	-0.37923400226901666	-2.4017368230657667	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P04	DB09054	Idelalisib	0.3522070881174573	2.3989731755586683	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-K17561142-003-25-9:10	DB01118	Amiodarone	-0.3863492885851941	-2.3940510601801877	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:P13	DB05294	Vandetanib	-0.3717082168928869	-2.3855480372707007	<0.0001	<0.0001	NPC.TAK
CPC014_NEU_24H:BRD-K01507359-001-05-4:10	DB01045	Rifampicin	0.37409503043645104	2.3855270695768014	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P09	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	0.33244794033239217	2.383130168936785	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O01	DB07101	PD-0325901	0.3436808969903724	2.3736808138977237	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M06	DB02709	Resveratrol	0.3773703464678826	2.370425984425353	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.42560586819811813	2.365582833431886	<0.0001	<0.0001	NPC
CPC014_NEU_24H:BRD-K24994810-001-01-9:10	DB01889	16,17-Androstene-3-Ol	0.3966215771371194	2.359125874631024	<0.0001	<0.0001	NEU
DOSBIO001_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.40928268899112374	-2.3524095864411914	<0.0001	<0.0001	NEU
LJP009_NPC_24H:B03	DB00877	Sirolimus	0.45503577404787	2.3518499341854686	<0.0001	<0.0001	NPC
LJP007_NEU_24H:D24	DB06616	Bosutinib	-0.3929444119071356	-2.351348040164308	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I23	DB13005	Rebastinib	-0.4301291729943201	-2.350187114538441	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H07	DB09053	Ibrutinib	0.38916194270899446	2.338238471321317	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E09	DB01782	Pyrazolanthrone	0.37707581779652855	2.3359728527471986	<0.0001	<0.0001	NEU
DOSBIO001_NEU_24H:BRD-A19037878:3.33333	DB04297	Trichostatin A	-0.42283191416608534	-2.3289769247453687	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K19540840-001-02-9:10	DB11805	Saracatinib	-0.38941031894415173	-2.32279696840823	<0.0001	<0.0001	NEU
