ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB01247	DB04599	Isocarboxazid	Aniracetam	1.6666666666666665	N	N	True	False
DB00762	DB04599	Irinotecan	Aniracetam	1.5	L	N	False	False
DB01030	DB04599	Topotecan	Aniracetam	1.5	L	N	False	False
DB01247	DB00925	Isocarboxazid	Phenoxybenzamine	1.4375	N	C	False	False
DB08597	DB00925	Dorsomorphin	Phenoxybenzamine	1.3375		C	False	False
DB01247	DB00247	Isocarboxazid	Methysergide	1.3125	N	N	True	False
DB04599	DB07080	Aniracetam	TO-901317	1.2999999999999998	N		False	False
DB01247	DB00875	Isocarboxazid	Flupentixol	1.275	N	N	False	False
DB01247	DB00622	Isocarboxazid	Nicardipine	1.2705882352941178	N	C	False	False
DB04599	DB08175	Aniracetam	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	1.2619047619047619	N		False	False
DB01247	DB04942	Isocarboxazid	Tamibarotene	1.25	N		False	False
DB07997	DB08597	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE	Dorsomorphin	1.25			False	False
DB08597	DB07996	Dorsomorphin	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.25			False	False
DB00773	DB00925	Etoposide	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00925	DB03849	Phenoxybenzamine	Cilomilast	1.2374999999999998	C		False	False
DB00694	DB00925	Daunorubicin	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00925	DB05022	Phenoxybenzamine	Amonafide	1.2374999999999998	C		False	False
DB04149	DB00925	(R)-Rolipram	Phenoxybenzamine	1.2374999999999998		C	False	False
DB00380	DB00925	Dexrazoxane	Phenoxybenzamine	1.2374999999999998	V	C	False	False
DB01030	DB00925	Topotecan	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00762	DB00925	Irinotecan	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00762	DB00247	Irinotecan	Methysergide	1.2125	L	N	False	False
DB01030	DB00247	Topotecan	Methysergide	1.2125	L	N	False	False
DB08597	DB04513	Dorsomorphin	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	1.2000000000000002			False	False
DB04599	DB01388	Aniracetam	Mibefradil	1.193939393939394	N	C	False	False
DB04149	DB02659	(R)-Rolipram	Cholic Acid	1.1853002070393375		A	False	False
DB02659	DB03849	Cholic Acid	Cilomilast	1.1853002070393375	A		False	False
DB00762	DB00875	Irinotecan	Flupentixol	1.1749999999999998	L	N	True	False
DB01030	DB00875	Topotecan	Flupentixol	1.1749999999999998	L	N	True	False
DB08597	DB00875	Dorsomorphin	Flupentixol	1.1749999999999998		N	False	False
DB07859	DB08597	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	Dorsomorphin	1.1666666666666665			False	False
DB11689	DB04599	Selumetinib	Aniracetam	1.1666666666666665		N	False	False
DB08073	DB08597	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	Dorsomorphin	1.1666666666666665			False	False
DB09073	DB04599	Palbociclib	Aniracetam	1.1666666666666665	L	N	False	False
DB08597	DB04599	Dorsomorphin	Aniracetam	1.1666666666666665		N	False	False
DB04599	DB07996	Aniracetam	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.1666666666666665	N		False	False
DB04599	DB04942	Aniracetam	Tamibarotene	1.1666666666666665	N		False	False
DB08756	DB08597	Y-27632	Dorsomorphin	1.1666666666666665			False	False
DB07997	DB04599	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE	Aniracetam	1.1666666666666665		N	False	False
DB08597	DB08162	Dorsomorphin	Fasudil	1.1666666666666665		C	False	False
DB08175	DB00875	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Flupentixol	1.162878787878788		N	False	False
DB04599	DB02659	Aniracetam	Cholic Acid	1.1609523809523807	N	A	False	False
DB07080	DB00875	TO-901317	Flupentixol	1.1607142857142856		N	False	False
DB00380	DB00622	Dexrazoxane	Nicardipine	1.1529411764705884	V	C	False	False
DB00694	DB00622	Daunorubicin	Nicardipine	1.1529411764705884	L	C	False	False
DB00773	DB00622	Etoposide	Nicardipine	1.1529411764705884	L	C	False	False
DB00622	DB05022	Nicardipine	Amonafide	1.1529411764705884	C		False	False
