GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1901740	negative regulation of myoblast fusion	26	0.014582164890633763	6.256963918489437	8.261633309562661e-16	3.328336672645811e-12	11.477772749786075	9.985010017937432e-12	RPLP1, UBA52, RPL9, RPL7A, CFLAR, RPL37, RPL18A, RPL34, RPL37A, RPL8, RPL23, RPL36, RPL27A, RPL17, RPL38, RPL28, RPL5, RPL35, RPL36A, RPL18, RPL13A, RPL13, RPL21, RPL12, RPLP2, RPL27
GO:0031032	actomyosin structure organization	15	0.008412787436904094	5.775659001682557	4.808721399233695e-09	2.9675971356025823e-06	5.527595056782544	5.811820683113843e-05	FRMD5, EPB41, EPB41L3, EPB41L4A, EPB41L1, EPB41L2, LIMCH1, FRMD3, TRPM7, ROCK2, CDC42BPA, CNN3, PHACTR1, ROCK1, TJP1
GO:0051893	regulation of focal adhesion assembly	13	0.007291082445316881	5.775659001682557	5.209940102591272e-08	2.421820618458389e-05	4.615858027707728	0.0006296733607991811	GPM6B, WDPCP, PEAK1, SLK, MACF1, LIMCH1, EFNA5, PTK2, PTPRA, ROCK2, CLASP1, ROCK1, CLASP2
GO:0002181	cytoplasmic translation	42	0.023555804823331465	5.161227192992924	1.6156385820678073e-20	1.952660790287152e-16	15.7093731943473	1.952660790287152e-16	RPS8, RPS17, RPLP1, UBA52, RPS12, RPL7A, RPL9, RPL37, RPL18A, RPL34, RPS20, RPS21, RPS9, RPS14, RPS27, RPS16, RACK1, RPL37A, RPL8, RPL23, RPS18, RPL36, RPL27A, RPL17, RPL38, RPL28, RPL5, RPL35, RPS19, RPS29, RPS23, RPL36A, RPL3, RPL18, RPL13A, RPL13, RPL21, RPL26, RPL12, RPLP2, RPS28, RPL27
GO:0006941	striated muscle contraction	28	0.015703869882220976	4.687491363684394	7.207262182316214e-13	1.088837134193422e-09	8.96303707617698	8.710697073547377e-09	RPLP1, UBA52, RPL9, RPL7A, RPL37, RPL18A, RPL34, RPL37A, RPL8, RPL23, RPL36, RPL27A, RPL17, RPL38, RYR2, RPL28, RPL5, DTNA, RPL35, RPL36A, VPS54, RPL18, RPL13A, RPL13, RPL21, RPL12, RPLP2, RPL27
GO:0007612	learning	24	0.01346045989904655	4.265102032011734	3.2565370457231027e-10	2.811321909614958e-07	6.551089422779234	3.935850673460942e-06	GABRB3, SYT11, CNTNAP2, NLGN4Y, PLCB1, NRXN1, NLGN4X, ATAD1, GRM5, SLC24A2, SYNJ1, PRKN, APP, PPP3CB, CLDN5, MECP2, FYN, PRKAR2B, FGF13, NRXN3, NTRK2, SORCS3, ATP8A1, ATXN1
GO:0060291	long-term synaptic potentiation	20	0.011217049915872126	3.91570101808987	5.1818852136153024e-08	2.421820618458389e-05	4.615858027707728	0.0006262826469175455	CALM3, CALM2, CALM1, VAMP2, NF1, CAMK2B, SLC24A2, NPTN, SNAP25, MECP2, MAPK1, GRIA1, GRIN2B, NTRK2, GRIA3, BRAF, SNCA, CAMK2D, SLC1A1, CALN1
GO:0048812	neuron projection morphogenesis	24	0.01346045989904655	3.7976935901474347	4.910801151088172e-09	2.9675971356025823e-06	5.527595056782544	5.935194271205165e-05	GABRB3, KIRREL3, CNTNAP2, NRXN1, PAK1, EPB41L3, DTNBP1, MAP4K4, NEGR1, LRRK2, TRIO, NCKAP1, VPS54, SHTN1, TAOK3, PPP1R12A, DICER1, GAS7, NLGN1, SRGAP2, TNIK, GPM6A, ATP9A, MAP2K1
GO:0050804	modulation of chemical synaptic transmission	35	0.01962983735277622	3.3974464715779744	5.539478213384471e-11	6.695013368696472e-08	7.174248551445801	6.695013368696471e-07	PTPRD, GRIA4, GRM3, GNAI2, NLGN4X, ARHGAP44, EPHA7, DLGAP1, BTBD9, GRM5, DLGAP2, GRID1, PLPPR4, NPTN, PRKN, PPP3CA, CACNA1A, UBE3A, LRRK2, GRIA1, FYN, PAFAH1B1, PRKAR2B, JAK2, GRIK2, GRIA3, CDKL5, NLGN1, CACNA1B, EIF4EBP2, PRKACA, LRRC4C, GRID2, RTN4, GRIA2
GO:0010976	positive regulation of neuron projection development	32	0.0179472798653954	3.2711697000679973	1.0580932033893343e-09	8.096324387195539e-07	6.09171209972034	1.2788114456163494e-05	CNTN1, CFLAR, NTRK3, ABL2, APOE, ITGA6, CAMK2B, RAP1A, LRRC7, SERPINI1, DMD, SETX, SHOC2, NPTN, RAPGEF1, ZNF804A, FBXO38, KAT2B, NEGR1, ADNP, FUT9, FYN, KIDINS220, RIT2, RAPGEF2, TENM3, NTRK2, NDRG4, MAGI2, TMEM30A, DISC1, SCARB2
