ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB00694	DB00393	Daunorubicin	Nimodipine	1.0833333333333335	L	C	False	False
DB03496	DB00694	Alvocidib	Daunorubicin	1.0		L	False	False
DB00694	DB08895	Daunorubicin	Tofacitinib	1.0	L	L	False	False
DB01030	DB08911	Topotecan	Trametinib	1.0	L	L	False	False
DB08911	DB00694	Trametinib	Daunorubicin	1.0	L	L	False	False
DB11689	DB08895	Selumetinib	Tofacitinib	1.0		L	False	False
DB08911	DB08895	Trametinib	Tofacitinib	1.0	L	L	False	False
DB11689	DB00694	Selumetinib	Daunorubicin	1.0		L	False	False
DB01030	DB11689	Topotecan	Selumetinib	1.0	L		False	False
DB00694	DB00824	Daunorubicin	Enprofylline	1.0	L		False	False
DB01030	DB00824	Topotecan	Enprofylline	1.0	L		False	False
DB00694	DB00458	Daunorubicin	Imipramine	0.963141025641026	L	N	False	False
DB11689	DB00393	Selumetinib	Nimodipine	0.9166666666666665		C	False	False
DB06595	DB11689	Midostaurin	Selumetinib	0.9166666666666665	L		False	False
DB06595	DB08911	Midostaurin	Trametinib	0.9166666666666665	L	L	False	False
DB08911	DB00393	Trametinib	Nimodipine	0.9166666666666665	L	C	False	False
DB01030	DB02546	Topotecan	Vorinostat	0.8999999999999999	L	L	True	False
DB11689	DB00783	Selumetinib	Estradiol	0.8968253968253967		G	False	False
DB08911	DB00783	Trametinib	Estradiol	0.8968253968253967	L	G	False	False
DB00694	DB01115	Daunorubicin	Nifedipine	0.8875000000000002	L	C	False	False
DB01030	DB00458	Topotecan	Imipramine	0.8862179487179489	L	N	False	False
DB08911	DB00824	Trametinib	Enprofylline	0.875	L		False	False
DB11689	DB00824	Selumetinib	Enprofylline	0.875			False	False
DB01030	DB08059	Topotecan	Wortmannin	0.875	L		True	False
DB00824	DB08895	Enprofylline	Tofacitinib	0.8500000000000001		L	False	False
DB08911	DB00458	Trametinib	Imipramine	0.8477564102564106	L	N	False	False
DB11689	DB00458	Selumetinib	Imipramine	0.8477564102564106		N	False	False
DB01030	DB02424	Topotecan	Geldanamycin	0.8333333333333335	L		False	False
DB01030	DB00393	Topotecan	Nimodipine	0.8333333333333335	L	C	False	False
DB08911	DB00499	Trametinib	Flutamide	0.8333333333333335	L	L	False	False
DB02424	DB00694	Geldanamycin	Daunorubicin	0.8333333333333335		L	False	False
DB00499	DB08895	Flutamide	Tofacitinib	0.8333333333333335	L	L	False	False
DB00694	DB00499	Daunorubicin	Flutamide	0.8333333333333335	L	L	False	False
DB01030	DB00499	Topotecan	Flutamide	0.8333333333333335	L	L	False	False
DB11689	DB00499	Selumetinib	Flutamide	0.8333333333333335		L	False	False
DB00393	DB08895	Nimodipine	Tofacitinib	0.8214285714285716	C	L	False	False
DB08911	DB01115	Trametinib	Nifedipine	0.7875000000000001	L	C	False	False
DB11689	DB01115	Selumetinib	Nifedipine	0.7875000000000001		C	False	False
DB11689	DB01065	Selumetinib	Melatonin	0.7833333333333334		N	False	False
DB08911	DB01065	Trametinib	Melatonin	0.7833333333333334	L	N	False	False
DB01030	DB04216	Topotecan	Quercetin	0.7694763729246488	L		False	False
DB08911	DB04216	Trametinib	Quercetin	0.7694763729246488	L		False	False
DB11689	DB04216	Selumetinib	Quercetin	0.7694763729246488			False	False
DB00694	DB04216	Daunorubicin	Quercetin	0.7694763729246488	L		False	False
DB03496	DB00393	Alvocidib	Nimodipine	0.75		C	False	False
DB01782	DB00694	Pyrazolanthrone	Daunorubicin	0.75		L	False	False
DB01782	DB08895	Pyrazolanthrone	Tofacitinib	0.75		L	False	False
DB01030	DB01782	Topotecan	Pyrazolanthrone	0.75	L		False	False
DB04216	DB08895	Quercetin	Tofacitinib	0.7461170848267622		L	False	False
DB01030	DB00820	Topotecan	Tadalafil	0.7333333333333332	L	C, G	False	False
DB08059	DB02424	Wortmannin	Geldanamycin	0.7083333333333335			False	False
DB00694	DB08080	Daunorubicin	Latrunculin B	0.7000000000000002	L		False	False
DB01030	DB01065	Topotecan	Melatonin	0.7	L	N	False	False
DB00458	DB08895	Imipramine	Tofacitinib	0.6994047619047621	N	L	False	False
DB04216	DB00824	Quercetin	Enprofylline	0.6877104377104377			False	False
DB01030	DB01115	Topotecan	Nifedipine	0.6875	L	C	False	False
DB08895	DB00210	Tofacitinib	Adapalene	0.6794871794871797	L	D	False	False
DB02546	DB08895	Vorinostat	Tofacitinib	0.6777777777777776	L	L	False	False
DB02546	DB00458	Vorinostat	Imipramine	0.6708333333333334	L	N	True	False
DB01030	DB08895	Topotecan	Tofacitinib	0.6666666666666667	L	L	False	False
DB06595	DB00694	Midostaurin	Daunorubicin	0.6666666666666665	L	L	False	False
DB01782	DB06595	Pyrazolanthrone	Midostaurin	0.6666666666666665		L	False	False
DB00197	DB08895	Troglitazone	Tofacitinib	0.6666666666666665	A	L	False	False
DB01030	DB00197	Topotecan	Troglitazone	0.6666666666666665	L	A	False	False
DB06595	DB00824	Midostaurin	Enprofylline	0.6666666666666665	L		False	False
DB08911	DB00210	Trametinib	Adapalene	0.6515151515151516	L	D	False	False
DB11689	DB00210	Selumetinib	Adapalene	0.6515151515151516		D	False	False
DB01030	DB00210	Topotecan	Adapalene	0.6515151515151516	L	D	False	False
DB02546	DB00393	Vorinostat	Nimodipine	0.6499999999999999	L	C	True	False
DB00824	DB02546	Enprofylline	Vorinostat	0.6499999999999999		L	False	False
DB08059	DB00458	Wortmannin	Imipramine	0.6458333333333335		N	False	False
DB01030	DB00482	Topotecan	Celecoxib	0.6428571428571428	L	C, L, G, M	False	False
DB00482	DB00694	Celecoxib	Daunorubicin	0.6428571428571428	C, L, G, M	L	False	False
DB01782	DB00393	Pyrazolanthrone	Nimodipine	0.6428571428571428		C	False	False
DB00499	DB00458	Flutamide	Imipramine	0.6412037037037039	L	N	False	False
DB00458	DB00393	Imipramine	Nimodipine	0.6384803921568629	N	C	True	False
DB06595	DB02546	Midostaurin	Vorinostat	0.6348484848484848	L	L	False	False
DB03496	DB00824	Alvocidib	Enprofylline	0.6323529411764706			False	False
DB08059	DB00393	Wortmannin	Nimodipine	0.625		C	False	False
DB00824	DB00393	Enprofylline	Nimodipine	0.625		C	False	False
