# Reference distribution mean: 0.7113337462324333 and standard deviation: 1.4377113460572728
# Threshold: 0.53
# 14.64% of reference distribution below threshold, 19.61% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB09149	-7.859026979751538	-5.961113647386185	Florbetapir (18F)
DB09151	-7.859026979751538	-5.961113647386185	Flutemetamol (18F)
DB09148	-7.859026979751538	-5.961113647386185	Florbetaben (18F)
DB00746	-7.859026979751538	-5.961113647386185	Deferoxamine
DB05150	-7.859026979751538	-5.961113647386185	CAD106
DB03754	-7.859026979751538	-5.961113647386185	Tromethamine
DB12274	-7.859026979751538	-5.961113647386185	Aducanumab
DB05846	-7.859026979751538	-5.961113647386185	Mito-4509
DB02235	-7.859026979751538	-5.961113647386185	L-methionine (R)-S-oxide
DB05938	-7.859026979751538	-5.961113647386185	Edonerpic
DB05088	-7.859026979751538	-5.961113647386185	Tetrathiomolybdate
DB06782	-7.859026979751538	-5.961113647386185	Dimercaprol
DB11942	-7.247792581767846	-5.5359696157556915	Selinexor
DB07317	-7.00397413672268	-5.366381717799816	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB07325	-7.00397413672268	-5.366381717799816	N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE
DB07324	-7.00397413672268	-5.366381717799816	3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE
DB07601	-7.00397413672268	-5.366381717799816	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB06961	-7.00397413672268	-5.366381717799816	5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide
DB06956	-7.00397413672268	-5.366381717799816	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB06957	-7.00397413672268	-5.366381717799816	4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB12442	-7.00397413672268	-5.366381717799816	Alvespimycin
DB06958	-7.00397413672268	-5.366381717799816	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE
DB03899	-7.00397413672268	-5.366381717799816	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
DB04505	-7.00397413672268	-5.366381717799816	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB08788	-7.00397413672268	-5.366381717799816	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
DB08786	-7.00397413672268	-5.366381717799816	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine
DB03137	-7.00397413672268	-5.366381717799816	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine
DB06964	-7.00397413672268	-5.366381717799816	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE
DB06969	-7.00397413672268	-5.366381717799816	2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-N-ethylthieno[2,3-d]pyrimidine-6-carboxamide
DB08194	-7.00397413672268	-5.366381717799816	4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine
DB04254	-7.00397413672268	-5.366381717799816	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
DB07319	-7.00397413672268	-5.366381717799816	6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE
DB08443	-7.00397413672268	-5.366381717799816	2-(1H-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol
DB08442	-7.00397413672268	-5.366381717799816	4-{[(2R)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol
DB08436	-7.00397413672268	-5.366381717799816	8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-
DB03809	-7.00397413672268	-5.366381717799816	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB08789	-7.00397413672268	-5.366381717799816	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB08787	-7.00397413672268	-5.366381717799816	4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine
DB04054	-7.00397413672268	-5.366381717799816	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB08557	-7.00397413672268	-5.366381717799816	2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide
DB03504	-7.00397413672268	-5.366381717799816	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
