Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP007_NPC.CAS9_24H:L11	DB11836	Sapanisertib	0.5700102100214958	1.989751458803936	<0.0001	<0.0001	NPC.CAS9
CPC016_NEU_24H:BRD-K08547377-003-03-2:10	DB00762	Irinotecan	-0.5515383054061493	-1.9835451554933463	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:A03	DB02546	Vorinostat	0.5366946204432376	1.975512284114634	<0.0001	<0.0001	JURKAT
CPC006_PL21_6H:BRD-K13049116-001-01-6:10	DB15399	BMS-754807	0.5334671794767902	1.930652594478568	<0.0001	<0.0001	PL21
CPC014_NEU_24H:BRD-A74904029-001-05-7:10	DB08473	Dichlororibofuranosylbenzimidazole	-0.506094949846827	-1.9201741951342735	0.0001996007984031936	0.1846984042905383	NEU
LJP008_NPC.CAS9_24H:I08	DB11830	Mocetinostat	0.5368768835695366	2.008947549160845	0.0002555583950932788	0.1846984042905383	NPC.CAS9
LJP007_NPC_24H:K21	DB01590	Everolimus	0.5578265260910739	1.9562523025551541	0.0003081664098613251	0.1846984042905383	NPC
LPROT003_NPC_6H:J05	DB08881	Vemurafenib	-0.5276352014038225	-1.876053867031111	0.00033846674564224065	0.1846984042905383	NPC
NMH002_NPC_24H:BRD-K52313696-001-08-1:10	DB12291	Tacedinaline	0.5120206356983358	1.93958213184568	0.0003428767358134751	0.1846984042905383	NPC
LJP007_NEU_24H:A16	DB12742	Amuvatinib	-0.5260093735678457	-1.898176020453854	0.0003436426116838488	0.1846984042905383	NEU
LJP008_NPC_24H:K10	DB11962	GSK-1059615	0.5362969860084965	1.9354963037719881	0.0003641660597232338	0.1846984042905383	NPC
CPC013_NEU_24H:BRD-K99616396-316-01-2:10	DB05575	Motesanib	0.5195270498234792	1.8609674577290505	0.0005184929139301763	0.24105599723470444	NEU
CPC006_SKM1_6H:BRD-A46335897-003-05-4:6.23	DB01069	Promethazine	0.5313639226947634	1.8147066770791285	0.000639467962655071	0.2595940208224278	SKM1
CPC013_NEU_24H:BRD-K77908580-001-04-7:10	DB11841	Entinostat	0.48313285846734355	1.849441206814554	0.0006927606511950121	0.2595940208224278	NEU
LJP007_NPC_24H:M16	DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE	0.5200727478399607	1.8733384111748876	0.0006979584714709475	0.2595940208224278	NPC
AML001_U937_24H:BRD-K93754473:0.49846	DB00675	Tamoxifen	0.49247843714424777	1.9049986954686375	0.0008094981111710739	0.28226187263896385	U937
CPC016_NEU_24H:BRD-K47598052-001-06-7:10	DB01809	1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	0.4676317863004923	1.8508032772170078	0.0010770059235325794	0.3200925642594859	NEU
LJP008_NPC.TAK_24H:A10	DB07232	Veliparib	-0.5107041442042268	-1.8702903096039774	0.0011196118678857996	0.3200925642594859	NPC.TAK
CPC013_NEU_24H:BRD-K16621777-001-01-9:10	DB12078	Enobosarm	0.49475396698429586	1.8584886224252553	0.0011420740063956144	0.3200925642594859	NEU
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.5276034776703555	1.9009238949305993	0.001178318931657502	0.3200925642594859	NPC
KHW001_SKM1_6H:BRD-K33240821-001-01-3:10	DB06809	Plerixafor	0.4436676403742993	1.7703271511921475	0.0013085579691180318	0.3200925642594859	SKM1
NMH002_NPC_24H:BRD-K23984367-075-10-3:10	DB15414	CM-4307	0.5059994241913663	1.8250541194541772	0.0013679890560875513	0.3200925642594859	NPC
LJP009_NPC_24H:O21	DB07232	Veliparib	0.5062943226447072	1.9301629484394622	0.001368738023542294	0.3200925642594859	NPC
LJP009_NPC.CAS9_24H:I16	DB12146	Rigosertib	0.4962202633300618	1.8459279958559787	0.0014447387430772936	0.3200925642594859	NPC.CAS9
CPC006_U937_6H:BRD-K15563106-001-08-1:177.6	DB07810	Phloretin	0.4971897232392528	1.7875332386849005	0.0015660592255125284	0.3200925642594859	U937
LJP009_NPC_24H:M15	DB06314	SGX-523	0.4876559978929081	1.8954424124933247	0.0016313213703099511	0.3200925642594859	NPC
CPC014_NEU_24H:BRD-K52751261-001-01-2:10	DB16108	TAK-715	0.48463477644226544	1.83644712899012	0.0017141632740518534	0.3200925642594859	NEU
CPC016_NEU_24H:BRD-K62996583-001-03-8:10	DB13766	Lidoflazine	-0.466118533740869	-1.7663357224405694	0.0017322444939371442	0.3200925642594859	NEU
CPC015_NPC_24H:BRD-K63550407-001-08-5:10	DB00199	Erythromycin	0.4443222183383448	1.8298209281367661	0.001771165426850868	0.3200925642594859	NPC
LJP009_NPC.CAS9_24H:O02	DB07101	PD-0325901	0.4913677083374338	1.843736633955577	0.0019020446980504042	0.3200925642594859	NPC.CAS9
NMH002_NEU_24H:BRD-A48430263-001-05-1:10	DB01132	Pioglitazone	-0.4958265203129844	-1.7812724510721953	0.001939655172413793	0.3200925642594859	NEU
LJP007_NPC.TAK_24H:E03	DB11743	Ipatasertib	0.4932412723823335	1.8041084558076301	0.0019584802193497847	0.3200925642594859	NPC.TAK
LJP009_NPC.CAS9_24H:F02	DB11962	GSK-1059615	0.5044556579878074	1.7711029689635127	0.001979594944419065	0.3200925642594859	NPC.CAS9
LJP007_JURKAT_24H:D24	DB06616	Bosutinib	0.4744702383904873	1.7858644455168908	0.0019942388654996678	0.3200925642594859	JURKAT
CPC006_SKM1_6H:BRD-A13084692-001-04-1:10	DB08607	(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE	0.4975262410521636	1.8235909829409103	0.002044989775051125	0.3200925642594859	SKM1
CPC006_SKM1_6H:BRD-U94846492-000-01-1:10	DB00908	Quinidine	0.49510468054635837	1.7657728690709793	0.0021262675825973174	0.3200925642594859	SKM1
CPC006_WSUDLCL2_6H:BRD-K58550667-001-01-2:0.08	DB12731	Daporinad	-0.48677183910364136	-1.753924370673082	0.0021436227224008574	0.3200925642594859	WSUDLCL2
CPC015_NPC_24H:BRD-A01593789-001-02-3:10	DB15903	Chlormadinone acetate	0.4775542180323952	1.7478390868358014	0.002180232558139535	0.3200925642594859	NPC
LJP007_NEU_24H:P14	DB05294	Vandetanib	-0.482595910942994	-1.8179275733591087	0.002289901534234028	0.32757335024337547	NEU
AML001_U937_6H:BRD-K43389675:10	DB00694	Daunorubicin	0.4794672279319168	1.7300454661769562	0.0025177025963808025	0.3495614035087719	U937
PCLB001_JURKAT_6H:BRD-K07572174-001-22-0:10	DB11672	Curcumin	0.47812779225932067	1.732028717485468	0.002589095339628389	0.3495614035087719	JURKAT
LJP009_NPC.TAK_24H:G10	DB08521	4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine	0.4821253288708052	1.7688708813719194	0.002631578947368421	0.3495614035087719	NPC.TAK
LJP007_JURKAT_24H:C05	DB11800	Tivozanib	0.46754498258015215	1.7484320098427615	0.002976190476190476	0.38531510010400416	JURKAT
NMH002_NPC_6H:BRD-K93754473-048-14-5:10	DB00675	Tamoxifen	0.4829084767682637	1.74790634307324	0.003115264797507788	0.38531510010400416	NPC
NMH002_NEU_6H:BRD-K79602928-003-15-7:10	DB00331	Metformin	0.4883091689824372	1.703525234208739	0.003185595567867036	0.38531510010400416	NEU
CPC006_NOMO1_6H:BRD-K50128260-001-01-6:160	DB00203	Sildenafil	-0.4891429338424349	-1.7352223265998836	0.0032196692521586417	0.38531510010400416	NOMO1
CPC006_THP1_6H:BRD-K31342827-001-05-4:12.12	DB03777	Bisindolylmaleimide I	-0.48481093699064903	-1.7644285464349592	0.003381986472054112	0.38531510010400416	THP1
LJP007_JURKAT_24H:K07	DB11962	GSK-1059615	-0.4589430710833675	-1.7129506126908296	0.0034497628288055198	0.38531510010400416	JURKAT
LJP009_NEU_24H:I03	DB11798	Tanzisertib	-0.4805439669516257	-1.757746189550244	0.0034934497816593887	0.38531510010400416	NEU
NMH002_NPC_6H:BRD-K32107296-001-11-0:10	DB00853	Temozolomide	-0.4736179216662557	-1.7463917387429009	0.0036283007458173754	0.38531510010400416	NPC
LJP007_NPC.TAK_24H:E01	DB11743	Ipatasertib	0.46108572234609285	1.691341859995308	0.0037283190144269734	0.38531510010400416	NPC.TAK
LJP009_NPC.CAS9_24H:O01	DB07101	PD-0325901	0.48267455329223596	1.739817883666172	0.0037579113924050634	0.38531510010400416	NPC.CAS9
CPC016_NEU_24H:BRD-K28307902-001-09-2:10	DB00499	Flutamide	0.46232865549258145	1.7317200298960338	0.003770237303171435	0.38531510010400416	NEU
