# Reference distribution mean: 1.8083714470466232 and standard deviation: 0.48936367689000826
# Threshold: 0.91
# 0.55% of reference distribution below threshold, 0.36% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB06451	-6.467698726104353	-16.911901238250557	Aprinocarsen
DB04633	-4.709530201312334	-13.31913657707773	N-ethyl-N-[3-(propylamino)propyl]propane-1,3-diamine
DB05013	-2.2338493630521765	-8.260157018166572	Ingenol mebutate
DB06641	-1.1558995753681176	-6.057398949699744	Perifosine
DB05383	-0.5036198355056166	-4.724484860105165	Pimagedine
DB05412	-0.36358682406337683	-4.438331600157116	Talmapimod
DB01440	-0.28247467873076837	-4.27258136334328	gamma-Hydroxybutyric acid
DB09096	-0.11692468152608826	-3.934284908124577	Benzoyl peroxide
DB06595	-0.07794978768405884	-3.8546408812329176	Midostaurin
DB11693	-0.07316923505870232	-3.844871965289385	Voclosporin
DB01028	0.22917119778595488	-3.2270483565448953	Methoxyflurane
DB14002	0.2553835456492745	-3.173484209671748	D-alpha-Tocopherol acetate
DB11752	0.31653765923695587	-3.0485176122807727	Bryostatin 1
DB00030	0.3817915093283369	-2.9151733262763826	Insulin human
DB01236	0.39583786445262154	-2.8864700207643113	Sevoflurane
DB00675	0.4532301273895647	-2.7691906523778362	Tamoxifen
DB01189	0.4821467409593899	-2.7101004196217082	Desflurane
DB14001	0.5046144676993781	-2.664188293730439	alpha-Tocopherol succinate
DB00163	0.7532301273895647	-2.156149647972784	Vitamin E
DB02482	0.787482790473772	-2.08615535803715	Phosphonothreonine
DB00783	0.8046720242876466	-2.051029674163113	Estradiol
DB00144	0.9532301273895648	-1.7474556450360825	Phosphatidyl serine
DB04464	0.9550283287692594	-1.743781074436314	N-Formylmethionine
DB02008	1.0	-1.6518828127660907	1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine
DB02081	1.0	-1.6518828127660907	Bis-Benzamidine
DB03693	1.0	-1.6518828127660907	N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide
DB03686	1.0	-1.6518828127660907	S-(4-nitrobenzyl)glutathione
