GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0000816	Abnormality of Krebs cycle metabolism	6	0.0821917808219178	211.60273972602738	4.474255855693932e-14	4.6026669987523483e-10	9.336990445013873	4.602666998752348e-10	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6, MT-ND3
HP:0100611	Multiple glomerular cysts	6	0.0821917808219178	169.2821917808219	3.3369996880294043e-13	1.7163857895379243e-09	8.765385089776055	3.432771579075848e-09	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6, MT-ND3
HP:0031434	Abnormal prosody	6	0.0821917808219178	153.89290161892902	7.320924357681106e-13	2.510344962248851e-09	8.600266595289023	7.531034886746554e-09	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6, MT-ND3
HP:0001112	Leber optic atrophy	5	0.0684931506849315	141.06849315068493	1.2094116062975868e-10	1.1310197449075705e-07	6.946529813262385	1.2441217193983276e-06	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6
HP:0012429	Aplasia/Hypoplasia of the cerebral white matter	4	0.0547945205479452	125.39421613394217	1.8052998246437667e-08	6.190373098703476e-06	5.2082831749176774	0.0001857111929611043	MT-ND4, MT-CO2, MT-ND5, MT-ND1
HP:0007768	Central retinal vessel vascular tortuosity	5	0.0684931506849315	117.55707762557077	3.780120146665067e-10	2.77757828205311e-07	6.5563336922486215	3.888609594874354e-06	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6
HP:0032036	Reduced contrast sensitivity	5	0.0684931506849315	117.55707762557077	3.780120146665067e-10	2.77757828205311e-07	6.5563336922486215	3.888609594874354e-06	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6
HP:0003572	Low plasma citrulline	6	0.0821917808219178	112.85479452054794	7.842896990405158e-12	1.6135976268059572e-08	7.792204753532174	8.067988134029787e-08	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6, MT-ND3
HP:0000576	Centrocecal scotoma	5	0.0684931506849315	108.51422550052686	6.125794898070037e-10	3.9385032572779047e-07	6.404668791018015	6.3016052116446474e-06	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6
HP:0004309	Ventricular preexcitation	5	0.0684931506849315	108.51422550052686	6.125794898070037e-10	3.9385032572779047e-07	6.404668791018015	6.3016052116446474e-06	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6
HP:0000091	Abnormal renal tubule morphology	6	0.0821917808219178	105.80136986301369	1.2513640199687323e-11	2.1454636122363914e-08	7.668478846845108	1.287278167341835e-07	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6, MT-ND3
HP:0007327	Mixed demyelinating and axonal polyneuropathy	4	0.0547945205479452	102.59526774595268	4.7028610162415224e-08	1.343842535391015e-05	4.871651616711645	0.0004837833127407654	MT-ND4, MT-CO2, MT-ND5, MT-ND1
HP:0004885	Episodic respiratory distress	6	0.0821917808219178	99.5777598710717	1.928533066365094e-11	2.8341170933853887e-08	7.54758221055976	1.983881965369772e-07	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6, MT-ND3
HP:0012766	Widened cerebral subarachnoid space	4	0.0547945205479452	94.04566210045662	7.035390923628955e-08	1.8557196520864376e-05	4.7314876330461475	0.0007237306643137106	MT-ND4, MT-CO2, MT-ND5, MT-ND1
HP:0003481	Segmental peripheral demyelination/remyelination	6	0.0821917808219178	94.04566210045662	2.88473257053033e-11	3.7094054941306886e-08	7.430695689120125	2.9675243953045503e-07	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6, MT-ND3
HP:0020120	Retinal nerve fiber edema	5	0.0684931506849315	94.04566210045661	1.4214982791997632e-09	8.123862665626647e-07	6.090237426978784	1.4622952798127964e-05	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6
HP:0007067	Distal peripheral sensory neuropathy	4	0.0547945205479452	86.8113804004215	1.013500557902818e-07	2.4470808348941336e-05	4.611351684277706	0.0010425880239146288	MT-ND4, MT-CO2, MT-ND5, MT-ND1
HP:0007183	Focal T2 hyperintense basal ganglia lesion	6	0.0821917808219178	80.6105675146771	8.361949663823627e-11	8.601937619175366e-08	7.065403711252532	8.601937619175365e-07	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6, MT-ND3
HP:0007159	Fluctuations in consciousness	4	0.0547945205479452	80.6105675146771	1.4150996617900925e-07	3.0972617491137616e-05	4.50902209093245	0.0014557130220834683	MT-ND4, MT-CO2, MT-ND5, MT-ND1
HP:0005157	Concentric hypertrophic cardiomyopathy	4	0.0547945205479452	75.2365296803653	1.924512272334854e-07	4.1244703636476335e-05	4.384631812668795	0.0019797457745508646	MT-ND4, MT-CO2, MT-ND5, MT-ND1
HP:0200125	Mitochondrial respiratory chain defects	5	0.0684931506849315	74.24657534246575	5.44390797424423e-09	2.2400592532420158e-06	5.649740493712402	5.600148133105039e-05	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6
HP:0001427	Mitochondrial inheritance	6	0.0821917808219178	73.60095294818345	1.546905411172987e-10	1.3260846637280428e-07	6.877428747563127	1.5913015964736517e-06	MT-ND1, MT-ND4, MT-ND2, MT-CO2, MT-ND5, MT-ATP6
HP:0031546	Cardiac conduction abnormality	7	0.0958904109589041	70.53424657534246	5.836559561939024e-12	1.5010172053416686e-08	7.823614329647389	6.004068821366674e-08	MT-ND1, MT-ND4, MT-ND2, MT-CO2, MT-ND5, MT-ATP6, MT-ND3
HP:0007763	Retinal telangiectasia	5	0.0684931506849315	67.17547292889759	9.474503698642996e-09	3.6097859091829817e-06	5.442518554664316	9.746421954794051e-05	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6
HP:0025268	Stuttering	4	0.0547945205479452	62.69710806697108	4.279718645595999e-07	8.466435712931932e-05	4.072299384946254	0.004402546570724604	MT-ND4, MT-CO2, MT-ND5, MT-ND1
HP:0100027	Recurrent pancreatitis	4	0.0547945205479452	59.3972602739726	5.406459863156951e-07	9.931473680767064e-05	4.002986303978047	0.005561625261229556	MT-ND4, MT-CO2, MT-ND5, MT-ND1
HP:0001716	Wolff-Parkinson-White syndrome	5	0.0684931506849315	58.778538812785385	1.962704924831517e-08	6.513014697336069e-06	5.186217941791409	0.00020190345561741816	MT-ND1, MT-ND4, MT-CO2, MT-ND5, FNIP1
HP:0012841	Retinal vascular tortuosity	5	0.0684931506849315	52.24759005580923	3.697195247219581e-08	1.118619044357289e-05	4.951317791132501	0.0003803304750814783	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6
HP:0008316	Abnormal mitochondria in muscle tissue	7	0.0958904109589041	50.63997190024587	7.351153662858327e-11	8.402368636647067e-08	7.075598268602641	7.562131772982361e-07	MT-ND1, MT-ND4, MT-ND2, MT-CO2, MT-ND5, MT-ATP6, MT-ND3
HP:0002883	Hyperventilation	6	0.0821917808219178	49.78887993553585	1.9985883322042593e-09	9.345217351538735e-07	6.0294105933246165	2.0559478173385217e-05	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6, MT-ND3
HP:0003648	Lacticaciduria	6	0.0821917808219178	49.78887993553585	1.9985883322042593e-09	9.345217351538735e-07	6.0294105933246165	2.0559478173385217e-05	MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ATP6, MT-ND3
