term	id	nGeneIds	geneSetFdaCountsById.nodes	geneSetHash	pvalue	FDR	oddsRatio	nOverlap	Cell_Line	DrugBank_Name	DrugBank_ID
REP.B002_A375_24H_G23_bevirimat-dimeglumine_0.03uM up	059fc830-be8f-4d11-b843-7c264742c58a	250	[{'approved': False, 'count': 216}]	9ca7808e-dfc7-5896-aa7c-9ab1ec05fa28	3.626736035884965e-08	0.004056637236458649	10.074666666666666	10	24H	bevirimat-dimeglumine	DB09415
CPC006_TYKNU_6H_A16_tyrphostin-1_10uM down	aefdba9c-e4a1-42e1-b410-683a70045426	250	[{'approved': False, 'count': 480}]	f622a838-6e5a-50f5-ae91-ac1f92f65087	3.626736035884965e-08	0.004056637236458649	10.074666666666666	10	6H	tyrphostin-1	DB08463
LJP006_HS578T_3H_E23_PHA-793887_0.12uM down	0c503a36-1fd5-4a57-99c5-dddcf309ce30	250	[{'approved': False, 'count': 1410}]	889b6357-4a46-5bdb-93f2-d5f2f1b28ae8	3.626736035884965e-08	0.004056637236458649	10.074666666666666	10	3H	PHA-793887	DB12686
REP.A002_HELA_3H_J02_bendamustine_3.33uM down	72b0479b-6df2-4f40-a857-f85b4e11322e	250	[{'approved': True, 'count': 324}]	208a7cfe-0e6f-5892-86d7-150191337fb3	3.626736035884965e-08	0.004056637236458649	10.074666666666666	10	3H	bendamustine	DB06769
AICHI002_OCILY3_4H_I06_LJI-308_0.01uM up	0a3b65d1-70e5-4040-a453-54154cfd51f8	250	[{'approved': False, 'count': 192}]	a890dc33-aa6b-56ca-a895-7c9ff7db0bac	3.626736035884965e-08	0.004056637236458649	10.074666666666666	10	4H	LJI-308	DB05509
CPC004_HA1E_6H_F17_chloroquine_10uM down	a3fb6f60-3211-408a-8439-ca9f69aa7e6b	250	[{'approved': True, 'count': 566}]	5ed4be40-82ac-53d4-b8b8-35d2ea802fb0	3.626736035884965e-08	0.004056637236458649	10.074666666666666	10	6H	chloroquine	DB00608
CPC014_HCC515_6H_P21_celastrol_10uM down	81683c3f-1184-4c12-9708-6748d9cc5d31	250	[{'approved': False, 'count': 392}]	9cf531b6-eb1a-59aa-8d2b-902fdc58fabc	3.626736035884965e-08	0.004056637236458649	10.074666666666666	10	6H	celastrol	DB04573
REP.B008_THP1_24H_O12_phenprocoumon_0.01uM up	1a6d0f77-eb66-4fe0-8f2f-ee970bb855f1	250	[{'approved': False, 'count': 238}]	ecdc4280-b3bb-5cad-beca-557cdb31b444	3.626736035884965e-08	0.004056637236458649	10.074666666666666	10	24H	phenprocoumon	DB00946
REP.B011_HEK293_24H_J05_tizanidine_0.03uM down	460ffb34-cae1-4bb3-bbdc-82cee5d527eb	250	[{'approved': True, 'count': 352}]	cae90e8c-151c-522d-9075-e1d727820a40	3.626736035884965e-08	0.004056637236458649	10.074666666666666	10	24H	tizanidine	DB00697
REP.A006_HELA_24H_P06_sorafenib_0.04uM up	37cf6a4f-c1d6-47c5-89ea-2f666d61d666	250	[{'approved': True, 'count': 1382}]	c1990ed7-69b2-5a44-9e33-43f8f6a33a3f	3.626736035884965e-08	0.004056637236458649	10.074666666666666	10	24H	sorafenib	DB00398
