GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0006376	mRNA splice site recognition	17	0.0037519311410284706	3.863738689031119	3.677263246216115e-09	1.0836197758288162e-06	5.96512307778527	4.4443403593767965e-05	PTBP2, CELF5, YTHDC1, SETX, SRSF10, CELF4, LUC7L, SRSF1, SRSF5, LUC7L2, LUC7L3, CELF3, CELF1, KHDC4, CELF2, SRSF6, CELF6
GO:1901740	negative regulation of myoblast fusion	36	0.00794526594570735	3.4091811962039285	7.5401423100269e-15	6.075343997265675e-12	11.216429126472917	9.113015995898512e-11	RPL21, RPL37, RPL6, RPL32, RPL34, RPL4, RPL15, RPL8, RPL23A, CFLAR, UBA52, RPL13A, RPL19, RPL30, RPL38, RPL37A, RPLP1, RPL17, RPL35A, RPL10, RPL31, RPL13, RPL7, RPL35, RPL36, RPL24, RPL28, RPL27A, RPL11, RPL23, RPL14, RPL5, RPL18, RPLP2, RPL7A, RPL9
GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	18	0.003972632972853675	3.4091811962039285	4.734710792110003e-08	1.1004560506431057e-05	4.958427297358083	0.0005722371463344149	PIKFYVE, PIK3R4, SYNJ2, PIK3C2A, FIG4, PIK3CG, OCRL, PTPRQ, UVRAG, SYNJ1, PIK3R3, ATG14, PIK3CB, INPP4A, ATM, PIK3C3, PIK3CA, INPP4B
GO:0000380	alternative mRNA splicing, via spliceosome	19	0.004193334804678879	3.3217662937371615	4.0042342799269724e-08	9.489250099450468e-06	5.022768106912945	0.0004839517550719739	SLU7, DHX9, CDK13, HNRNPUL2, BCLAF3, SFSWAP, RSRC1, DDX17, NCBP2, HNRNPM, SFPQ, RBM17, DDX5, NCBP1, CELF4, SRSF1, STRAP, SRSF6, HNRNPU
GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	20	0.004414036636504083	3.134879260877175	8.349416669037555e-08	1.8687231455923684e-05	4.7284550352973005	0.001009110498619879	EPS8, GRID1, EFNB2, ERBIN, DLG4, GRID2, TFRC, DLG3, ATG5, RAP2A, FRRS1L, HSP90AA1, PRKN, CTNND1, PRKCI, DLG2, DLG1, SNX27, ALS2, NSG2
GO:0002181	cytoplasmic translation	64	0.014124917236813066	3.0948595256319353	1.3560265132152748e-21	3.277787287743962e-18	17.4844192334246	1.638893643871981e-17	RPS2, RPS18, RPS11, RPL21, RPL37, RPL6, RPL32, RPL34, RPL4, RPS16, RPL15, RPL8, RPL23A, UBA52, RPL13A, RPL3, RPL30, RPL19, RPL38, RPS19, RPS21, RPS24, RPS3, RPL37A, RPLP1, RPS4X, RPS28, RPS29, RPL35A, RPSA, RPS27A, RPL9, RPL17, RPL10, RPL31, RPL26, RPS17, RPL13, RPL7, RPS7, RPS27, RPL35, RPS15, RPS14, RPL36, DRG1, RACK1, RPL24, RPL28, RPL27A, RPS8, RPL11, RPL23, RPS6, RPL14, RPS25, FAU, RPL5, RPS23, RPS20, RPL18, RPLP2, RPL7A, ZC3H15
GO:0006446	regulation of translational initiation	25	0.005517545795630104	3.07133441099453	3.765681828959977e-09	1.0836197758288162e-06	5.96512307778527	4.551203058481028e-05	EIF4H, BZW2, CSDE1, EIF2AK3, EIF3H, EIF5, NCBP2, EIF2S2, EIF4G2, EIF1, EIF2S1, EIF4A2, EIF1B, EIF5B, METAP2, PAIP1, DDX1, EIF4B, EIF3E, EIF2S3, NCBP1, EIF4G3, EIF2AK2, EIF2AK4, EIF2AK1
GO:0007612	learning	41	0.00904877510483337	2.8672088009099705	1.2042724980185954e-12	6.615835186842157e-10	9.1794153224302	1.4554837411052744e-08	SHANK2, DRD1, SLC12A5, VDAC3, ATXN1, NLGN4X, SYT11, NRXN2, CNTNAP2, ATP8A1, PRKAR2B, DLG4, SLC8A3, SORCS3, SLC8A2, NRXN1, SYNJ1, NTRK2, PPP3CB, MECP2, FGF13, GRM5, APP, VDAC1, FYN, NLGN4Y, GMFB, DRD3, ARF4, PRKN, GABRB3, NRXN3, JPH4, INSR, PAK5, EIF2AK4, PAK6, PLCB1, SLC24A2, GRIN2A, ATAD1
GO:0006941	striated muscle contraction	43	0.009490178768483779	2.8327495929810422	6.25425832239533e-13	4.199387004692775e-10	9.37681410005659	7.558896608446997e-09	RYR2, ARHGEF11, RPL21, RPL37, RPL6, RPL32, RPL34, RPL4, RPL15, RPL8, RPL23A, UBA52, RPL19, RPL13A, RPL30, RPL38, DTNA, RPL37A, RPLP1, RPL17, RPL35A, RPL10, RPL31, RPL13, RPL7, RPL35, RPL36, RPL24, RPL28, TTN, RPL27A, RPL11, RPL23, RPL14, VPS54, RPL5, RYR3, LARGE1, RPL18, NOS1, RPLP2, RPL7A, RPL9
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	43	0.009490178768483779	2.7922817416527415	1.2765013806469034e-12	6.707737254999337e-10	9.173423957237501	1.5427795686498474e-08	SRSF7, NSRP1, RNPS1, THUMPD2, RBM20, RBM4, RBM8A, CELF6, CELF5, RBM4B, KHDRBS2, SRSF6, RBM14, SRSF3, DDX17, ARGLU1, ZBTB7A, NOVA1, SRSF8, KHDRBS1, SRSF10, WTAP, RBMX, RBM25, RBM5, CELF3, DDX5, RBFOX2, FMR1, SRSF4, DYRK1A, THRAP3, YTHDC1, CELF4, SRSF1, SRRM4, SRSF5, CELF1, CELF2, RBFOX1, TIAL1, HNRNPU, TRA2B
GO:0060291	long-term synaptic potentiation	36	0.00794526594570735	2.7735711426743825	1.1339889393271149e-10	4.2829344752210973e-08	7.368258569840552	1.3705390320707512e-06	NPTN, DRD1, SHANK2, CAMK2B, CAMK2D, CALM2, GRIA3, SLC8A3, CALM1, SLC8A2, NTRK2, SLC1A1, SLITRK4, MECP2, PRRT1, HMGCR, GRIA1, GRIN2A, SNAP25, PTK2B, BRAF, CALM3, NF1, LRRTM2, VAMP2, CALN1, CRHR2, MAPK1, GRIN2B, SNCA, LARGE1, PRKCG, STX3, CAMK2A, SLC24A2, PLK2
GO:0016241	regulation of macroautophagy	34	0.007503862282056941	2.7113955712499083	8.814304397377995e-10	2.9591578596308454e-07	6.5288318662898845	1.0652968294671045e-05	PIK3R4, UBQLN1, ATP6V1G1, UBQLN2, VPS35, ATP6V1B2, MTMR8, VPS26A, ATP6V1G2, PSMD14, CDK5R1, ULK1, VPS26B, ATP6V0D1, EXOC1, EXOC4, ATP6V0A1, ATP6V1A, RHEB, UCHL1, ATP6V1D, MAPK8, SH3GLB1, NEDD4, ATP6V1H, ATG14, MTOR, ATP6V0E2, ATP6V0C, ATP6V1C1, ATP6V1E1, PRKAA2, PIK3C3, GAPDH
GO:0070936	protein K48-linked ubiquitination	57	0.012580004414036637	2.671111040324728	4.792835935674464e-15	4.1375867941829696e-12	11.383252882922722	5.7926215118561574e-11	HUWE1, AMFR, UBE2K, ANAPC10, KLHL3, RNF216, FBXO9, UBE2H, RNF187, NT5C2, UBR4, UBE2D3, KCMF1, ZNRF2, NEDD4L, ANAPC5, UBE3C, HACE1, ASB3, TTC3, RBX1, RNF34, SKP1, RNF115, MYCBP2, UBE2D2, ANAPC4, CUL1, ARIH2, RNF170, KBTBD6, MID2, ITCH, UBE2R2, ANAPC16, ZNRF1, FBXO38, KBTBD7, ANAPC1, FBXO7, PRKN, CDC27, UBE3A, UBE2B, UBE2E1, UBE2G1, CUL3, PELI1, UBE2Q2, UBR5, UBE2D1, UBE2G2, BTRC, UBE2E2, CDC16, UBE2E3, RNF146
GO:0006413	translational initiation	34	0.007503862282056941	2.4927346380845927	1.771183485956943e-08	4.6535920894077415e-06	5.332211687461684	0.00021406523611275613	DDX3X, MTIF3, EIF4H, EIF4E2, EIF2A, EIF3J, DHX29, EIF3H, EIF5, ABCE1, EIF2S2, EIF4G2, RPS17, EIF1, EIF3A, DENR, EIF2S1, EIF4A2, LARP1, EIF1B, EIF5B, PAIP1, EIF4E3, EIF3M, EIF3E, EIF2S3, EIF4E, EIF1AX, EIF4G3, MCTS1, EIF3F, EIF4A1, EIF4B, AGO2
GO:0048812	neuron projection morphogenesis	40	0.008828073273008165	2.490725988094194	1.0255533665394036e-09	3.3499562129716845e-07	6.474960869556903	1.2394837987995232e-05	ITGA1, RAC1, MAP2K1, CCDC39, NEGR1, EPB41L3, UBB, CNTNAP2, CNTNAP1, TNIK, SLC9A6, TAOK3, DICER1, NRXN1, KIRREL3, NEFL, GAS7, NLGN1, GPM6A, SHTN1, KDM1A, SGK1, ATP9A, DTNBP1, GABRB3, KIF20B, LRRK2, NCKAP1, VPS54, MAP4K4, PACSIN1, TRIO, PAK1, SRGAP2, PPP1R12A, PLXNA4, SLIT1, NYAP2, ALS2, PPP1R12B
GO:0042147	retrograde transport, endosome to Golgi	43	0.009490178768483779	2.3269014513772848	4.878727745991614e-09	1.371262872978015e-06	5.862879282380167	5.896430353805464e-05	SORL1, HEATR5A, GCC2, WASHC1, STX16, DCTN1, VPS35, VPS26A, GOSR1, SNX1, VPS26B, RAB7A, SPAG9, PIKFYVE, PLEKHA3, SLC66A2, ANKFY1, PREPL, MON2, GOLT1B, VPS50, SNX2, VPS53, RAB6A, BAIAP3, TBC1D5, VPS54, RAB9B, ARL1, HEATR5B, GBF1, RAB6B, RIC1, WIPF3, EVI5, VTI1B, CLTC, DENND5A, ERC1, VTI1A, TBC1D23, CLN5, TMEM87A
GO:0017148	negative regulation of translation	49	0.010814389759435003	2.320137202972118	4.307762514233722e-10	1.5312828749126106e-07	6.814944574379635	5.206361774702877e-06	PAIP2, IREB2, CIRBP, DDX3X, PURB, CPEB3, CNOT1, EIF4E2, CPEB1, HELZ, RBM4, CAPRIN2, OTUD6B, CSNK2A1, EIF2AK3, NCL, EIF4ENIF1, ZNF540, RPL13A, CNOT10, LSM14A, RPS3, GIGYF2, SERBP1, XRN1, ILF3, PRKCA, FXR1, DDX6, DHX36, RACK1, LARP1, CNOT9, FMR1, DAPK1, PURA, RGS2, EIF4E, EPHA4, PRKCH, CELF4, SYNCRIP, YBX1, EIF2AK2, CAPRIN1, CELF1, QKI, GAPDH, EIF2AK1
GO:0006417	regulation of translation	88	0.019421761200617966	2.2989114579765957	1.0518456908831179e-16	1.1556915472739422e-13	12.937158063140453	1.2712607020013364e-12	IREB2, EIF4E2, CPEB3, CNOT1, CPEB4, RPL38, ABCE1, APP, SERBP1, MTPN, DHX36, RBM8A, GAPDH, SARNP, AGO2, TNRC6B, MRPL1, CPEB2, EIF2A, RBM4B, CNOT10, TNRC6C, PIWIL4, NCBP2, EIF4G2, EIF2S1, CNOT6L, FXR1, RACK1, LARP1, PTCD3, PAIP1, CNOT9, HBS1L, FOXO3, FMR1, CNOT2, MTG1, PUM2, DDX25, AGO4, PKM, EIF2AK4, ELP4, LARP4B, DDX3X, APLP1, MRPS27, BZW2, CNOT7, MAPKAPK5, RPL13A, RPS3, PUM3, MSI2, RPL10, ELP3, ELP1, ATXN2, EIF4E3, DNAJC1, RGS2, EIF4E, MKNK1, PRKCH, CNOT6, DHX9, AGO3, PAIP2, AGO1, DNAJC3, CPEB1, EIF2AK3, ALKBH5, EIF4ENIF1, RPS6KB1, LSM14A, HABP4, TNRC6A, ZNF706, DAPK1, NCBP1, SYNCRIP, EIF4G3, PUM1, QKI, EIF2AK1, ELP2
GO:0042752	regulation of circadian rhythm	34	0.007503862282056941	2.2727874641359525	3.924270796985708e-07	7.4881560985208e-05	4.12562511084853	0.004742873685236927	CSNK1E, ROCK2, PPP1CC, MAPK9, USP9X, RBX1, KDM2A, SKP1, USP7, RORA, NR1D2, CUL1, ADCY1, PSPC1, MAPK10, PPP1CB, MAPK8, MAGED1, FBXW7, SFPQ, UBE3A, CLOCK, MTOR, FBXL3, TARDBP, PRKDC, HNRNPD, BTRC, PRKCG, GSK3B, EZH2, PRKAA2, ATG7, CRY2
GO:0051865	protein autoubiquitination	35	0.007724564113882146	2.2727874641359525	2.6181605062150287e-07	5.1873914554286614e-05	4.2850509776632855	0.003164308787811484	AMFR, RAD18, RNF187, RCHY1, MDM2, UBE2D3, TRIM37, SH3RF1, RNF115, RNF220, ERCC8, SH3RF2, LTN1, UBE2D2, UBE3D, UBE4B, ITCH, KLHL24, PRKN, UBE3A, RNF213, UBE2B, CBL, RNF141, CUL3, TRIM13, RNF11, CNOT4, OBI1, NFX1, RNF146, RNFT1, SH3RF3, RNF13, UHRF2
GO:0045727	positive regulation of translation	39	0.008607371441182963	2.2440180025646113	7.888244197933437e-08	1.7988173467211987e-05	4.745012933007048	0.0009533731937622353	LARP4B, CIRBP, DDX3X, UPF3B, CPEB3, LARP4, OGT, RBM4, CSDE1, OTUD6B, PINK1, RPS6KB1, DHX29, NPM1, RPS4X, LARP1B, YTHDF3, SSB, WAPL, RPL26, PRR16, GUF1, DHX57, FXR1, DHX36, SERP1, LARP1, MTOR, FMR1, EIF3E, RPL5, PRKDC, HNRNPD, EIF4G3, RBMS3, UPF3A, METTL14, EEF2, AGO2
GO:0048511	rhythmic process	71	0.015669830059589496	2.2105193144335975	1.1857586744291337e-12	6.615835186842157e-10	9.1794153224302	1.433107933915051e-08	CSNK1E, HUWE1, SETX, KDM5A, DHX9, AHR, ENOX2, ROCK2, PPP1CC, PER3, OGT, CDK5R1, CSNK2A1, USP9X, MAPK9, CREB1, CREM, FBXW11, KDM2A, USP7, RORA, MYCBP2, GFPT1, NR1D2, NLGN1, ADCY1, PSPC1, KDM5B, NAMPT, MAPK10, PPP1CB, MAPK8, MAGED1, KLF9, HDAC2, FBXW7, DNM1L, TOP1, SFPQ, NRIP1, KAT2B, RACK1, HLF, UBE3A, CLOCK, DDX5, FBXL3, CREBBP, TARDBP, THRAP3, NCOA2, PRKDC, NPAS2, HNRNPD, ENOX1, USP2, KMT2A, BTRC, PRKCG, EP300, CBX3, SIN3A, GSK3B, GPR176, NCOR1, PRKAA2, EZH2, ATG7, CRY2, SIRT1, HNRNPU
