GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0016442	RISC complex	13	0.0028691238137276537	3.693279629220922	7.891355184082278e-07	1.9886215063887342e-05	4.7014478681218135	0.0014914661297915507	TNRC6B, EIF4E, DHX9, AGO3, AGO1, TNRC6A, DICER1, DDX6, TNRC6C, AGO4, PRKRA, DCP2, AGO2
GO:0032839	dendrite cytoplasm	20	0.004414036636504083	3.36709253946067	1.1798496484426537e-08	3.981992563493956e-07	6.399899555367513	2.2299158355566156e-05	MAP2, MAP2K1, UHMK1, KIF3B, SOD1, ABHD13, DLG4, KIFAP3, ZC3H14, STAU2, KIF5C, STAU1, LRRK2, KIF5B, CDKL5, KIF5A, TRAK2, GRIK2, WASF1, HPCA
GO:0022626	cytosolic ribosome	73	0.016111233723239905	3.3517875733722127	6.157563952154587e-28	9.698163224643475e-26	25.013310510778812	1.163779586957217e-24	RPS2, ASCC3, RPS18, RPS11, RPL21, RPL37, RPL6, RPL32, NEMF, RPL34, RPL4, UBB, RPS16, RPL15, RPL8, RPL23A, GSPT1, UBA52, RPL13A, RPL3, RPL30, RPL19, RPL38, LTN1, RIOK3, RPS19, RPS21, RPS24, RPS3, RPL37A, USP10, RPLP1, RPL17, RPS4X, RPL35A, ABCE1, RPSA, RPS27A, RPS28, RPS29, RPL31, RPL10, RPL26, RPS17, RPL13, EEF1A1, RPL7, RPS7, RPS27, RPL35, RPS15, RPS14, RPL36, RPL24, RPL28, UBC, RPL27A, RPS8, HBS1L, RPL23, RPL11, RPS6, RPL14, RPS25, FAU, RPL5, RPS23, ETF1, RPS20, EIF2AK4, RPL18, RPL7A, RPL9
GO:0022627	cytosolic small ribosomal subunit	29	0.00640035312293092	3.2955418229971305	1.3470428208206733e-11	5.657579847446828e-10	9.247369307976708	2.5459109313510725e-08	RPS4Y1, RPS2, RPS18, RPS11, DDX3X, LARP4, RPS16, DHX29, RPS19, RPS21, RPS24, RPS3, RPS4X, RPS28, RPS29, RPSA, RPS27A, RPS17, RPS7, RPS27, RPS15, RPS14, RACK1, RPS8, RPS6, RPS25, FAU, RPS23, RPS20
GO:0099523	presynaptic cytosol	21	0.004634738468329287	3.291623223921034	9.854909763134857e-09	3.38650535496816e-07	6.470248233321673	1.862577945232488e-05	SENP7, ARL6IP5, SH3GL2, GDI1, ANKS1B, HTT, CALM2, SYT1, CALM1, SENP5, FUS, PIAS1, USP14, LRRK2, C9orf72, CALM3, PRKCG, STXBP1, PRKCB, PPT1, BAIAP2
GO:0044306	neuron projection terminus	15	0.003310527477378062	3.246839234479932	1.838178932738447e-06	4.397668585918563e-05	4.356777502744688	0.003474158182875665	UCHL1, MME, SYT1, DLG4, SYP, BSN, ATCAY, SLC32A1, MACO1, SLC1A2, VAMP2, GAD1, BTBD8, VTI1A, BAIAP2
GO:0022625	cytosolic large ribosomal subunit	39	0.008607371441182963	3.223225858229169	1.2850962238831985e-14	7.590099572310141e-13	12.119752526684072	2.428831863139245e-11	RPL21, RPL37, ZCCHC17, RPL6, RPL32, RPL34, RPL4, RPL15, RPL7L1, RPL8, RPL23A, UBA52, RPL13A, RPL3, RPL30, RPL19, RPL38, RPL37A, RPLP1, RPL17, RPL35A, RPL10, RPL31, RPL26, RPL13, RPL7, RPL35, RPL36, RPL24, RPL28, RPL27A, RPL11, RPL23, RPL14, RPL5, RPL18, RPLP2, RPL7A, RPL9
GO:0015935	small ribosomal subunit	19	0.004193334804678879	3.198737912487637	1.0712147779702221e-07	3.0217849706921194e-06	5.519736443161931	0.00020245959303637198	RPS2, RPS18, RPS16, RPS21, NPM1, RPS3, RPS4X, RPS24, RPS28, RPS29, RPSA, RPS27A, RPS15, RACK1, RPS6, RPS25, FAU, RPS23, RPS20
GO:0043194	axon initial segment	16	0.0035312293092032666	3.0303832855146036	3.4314546223130867e-06	7.813794260447872e-05	4.107138028064973	0.006485449236171734	SCN2B, MAP2, NFASC, LRRC7, SCN8A, KCNQ2, KCNA1, LGI1, ANK3, MAP1A, KCNA2, NRCAM, PRICKLE2, KCNA4, KCNQ3, SCN1A
GO:1904115	axon cytoplasm	41	0.00904877510483337	2.9120089384241887	5.647122137467195e-13	2.8087002210034206e-11	10.551494611567957	1.0673060839813e-09	NETO1, OPA1, KIF3B, KIF1A, AGBL4, AP3S1, SOD1, ARL8B, ARMCX3, DST, FBXW11, SPAST, KIF3A, ACTR10, NEFL, ARL8A, ZC3H14, SYBU, DYNLL1, KIF5C, AP3B1, SPG7, MAPK8IP3, UCHL1, BLOC1S6, NDEL1, KIF1B, DTNBP1, DYNC1H1, RAB27B, KIF5B, KIF5A, MAP1A, DLG2, AP3M2, AGTPBP1, KIF21A, RAB21, PAFAH1B1, HIF1A, AP3S2
