GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0032807	Neonatal seizure	10	0.0022070183182520413	4.13234084388355	2.3196212191664714e-06	7.798020745609638e-05	4.108015613763087	0.023861943481565492	PRRT2, NTNG1, SMC1A, SCN8A, KCNQ2, SCN2A, KCNQ3, EIF2AK2, MECP2, CDKL5
HP:0010300	Abnormally low-pitched voice	11	0.0024277201500772457	3.8462557085377655	2.8805782687576595e-06	9.497598926509629e-05	4.022386174160345	0.029632508650710043	BRD4, SMC1A, RAD21, TRPS1, HDAC8, SUZ12, NSD1, EZH2, NIPBL, SMC3, GRIN2A
HP:0040082	Happy demeanor	16	0.0035312293092032666	3.463295183445261	1.891978867239276e-07	7.818543753495017e-06	5.106874129128826	0.0019462786607290432	OCA2, GRIK2, ADNP, SLC9A6, TCF4, ZSWIM6, HNRNPC, HDAC8, WDR26, UBE3A, ZEB2, TASP1, TBC1D23, SNRPN, ASXL1, DYRK1A
HP:0002236	Frontal upsweep of hair	20	0.004414036636504083	3.36709253946067	1.1798496484426537e-08	6.068556666764789e-07	6.216914588363932	0.00012137113333529578	BRD4, PPP2R3C, OGT, HDAC4, MED13L, MED27, FRMPD4, UBAP2L, POLA1, FBXO11, CREBBP, TRIO, UBR1, HERC2, TCF4, CAMTA1, YY1, EP300, CAMK2A, FOXP1
HP:0020221	Clonic seizure	20	0.004414036636504083	3.36709253946067	1.1798496484426537e-08	6.068556666764789e-07	6.216914588363932	0.00012137113333529578	DNM1, ASNS, SCN2A, COX11, NAPB, KIF5C, ATP6V0A1, SCN3A, ATP6V1A, PSAP, ALDH7A1, TBC1D24, SCN8A, HCN1, KIF5A, GRIA2, GRIK2, SPTBN1, DENND5A, TPK1
HP:0200125	Mitochondrial respiratory chain defects	14	0.003089825645552858	3.3493709997792984	2.269941925874039e-06	7.667887579252143e-05	4.115324263043369	0.02335089259146624	CAMKMT, NDUFS2, MT-CO1, MT-ATP6, MT-ND6, SLC3A1, PREPL, MT-ND4L, MT-CO3, MT-ND4, PNPT1, MT-CYB, PPM1B, MT-ND5
HP:0020118	Radial artery aplasia	19	0.004193334804678879	3.3217662937371615	4.0042342799269724e-08	1.8324746388498831e-06	5.736962027210036	0.00041191558037608763	RPL15, RPL8, RPS19, RPS24, RPS28, RPS29, RPL35A, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, HEATR3, RPL11, RPL5, RPS20, RPL18, RPL9
HP:0001227	Abnormality of the thenar eminence	19	0.004193334804678879	3.3217662937371615	4.0042342799269724e-08	1.8324746388498831e-06	5.736962027210036	0.00041191558037608763	RPL15, RPL8, RPS19, RPS24, RPS28, RPS29, RPL35A, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, HEATR3, RPL11, RPL5, RPS20, RPL18, RPL9
HP:0030270	Elevated red cell adenosine deaminase activity	19	0.004193334804678879	3.3217662937371615	4.0042342799269724e-08	1.8324746388498831e-06	5.736962027210036	0.00041191558037608763	RPL15, RPL8, RPS19, RPS24, RPS28, RPS29, RPL35A, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, HEATR3, RPL11, RPL5, RPS20, RPL18, RPL9
HP:0000234	Abnormality of the head	20	0.004414036636504083	3.2468392344799315	3.2708472257795783e-08	1.5434497895226845e-06	5.811507494130003	0.0003364720541159452	RPL15, RPL8, RPS19, RPS24, CDC73, RPS28, RPS29, RPL35A, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, HEATR3, RPL11, RPL5, RPS20, RPL18, RPL9
