GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0016442	RISC complex	13	0.0028691238137276537	3.693279629220922	7.891355184082278e-07	1.9886215063887342e-05	4.7014478681218135	0.0014914661297915507	AGO1, TNRC6A, AGO4, EIF4E, DDX6, AGO3, DICER1, TNRC6C, PRKRA, DHX9, DCP2, TNRC6B, AGO2
GO:0032839	dendrite cytoplasm	20	0.004414036636504083	3.36709253946067	1.1798496484426537e-08	3.981992563493956e-07	6.399899555367513	2.2299158355566156e-05	WASF1, KIF5C, KIFAP3, MAP2, KIF3B, ZC3H14, SOD1, STAU1, ABHD13, LRRK2, KIF5A, DLG4, GRIK2, CDKL5, HPCA, UHMK1, STAU2, KIF5B, TRAK2, MAP2K1
GO:0022626	cytosolic ribosome	73	0.016111233723239905	3.3517875733722127	6.157563952154587e-28	9.698163224643475e-26	25.013310510778812	1.163779586957217e-24	RPS8, RPL32, RPLP1, RPS17, UBA52, RPL4, RPL15, RPL35A, RPL7A, RPL9, RPS4X, RPL37, RPL14, RPL34, ABCE1, RPS20, RPS21, RPS14, RPS27, EIF2AK4, RPS27A, RPS6, USP10, RPL31, RPL7, RPS11, UBB, UBC, RPL37A, RPL8, FAU, RPL23, RPS3, RPS18, RPL10, RPL30, RPS25, RPL36, RPL27A, RPL17, RPL38, RPL28, RPS7, HBS1L, RPL24, LTN1, RPS19, RPL35, RPS29, RPL5, RPL19, RPS23, RPL11, NEMF, RPL6, RPL3, RPL18, ETF1, RPL13A, RIOK3, RPL13, RPL21, RPL26, GSPT1, RPS15, RPL23A, RPSA, RPS24, RPS28, RPS2, EEF1A1, RPS16, ASCC3
GO:0022627	cytosolic small ribosomal subunit	29	0.00640035312293092	3.2955418229971305	1.3470428208206733e-11	5.657579847446828e-10	9.247369307976708	2.5459109313510725e-08	RPS8, RPS17, LARP4, DHX29, RPS4X, RPS21, RPS20, RPS27, RPS14, RPS27A, RACK1, RPS6, RPS11, RPS4Y1, FAU, RPS3, RPS18, RPS25, RPS7, RPS19, RPS29, RPS23, DDX3X, RPS15, RPSA, RPS24, RPS28, RPS2, RPS16
GO:0099523	presynaptic cytosol	21	0.004634738468329287	3.291623223921034	9.854909763134857e-09	3.38650535496816e-07	6.470248233321673	1.862577945232488e-05	CALM3, SYT1, CALM2, CALM1, BAIAP2, C9orf72, USP14, SENP7, FUS, GDI1, STXBP1, ANKS1B, SENP5, LRRK2, HTT, ARL6IP5, PPT1, PRKCG, PRKCB, SH3GL2, PIAS1
GO:0044306	neuron projection terminus	15	0.003310527477378062	3.246839234479932	1.838178932738447e-06	4.397668585918563e-05	4.356777502744688	0.003474158182875665	VTI1A, BTBD8, BSN, SYT1, DLG4, MME, UCHL1, ATCAY, SLC32A1, MACO1, SLC1A2, VAMP2, GAD1, BAIAP2, SYP
GO:0022625	cytosolic large ribosomal subunit	39	0.008607371441182963	3.223225858229169	1.2850962238831985e-14	7.590099572310141e-13	12.119752526684072	2.428831863139245e-11	RPL32, RPLP1, ZCCHC17, UBA52, RPL4, RPL15, RPL7L1, RPL35A, RPL7A, RPL9, RPL14, RPL37, RPL34, RPL31, RPL7, RPL37A, RPL8, RPL10, RPL23, RPL30, RPL36, RPL27A, RPL17, RPL38, RPL28, RPL5, RPL35, RPL24, RPL19, RPL11, RPL6, RPL3, RPL18, RPL13A, RPL13, RPL21, RPL26, RPLP2, RPL23A
GO:0015935	small ribosomal subunit	19	0.004193334804678879	3.198737912487637	1.0712147779702221e-07	3.0217849706921194e-06	5.519736443161931	0.00020245959303637198	NPM1, RPS4X, RPS21, RPS20, RPS27A, RACK1, RPS6, FAU, RPS3, RPS18, RPS25, RPS29, RPS23, RPS15, RPSA, RPS24, RPS28, RPS2, RPS16
GO:0043194	axon initial segment	16	0.0035312293092032666	3.0303832855146036	3.4314546223130867e-06	7.813794260447872e-05	4.107138028064973	0.006485449236171734	PRICKLE2, NFASC, KCNA2, KCNQ3, LGI1, KCNA4, NRCAM, LRRC7, ANK3, SCN8A, SCN1A, SCN2B, KCNA1, MAP1A, KCNQ2, MAP2
GO:1904115	axon cytoplasm	41	0.00904877510483337	2.9120089384241887	5.647122137467195e-13	2.8087002210034206e-11	10.551494611567957	1.0673060839813e-09	KIF5C, NEFL, AGTPBP1, KIF3B, DST, ZC3H14, HIF1A, RAB21, DYNLL1, DTNBP1, SOD1, MAPK8IP3, KIF21A, AP3S2, AGBL4, SPAST, KIF1A, SPG7, NETO1, NDEL1, AP3B1, UCHL1, OPA1, PAFAH1B1, ARL8A, DLG2, RAB27B, BLOC1S6, AP3M2, AP3S1, SYBU, ACTR10, DYNC1H1, KIF1B, KIF5B, ARL8B, ARMCX3, MAP1A, FBXW11, KIF5A, KIF3A
GO:0043198	dendritic shaft	26	0.0057382476274553075	2.8139273365492743	2.8763578615598267e-08	8.911994030078807e-07	6.050025113093225	5.4363163583480726e-05	KIRREL3, GABBR1, HCN1, GRM7, BAIAP2, MAP2, SYNGAP1, CNIH3, PSEN1, RGS7BP, GRM5, APP, ZNF804A, NEGR1, CRIPT, GRIA1, SEZ6, PRKAR2B, ZMYND8, EPHA4, JPH4, FUBP3, NSF, SLC1A1, STAU2, MAP1A
GO:0030665	clathrin-coated vesicle membrane	21	0.004634738468329287	2.727344956963143	1.31467794553097e-06	3.226936775394199e-05	4.4912095435413715	0.0024847413170535335	NECAP1, SYT11, ATP6AP1, ATP6V1E1, ATP6V0C, AP1M1, ATP6AP2, ATP6V1B2, ATP6V1D, ATP6V1C1, ATP6V1H, MYO6, ATP6V1G2, AP1G1, AP3B1, ATP6V0E2, ATP6V1A, ATP6V0D1, DENND1A, RNASEK, ATP6V0A1
GO:0014069	postsynaptic density	154	0.03398808210108144	2.7027742816751865	3.566196244848687e-39	9.628729861091453e-37	36.016430997475645	6.740110902764018e-36	ALS2, PCLO, SYT1, INPP4A, DTNB, DNM3, KALRN, ARHGAP44, ATP1A1, VPS35, CLSTN1, CPEB1, DROSHA, NETO2, RUSC1, RPL30, RPS25, NOS1, CDK5R1, RPS19, SYN2, DLG4, GRIA1, PDLIM5, RTN3, PTPRS, GRIK2, IQSEC1, CAMK2D, SRGAP2, ABI1, ABHD17B, DRP2, EGLN1, CACNA1C, SLC8A3, FMR1, MAP1B, GOPC, RPL14, FAM81A, PDPK1, RPS14, BAIAP2, GAP43, PLEKHA5, DTNBP1, DNAJC6, AKAP5, PRNP, USP8, CAMK2N1, RPS18, ADD1, DLGAP3, ANKS1B, RTN1, SLC8A2, NETO1, PAK2, CAMK2A, SHANK2, PTEN, EPHA4, PTK2B, GRIN2B, BMPR2, PAK3, GRIP1, STRN, SOS1, DAPK1, SHISA9, ARF1, BNIP3, GPSM2, EIF3E, DYNLL2, CPEB3, ITPR1, DLGAP1, LRRC7, TSC1, CNKSR2, PKP4, CTNNA2, EIF3A, MPDZ, SH3KBP1, ARHGEF9, CLSTN3, DLGAP2, DMTN, RPL38, PRKN, PAK6, PJA2, NEGR1, CRIPT, FYN, HOMER1, RPL6, DLG1, ABLIM1, PPFIA2, PDE4B, PRKCG, LZTS1, NLGN1, MAGI2, RTN4, GRIA2, MAP2K1, INSYN2A, RHEB, SYT11, SYN1, SPTBN1, RPS27, PPP1R9A, DGKI, GPHN, BSN, SYNGAP1, OPCML, PRICKLE2, MTMR2, RPL7, ARHGAP32, SORCS2, CAMK2B, RPL8, CAP2, RPS3, HNRNPD, ADAM10, NPTN, ADD3, ADCY1, ADD2, DLG2, CPEB4, SRCIN1, NTRK2, EPS8, SORCS3, SIPA1L1, MIB1, ABL1, GRIN2A, PCBP1, KPNA1, CTNND2, PSD3
GO:0043197	dendritic spine	86	0.018980357536967557	2.641347593455296	1.5999542934314438e-21	1.591533481360752e-19	18.798184220619937	3.023913614585429e-18	ALS2, GRIA4, GABBR1, DNM3, ACTN2, OPHN1, ARHGAP44, KIF3B, DOCK10, NOS1, CDK5R1, PPP3CA, DLG4, GRIA1, CFL1, SRGAP2, KCNN2, ABHD17B, CTTNBP2, FRMPD4, DIP2A, SLC8A3, FMR1, GABRA1, MAP1B, GABRB3, APBA1, KCND3, BAIAP2, DTNBP1, AKAP5, FXR1, DRD1, ABI2, ARFGEF2, ANKS1B, SLC8A2, CAMK2A, SEZ6, SHANK2, PTEN, PRKAR2B, EPHA4, PTPRO, MYH10, SLC1A1, GPM6A, TENM2, STRN, SEPTIN11, PPP1CC, ITGB1, GRM5, GABRB2, NEGR1, CRIPT, HOMER1, ARF4, ZMYND8, PPFIA2, PDE4B, GABRG2, LZTS1, NLGN1, GRIA2, PRRT2, SYT11, DGKI, GPHN, MTMR2, ARHGAP32, SORCS2, KCNA4, GRID1, APP, ZNF804A, MT3, ASIC2, CPEB4, ITSN1, NTRK2, GRIA3, SIPA1L1, GRIN2A, TANC2, GRID2
GO:0098982	GABA-ergic synapse	62	0.013683513573162658	2.538969779755478	8.44643533105299e-15	5.149600895383921e-13	12.288226428366375	1.596376277569015e-11	GABRB3, CLCN3, PCLO, GUCY1A1, SLC4A10, KIF5C, EFNA5, GABBR1, CDH10, CACNA2D1, PCDH17, CNTNAP2, PLCB1, ERC2, KCND3, NRXN1, NLGN4X, RPS27, BAIAP3, GPHN, BSN, GAP43, RPS6, SEMA4D, GABARAP, LRRTM2, ERBB4, SLC32A1, SH3KBP1, ARHGEF9, CLSTN3, LAMP5, DRD1, GRID1, FUS, GAD1, CNTN5, ARFGEF2, GABRA3, GABRB2, GLRB, GABRA4, GNAO1, CACNA2D3, SLITRK2, GABRG3, SV2A, PTPRO, AP3M2, GABRA5, GABRG2, SLC6A17, NLGN1, CNRIP1, NSF, PIK3C3, LRFN5, MKLN1, ATP2B2, GABRA2, GABRB1, GABRA1
GO:0036464	cytoplasmic ribonucleoprotein granule	36	0.00794526594570735	2.4794045063301295	8.208539242320373e-09	2.8729887348121305e-07	6.541666076903465	1.5514139167985506e-05	AGO4, ACTB, DDX6, DHX9, RPS4X, ZC3H12B, CNOT7, HNRNPU, EIF4ENIF1, TUT4, PABPC1, RPS6, DYNC1I1, INA, NCL, FXR1, LSM14A, AGO2, STAU1, RPL28, EIF4E, TUBB, IQGAP1, AGO3, RBM20, ZC3H12C, SNCAIP, TUBA1A, RPL6, ROCK2, CDC42, AGO1, CAPRIN1, DCP2, FMR1, RAC1
