GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0004438	phosphatidylinositol-3-phosphate phosphatase activity	13	0.0028691238137276537	4.220891004823911	3.1091737204865344e-08	4.362902300129781e-06	5.360224512199885	0.00014833867820441255	SYNJ2, MTM1, MTMR4, MTMR2, MTMR6, MTMR3, PTEN, FIG4, MTMR7, MTMR1, SACM1L, MTMR8, SYNJ1
GO:0052629	phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity	11	0.0024277201500772457	4.16677701758258	5.546044186796193e-07	5.0884955413855075e-05	4.293410601681612	0.002646017681520464	SYNJ2, MTM1, MTMR4, MTMR2, MTMR6, MTMR3, PTPRQ, MTMR7, MTMR1, MTMR8, SYNJ1
GO:0048487	beta-tubulin binding	26	0.0057382476274553075	2.748487165931849	5.750343608541789e-08	7.62080259898691e-06	5.117999287721331	0.0002743488935635287	PEX14, GABARAPL1, PACRG, SYT11, GABARAPL2, TBCA, TAOK1, GABARAP, EML4, SPAST, CDK5R1, APPL1, ADNP, HTT, BCAS3, NDEL1, TTLL7, LRPPRC, ARL8A, TBCD, FGF13, SMC3, VAPB, SNCA, ARL8B, RGS2
GO:0048156	tau protein binding	26	0.0057382476274553075	2.6860215485243075	1.1111102244765098e-07	1.3234278269107956e-05	4.878299737950884	0.0005301106880977428	ACTB, DYRK1A, CREBBP, TTBK2, MAP2, APOE, CLU, PPP2CB, TAOK1, HSP90AB1, PPP2R2A, GSK3B, ROCK1, PICALM, FYN, EP300, HSP90AA1, ROCK2, MARK1, MARK3, MARK2, SNCA, PPP2CA, SMAD2, MAP1A, DCTN1
GO:0019888	protein phosphatase regulator activity	26	0.0057382476274553075	2.6263321807793223	2.0804255757192936e-07	2.308304749245756e-05	4.636706854884274	0.000992571042175675	PPP2R2C, PPP4R2, PPP1R16B, PPP2R3A, PPP1R10, PPP4R3A, WBP11, ARPP19, PPP2R2D, PPP6R2, PPP1R1B, PPP2R2A, EIF2AK2, PPP6R3, SHOC2, PPP2R5E, ENSA, PPP4R1, PPP2R1A, PPP4R3B, PPP2R2B, PPP4R4, PPP2R5C, PPP2R5B, SET, ANKRD28
GO:0003743	translation initiation factor activity	29	0.00640035312293092	2.5847386847036318	6.745911655047212e-08	8.698579596278446e-06	5.060551658169967	0.0003218474450623025	EIF3H, DHX29, EIF1B, EIF4A1, EIF3E, EIF4B, EIF4A2, DENR, EIF3A, EIF3J, EIF2A, EIF5B, EIF4E2, AGO2, EIF2S3, EIF4G2, EIF4E, EIF1, EIF3M, EIF4E3, EIF1AX, EIF4H, EIF3F, EIF4G3, MCTS1, EIF2S2, EIF5, MTIF3, EIF2S1
GO:0003729	mRNA binding	137	0.030236150960052968	2.2979474729640255	3.0866972608879824e-25	1.8408290789620705e-22	21.734986533880363	1.4726632631696564e-21	CIRBP, NUP98, THOC2, HDLBP, ZC3H12B, EIF4A1, HNRNPR, DDX19A, HNRNPA0, KHDRBS2, ATXN2, NCBP3, RBM8A, STRAP, UPF3A, PTBP2, CSDE1, RPL35, DDX3Y, MSI2, HSP90AA1, RPL13A, SRRM2, NCBP2, SLC4A1AP, RBFOX1, LUC7L2, SF3B1, STAU2, PCF11, UPF3B, FMR1, YTHDF3, N4BP1, LSM8, ADARB1, PPP1R21, SNRNP70, TPR, CELF5, PPHLN1, SRSF3, HNRNPK, CNBP, FXR1, RPL24, MBD2, NCBP1, MECP2, RBM20, SRSF7, KHDRBS1, EIF4G3, PAIP2, EIF2S2, RBFOX2, DDX25, QKI, LUC7L3, RC3H2, SCAF8, DHX9, METTL14, SRSF10, EIF4ENIF1, PKM, ZNF638, PABPC1, CELF4, DDX17, RBM25, NSRP1, YBX1, YTHDC1, CDC40, MRPL1, EIF3A, EIF2A, SRBD1, DCP1B, SRRM4, SRSF8, RBM14, NUDT21, PEG10, LRPPRC, SF1, ZC3H12C, RBM4B, PURB, G3BP1, TRA2A, PTBP3, COPA, RPS2, DDX39B, SRSF6, DDX6, RBM5, CELF1, RBM4, G3BP2, CELF3, LUC7L, RPS6, CPSF6, RPL7, PUM3, RBMX, SRSF1, CSTF3, RPS3, SPEN, HNRNPD, DDX5, LSM14A, AGO2, STAU1, AQR, TRA2B, RC3H1, EIF4G2, SRSF4, NOVA1, SRSF5, HNRNPLL, CELF6, FYTTD1, CAPRIN1, DDX3X, ADARB2, SLIRP, PCBP1, PCBP2, SSB, GPATCH8, DDX50
GO:0003735	structural constituent of ribosome	80	0.01765614654601633	2.2447283596404466	1.6432434221367632e-14	4.126270719481315e-12	11.384442281908209	7.839914367014497e-11	RPL15, RPL7A, RPS21, RSL24D1, UBB, UBC, RPL30, RPS25, RPL27A, RPL35, RPS19, RPS23, RPL13A, RPL13, RPS15, RPL23A, RPSA, RPS17, RPL4, MRPL19, RPL35A, RPL9, RPL14, RPS14, MRPL3, RPS11, RPL23, RPS18, RPL17, RPS7, RPL24, RPL18, RPLP2, RPS24, MRPS9, RPS16, RPS8, RPL32, RPL7L1, RPL37, RPL34, RPS20, RPS27A, RPL31, MRPL1, RPL36, MRPL42, SRBD1, RPL38, RPL5, MRPS25, RPL11, RPL6, RPL3, MRPS30, RPL21, RPS2, MRPL33, RPLP1, UBA52, RPS4X, RPS27, RPS6, RPL7, MRPL45, RPL37A, RPS4Y1, RPL8, FAU, RPL10, RPS3, RPL28, RPL19, RPS29, MRPS31, MRPS35, RPL26, MRPS5, RPS28, MRPL35
GO:0015631	tubulin binding	37	0.008165967777532554	2.1842373031955904	4.965226096595117e-07	4.64492033467751e-05	4.333021730218596	0.0023689093706855302	NEFL, BCCIP, DYRK1A, STRBP, STMN2, TPR, IFT81, TTLL5, AGTPBP1, MAP2, TBCA, EML1, PRNP, RPS3, STMN1, AGBL4, MAP1A, CLASP1, PRKN, SGIP1, LRRK2, HDGFL3, TTLL7, TPPP, FYN, CLIP1, STMN3, TTLL11, CACYBP, CKAP5, RABGAP1, SNCA, MAP4, AGBL3, UNC5C, DCTN1, NUMA1
GO:0003730	mRNA 3'-UTR binding	47	0.010372986095784595	2.1580002184725204	2.5925601381098002e-08	3.7482134602793507e-06	5.426175684064511	0.00012369104418921857	CIRBP, RNPS1, QKI, LARP4, CPEB2, ANGEL2, UTP23, SECISBP2L, HNRNPA2B1, CELF1, HNRNPU, RBM4, PARN, CARHSP1, CPEB3, PUM1, PABPC1, CPEB1, TAF15, ZC3H14, TARDBP, SECISBP2, HNRNPA3, FXR1, FUS, SERBP1, DDX5, RPS7, CELF2, RPL5, RC3H1, AUH, DHX36, RNF20, LRPPRC, NOVA1, LARP1, HNRNPC, CPEB4, PUM2, RBMS3, FUBP1, FUBP3, ELAVL3, TIAL1, FMR1, LARP4B
GO:0019903	protein phosphatase binding	44	0.009710880600308983	2.127715923871955	1.1012328229652326e-07	1.3234278269107956e-05	4.878299737950884	0.0005253981798367125	FBXL2, CDC27, PIK3R2, GRB2, PPP1CC, YWHAE, KIFAP3, ITGA1, MAP3K5, PTPRT, RACK1, PPME1, SNX3, PPP6R2, MTMR3, PTK2, JAK1, MAPK8, PPP6R3, TBK1, SHOC2, MAPK14, MTMR4, CTNNB1, YWHAZ, IQGAP1, DLG4, AP3B1, EIF2AK3, CFL1, STX17, HSP90AA1, ANAPC5, MTMR9, CDH2, MARK3, HSP90B1, IRS2, GHR, BCL2, AMBRA1, PIK3R1, ANAPC4, KIF3A
