# Reference distribution mean: -0.09156696876048422 and standard deviation: 2.004308318649901
# Threshold: -0.59
# 26.46% of reference distribution below threshold, 29.81% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB02235	-7.859026979751538	-3.8753818156196655	L-methionine (R)-S-oxide
DB09148	-7.859026979751538	-3.8753818156196655	Florbetaben (18F)
DB09149	-7.859026979751538	-3.8753818156196655	Florbetapir (18F)
DB06782	-7.859026979751538	-3.8753818156196655	Dimercaprol
DB12274	-7.859026979751538	-3.8753818156196655	Aducanumab
DB05150	-7.859026979751538	-3.8753818156196655	CAD106
DB09151	-7.859026979751538	-3.8753818156196655	Flutemetamol (18F)
DB00746	-7.859026979751538	-3.8753818156196655	Deferoxamine
DB05088	-7.859026979751538	-3.8753818156196655	Tetrathiomolybdate
DB05938	-7.859026979751538	-3.8753818156196655	Edonerpic
DB03754	-7.859026979751538	-3.8753818156196655	Tromethamine
DB05846	-7.859026979751538	-3.8753818156196655	Mito-4509
DB15569	-7.5196924041165385	-3.7060792325402447	Sotorasib
DB15568	-7.5196924041165385	-3.7060792325402447	Adagrasib
DB11942	-7.247792581767846	-3.570421549628544	Selinexor
DB02623	-7.177782416195197	-3.5354917112792186	Aminophosphonic acid-guanylate ester
DB03276	-7.007600613951853	-3.450583715508399	4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid
DB00061	-7.007600613951853	-3.450583715508399	Pegademase
DB02550	-7.00397413672268	-3.4487743745026123	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB04054	-7.00397413672268	-3.4487743745026123	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB07319	-7.00397413672268	-3.4487743745026123	6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE
