GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1901740	negative regulation of myoblast fusion	19	0.011117612638970159	4.770382289838112	2.8977991443950045e-09	2.9185667049298357e-06	5.534830376278137	3.502280045915803e-05	RPL21, RPL37, RPL6, RPL18A, RPL32, RPL34, RPL13A, RPL38, RPL37A, RPLP1, RPL17, RPL13, RPL35, RPL28, RPL23, RPL5, RPL18, RPL7A, RPL9
GO:0006941	striated muscle contraction	24	0.014043300175541252	4.191823339354313	5.708001873115709e-10	9.85527294835378e-07	6.006331343142797	6.898691063847646e-06	RYR2, ARHGEF11, RPL21, RPL37, RPL6, RPL18A, RPL32, RPL34, RPL13A, RPL38, DTNA, RPL37A, RPLP1, RPL17, RPL13, RPL35, RPL28, VPS54, RPL23, RPL5, LARGE1, RPL18, RPL7A, RPL9
GO:0002181	cytoplasmic translation	31	0.018139262726740785	3.974428245956949	8.97833718614323e-12	3.6170727743909024e-08	7.441642753279176	1.0851218323172707e-07	RPS2, RPS18, RPS11, RPL21, RPL37, RPL6, RPL18A, RPL32, RPL34, RPL13A, RPL3, RPL38, RPS19, RPS21, RPL37A, RPLP1, RPS28, RPS15A, RPS29, RPL17, RPS17, RPL13, RPS27, RPL35, RPL28, RPL23, RPS25, RPL5, RPL18, RPL7A, RPL9
GO:0007416	synapse assembly	23	0.013458162668227034	3.553645106600051	4.651318338510052e-08	3.747722229282166e-05	4.426232605287039	0.0005621583343923249	ADGRL3, DSCAM, ZDHHC2, NRXN1, KIRREL3, MECP2, NLGN1, GPM6A, NLGN4Y, PLXNC1, GRIA1, RYK, MAP1B, ADD2, NRCAM, CDH2, ERBB4, PLXNA2, GPHN, DNER, DNM3, NRG3, PTEN
GO:0031175	neuron projection development	38	0.022235225277940317	2.88023081650603	1.8524627465039216e-09	2.308771357108849e-06	5.636619074125986	2.2388864754246397e-05	HDGFL3, MAP2, ARFGEF1, GPRIN3, MYH10, HMGB1, ROCK1, VAPA, NEDD4L, CNTNAP2, VPS13B, NRXN1, PTPRM, MECP2, UBE4B, GPM6A, NLGN1, APP, ATXN10, CNTN1, BLOC1S6, RYK, FRY, MAP1B, PTPRK, TBC1D24, LGI1, HERC1, PTPRZ1, FRYL, RAPGEF2, RAB6B, DOCK7, GSK3B, RAPGEF6, PPP1R9A, LONRF2, CAMSAP2
GO:0000209	protein polyubiquitination	34	0.01989467524868344	2.678109355698589	8.883777434536341e-08	6.710583379612889e-05	4.173239723119585	0.0010736933407380622	UBE2K, KLHL3, DZIP3, UBE2H, UBE2D3, RMND5A, UBE3C, TNKS, RC3H2, RBX1, RUSC1, SKP1, RNF115, CTNNB1, HLTF, RC3H1, UBE2W, TRIP12, UBE3D, LNPEP, UBE4B, TRIM2, ITCH, SHPRH, PRKN, CUL3, UBR5, HECTD2, FBXL17, BTRC, NFE2L1, RNF180, TPP2, UBE2V1
GO:0006511	ubiquitin-dependent protein catabolic process	50	0.029256875365710942	2.353807050906963	1.4500600005575528e-08	1.2518160833384702e-05	4.90245947292949	0.00017525425166738584	UBQLN1, UBE2K, PSMA6, KLHL3, UBE2H, RCHY1, RLIM, UBR4, UBE2D3, PSMD14, NEDD4L, UBE3C, UBR2, ATE1, RC3H2, TTC3, RBX1, SKP1, RC3H1, CUL2, TRIP12, ANKIB1, UBE4B, HERC4, UCHL1, TRPC4AP, ITCH, RNF19A, ARIH1, CACUL1, PRKN, NEDD8, HECW2, HECTD1, FAF1, RNF130, FBXO11, CUL3, HERC3, COP1, CNOT4, UBR3, FBXL2, LNX1, BTRC, RNF146, RFFL, FBXL4, RNF150, HECW1
GO:0030036	actin cytoskeleton organization	45	0.02633118782913985	2.2979540022413745	1.3451872143767324e-07	9.563489807621875e-05	4.0193836006496	0.0016257932672957187	ARHGEF11, RAC1, TJP1, ATP2C1, ROCK2, SPIRE1, TBCK, MYH10, EPB41, DNAJB6, ROCK1, PIK3CA, DIAPH2, SSH2, TNIK, CORO2B, MTSS1, CAPZA2, THSD7A, ARHGAP26, AUTS2, KIT, MKLN1, EHBP1, FER, WASL, ADD2, PHACTR1, SIPA1L1, NF1, FMN2, SPECC1L, CDC42BPA, FMNL2, SPTBN1, ARPC1A, DAAM1, FGD4, TLN2, KLHL1, STARD13, RICTOR, WASF3, MRTFA, PAFAH1B1
GO:0006338	chromatin remodeling	62	0.03627852545348157	2.292001565153087	7.119070334126658e-10	1.0755135507281848e-06	5.968384113431421	8.604108405825479e-06	KDM3A, BRD4, JAK2, RYBP, ARID1B, HMGB1, PBRM1, CHD2, MEAF6, HCFC2, PRDM2, SMARCE1, ASH1L, DEK, WAC, PSIP1, CHD1, EYA3, RSF1, NCOA3, MLLT10, SKP1, UTY, ATRX, SETD5, HLTF, SMARCA2, HNRNPC, JMJD1C, MYSM1, SETDB2, YEATS2, NIPBL, CHD8, KDM4C, CHD7, KDM1A, GATAD2B, TOP1, BMI1, SFPQ, KMT5B, CHD4, CLOCK, KDM6A, CREBBP, SMARCA1, KMT2C, DYRK1A, NSD1, INO80D, PRKDC, RERE, RSBN1, JARID2, BAZ2B, EP300, KDM4A, SETBP1, KDM5D, PRKAA2, USP22
GO:0006325	chromatin organization	82	0.04798127559976594	2.2562154161022363	2.1758598572679646e-12	1.314872111747031e-08	7.881116485853709	2.629744223494062e-08	PHIP, PHF21A, EPC2, WAC, SETD2, PHF14, EPC1, TET2, KMT5B, SUZ12, TRIM24, L3MBTL1, NUCKS1, ARID4B, BABAM2, KMT2E, JAK2, ARID1B, UBN2, PBRM1, ZMYND11, FBXO30, SMYD3, UTY, ATRX, TLK1, TOX, MTF2, KDM4C, MORF4L1, KAT6A, UIMC1, FMR1, NSD1, SMARCA1, RSBN1, JARID2, KMT2A, SMCHD1, IER3IP1, USP22, KDM3A, CHD2, MEAF6, DEK, CHD1, EYA3, RSF1, KAT6B, SETD5, HLTF, CHD7, SPIN1, BMI1, PWWP3A, NCOR1, PRKAA2, TBL1XR1, HNRNPU, DHX9, BRD4, HDAC8, HMGB1, ZNF518A, ARID4A, SMARCE1, ASH1L, KANSL1, JMJD1C, MYSM1, SETDB2, CHD8, KDM1A, CHD4, CHD9, KDM6A, FGF2, KMT2C, ZCWPW2, KDM4A, KDM5D, L3MBTL4
GO:0016567	protein ubiquitination	86	0.05032182562902282	1.9555251333119887	1.9102857497177303e-09	2.308771357108849e-06	5.636619074125986	2.308771357108849e-05	UBE2K, KLHL3, RNF216, UBR4, UBE2D3, UBR2, TTC3, UBE2W, ELOB, UBE4B, TRIM2, TRPC4AP, RNF103, HECW2, HERC1, HECTD1, TRIM24, RNF130, HERC2, PCMTD1, UBR3, UBE2E2, RNF146, RFFL, COP1, DZIP3, UHRF2, RCHY1, FANCL, KCTD9, WDSUB1, ZBTB16, ANAPC5, FBXO30, LTN1, MYCBP2, ZFP91, ANKIB1, SHPRH, CUL3, CNOT4, HECTD2, FBXL2, LNX1, CDC16, RNF180, HECW1, CAND1, UBE2H, RLIM, TRIM33, UBE3C, RBX1, RNF115, SKP1, HLTF, CUL2, TRIP12, UBE3D, ARIH1, KLHL24, PRKN, NEDD8, FBXO11, FBXL17, FEM1B, BTRC, SOCS6, HECTD4, TRIM9, DCAF6, NEDD4L, USP9X, RC3H2, ASB3, RC3H1, BIRC6, DCAF5, HERC4, ITCH, RNF19A, KLHL13, PJA2, FBXL3, HERC3, UBR5
GO:0015031	protein transport	107	0.06260971328262141	1.944961771898749	2.1588318481939977e-11	6.522910429318164e-08	7.185558585040281	2.6091641717272654e-07	NUP42, DENND1B, MYO5A, VPS35, TNPO1, FCHSD2, SCAMP1, ARF3, TTC8, SNX14, TNKS, KIF3A, NAPB, CADPS2, MYO6, CADPS, CASK, RABGAP1L, PGAP1, RAB21, GOPC, SCFD1, ARFGEF1, AFTPH, C2CD5, ARL8B, RAB3C, EXOC6B, GABARAP, SNAP91, DENND1A, COG5, RAB14, EHBP1, NUP58, COPB2, KPNA4, NUP98, VPS50, SNX2, LYST, STXBP5, FMN2, IPO8, RAB3IP, KTN1, AHCTF1, IER3IP1, SNX13, AP3S2, SEC63, MVB12B, STX16, PDCD6IP, BBS9, HOOK3, XPO1, DOP1A, STAM, VPS8, EXOC1, RANBP17, ITSN1, RPH3A, BBS1, MYO1D, AP2B1, MON2, SEC62, KPNA5, VPS54, STXBP5L, DNAJC13, VTI1B, AGAP1, ERC1, SNX27, VTI1A, KPNB1, CCDC91, RAB11FIP2, SPIRE1, LRP1B, APBA1, ZMAT3, AP3S1, EXOC2, HSP90B1, IPO7, VPS37A, RABGEF1, SDAD1, EXOC4, NBAS, RANBP2, NUP153, ANK2, MIA3, TBC1D5, VAMP2, XPO7, NSF, GBF1, RAB6B, COG6, ATG10, SEC24B
