GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0000915	Pectus excavatum of inferior sternum	6	0.003510825043885313	12.051492100643651	3.2378406804532674e-07	1.6907445218184144e-05	4.771922011057958	0.0033307667079822763	SOS1, MAP2K1, PTPN11, BRAF, NF1, FBXO11
HP:0001112	Leber optic atrophy	9	0.0052662375658279695	10.846342890579287	1.693127650483754e-09	1.416032856953364e-07	6.8489266693666	1.741720414052638e-05	MT-ATP6, MT-ND6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0012429	Aplasia/Hypoplasia of the cerebral white matter	8	0.004681100058513751	10.712437422794357	1.8460937091514395e-08	1.217356793976978e-06	5.914582116144999	0.00018990765986040857	MT-CO1, MT-ND6, MT-CO2, MT-CO3, MT-ND1, MT-ND4, ZEB2, MT-ND5
HP:0000816	Abnormality of Krebs cycle metabolism	7	0.004095962551199532	10.545055588063194	1.9874499138711305e-07	1.0933100141172364e-05	4.961256673978907	0.002044489726399232	MT-ATP6, MT-ND6, MT-ND1, MT-ND4, MT-ND2, MT-ND3, MT-ND5
HP:0000576	Centrocecal scotoma	11	0.006436512580456407	10.19741639285232	8.308568567117469e-11	8.996867878940778e-09	8.045908657187619	8.54702448499374e-07	MT-CO1, MT-ATP6, MT-ND6, OPA1, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0007768	Central retinal vessel vascular tortuosity	10	0.005851375073142188	10.04291008386971	8.529166351701151e-10	7.499105492303395e-08	7.124990536998305	8.773953425994974e-06	MT-ATP6, MT-ND6, NEK1, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0032036	Reduced contrast sensitivity	10	0.005851375073142188	10.04291008386971	8.529166351701151e-10	7.499105492303395e-08	7.124990536998305	8.773953425994974e-06	MT-CO1, MT-ATP6, MT-ND6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0100611	Multiple glomerular cysts	8	0.004681100058513751	9.641193680514922	8.553217485563693e-08	5.027825615656784e-06	5.29861979372899	0.0008798694827399371	NPHP3, MT-ATP6, MT-ND6, MT-ND1, MT-ND4, MT-ND2, MT-ND3, MT-ND5
HP:0004309	Ventricular preexcitation	10	0.005851375073142188	9.270378538956654	3.419019800166582e-09	2.6674409217309096e-07	6.573905190516573	3.517145668431363e-05	MT-CO1, MT-ATP6, MT-ND6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0020120	Retinal nerve fiber edema	10	0.005851375073142188	8.034328067095768	3.072595959267573e-08	1.9632170579494113e-06	5.7070316811140565	0.00031607794632985525	MT-CO1, MT-ATP6, MT-ND6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0100033	Tics	10	0.005851375073142188	7.532182562902282	7.580822909964584e-08	4.533949143884051e-06	5.3435233555492445	0.0007798392527480567	SPTBN1, FRYL, GATAD2B, MAPK1, VPS13A, ZBTB20, KMT5B, POGZ, ACBD6, CHD8
HP:0200125	Mitochondrial respiratory chain defects	11	0.006436512580456407	6.977179637214745	5.029102222682283e-08	3.1165285882369063e-06	5.5063288849258125	0.0005173437456473264	MT-CO1, MT-ATP6, MT-ND6, PREPL, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0007763	Retinal telangiectasia	12	0.007021650087770626	6.886566914653516	1.4843831748033403e-08	9.98029393411893e-07	6.000856667922441	0.00015269849719201962	MT-CO1, SETD2, MT-ATP6, MT-ND6, SMAD4, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0025268	Stuttering	10	0.005851375073142188	6.6952733892464735	3.546543481917103e-07	1.8169156099156437e-05	4.740665243852721	0.003648329279848124	MT-CO1, KANSL1, MT-ND6, MT-CO2, MT-CO3, MT-ND1, MT-ND4, NEXMIF, NSD1, MT-ND5
HP:0001427	Mitochondrial inheritance	12	0.007021650087770626	6.28773500903147	5.832713833285462e-08	3.571495666845687e-06	5.447149872451423	0.0006000112720300755	MT-CO1, MT-ATP6, MT-ND6, MT-CO2, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, FASTKD2, MT-ND5
HP:0031546	Cardiac conduction abnormality	14	0.008191925102399064	6.025746050321826	9.169191510928378e-09	6.59604706803638e-07	6.180716253980287	9.432347307292023e-05	MT-CO1, MT-ATP6, MT-ND6, MT-CO2, SCN2A, MT-CO3, EP300, MT-ND1, MT-ND4, MT-ND2, MT-ND3, CREBBP, ATP1A3, MT-ND5
HP:0032792	Tonic seizure	37	0.021650087770626096	5.372351900286929	8.211137459540977e-19	3.1284433720851124e-16	15.504671701774374	8.446797104629803e-15	ARFGEF1, CHD2, GABBR2, CNTNAP2, ADNP, CACNA1C, CLCN3, SCN2A, SYNJ1, ALG13, NAPB, FGF12, MECP2, ARHGEF9, SLC25A12, SCN1A, PSAP, KCNQ5, PHACTR1, GNB1, CUL3, NSF, ATP1A3, DMXL2, GRIA2, GRIK2, PPP3CA, MTHFS, ATP6V0C, DOCK7, ST3GAL3, DENND5A, GABRG2, PLCB1, NEXMIF, TBL1XR1, HNRNPU
HP:0002236	Frontal upsweep of hair	12	0.007021650087770626	5.356218711397178	5.474751078728907e-07	2.707632901292513e-05	4.567410217294911	0.005631876434688427	BRD4, TCF4, POLA1, CAMTA1, MED13L, EP300, FRMPD4, FOXP1, FBXO11, CREBBP, TRIO, HERC2
HP:0007924	Slow decrease in visual acuity	15	0.008777062609713282	5.316834750283963	2.33149963535365e-08	1.508436273514654e-06	5.821473032618949	0.00023984136748882997	MT-CO1, MT-ATP6, MT-ND6, SMARCE1, DNM1L, MT-ND4L, CTNNB1, MT-CO3, MT-ND1, MT-ND4, MT-ND2, BRAF, MT-CYB, PIK3CA, MT-ND5
HP:0002883	Hyperventilation	15	0.008777062609713282	5.316834750283963	2.33149963535365e-08	1.508436273514654e-06	5.821473032618949	0.00023984136748882997	BTD, MT-ATP6, MT-ND6, TCF4, NRXN1, MT-ND1, GABRB3, MT-ND4, MT-ND2, GABRG2, GABBR2, MT-ND3, CNTNAP2, CDKL5, MT-ND5
HP:0012389	Appendicular hypotonia	11	0.006436512580456407	5.302656524283207	1.8557791197090268e-06	8.484622135309671e-05	4.071367494324983	0.019090399804446757	UNC80, ASCC3, DHX9, CACNA1C, SLC30A9, SLC4A10, NAPB, POGZ, FNIP1, PUM1, PEX3
HP:0011229	Broad eyebrow	12	0.007021650087770626	5.164925185990136	8.856983920657044e-07	4.318094483023649e-05	4.36470785922113	0.009111179359179902	SPTBN1, RERE, MAPK1, EP300, HERC1, ZEB2, SON, POLA1, FBXO11, CREBBP, FRA10AC1, CHD1
HP:0012760	Reduced social responsiveness	28	0.016383850204798128	4.890460562580032	2.542652729504148e-13	4.2879128899031426e-11	10.36775404603419	2.615626862840917e-09	MBD5, CHD2, GABBR2, CNTNAP2, SNRPN, VPS13C, ZMYND11, ADNP, SYNJ1, POGZ, MECP2, NLGN1, CHD8, SCN1A, UCHL1, PRKN, HERC1, POLA1, TUBB3, NF1, CREBBP, CDKL5, SPTBN1, GRIK2, DNAJC6, EP300, CLTC, NEXMIF
HP:0002263	Exaggerated cupid's bow	16	0.009362200117027502	4.703021307568254	6.552400523117892e-08	3.964973187136103e-06	5.401759745223605	0.0006740454418131376	EXOC2, CLCN3, SCN2A, JARID2, HNRNPK, TBCK, SMARCA2, TRIP12, NRCAM, POGZ, KMT2A, SUPT16H, MYT1L, CHD8, ATP1A3, HNRNPU
HP:0007270	Atypical absence seizure	14	0.008191925102399064	4.686691372472532	4.5951960233877386e-07	2.2946981307082363e-05	4.6392744381399895	0.004727078149258966	HNRNPU, PPP3CA, CACNB4, OTUD7A, SCN2A, EIF4A2, GABRB3, CHD2, GABRG2, ZEB2, KCNMA1, PAFAH1B1, MAPK10, SCN1A
HP:0010841	Multifocal epileptiform discharges	21	0.012287887653598596	4.601478802063939	9.39700962383462e-10	8.192121864439553e-08	7.0866035958384614	9.666703800038673e-06	ARFGEF1, TBCK, CHD2, GABBR2, ADK, KCNMA1, SCN2A, FGF12, MECP2, SCN1A, MED13L, TBC1D24, GNB1, GNAO1, CDKL5, ATP1A3, SPTBN1, PPP3CA, DOCK7, GABRG2, PLCB1
HP:0025269	Panic attack	20	0.011702750146284377	4.382360763870418	6.3721226012095e-09	4.819854794017804e-07	6.316966045393251	6.555002519864213e-05	GABBR2, USP48, VPS13C, ATRX, CTNNB1, SYNJ1, MECP2, UCHL1, SPART, KIF1B, PRKN, PRKAR1A, BRAF, SPECC1L, NF1, CREBBP, CDKL5, DNAJC6, EP300, SGCE
HP:0001212	Prominent fingertip pads	17	0.00994733762434172	4.268236785644627	1.3617214599686819e-07	7.782238143721017e-06	5.108895483514096	0.001400802865869783	ADNP, KANSL1, TCF4, TBL1XR1, JARID2, ARID1B, MAP1B, ZNF292, MED12L, EP300, PAK3, CREBBP, KDM6A, FOXP1, NFIX, WAC, CHD1
HP:0003763	Bruxism	14	0.008191925102399064	4.218022235225278	2.045875118824565e-06	9.230665503222938e-05	4.034766986519238	0.0210459173473483	SPTBN1, ADNP, MBD5, VPS13A, HNRNPK, ANK3, AFF3, CERT1, MECP2, MYT1L, ZEB2, GABBR2, NEXMIF, CDKL5
HP:0200134	Epileptic encephalopathy	45	0.02633118782913985	4.204008872317553	1.6145213038185374e-17	4.745308757823227e-15	14.323735524552522	1.6608580652381294e-13	KMT2E, CHD2, GABBR2, CACNA1E, NRXN1, SCN2A, SYNJ1, NEXMIF, NTRK2, GABRB1, AFF3, NAPB, FGF12, SCN3A, ARHGEF9, STAG1, SLC25A12, SCN1A, KCNQ5, DNM1L, TBC1D24, GABRB3, CASK, PHACTR1, PMPCB, GNAO1, NSF, CDKL5, WWOX, DMXL2, ADAM22, ALG9, PPP3CA, DOCK7, GRIN2B, DCX, ST3GAL3, DENND5A, GLS, GABRG2, PLCB1, CLCN4, PAFAH1B1, CELF2, HNRNPU
HP:0009765	Low hanging columella	21	0.012287887653598596	4.148874329729782	8.357579399236148e-09	6.096842233135615e-07	6.214895042991058	8.597441927994225e-05	RAC1, CNTNAP2, CDH11, SETD2, CLCN3, CTNNB1, HIVEP2, SMARCA2, ASXL3, AFF3, TRIP12, ITCH, KAT6A, ZNF148, KMT5B, EDEM3, CREBBP, TRIO, EP300, ZEB2, PUM1
HP:0012469	Infantile spasms	53	0.0310122878876536	4.0944171880391895	8.647510899045529e-20	4.043497482658243e-17	16.393242822930013	8.895694461848135e-16	TRPM3, ARFGEF1, PI4KA, GABBR2, NEDD4L, CNTNAP2, BTD, MT-ND6, MT-ND3, SCN2A, NTRK2, ALG13, CTNNA2, MT-ND4, MT-ND2, ACBD6, MECP2, HIBCH, GNAQ, PAFAH1B1, KCNQ5, EIF4A2, MACF1, GABRB3, CASK, CDH2, PHACTR1, GNB1, TUBB3, GNAO1, CUL3, CDKL5, MT-ND5, DMXL2, SPTBN1, MT-ATP6, STRADA, OTUD7A, MAPK1, RALGAPA1, DCX, DOCK7, ATP6V0C, GRIN2B, MT-ND1, ATP2B1, ERCC5, FBXL4, GABRG2, CLCN4, NEXMIF, PLCB1, ATAD1
HP:0002572	Episodic vomiting	21	0.012287887653598596	4.081957001830914	1.165476034718581e-08	7.939901966324532e-07	6.1001848597576815	0.00011989251969150043	CDK13, PIK3CA, ADNP, MT-ND6, MT-CO2, POGZ, MT-ND4, MT-ND2, MT-CYB, NFIX, MT-CO1, MT-CO3, CDK8, NSD1, MT-ND5, MT-ATP6, HNRNPK, MT-ND1, ZEB2, MT-ND3, NEXMIF
HP:0011153	Focal motor seizure	18	0.010532475131655939	4.017164033547884	1.6968839512021892e-07	9.53871322733165e-06	5.020510207681784	0.001745584520601692	NDUFAF6, DMXL2, BTD, PPP3CA, SCN2A, TBC1D24, CASK, ATP1A3, YWHAG, SLC35A3, PAFAH1B1, GNAO1, PIK3CA, AKT3, FAR1, CDKL5, SCN1A, ATXN10
HP:0010862	Delayed fine motor development	18	0.010532475131655939	3.9441246874833764	2.327614941555102e-07	1.2668875610464197e-05	4.8972619279610585	0.0023944174903777335	TNRC6B, SPTBN1, SNX14, ASCC3, GRIA1, NFIA, HNRNPC, CLCN3, EIF4A2, AUTS2, CTNNA2, POGZ, FNIP1, CDH2, PI4KA, MYT1L, TUBB3, CDH11
HP:0000574	Thick eyebrow	50	0.029256875365710942	3.838054809122182	2.1010013553706076e-17	6.003611372971511e-15	14.221587428360243	2.161300094269744e-13	FHL1, MBD5, PHIP, BRD4, ASCC3, CDK13, ARID1B, TBCK, PDCD6IP, HDAC8, SMARCE1, WAC, CHD1, CDH11, VPS13B, FRMD4A, CLCN3, RAD21, SMARCA2, ASXL3, AUTS2, NIPBL, NBAS, NFIX, SMAD4, BCAS3, IGF1R, NRCAM, ABCA5, HECW2, DYM, SPECC1L, SUMF1, CREBBP, KMT2C, TRIO, SOX6, SPTBN1, MTHFS, CNOT2, RALGAPA1, DOCK7, KMT2A, JARID2, TRPS1, EP300, AFF4, DENND5A, FBXL4, TBL1XR1
HP:0011097	Epileptic spasm	23	0.013458162668227034	3.745734031281135	1.5389506493361277e-08	1.027999047384464e-06	5.98800728778808	0.00015831185329720745	CHD2, PIK3CA, SCN2A, SYNJ1, SMARCA2, AKT3, SCN1A, TBC1D24, EIF4A2, CASK, PHACTR1, NSF, ATP1A3, WWOX, GRIK2, PPP3CA, GRIN2B, ST3GAL3, SETBP1, PLCB1, NEXMIF, CELF2, TBL1XR1
HP:0000194	Open mouth	37	0.021650087770626096	3.6549607190476645	1.6158719840494595e-12	2.277051383550245e-10	9.64262716905963	1.662247509991679e-08	MBD5, RAC1, TBCK, MED12L, REV3L, TCF20, ASH1L, FOXP1, DST, VPS13B, KANSL1, ATRX, ASXL3, POGZ, NFIX, CHD8, KCNJ6, BCAS3, MED13L, TBC1D24, PAK3, PRKAR1A, BRAF, IL1RAPL1, PDE4D, ADAM22, UNC80, STRADA, TCF4, TUBB4A, HNRNPK, CLTC, DENND5A, SETBP1, ZEB2, CCDC88A, NEXMIF
HP:0100716	Self-injurious behavior	46	0.026916325336454067	3.647162083089526	3.525328322179735e-15	9.066263112565734e-13	12.042571681408226	3.6265052450262933e-11	MBD5, KMT2E, RLIM, FAT4, GABBR2, WAC, SNRPN, PPP2CA, CLCN3, CTNNB1, ZBTB20, ASXL3, SCN2A, ATRX, POGZ, KIF5C, ACBD6, UBE4B, NIPBL, NFIX, CHD8, TAOK1, GRIA1, VPS13A, CASK, NRCAM, HECW2, CDH2, GNAO1, VAMP2, FMR1, CREBBP, KMT2C, CDKL5, HERC2, DMXL2, GRIA2, TRIO, TCF4, RERE, EP300, SETBP1, GLS, CLCN4, FOXP1, ELP2
HP:0000736	Short attention span	45	0.02633118782913985	3.6397123793890223	7.638438198433906e-15	1.9165027743241362e-12	11.717490547725678	7.857661374728959e-11	MBD5, GRIA4, BBS9, FOXP1, SNRPN, TTC8, VPS13C, MT-ND6, MT-CO2, SCN2A, SYNJ1, SMARCA2, MT-ND4, CHD8, SCN1A, TAOK1, MT-CO1, BBS1, UCHL1, PSAP, ATP9A, VPS13A, MT-CO3, PRKN, PAK3, DISP1, TUBB3, NF1, FBXO11, CREBBP, MT-ND5, SPTBN1, GRIK2, DNAJC6, KMT2A, EP300, CLTC, MT-ND1, SDCCAG8, SOBP, SYNE1, GABRG2, WDPCP, SCAPER, PTEN
