Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5473968781503535	-3.040814742420701	<0.0001	<0.0001	PL21
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.491815481444409	-2.8729825681403356	<0.0001	<0.0001	U937
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.45096217284858303	-2.8287502774912454	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.4194515034815534	2.823859867233205	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.4417637378089742	-2.8197395999809776	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.42608147824600034	2.815110134099569	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.49322166344803836	-2.785225356699921	<0.0001	<0.0001	U937
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.4453624413506485	-2.772240826676446	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.4739758832490976	-2.715431430551715	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.4022843233528462	-2.6885942714533537	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.45706990980458995	2.6793827956203407	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.3943693440314453	-2.6766338056274117	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A11	DB07232	Veliparib	0.392780620286114	2.653759283783862	<0.0001	<0.0001	NEU
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.43603876545882964	-2.644873050384912	<0.0001	<0.0001	THP1
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.46013781378603846	-2.6422008687411345	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.38783162908604507	2.6344380521564394	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.43557263672056284	-2.6293012630551558	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.45990951757248194	-2.6230736991277577	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.4743525380138989	-2.611358900677478	<0.0001	<0.0001	NEU
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.4211037267128019	-2.5832175461302778	<0.0001	<0.0001	NPC.TAK
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.4016539502454835	-2.5627258401509625	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O06	DB07101	PD-0325901	0.36541030641165156	2.5566935928506265	<0.0001	<0.0001	NEU
LJP007_NEU_24H:C04	DB11800	Tivozanib	-0.4011638472801358	-2.5459004855699616	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H07	DB09053	Ibrutinib	0.4251223361016414	2.5427689685212607	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D24	DB13061	MLN8054	-0.39638023577693915	-2.538805905743478	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A07	DB07232	Veliparib	0.4176098411024063	2.5374981250268815	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K20	DB01590	Everolimus	0.38718905048083463	2.5321050710872304	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M05	DB02709	Resveratrol	0.3810097445665402	2.5190902004861777	<0.0001	<0.0001	NEU
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.441202794604327	-2.5157068911198013	<0.0001	<0.0001	NOMO1
LJP007_NEU_24H:P04	DB09054	Idelalisib	0.3719174068240151	2.5147876700106786	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D24	DB06616	Bosutinib	-0.4209145106926972	-2.5065109907698786	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.41906862067057987	-2.504548924621017	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.40377573474886364	-2.4954192007735307	<0.0001	<0.0001	NEU
LJP008_NEU_24H:O04	DB07101	PD-0325901	0.3937895129348557	2.489439161724862	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:F13	DB12247	AZD-4547	-0.3802714068945711	-2.4836865787666524	<0.0001	<0.0001	NPC.TAK
