GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0000993	RNA polymerase II complex binding	13	0.0076067875950848445	5.053851526076369	4.193928118476672e-07	8.003692421300881e-05	4.0967096094784115	0.0020009231053252203	RPRD2, RPRD1A, NCOA3, SMYD3, DHX9, CDC73, URI1, RPRD1B, ERCC5, SCAF8, WAC, HNRNPU, ELP2
GO:0048156	tau protein binding	18	0.010532475131655939	4.930155859354222	4.030776946747409e-09	1.201927300808243e-06	5.920121800064269	1.923083681293189e-05	TAOK1, PPP2R2A, MAP2, PPP2CA, DCTN1, ROCK2, EP300, GSK3B, TTBK2, SMAD2, CLU, MARK3, ROCK1, HSP90AB1, CREBBP, FYN, DYRK1A, PICALM
GO:0003712	transcription coregulator activity	34	0.01989467524868344	2.845491190429751	1.803875409384687e-08	4.52962609377597e-06	5.3439376461354815	8.606289578174342e-05	KDM3A, MED13, DHX9, BRD4, NPAT, RYBP, MED12L, BCLAF1, ZBTB16, YAF2, HCFC2, MED14, NRG1, NCOA3, KAT6B, JMJD1C, AFF3, FUS, PIAS1, BTAF1, KAT6A, TAF15, MED13L, CREBBP, NSD1, NFKB1, SND1, NCOA2, CNOT2, CAMTA1, EP300, AFF4, PIAS2, TCERG1
GO:0004842	ubiquitin-protein transferase activity	56	0.032767700409596257	2.6781093556985893	6.757167323056078e-12	3.223844529830055e-09	8.491625910249377	3.2238445298300546e-08	HECTD4, UBE2K, UBE2H, RCHY1, RLIM, FANCL, WDSUB1, UBE2D3, TRIM33, NEDD4L, RMND5A, UBE3C, TTC3, RBX1, RNF115, LTN1, UBE2W, RC3H1, CUL2, TRIP12, ZFP91, BIRC6, ANKIB1, UBE4B, TRIM2, HERC4, ITCH, RNF19A, ARIH1, KLHL13, SHPRH, PRKN, RNF103, HECW2, HERC1, PJA2, TRIM24, HECTD1, FBXL3, RNF130, FBXO11, CUL3, HERC3, UBR5, HERC2, CNOT4, HECTD2, OBI1, UBR3, LNX1, UBE2E2, RNF146, COP1, DZIP3, HECW1, UHRF2
GO:0031267	small GTPase binding	63	0.03686366296079579	2.6090859186960484	1.1273227274031092e-12	5.976063036044705e-10	9.223584830191655	5.378456732440234e-09	DENND1B, RAB11FIP2, MAP2K1, ROCK2, MYO5A, SYTL5, CHM, TNPO1, ROCK1, DIAPH2, XPO1, EXOC2, PICALM, RAB3GAP1, RAP1A, KIF3A, IPO7, MYCBP2, DOCK4, ABI2, RIN2, RABGEF1, STRN3, ARHGAP44, DENND5B, RAPGEF4, PKN2, RANBP17, EHBP1, RANBP2, WDR44, MAPKAP1, RPH3A, BICD1, GRIA1, PEX5L, RIMS2, MTSS2, DNM1L, RAF1, DOCK3, PAK3, AFDN, BRAF, RABGAP1, NCKAP1, FMNL2, GOLGA4, XPO7, RABGAP1L, CDKL5, IPO8, DMXL2, DAAM1, RIC1, FGD4, DOCK7, DENND5A, ERC1, DOCK10, RAPGEF6, KPNB1, RIMS1
GO:0005096	GTPase activator activity	53	0.0310122878876536	2.3482686813754174	5.061721461238338e-09	1.420557240680477e-06	5.847541261898231	2.414947309156811e-05	ARHGAP5, ARHGAP35, ARHGEF11, ARFGEF1, FAM13A, RASA1, TBCK, CHM, FAM13B, ARHGAP21, TBC1D1, ARHGAP28, RASAL2, HACD3, RAB3GAP1, RALGAPB, RASA2, RIN2, DOCK4, RGS7, ARHGAP26, ARHGAP44, MYO9A, GNAQ, MTSS2, ARHGAP32, RALGAPA2, DNM1L, TBC1D24, DOCK3, ARHGAP12, RABGAP1, TIAM2, SIPA1L1, STXBP5, NF1, TBC1D5, RGS17, RABGAP1L, STXBP5L, SOS1, TBC1D15, ADGRB3, SRGAP2C, RAPGEF2, RALGAPA1, DOCK7, STARD13, ARHGEF12, AGAP1, GARNL3, TBC1D19, PLCB1
GO:0005085	guanyl-nucleotide exchange factor activity	46	0.026916325336454067	2.309869319290033	8.56287233960603e-08	1.8569756332845624e-05	4.731193794913685	0.0004085346393226037	RALGPS1, DENND1B, RAP1GDS1, ARFGEF1, ARHGEF11, RIC8B, DIS3, RAB3GAP1, RAP1A, DENND4A, DENND1A, MYCBP2, DOCK4, RIN2, RABGEF1, ARHGEF7, SERGEF, DENND5B, MCF2L2, RAPGEF4, ARHGEF9, ITSN1, PSD3, RALGPS2, MON2, DOCK3, HERC1, KALRN, TIAM2, TRIO, SBF2, RAB3IP, GBF1, HERC2, SOS1, RAPGEF2, DENND11, RIC1, FGD4, DOCK7, ARHGEF12, DENND5A, CCDC88A, DOCK10, RAPGEF6, TIAM1
GO:0003682	chromatin binding	90	0.0526623756582797	2.245619646082668	2.8031333095462695e-13	1.6717186274806565e-10	9.776836818293985	1.3373749019845252e-09	NFAT5, PHF21A, ATAD2, WAC, GABPA, ADNP, CCNT2, FUS, MECP2, APP, TOP1, KMT5B, SUZ12, TRIM24, CREBBP, L3MBTL1, NUCKS1, OBI1, EP300, NFE2L1, SARNP, SLC30A9, PBRM1, ZEB1, MLLT10, ATRX, RAD21, CTNNB1, PHC3, MTF2, NIPBL, CBX5, NAP1L1, MORF4L1, NFIA, BCAS3, KAT6A, SFPQ, RBPJ, FMR1, NSD1, AR, NFKB1, SMARCA1, RERE, ATF2, JARID2, KMT2A, EGFR, KDM3A, MBD5, NCOA6, ANKRD17, ATXN1, CHD2, CHD1, KAT6B, SMARCA2, AUTS2, SMAD2, CHD7, SMAD4, BMI1, STAG2, ATAD2B, NCOA2, URI1, FOXO1, PRKAA2, MEF2A, HNRNPU, BRD4, TSPYL1, SCMH1, SMARCE1, ASH1L, PSIP1, ASXL3, TSPYL4, TASOR, CHD8, STAG1, TTC21B, KDM1A, CHD4, POLA1, HNRNPD, TOP2B, NCOA1, L3MBTL4
GO:0106310	protein serine kinase activity	65	0.038033937975424224	2.182025032149965	1.7425317193346023e-09	5.938299166389563e-07	6.226337926807452	8.313618832945387e-06	AAK1, MAP2K1, ROCK2, CDK13, RPS6KA6, TTBK2, CSNK1A1, PIK3CB, SIK3, MAP2K5, CAMK2D, ROCK1, PIK3CA, MAP2K4, HIPK2, TNIK, STK33, MAST4, RPS6KA2, KSR2, CDK6, CDK14, NEK1, TLK1, RPS6KC1, PDIK1L, STK39, CAMK4, PKN2, AKT3, MAP3K2, MAPK10, TAOK1, MAPK8, SNRK, RAF1, TNNI3K, SGK3, WNK1, CASK, PAK3, SRPK2, BRAF, CDK8, KALRN, MARK3, PRKG1, DCLK2, CDC42BPA, DAPK1, TRIO, CDKL5, CSNK1G1, DYRK1A, DCLK1, PRKDC, MAPK1, PRKACB, EIF2AK2, MAP4K3, GSK3B, CDKL2, PRKAA2, MAP4K5, MAP3K3
GO:0003713	transcription coactivator activity	54	0.03159742539496782	2.176523656972432	5.900415852185296e-08	1.340518287179812e-05	4.872727257050658	0.00028150884030776047	MED13, DHX9, BRD4, NPAT, KMT2E, SLC30A9, SSBP2, ARID1B, DCAF6, NCOA6, MED12L, HMGB1, YAF2, TCF20, TSC22D1, XPC, HCFC2, SMARCE1, PSIP1, HIPK2, MED14, SUPT3H, NCOA3, RBM14, CTNNB1, KAT6B, SMARCA2, FUS, DDX17, NCOA7, MYSM1, MYT1L, TRERF1, KDM4C, KDM1A, KAT6A, MED13L, NUP98, TRIM24, CREBBP, KMT2C, WWOX, MRTFB, DYRK1A, NUCKS1, NCOA2, RERE, TMF1, EP300, NCOA1, MRTFA, QKI, TCERG1, USP22
