ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB01030	DB04599	Topotecan	Aniracetam	1.5	L	N	False	False
DB01148	DB07863	Flavoxate	2-chloro-5-nitro-N-phenylbenzamide	1.5	G		False	False
DB00773	DB01148	Etoposide	Flavoxate	1.5	L	G	False	False
DB04868	DB01148	Nilotinib	Flavoxate	1.5	L	G	False	False
DB00694	DB01148	Daunorubicin	Flavoxate	1.5	L	G	False	False
DB00380	DB01148	Dexrazoxane	Flavoxate	1.5	V	G	False	False
DB00762	DB04599	Irinotecan	Aniracetam	1.5	L	N	False	False
DB01148	DB11886	Flavoxate	Infigratinib	1.375	G		False	False
DB07080	DB04599	TO-901317	Aniracetam	1.2999999999999998		N	False	False
DB08175	DB04599	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Aniracetam	1.2619047619047619		N	False	False
DB01148	DB02659	Flavoxate	Cholic Acid	1.2505175983436851	G	A	False	False
DB01148	DB07557	Flavoxate	3,20-Pregnanedione	1.25	G		False	False
DB01148	DB00393	Flavoxate	Nimodipine	1.25	G	C	False	False
DB01148	DB07080	Flavoxate	TO-901317	1.25	G		False	False
DB01148	DB00794	Flavoxate	Primidone	1.2	G	N	False	False
DB04149	DB02659	(R)-Rolipram	Cholic Acid	1.1853002070393375		A	False	False
DB00804	DB01205	Dicyclomine	Flumazenil	1.1666666666666665	A	V	False	False
DB04599	DB07996	Aniracetam	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.1666666666666665	N		False	False
DB00694	DB00940	Daunorubicin	Methantheline	1.1666666666666665	L	A	False	False
DB04599	DB07997	Aniracetam	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE	1.1666666666666665	N		False	False
DB04839	DB00704	Cyproterone acetate	Naltrexone	1.1666666666666665	G	A, N	False	False
DB11689	DB04599	Selumetinib	Aniracetam	1.1666666666666665		N	False	False
DB01148	DB12742	Flavoxate	Amuvatinib	1.1666666666666665	G		False	False
DB00380	DB00940	Dexrazoxane	Methantheline	1.1666666666666665	V	A	False	False
DB09073	DB04599	Palbociclib	Aniracetam	1.1666666666666665	L	N	False	False
DB01148	DB01205	Flavoxate	Flumazenil	1.1666666666666665	G	V	False	False
DB00773	DB00940	Etoposide	Methantheline	1.1666666666666665	L	A	False	False
DB01205	DB01231	Flumazenil	Diphenidol	1.1666666666666665	V		False	False
DB01205	DB00332	Flumazenil	Ipratropium	1.1666666666666665	V	R	False	False
DB04599	DB02659	Aniracetam	Cholic Acid	1.1609523809523807	N	A	False	False
DB00694	DB00622	Daunorubicin	Nicardipine	1.1529411764705884	L	C	False	False
DB00380	DB00622	Dexrazoxane	Nicardipine	1.1529411764705884	V	C	False	False
DB00773	DB00622	Etoposide	Nicardipine	1.1529411764705884	L	C	False	False
DB00762	DB00747	Irinotecan	Scopolamine	1.15	L	A, N, S	False	False
DB01030	DB00747	Topotecan	Scopolamine	1.15	L	A, N, S	False	False
DB07863	DB04599	2-chloro-5-nitro-N-phenylbenzamide	Aniracetam	1.1428571428571428		N	False	False
