# Reference distribution mean: 0.7498570487436276 and standard deviation: 1.3946957078450677
# Threshold: 0.63
# 14.42% of reference distribution below threshold, 18.75% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB02235	-7.859026979751538	-6.172589461680267	L-methionine (R)-S-oxide
DB05150	-7.859026979751538	-6.172589461680267	CAD106
DB09148	-7.859026979751538	-6.172589461680267	Florbetaben (18F)
DB09149	-7.859026979751538	-6.172589461680267	Florbetapir (18F)
DB03754	-7.859026979751538	-6.172589461680267	Tromethamine
DB06782	-7.859026979751538	-6.172589461680267	Dimercaprol
DB00746	-7.859026979751538	-6.172589461680267	Deferoxamine
DB09151	-7.859026979751538	-6.172589461680267	Flutemetamol (18F)
DB12274	-7.859026979751538	-6.172589461680267	Aducanumab
DB05938	-7.859026979751538	-6.172589461680267	Edonerpic
DB05846	-7.859026979751538	-6.172589461680267	Mito-4509
DB05088	-7.859026979751538	-6.172589461680267	Tetrathiomolybdate
DB12202	-7.445417556701687	-5.8760305630450125	Zalutumumab
DB16640	-7.445417556701687	-5.8760305630450125	Almonertinib
DB05101	-7.445417556701687	-5.8760305630450125	Matuzumab
DB09559	-7.445417556701687	-5.8760305630450125	Necitumumab
DB01269	-7.445417556701687	-5.8760305630450125	Panitumumab
DB11963	-7.445417556701687	-5.8760305630450125	Dacomitinib
DB05424	-7.445417556701687	-5.8760305630450125	Canertinib
DB05374	-7.445417556701687	-5.8760305630450125	Rindopepimut
DB07602	-7.445417556701687	-5.8760305630450125	S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE
DB09330	-7.445417556701687	-5.8760305630450125	Osimertinib
DB05524	-7.445417556701687	-5.8760305630450125	Pelitinib
DB00317	-7.445417556701687	-5.8760305630450125	Gefitinib
DB13164	-7.445417556701687	-5.8760305630450125	Olmutinib
DB16390	-7.445417556701687	-5.8760305630450125	Mobocertinib
DB11737	-7.445417556701687	-5.8760305630450125	Icotinib
DB11828	-7.445417556701687	-5.8760305630450125	Neratinib
DB11942	-7.247792581767846	-5.73433300577699	Selinexor
DB00993	-6.953684210870537	-5.523456633789201	Azathioprine
DB08292	-6.854354502255021	-5.452237006413284	(5Z)-12-CHLORO-13,15-DIHYDROXY-4,7,8,9-TETRAHYDRO-2-BENZOXACYCLOTRIDECINE-1,10(3H,11H)-DIONE
DB08293	-6.854354502255021	-5.452237006413284	(5E)-12-CHLORO-13,15-DIHYDROXY-4,7,8,9-TETRAHYDRO-2-BENZOXACYCLOTRIDECINE-1,10(3H,11H)-DIONE
DB08346	-6.854354502255021	-5.452237006413284	(5Z)-13-CHLORO-14,16-DIHYDROXY-3,4,7,8,9,10-HEXAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,11(12H)-DIONE
DB08045	-6.854354502255021	-5.452237006413284	4-{4-[4-(3-AMINOPROPOXY)PHENYL]-1H-PYRAZOL-5-YL}-6-CHLOROBENZENE-1,3-DIOL
DB08153	-6.854354502255021	-5.452237006413284	(5E)-14-CHLORO-15,17-DIHYDROXY-4,7,8,9,10,11-HEXAHYDRO-2-BENZOXACYCLOPENTADECINE-1,12(3H,13H)-DIONE
DB01481	-6.841615476477592	-5.443103095908095	1-Testosterone
DB15647	-6.841615476477592	-5.443103095908095	Ketodarolutamide
DB13934	-6.841615476477592	-5.443103095908095	Ligandrol
DB07769	-6.841615476477592	-5.443103095908095	S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE
DB00858	-6.841615476477592	-5.443103095908095	Drostanolone
DB00621	-6.841615476477592	-5.443103095908095	Oxandrolone
DB07422	-6.841615476477592	-5.443103095908095	(2S)-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]-3-(pentafluorophenoxy)propanamide
DB07717	-6.841615476477592	-5.443103095908095	(5S,8R,9S,10S,13R,14S,17S)-13-{2-[(3,5-DIFLUOROBENZYL)OXY]ETHYL}-17-HYDROXY-10-METHYLHEXADECAHYDRO-3H-CYCLOPENTA[A]PHENANTHREN-3-ONE
DB13155	-6.841615476477592	-5.443103095908095	Esculin
DB08461	-6.841615476477592	-5.443103095908095	3-[(4-AMINO-1-TERT-BUTYL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL)METHYL]PHENOL
DB07423	-6.841615476477592	-5.443103095908095	Andarine
DB08035	-6.841615476477592	-5.443103095908095	1-TERT-BUTYL-3-(2,5-DIMETHYLBENZYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE
DB08088	-6.841615476477592	-5.443103095908095	2-chloro-4-{[(1R,3Z,7S,7aS)-7-hydroxy-1-(trifluoromethyl)tetrahydro-1H-pyrrolo[1,2-c][1,3]oxazol-3-ylidene]amino}-3-methylbenzonitrile
DB01128	-6.841615476477592	-5.443103095908095	Bicalutamide
DB12499	-6.841615476477592	-5.443103095908095	Clascoterone
DB07039	-6.841615476477592	-5.443103095908095	(2S)-N-(4-cyano-3-iodophenyl)-3-(4-cyanophenoxy)-2-hydroxy-2-methylpropanamide
DB07421	-6.841615476477592	-5.443103095908095	4-{[(1R,2S)-1,2-dihydroxy-2-methyl-3-(4-nitrophenoxy)propyl]amino}-2-(trifluoromethyl)benzonitrile
DB00665	-6.841615476477592	-5.443103095908095	Nilutamide
DB08899	-6.841615476477592	-5.443103095908095	Enzalutamide
DB06718	-6.841615476477592	-5.443103095908095	Stanozolol
