GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1901740	negative regulation of myoblast fusion	19	0.011117612638970159	4.770382289838112	2.8977991443950045e-09	2.9185667049298357e-06	5.534830376278137	3.502280045915803e-05	RPL32, RPLP1, RPL9, RPL7A, RPL37, RPL18A, RPL34, RPL37A, RPL23, RPL17, RPL38, RPL28, RPL5, RPL35, RPL6, RPL18, RPL13A, RPL13, RPL21
GO:0006941	striated muscle contraction	24	0.014043300175541252	4.191823339354313	5.708001873115709e-10	9.85527294835378e-07	6.006331343142797	6.898691063847646e-06	RPL32, RPLP1, RPL9, RPL7A, RPL37, RPL18A, RPL34, ARHGEF11, RPL37A, RPL23, RPL17, RPL38, RYR2, RPL28, RPL5, DTNA, RPL35, LARGE1, VPS54, RPL6, RPL18, RPL13A, RPL13, RPL21
GO:0002181	cytoplasmic translation	31	0.018139262726740785	3.974428245956949	8.97833718614323e-12	3.6170727743909024e-08	7.441642753279176	1.0851218323172707e-07	RPS15A, RPL32, RPLP1, RPS17, RPL9, RPL7A, RPL37, RPL18A, RPS21, RPL34, RPS27, RPS11, RPL37A, RPL23, RPS18, RPS25, RPL17, RPL38, RPL28, RPL5, RPL35, RPS19, RPS29, RPL6, RPL3, RPL18, RPL13A, RPL13, RPL21, RPS28, RPS2
GO:0007416	synapse assembly	23	0.013458162668227034	3.553645106600051	4.651318338510052e-08	3.747722229282166e-05	4.426232605287039	0.0005621583343923249	MAP1B, KIRREL3, DNM3, NLGN4Y, NRXN1, GPHN, PLXNC1, ERBB4, DNER, ZDHHC2, NRG3, MECP2, NRCAM, RYK, GRIA1, PTEN, ADD2, CDH2, DSCAM, NLGN1, PLXNA2, GPM6A, ADGRL3
GO:0031175	neuron projection development	38	0.022235225277940317	2.88023081650603	1.8524627465039216e-09	2.308771357108849e-06	5.636619074125986	2.2388864754246397e-05	MAP1B, CNTN1, RAB6B, CNTNAP2, PPP1R9A, NRXN1, PTPRZ1, FRYL, MAP2, PTPRM, PTPRK, VPS13B, GSK3B, GPRIN3, HERC1, DOCK7, ROCK1, APP, TBC1D24, LONRF2, MECP2, HDGFL3, CAMSAP2, RYK, RAPGEF2, BLOC1S6, HMGB1, UBE4B, LGI1, MYH10, VAPA, NLGN1, RAPGEF6, ARFGEF1, GPM6A, ATXN10, FRY, NEDD4L
GO:0000209	protein polyubiquitination	34	0.01989467524868344	2.678109355698589	8.883777434536341e-08	6.710583379612889e-05	4.173239723119585	0.0010736933407380622	RBX1, NFE2L1, SHPRH, UBE2V1, UBE2H, FBXL17, UBE2W, RC3H2, RMND5A, LNPEP, HLTF, DZIP3, UBE2D3, RNF115, ITCH, TRIM2, KLHL3, CUL3, RUSC1, UBR5, PRKN, CTNNB1, RC3H1, TRIP12, UBE2K, BTRC, HECTD2, TPP2, UBE4B, UBE3D, UBE3C, RNF180, SKP1, TNKS
GO:0006511	ubiquitin-dependent protein catabolic process	50	0.029256875365710942	2.353807050906963	1.4500600005575528e-08	1.2518160833384702e-05	4.90245947292949	0.00017525425166738584	ARIH1, RBX1, CNOT4, FBXL2, RNF19A, UBE2H, TTC3, RC3H2, RNF150, HECW2, RFFL, COP1, NEDD8, UBQLN1, UBE2D3, ATE1, PSMA6, ITCH, LNX1, FBXL4, KLHL3, CUL3, CUL2, CACUL1, PSMD14, TRPC4AP, PRKN, ANKIB1, UBR2, RC3H1, UBE2K, TRIP12, BTRC, RLIM, FBXO11, UCHL1, FAF1, UBR4, UBR3, HECW1, RCHY1, UBE4B, RNF130, HECTD1, UBE3C, HERC3, RNF146, HERC4, NEDD4L, SKP1
GO:0030036	actin cytoskeleton organization	45	0.02633118782913985	2.2979540022413745	1.3451872143767324e-07	9.563489807621875e-05	4.0193836006496	0.0016257932672957187	AUTS2, FER, DNAJB6, DAAM1, ATP2C1, RICTOR, EHBP1, SPTBN1, TBCK, THSD7A, NF1, ARHGEF11, ARPC1A, TLN2, KIT, MTSS1, STARD13, FMNL2, FMN2, SPIRE1, ROCK1, WASF3, PIK3CA, PAFAH1B1, ADD2, SSH2, KLHL1, ROCK2, CDC42BPA, CORO2B, MRTFA, PHACTR1, SPECC1L, ARHGAP26, TJP1, MYH10, CAPZA2, DIAPH2, EPB41, SIPA1L1, MKLN1, TNIK, WASL, FGD4, RAC1
GO:0006338	chromatin remodeling	62	0.03627852545348157	2.292001565153087	7.119070334126658e-10	1.0755135507281848e-06	5.968384113431421	8.604108405825479e-06	SETBP1, SMARCE1, CHD8, RERE, INO80D, KDM1A, KMT5B, NCOA3, DYRK1A, CREBBP, RYBP, SMARCA1, PBRM1, CHD2, CLOCK, HLTF, UTY, EYA3, JARID2, YEATS2, BMI1, KDM4C, NIPBL, SMARCA2, USP22, RSF1, MYSM1, BAZ2B, PRKAA2, WAC, MEAF6, PRKDC, ATRX, KDM6A, EP300, SETD5, DEK, JAK2, JMJD1C, HNRNPC, PRDM2, NSD1, KMT2C, HMGB1, SFPQ, MLLT10, ARID1B, KDM5D, RSBN1, ASH1L, CHD4, CHD1, HCFC2, TOP1, GATAD2B, BRD4, CHD7, PSIP1, KDM3A, KDM4A, SKP1, SETDB2
GO:0006325	chromatin organization	82	0.04798127559976594	2.2562154161022363	2.1758598572679646e-12	1.314872111747031e-08	7.881116485853709	2.629744223494062e-08	NCOR1, FGF2, UIMC1, USP22, RSF1, KMT2A, PRKAA2, WAC, KDM6A, SPIN1, IER3IP1, FMR1, KMT2E, TBL1XR1, ARID4A, EYA3, BMI1, TET2, NUCKS1, MYSM1, SETD2, PWWP3A, MEAF6, JMJD1C, HMGB1, TOX, KDM5D, CHD1, BRD4, CHD7, KDM3A, ZCWPW2, PHIP, ZNF518A, SMARCE1, KMT5B, DHX9, CHD2, KANSL1, UTY, UBN2, JARID2, KDM4C, KAT6A, KAT6B, SMYD3, DEK, SETD5, JAK2, PHF14, KMT2C, ZMYND11, MORF4L1, RSBN1, ASH1L, CHD4, EPC1, CHD9, MTF2, PHF21A, SETDB2, BABAM2, CHD8, ARID4B, SMCHD1, FBXO30, SMARCA1, PBRM1, HNRNPU, HLTF, SUZ12, L3MBTL4, EPC2, TRIM24, ATRX, L3MBTL1, NSD1, HDAC8, ARID1B, TLK1, KDM4A, KDM1A
