term	id	nGeneIds	geneSetFdaCountsById.nodes	geneSetHash	pvalue	FDR	oddsRatio	nOverlap	Cell_Line	DrugBank_Name	DrugBank_ID
RAD001_HCC515_6H_H14_camptothecin_10uM down	1c62885e-1672-41e9-86a0-d0eb3c2965ca	250	[{'approved': False, 'count': 1210}]	6e28c5c2-38dd-579d-b186-7c4e97b16d16	1.0645694065356596e-36	8.930699365662812e-31	3.7360887480190175	104	6H	camptothecin	DB04690
RAD001_HCC515_6H_H16_camptothecin_1.11uM down	f6438e32-5f56-452e-8fce-86a581f292f6	250	[{'approved': False, 'count': 1210}]	be474992-3f27-5b7c-b555-0afc858383eb	1.0645694065356596e-36	8.930699365662812e-31	3.7360887480190175	104	6H	camptothecin	DB04690
ASG003_U2OS_6H_H19_camptothecin_10uM down	43d2a117-494d-468d-9965-521d2c43ba80	250	[{'approved': False, 'count': 1210}]	9916bbca-9af3-5157-b520-6ee01ea2897b	2.5244850428910646e-34	1.4118645424626143e-28	3.6283169572107767	101	6H	camptothecin	DB04690
RAD001_HCC515_6H_H15_camptothecin_3.33uM down	47d7618c-fba9-42e9-b71d-f9f446e3cac1	250	[{'approved': False, 'count': 1210}]	b16b5d8c-d32d-5602-844d-25ca331c41f9	1.6050669026641878e-30	6.732473186561219e-25	3.4486973058637087	96	6H	camptothecin	DB04690
RAD001_HCC515_6H_H17_camptothecin_0.37uM down	55566f6d-815e-43d9-a21b-90b5e9dcc842	250	[{'approved': False, 'count': 1210}]	972095a3-2c86-51bb-a47a-affbfe4a6162	1.2790866957479545e-27	4.292116107118793e-22	3.3050015847860537	92	6H	camptothecin	DB04690
DPK.CP003_PC3_24H_P04_RITA_10uM down	47815621-1242-4001-9d16-92366a3b1c60	250	[{'approved': True, 'count': 910}]	92ee6bd8-a604-52dd-8c1f-f989b97f18fa	7.599156882473029e-25	1.41665593479974e-19	3.1613058637083995	88	24H	RITA	DB04911
ASG003_A549_6H_H19_camptothecin_10uM down	0f4ad4d5-0190-4f06-9298-30282cda8275	250	[{'approved': False, 'count': 1210}]	f546d739-7984-5f3b-b85a-f9736e4f998c	1.6565590189165203e-23	2.3161525039443605e-18	3.0894580031695726	86	6H	camptothecin	DB04690
CEGS002_HIMG001_24H_H20_topotecan_12.5uM down	75eb0de7-555d-47f3-9837-296ce93e92e3	250	[{'approved': True, 'count': 310}]	2ce102cf-b8b9-5f8b-9f13-de918dc9b045	1.6565590189165203e-23	2.3161525039443605e-18	3.0894580031695726	86	24H	topotecan	DB01030
CEGS002_HIMG002_24H_H22_topotecan_3.33uM down	6b83b8bf-9db2-4a60-a31c-a5452b2d94f9	250	[{'approved': True, 'count': 310}]	b0635cc2-8361-5dce-a690-542e5c093fce	7.519283132499066e-23	9.704531412401996e-18	3.0535340729001588	85	24H	topotecan	DB01030
ASG003_XC.P935_24H_H19_camptothecin_10uM down	a66be985-a8b4-424a-87ea-c3831c673706	250	[{'approved': False, 'count': 1210}]	acd18b8d-9486-51d4-a9ac-cbef7eacbd9e	6.27478386351688e-21	6.19286102360467e-16	2.9457622820919176	82	24H	camptothecin	DB04690
RAD001_A549_6H_H15_camptothecin_3.33uM down	f73ea0af-1f18-4359-a9b8-1a8864167ad1	250	[{'approved': False, 'count': 1210}]	4421e12f-5f1b-596e-8fb6-b3fdbb8422c2	6.27478386351688e-21	6.19286102360467e-16	2.9457622820919176	82	6H	camptothecin	DB04690
ASG003_U2OS_6H_H20_camptothecin_1.11uM down	10a07d1e-955a-47b3-aa96-87a3c6c7ddbb	250	[{'approved': False, 'count': 1210}]	2c98d49a-1cdf-541c-8746-b29b5ad8cd38	2.6389755459201828e-20	2.330361245169796e-15	2.9098383518225037	81	6H	camptothecin	DB04690
CEGS002_HIMG001_24H_H24_topotecan_0.74uM down	1a7effde-39ee-4abb-afa4-d0dddd3113ac	250	[{'approved': True, 'count': 310}]	ee773c97-61cd-5208-8245-be52548d9759	4.404338657014771e-19	3.212878878448986e-14	2.8379904912836764	79	24H	topotecan	DB01030
PBIOA022_HCC515_24H_D19_topotecan_10uM down	d85b13a3-897c-422c-adea-f9aae2b0677f	250	[{'approved': True, 'count': 310}]	bd19ff0a-93fa-563c-8157-8b4b34f736ab	4.404338657014771e-19	3.212878878448986e-14	2.8379904912836764	79	24H	topotecan	DB01030
RAD001_A549_6H_H16_camptothecin_1.11uM down	cfd5ab54-5b6e-4b8c-9efc-953f6d5397a4	250	[{'approved': False, 'count': 1210}]	390ecf32-156e-5d68-939d-7aacad0010f2	4.404338657014771e-19	3.212878878448986e-14	2.8379904912836764	79	6H	camptothecin	DB04690
CEGS002_HIMG001_24H_H22_topotecan_3.33uM down	895675bb-dea1-4784-a141-e4d00c54bee8	250	[{'approved': True, 'count': 310}]	108e3496-ee2b-5035-bac2-19027536a19d	1.7474044878191477e-18	9.772679955618018e-14	2.802066561014263	78	24H	topotecan	DB01030
PAC019_U2OS_6H_G03_valproic-acid_20uM up	78f0c61d-ba8a-43ff-9a67-bb69b6c99e02	250	[{'approved': True, 'count': 1088}]	cfae34b6-d8a3-5d11-8e81-bf1468f4f441	1.7474044878191477e-18	9.772679955618018e-14	2.802066561014263	78	6H	valproic-acid	DB00313
ASG003_MCF7_6H_H19_camptothecin_10uM down	7a1a6a48-cec2-4d71-bb63-cbcedf526c12	250	[{'approved': False, 'count': 1210}]	cdef1f75-8f93-539d-861c-87a270e1c135	1.7474044878191477e-18	9.772679955618018e-14	2.802066561014263	78	6H	camptothecin	DB04690
ASG003_XC.P914_24H_H19_camptothecin_10uM down	b14c998f-cea5-40d8-8348-b9d5f328b952	250	[{'approved': False, 'count': 1210}]	8f310863-3795-5ceb-a5a9-3c55af6d28d8	6.797765595475155e-18	3.082520298625998e-13	2.7661426307448496	77	24H	camptothecin	DB04690
RAD001_A549_6H_H17_camptothecin_0.37uM down	71819d69-9cd6-4c8d-b9b8-a3cdcbe3bb6c	250	[{'approved': False, 'count': 1210}]	a93d891a-efb1-588b-8cf3-2ae53a7f7b82	6.797765595475155e-18	3.082520298625998e-13	2.7661426307448496	77	6H	camptothecin	DB04690
ERG011_VCAP_6H_F22_camptothecin_2.22uM down	cec06c97-249b-4923-a49b-29be992b49b6	250	[{'approved': False, 'count': 1210}]	43662d64-0946-5f06-93c1-ef0e61c57d18	6.797765595475155e-18	3.082520298625998e-13	2.7661426307448496	77	6H	camptothecin	DB04690
RAD001_MCF7_6H_H15_camptothecin_3.33uM down	5228436f-aa43-42a9-9065-c341533ba3c6	250	[{'approved': False, 'count': 1210}]	c0c43fa5-08d5-51c3-b503-1d1bd278170d	6.797765595475155e-18	3.082520298625998e-13	2.7661426307448496	77	6H	camptothecin	DB04690
PBIOA022_HT29_24H_D20_topotecan_3.33uM down	3618e9e9-7928-4bfd-89fb-9486fed56aab	250	[{'approved': True, 'count': 310}]	45a2822d-6fc5-5e89-99c5-73f85c9130d9	2.592667240763113e-17	1.0357119190210845e-12	2.730218700475436	76	24H	topotecan	DB01030
