ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB00694	DB06080	Daunorubicin	Linifanib	1.0416666666666665	L		False	False
DB01030	DB05147	Topotecan	CYT997	1.0	L		False	False
DB11817	DB01092	Baricitinib	Ouabain	1.0	L	C	False	False
DB00694	DB08877	Daunorubicin	Ruxolitinib	1.0	L	L	False	False
DB00694	DB08911	Daunorubicin	Trametinib	1.0	L	L	False	False
DB00694	DB05147	Daunorubicin	CYT997	1.0	L		False	False
DB01030	DB08911	Topotecan	Trametinib	1.0	L	L	False	False
DB08877	DB01092	Ruxolitinib	Ouabain	1.0	L	C	False	False
DB00694	DB01092	Daunorubicin	Ouabain	1.0	L	C	False	False
DB00694	DB03496	Daunorubicin	Alvocidib	1.0	L		False	False
DB08911	DB11817	Trametinib	Baricitinib	1.0	L	L	False	False
DB07374	DB11817	Anisomycin	Baricitinib	1.0		L	False	False
DB07374	DB01092	Anisomycin	Ouabain	1.0		C	False	False
DB00694	DB11817	Daunorubicin	Baricitinib	1.0	L	L	False	False
DB08911	DB00619	Trametinib	Imatinib	1.0	L	L	False	False
DB08911	DB01092	Trametinib	Ouabain	1.0	L	C	False	False
DB07374	DB08877	Anisomycin	Ruxolitinib	1.0		L	False	False
DB01030	DB01092	Topotecan	Ouabain	1.0	L	C	False	False
DB08911	DB08877	Trametinib	Ruxolitinib	1.0	L	L	False	False
DB07374	DB06080	Anisomycin	Linifanib	0.9166666666666665			False	False
DB06080	DB01092	Linifanib	Ouabain	0.9166666666666665		C	False	False
DB08911	DB06080	Trametinib	Linifanib	0.9166666666666665	L		False	False
DB06080	DB05147	Linifanib	CYT997	0.9166666666666665			False	False
DB01030	DB06080	Topotecan	Linifanib	0.9166666666666665	L		False	False
DB08911	DB00783	Trametinib	Estradiol	0.8968253968253967	L	G	False	False
DB05147	DB01092	CYT997	Ouabain	0.8888888888888888		C	False	False
DB01791	DB01092	Piclamilast	Ouabain	0.875		C	False	False
DB01791	DB11817	Piclamilast	Baricitinib	0.875		L	False	False
DB01791	DB05147	Piclamilast	CYT997	0.875			False	False
DB07374	DB01791	Anisomycin	Piclamilast	0.875			False	False
DB08877	DB01791	Ruxolitinib	Piclamilast	0.875	L		False	False
DB01030	DB08059	Topotecan	Wortmannin	0.875	L		True	False
DB08911	DB01791	Trametinib	Piclamilast	0.875	L		False	False
DB08059	DB01092	Wortmannin	Ouabain	0.875		C	False	False
DB01030	DB01791	Topotecan	Piclamilast	0.875	L		False	False
DB00694	DB01791	Daunorubicin	Piclamilast	0.875	L		False	False
DB01030	DB07374	Topotecan	Anisomycin	0.8666666666666667	L		False	False
DB00694	DB07374	Daunorubicin	Anisomycin	0.8666666666666667	L		False	False
DB08911	DB07374	Trametinib	Anisomycin	0.8666666666666667	L		False	False
DB05147	DB11817	CYT997	Baricitinib	0.8421052631578947		L	False	False
DB00499	DB01092	Flutamide	Ouabain	0.8333333333333335	L	C	False	False
DB00499	DB08877	Flutamide	Ruxolitinib	0.8333333333333335	L	L	False	False
DB02424	DB01092	Geldanamycin	Ouabain	0.8333333333333335		C	False	False
DB00499	DB11817	Flutamide	Baricitinib	0.8333333333333335	L	L	False	False
DB00499	DB05147	Flutamide	CYT997	0.8333333333333335	L		False	False
DB08911	DB00499	Trametinib	Flutamide	0.8333333333333335	L	L	False	False
DB00694	DB00499	Daunorubicin	Flutamide	0.8333333333333335	L	L	False	False
DB00694	DB02424	Daunorubicin	Geldanamycin	0.8333333333333335	L		False	False
DB01030	DB02424	Topotecan	Geldanamycin	0.8333333333333335	L		False	False
DB01030	DB00499	Topotecan	Flutamide	0.8333333333333335	L	L	False	False
DB08911	DB00655	Trametinib	Estrone	0.8	L	G	False	False
DB06080	DB03496	Linifanib	Alvocidib	0.7990196078431371			False	False
DB06080	DB01791	Linifanib	Piclamilast	0.7916666666666665			False	False
DB08877	DB05147	Ruxolitinib	CYT997	0.7894736842105263	L		False	False
DB08059	DB07374	Wortmannin	Anisomycin	0.7573529411764706			False	False
DB00783	DB01791	Estradiol	Piclamilast	0.7516233766233764	G		False	False
DB03758	DB01092	Radicicol	Ouabain	0.75		C	False	False
DB05147	DB00619	CYT997	Imatinib	0.75		L	False	False
DB00619	DB01092	Imatinib	Ouabain	0.75	L	C	False	False
DB06080	DB00499	Linifanib	Flutamide	0.75		L	False	False
DB01030	DB03758	Topotecan	Radicicol	0.75	L		False	False
DB00694	DB03758	Daunorubicin	Radicicol	0.75	L		False	False
DB01791	DB03496	Piclamilast	Alvocidib	0.7416666666666667			False	False
DB00313	DB11817	Valproic acid	Baricitinib	0.7222222222222223	N	L	False	False
DB00313	DB08877	Valproic acid	Ruxolitinib	0.7222222222222223	N	L	False	False
DB06080	DB00655	Linifanib	Estrone	0.7166666666666668		G	False	False
DB07374	DB05147	Anisomycin	CYT997	0.7142857142857142			False	False
DB01092	DB03496	Ouabain	Alvocidib	0.7142857142857142	C		False	False
DB00499	DB01791	Flutamide	Piclamilast	0.7083333333333335	L		False	False
DB02424	DB01791	Geldanamycin	Piclamilast	0.7083333333333335			False	False
DB02424	DB08059	Geldanamycin	Wortmannin	0.7083333333333335			False	False
DB00313	DB06080	Valproic acid	Linifanib	0.7055555555555557	N		False	False
DB00783	DB06080	Estradiol	Linifanib	0.7023809523809523	G		False	False
