GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0051963	regulation of synapse assembly	17	0.006369426751592357	3.8583739228175347	2.0303309059144253e-07	7.335040450997645e-05	4.134597486783667	0.0024538579328881745	RAP2A, LSAMP, SRGAP2C, SEMA4D, MEF2C, SRGAP2, SRGAP2B, SETD5, OPCML, CTNNB1, NEGR1, CRTAC1, CHD4, OGT, NLGN4X, CLSTN3, SRGAP3
GO:0007612	learning	27	0.010116148370176097	3.205418335879183	9.435766268168036e-09	6.3355928398377155e-06	5.198212740682067	0.00011404067111707889	SHANK2, SLC12A5, ELAVL4, ATXN1, NLGN4X, SYT11, CNTNAP2, ATP8A1, SLC8A3, NRXN1, SYNJ1, NTRK2, PPP3CB, FGF13, GRM5, APP, FYN, NLGN4Y, BCHE, PRKN, GABRB3, NRXN3, PAK5, PLCB1, SLC24A2, GRIN2A, ATAD1
GO:0042752	regulation of circadian rhythm	28	0.01049082053203447	3.177484407026205	6.372177566030623e-09	4.530243415473301e-06	5.343878462190978	7.701413806304611e-05	CSNK1E, ROCK2, OPN3, MAPK9, USP9X, KDM2A, SKP1, USP7, RORA, PPARGC1A, NR1D2, ADCY1, PSPC1, MAPK10, MAPK8, MAGED1, FBXW7, SFPQ, UBE3A, CLOCK, PROX1, TARDBP, PRKDC, HNRNPD, BTRC, GSK3B, PRKAA2, ATG7
GO:0050808	synapse organization	29	0.010865492693892843	3.024130912478608	1.3208160547920316e-08	8.401780441166577e-06	5.075628671814417	0.00015963382838216495	NPTN, SHANK2, PPFIA2, NLGN4X, SYN3, SLC8A3, CAPS2, CTNNB1, CNTN4, SYN2, GRM5, APP, SNCB, SLC6A1, NBEA, SYN1, CNTN6, NRCAM, APBB2, PAK3, TSC1, CTNND2, LARGE1, CD2AP, GET1, GPHN, TNR, CAPRIN1, MAPT
GO:0048812	neuron projection morphogenesis	27	0.010116148370176097	2.8541396141389983	1.7016458690257988e-07	6.63422321711155e-05	4.178209920165206	0.0020566091973045803	NEGR1, EPB41L3, CNTNAP2, CNTNAP1, TNIK, TAOK3, DICER1, NRXN1, KIRREL3, GAS7, NLGN1, GPM6A, KDM1A, SGK1, ATP9A, GABRB3, NCKAP1, VPS54, MAP4K4, PACSIN1, TRIO, SRGAP2, PPP1R12A, PLXNA4, SLIT1, NYAP2, PPP1R12B
GO:0050804	modulation of chemical synaptic transmission	44	0.016485575121768452	2.853251304268429	2.5469926453779193e-11	3.4203281235597257e-08	7.46593222861761	3.078295311203753e-07	NPTN, BSN, GRIK1, JAK2, GRIA4, NLGN4X, DLGAP1, SYN3, GRID1, CACNA1B, LRP8, MAPK9, EPHA7, ARHGAP44, RTN4, NLGN1, GRM5, ADCY1, LRRC4C, FYN, AKAP7, STAU1, NXPH1, GRIA1, DGKE, SYN1, PXK, PRKN, PLPPR4, UBE3A, NRG3, PCDH8, CDKL5, DLGAP2, GRIA2, GRIK2, PPP3CA, PRKAR1B, BTBD9, TNR, CPLX2, PAFAH1B1, PTPRD, GRIN2A
GO:0007416	synapse assembly	28	0.01049082053203447	2.770114611253615	2.098928379014185e-07	7.335040450997645e-05	4.134597486783667	0.002536764838876544	SHANK2, ADGRL3, DSCAM, NLGN4X, CLSTN3, SLC25A46, NRXN1, KIRREL3, NLGN1, GPM6A, NLGN4Y, GRIA1, RYK, MAP1B, ADD2, NRCAM, CDH2, ERBB4, FARP1, PLXNA2, PLXNA4, GPHN, CAPRIN1, MAPT, DNER, DNM3, NRG3, PTEN
GO:0070936	protein K48-linked ubiquitination	34	0.012738853503184714	2.704839451047344	2.1706942570560753e-08	1.3117505395389863e-05	4.882148748498973	0.0002623501079077973	HUWE1, UBE2K, ANAPC10, KLHL3, RNF216, UBE2H, UBR4, UBE2D3, ZNRF2, NEDD4L, ANAPC5, UBE3C, HACE1, ASB3, TTC3, SKP1, MYCBP2, UBE2D2, ANAPC4, KBTBD6, ITCH, FBXO38, ANAPC1, PRKN, CDC27, UBE3A, UBE2E1, CUL3, UBR5, BTRC, UBE2E2, CDC16, UBE2E3, RFFL
GO:0017148	negative regulation of translation	32	0.011989509179467965	2.5722492818783564	2.1241636255578155e-07	7.335040450997645e-05	4.134597486783667	0.0025672641578491757	PAIP2, IREB2, CIRBP, PURB, CPEB3, CPEB1, HELZ, RBM4, CSNK2A1, NCL, ZNF540, LSM14A, GIGYF2, SAMD4A, SERBP1, XRN1, ILF3, PRKCA, FXR1, DDX6, LARP1, CNOT9, DAPK1, PURA, EPHA4, CELF4, SYNCRIP, EIF2AK2, PUS7, CAPRIN1, QKI, GAPDH
GO:0048511	rhythmic process	48	0.01798426376920195	2.5370129903457763	3.7211888127281655e-10	2.998285866042174e-07	6.523126962506398	4.497428799063261e-06	CSNK1E, HUWE1, AHR, ROCK2, PER3, OGT, CSNK2A1, USP9X, LGR4, MAPK9, CREB1, FBXW11, KDM2A, USP7, RORA, MYCBP2, PPARGC1A, NR1D2, NLGN1, ADCY1, PSPC1, MAPK10, MAPK8, MAGED1, DNM1L, FBXW7, SFPQ, NRIP1, HLF, UBE3A, CLOCK, CREBBP, PROX1, TARDBP, NCOA2, PRKDC, HNRNPD, ENOX1, KMT2A, BTRC, EP300, GSK3B, GPR176, NCOR1, PRKAA2, ATG7, SIRT1, HNRNPU
