GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0043194	axon initial segment	13	0.004870738104158861	4.179905083052329	1.7461054150886561e-06	7.174215727212087e-05	4.1442255683167035	0.00330013923451756	MAP2, NFASC, LRRC7, SCN8A, LGI1, ANK3, KCNA2, NRCAM, IQCJ-SCHIP1, PRICKLE2, NAV1, KCNQ3, SCN1A
GO:0005875	microtubule associated complex	17	0.006369426751592357	3.5455327939404375	9.406204793128414e-07	3.950606013113934e-05	4.4033362795725	0.0017777727059012701	GABARAP, MAP2, MAP4, CLIP2, DCTN1, MAP1B, DCX, STAU1, FNTB, APPBP2, MAP7, DYNLL2, RABGAP1, PAFAH1B1, FBXW11, MID1, RANBP9
GO:1904115	axon cytoplasm	28	0.01049082053203447	3.376077182465343	1.2102396897069504e-09	7.624510045153788e-08	7.11778805906613	2.2873530135461364e-06	NETO1, OPA1, AGBL4, AP3S1, ARL8B, DST, FBXW11, SPAST, KIF3A, ZC3H14, SYBU, KIF5C, MAPK8IP3, UCHL1, TMEM108, BLOC1S6, KIF1B, DYNC1H1, RAB27B, KIF5A, RAB21, DLG2, AGTPBP1, KIF21A, MAPT, PAFAH1B1, HIF1A, AP3S2
GO:0098982	GABA-ergic synapse	47	0.017609591607343576	3.2674517904941287	1.4452597339806777e-14	1.5175227206797113e-12	11.818864797852735	2.731540897223481e-11	BSN, ERC2, SLC4A10, KCND3, NLGN4X, KCNC2, PTPRO, GRID1, CNTNAP2, CLSTN3, GABRB2, GABARAP, PCLO, SEMA4D, EFNA5, GABRB1, CLCN3, NRXN1, KIF5C, FUS, NLGN1, GABRA4, SH3KBP1, MKLN1, GLRB, ARHGEF9, SLC6A1, NXPH1, GABRB3, LRFN5, GABRG3, GAD1, ERBB4, CNRIP1, GNAO1, ATP2B2, NSF, GABBR1, GABRA2, KCND2, GABRA1, GPHN, GABRG2, PLCB1, CNR1, PIK3C3, ARFGEF2
GO:0098685	Schaffer collateral - CA1 synapse	42	0.015736230798051705	3.241034095166729	5.029543245692793e-13	4.5265889211235136e-11	10.344228943851101	9.50583673435938e-10	NETO1, BSN, APBA1, PPP3R1, EPHA7, ROCK1, INA, LRP8, MAPK9, EFNB2, GABRB1, APBA2, CTNNB1, SYN2, GRM5, ATG5, ADCY1, CACNG3, LRRC4C, FYN, RAP2A, CAPZB, GRIA1, SLC16A7, SYN1, PRSS12, CASK, CACNG2, PLPPR4, CALM3, PCDH8, GABBR1, GRIA2, EPHA4, PPP3CA, PRKAR1B, TNR, SNX27, PAFAH1B1, PTPRD, EEA1, FBXL20
GO:0043197	dendritic spine	61	0.02285500187336081	3.1805514769171572	8.687093578137973e-18	1.1727576330486263e-15	14.930791731708359	1.641860686268077e-14	SHANK2, SRGAP2B, SEPTIN11, PPFIA2, APBA1, NEGR1, KCND3, TENM2, MYH10, GRIA4, SYT11, PTPRO, ANKS1B, CPEB4, GRID1, CTTNBP2, GABRB2, SLC8A3, LZTS3, ABI2, APBA2, ZNF804A, NTRK2, ARHGAP44, ZMYND8, NLGN1, GPM6A, APP, GRM5, ITSN1, RPH3A, GRIA1, ARHGAP32, ASIC2, FXR1, MAP1B, HOMER1, GABRB3, FRMPD4, DIP2A, MTMR2, SIPA1L1, GABBR1, GRIA2, FARP1, EPHA4, PPP3CA, TANC2, SRGAP2C, SRGAP2, DGKI, KCND2, GABRA1, GPHN, GABRG2, MAPT, DOCK10, DNM3, GRIN2A, PTEN, ARFGEF2
GO:0098839	postsynaptic density membrane	48	0.01798426376920195	3.1126377864746497	7.119599181732889e-14	7.082127607092189e-12	11.149836252308674	1.345604245347516e-10	NETO1, GRIK1, GRIA4, IQSEC1, NLGN4X, CLSTN1, PTPRO, EPHA7, GRID1, LRP8, EFNB2, CLSTN3, CACNA1C, SLITRK5, LRRTM3, DLG3, GRM5, KCNH1, ADCY1, CACNG3, LRRC4C, NLGN4Y, TMEM108, GRIA1, RYK, ASIC2, SHISA6, RGS7BP, NRCAM, LRFN5, CACNG2, PLPPR4, ERBB4, ATP2B2, GRIA2, LRRC4B, GRIK2, ADGRB3, ADAM22, EPHA4, LIN7A, GRIN2B, NEO1, DLG2, DLG1, SLC16A7, NSG2, GRIN2A
GO:0030136	clathrin-coated vesicle	30	0.011240164855751217	3.04608467590858	6.0977312770234014e-09	3.4923370041134026e-07	6.4568838543235945	1.152471211357423e-05	ASTN2, AAK1, DENND1B, SGIP1, CLVS2, RNF216, LMBRD1, AFTPH, FCHO2, BTBD8, ASTN1, SCAMP1, PICALM, SNAP91, DENND1A, GAS7, SORT1, VPS41, MYO6, EPS15, ADAM10, EPN2, NUMB, VAMP2, HEATR5B, DNAJC6, SNX3, CLVS1, CLTC, VTI1A
GO:0014069	postsynaptic density	101	0.037841888347695765	3.009233715865413	2.850942257377827e-26	6.735351083055117e-24	23.17163976156541	5.388280866444093e-23	NPTN, DTNB, CPEB3, IQSEC1, SYT11, DLGAP1, CPEB4, CLSTN3, CAP2, SLC8A3, OPCML, NTRK2, ARHGAP44, CRTAC1, NLGN1, BMPR2, ADCY1, FYN, SLC8A1, CAPZB, SYN1, CNKSR2, ADD2, HOMER1, PAK3, SOS1, ADD1, GRIK2, CTNND2, GOPC, PTEN, ABLIM1, BSN, NEGR1, CAMK2D, SRCIN1, MIB1, GRIP1, SYT1, PCLO, ABL1, MPDZ, SYN2, ARHGAP32, MAGI2, MAP1B, RTN3, RTN1, SIPA1L1, DLGAP2, GRIN2B, PRNP, PPP1R9A, GRIN2A, SHANK2, LRRC7, HOMER2, DROSHA, ANKS1B, SYN3, KPNA1, PLEKHA5, ARHGEF9, TMEM108, PRKN, SHISA6, ADAM10, MTMR2, SPTBN1, SRGAP2, DGKI, DLG2, DYNLL2, NETO1, PPFIA2, PKP4, CLSTN1, CPEB1, CACNA1C, LZTS3, CTNNA2, PRICKLE2, RTN4, SH3KBP1, NCK2, GRIA1, PAK2, FAM81A, PJA2, KALRN, DAPK1, TSC1, GRIA2, EPHA4, DNAJC6, HNRNPD, DLG1, GPHN, INPP4A, DNM3, SPOCK1
GO:0098794	postsynapse	85	0.03184713375796178	2.8151226046308193	4.178108597944767e-20	7.178750227377827e-18	17.143951156955048	7.896625250115609e-17	CRMP1, DTNB, SH3GL2, CPEB3, PPP3R1, CPEB4, SNX14, ERBIN, SLC8A3, DOCK4, KIFAP3, ARHGAP44, NLGN1, ATG5, APP, GABRA4, SLC8A1, FRRS1L, HOMER1, GABRA2, SRGAP3, PURA, SLC24A2, ZNF804A, ATAD1, ARFGEF2, JAK2, EPB41L3, SRCIN1, SYT17, RAB3GAP1, ABL1, MAP1B, FXR1, RGS7BP, ELMO1, BRAF, NCKAP1, C9orf72, CUL3, TRIO, ADGRB3, PUM2, PRKAR1B, PRNP, CPLX2, GRIN2A, SLC4A10, ATXN1, MARK1, INA, CDC42, ARHGEF7, GRK3, AP2A2, MKLN1, KIF1B, PTPN1, PRKN, FRMPD4, GABRG3, RASGRF2, SPTBN1, MEF2C, DGKI, GSK3B, STXBP1, MOB4, GABRA1, SNX27, GABRG2, DYNLL2, PIK3C3, STAU2, STRN3, RTN4, GRIA1, IGF1, GNA13, GRIA2, GPHN, PDXP, DOCK10, WASF1, KCTD8
