GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0040082	Happy demeanor	15	0.005620082427875608	5.511962746882192	1.1824801655022796e-09	9.578089340568465e-08	7.01872111635011	1.216417346252195e-05	ADNP, GRIK2, TCF4, ZSWIM6, HNRNPC, PRKAR1B, HDAC8, WDR26, UBE3A, ZEB2, TASP1, TBC1D23, SNRPN, ASXL1, DYRK1A
HP:0007270	Atypical absence seizure	23	0.008617459722742601	4.930144456933517	1.4967848058784186e-12	1.7698189997783094e-10	9.752071146868122	1.5397425298071293e-08	CHD2, CEP85L, CUX2, KCNMA1, DNM1, CACNB4, SCN2A, MAPK10, SCN1A, FRRS1L, EIF4A2, GABRB3, PCDH19, UBE3A, PPP3CA, OTUD7A, GABRA1, ZEB2, GABRG2, PAFAH1B1, GRIN2A, HNRNPU, KCNB1
HP:0011185	EEG with focal epileptiform discharges	12	0.004496065942300487	4.630048707381042	1.0050736149453266e-06	5.143876754697798e-05	4.288709445487387	0.010339192276942575	KANSL1, KCTD7, DEPDC5, SCN2A, LGI1, GABRA1, STXBP1, PCDH19, UBE3A, GABRG2, RNF13, SCN1A
HP:0006813	Focal hemiclonic seizure	15	0.005620082427875608	4.630048707381041	4.263461895910416e-08	2.6420622001946056e-06	5.578056962314485	0.00043858232523230454	SLC12A5, KANSL1, FRRS1L, SCN2A, TBC1D24, GABRA1, ATP1A3, PCDH19, GABRG2, CUX2, PLCB1, GNB1, GRIN2A, SCN8A, SCN1A
HP:0100023	Recurrent hand flapping	18	0.0067440989134507304	4.630048707381041	1.8387489677432805e-09	1.443909208486651e-07	6.840460113894421	1.8915210631175127e-05	GRIK2, MBD5, NOVA2, TRAPPC6B, PRKAR1B, ASXL3, SLC4A10, TRAPPC9, KMT5B, AFF2, HECW2, UBE3A, CUX2, GABBR2, NEXMIF, PDZD8, CSNK2A1, HERC2
HP:0020221	Clonic seizure	16	0.005994754589733983	4.57288761222819	1.9178554513479488e-08	1.281102534286776e-06	5.8924161096831815	0.0001972897902801635	GRIA2, SPTBN1, GRIK2, KIF5A, SCN8A, SCN2A, TBC1D24, NAPB, KIF5C, DENND5A, ATP6V0A1, SCN3A, ATP6V1A, DNM1, TPK1, HCN1
HP:0002883	Hyperventilation	20	0.007493443237167478	4.539263438608864	3.751738829035558e-10	3.2706896046007444e-08	7.4853606693893715	3.859413733428879e-06	GABBR2, CNTNAP2, BTD, MT-ND6, SYT1, NRXN1, MT-ND4, MT-ND2, ARL13B, DEPDC5, GABRB3, TLK2, CDKL5, MT-ND5, TCF4, GABRA1, HLCS, GABRG2, MT-ND3, CPLANE1
HP:0032792	Tonic seizure	48	0.01798426376920195	4.462697549282932	5.0347968206329555e-22	2.339322200604212e-19	18.63090995762326	5.179295489385121e-18	ARFGEF1, UFSP2, CHD2, CEP85L, GABBR2, KCNC2, CUX2, DNM1, CACNA1B, CNTNAP2, ADNP, CACNA1C, CLCN3, SCN2A, SYNJ1, ALG13, NAPB, FGF12, ATP6V0A1, ATP6V1A, ARHGEF9, TSEN2, SLC25A12, SCN1A, LNPK, COG3, PHACTR1, GNB1, CUL3, NSF, SCN8A, ATP1A3, DMXL2, GRIA2, GRIK2, PPP3CA, PPFIBP1, MTHFS, ATP6V0C, DOCK7, RUSC2, ST3GAL3, DENND5A, GABRG2, PLCB1, NEXMIF, TBL1XR1, HNRNPU
HP:0002266	Focal clonic seizure	13	0.004870738104158861	4.179905083052329	1.7461054150886561e-06	8.553422097627146e-05	4.067860095707686	0.017962186405017004	DMXL2, ADAM22, FRRS1L, SCN8A, SCN2A, LGI1, KCNQ3, ST3GAL3, UFSP2, GABBR2, GRIN2A, PEX3, WWOX
HP:0010844	EEG with multifocal slow activity	28	0.01049082053203447	4.076772446750603	4.1649566287696076e-12	4.5579690255481863e-10	9.34122863046745	4.284490884015295e-08	GABBR2, KCNC2, DNM1, CACNA1B, GABRB2, SYNJ1, NTRK2, KCNA2, FGF12, SCN3A, ATP6V1A, SCN1A, CNKSR2, CYFIP2, HCN1, WWOX, ATP1A3, GABRA2, SCN8A, PPP3CA, UBA5, FOXG1, CLTC, YWHAG, GABRG2, CELF2, GRIN2A, KCNB1
HP:0012547	Abnormal involuntary eye movements	35	0.013113525665043087	4.031136934286977	1.368638521083726e-14	2.1332097676345894e-12	11.670966436417958	1.407918446638829e-10	TBCK, GABBR2, KCNC2, DNM1, CACNA1B, HTT, COL25A1, GABRB2, SCN2A, SYNJ1, NTRK2, KCNA2, FGF12, SCN3A, ATP6V1A, SCN1A, CNKSR2, CYFIP2, TUBB3, HCN1, GABRA2, SCN8A, WWOX, ATP1A3, PPP3CA, UBA5, FOXG1, CLTC, KIF21A, YWHAG, NADK2, GABRG2, CELF2, GRIN2A, KCNB1
HP:0011443	Abnormality of coordination	28	0.01049082053203447	3.9285261759596715	1.3536556109968449e-11	1.3652014970906417e-09	8.864803244142411	1.3925055270324542e-07	GABBR2, KCNC2, DNM1, CACNA1B, GABRB2, SYNJ1, NTRK2, KCNA2, FGF12, SCN3A, MYT1L, ATP6V1A, SCN1A, CNKSR2, CYFIP2, HCN1, WWOX, ATP1A3, GABRA2, SCN8A, PPP3CA, UBA5, FOXG1, CLTC, YWHAG, GABRG2, CELF2, KCNB1
HP:0011097	Epileptic spasm	37	0.013862869988759834	3.8583739228175347	1.4974591760460775e-14	2.2653474329391175e-12	11.644865181449406	1.5404362543986e-10	SLC12A5, CHD2, KCNC2, PIK3CA, CACNA1B, DNM1, SCN2A, SYNJ1, SMARCA2, ATP6V0A1, AKT3, SCN1A, SLC6A1, GRIN2A, TBC1D24, EIF4A2, CASK, GAD1, PHACTR1, NSF, SCN8A, WWOX, ATP1A3, PPFIBP1, PURA, GRIK2, TBCD, PPP3CA, TSC1, GRIN2B, ST3GAL3, STXBP1, SETBP1, PLCB1, NEXMIF, CELF2, TBL1XR1
HP:0010841	Multifocal epileptiform discharges	27	0.010116148370176097	3.7882216696753974	9.278636221896429e-11	8.29994180996944e-09	8.08092495240679	9.544933081464857e-07	SLC12A5, ARFGEF1, TBCK, CHD2, GABBR2, ADK, KCNMA1, SCN2A, FGF12, LRPPRC, SCN1A, DEPDC5, MED13L, TBC1D24, PCDH19, GNB1, GNAO1, SCN8A, CDKL5, ATP1A3, SPTBN1, PPP3CA, DOCK7, STXBP1, GABRA1, GABRG2, PLCB1
HP:0200134	Epileptic encephalopathy	63	0.023604346197077557	3.768644296705499	4.46312180094263e-23	2.4164281034893073e-20	19.61682612199101	4.591213396629684e-19	KMT2E, CHD2, CUX2, GABBR2, KCNC2, DNM1, CACNA1B, GABRB2, NRXN1, SCN2A, SYNJ1, GABRB1, NTRK2, KCNA2, AFF3, NAPB, FGF12, KCNB1, SCN3A, ATP6V1A, ARHGEF9, STAG1, SLC25A12, SCN1A, SLC6A1, PAFAH1B1, HNRNPR, FRRS1L, DNM1L, CYFIP2, TBC1D24, GABRB3, CASK, PHACTR1, GNAO1, NSF, HCN1, SCN8A, WWOX, DMXL2, ADAM22, ALG9, CDKL5, PPP3CA, MEF2C, DOCK7, GRIN2B, DCX, UBA5, ST3GAL3, ABAT, STXBP1, GABRA1, DENND5A, GLS, GABRG2, PLCB1, NEXMIF, RNF13, CELF2, GRIN2A, HNRNPU, GUF1
HP:0012447	Abnormal myelination	33	0.012364181341326339	3.690618534868946	1.948416336668116e-12	2.2776544153755576e-10	9.64251217002029	2.0043358855304907e-08	RAB3GAP2, NGLY1, GABBR2, KCNC2, DNM1, CACNA1B, GABRB2, SYNJ1, NTRK2, KCNA2, FGF12, SCN3A, ATP6V1A, SCN1A, CNKSR2, CYFIP2, HCN1, GABRA2, SCN8A, WWOX, ATP1A3, PPP3CA, ZFR, PGAP1, ERCC6, UBA5, FOXG1, CLTC, YWHAG, GABRG2, CELF2, GRIN2A, KCNB1
HP:0003763	Bruxism	19	0.007118771075309105	3.665455226676658	1.1135112117008535e-07	6.545537048438103e-06	5.184054714643463	0.001145468983476668	MBD5, GABBR2, CACNA1B, HTT, ADNP, AFF3, CERT1, MYT1L, VPS13A, ANK3, CDKL5, SPTBN1, FOXG1, HNRNPK, TRAPPC9, PUS7, ZEB2, ATG7, NEXMIF
HP:0008770	Obsessive-compulsive trait	16	0.005994754589733983	3.631410750887091	1.3195474699745626e-06	6.621553572501622e-05	4.17904010288548	0.013574184823628325	ASCC3, GATAD2B, USP7, NDN, SCN2A, GABRA1, YWHAG, PCDH19, GABRG2, FGF13, TRIO, ASH1L, SNRPN, HCN1, SCN1A, TIAM1
HP:0007334	Bilateral tonic-clonic seizure with focal onset	25	0.009366804046459348	3.5725684470532726	2.191473564341849e-09	1.6950141771717746e-07	6.770826664987907	2.25436885563846e-05	SLC12A5, TBCK, CEP85L, KCNMA1, CNTNAP2, KCTD7, PPP2CA, SCN2A, SCN1A, DEPDC5, LGI1, TBC1D24, SCN8A, WWOX, PPFIBP1, ADAM22, FIG4, ATP6V0C, STXBP1, GABRG2, PLCB1, IER3IP1, GRIN2A, KCNQ3, KCNB1
HP:0011182	Interictal epileptiform activity	22	0.008242787560884226	3.464662298040235	4.030709346165037e-08	2.550468201465293e-06	5.593380086762963	0.0004146390704399974	NSRP1, CHD2, CNTNAP2, KANSL1, ADARB1, SCN2A, SCN1A, NBEA, SLC6A1, GRIA1, DEPDC5, FRRS1L, LGI1, MAP1B, PCDH19, SCN8A, STRADA, GABRA1, GABRG2, NEXMIF, GRIN2A, KCNQ3
HP:0010819	Atonic seizure	43	0.01611090295991008	3.4564599725240415	1.6942592509678773e-14	2.5259195528560224e-12	11.59758048525617	1.7428844914706553e-10	ARFGEF1, NGLY1, CHD2, CEP85L, KCNC2, CUX2, PIK3CA, CSNK2A1, DNM1, CNTNAP2, SCN2A, ALG13, CTNNA2, ACBD6, FGF13, AKT3, MAPK10, SCN1A, SLC6A1, PAFAH1B1, FRRS1L, GABRB3, CASK, PCDH19, GNB1, GNAO1, HCN1, DYRK1A, CDKL5, DMXL2, GRIK2, MTHFS, ATP6V0C, DOCK7, RUSC2, ST3GAL3, STXBP1, GABRA1, GABRG2, NEXMIF, GRIN2A, HNRNPU, KCNB1
HP:0009928	Thick nasal alae	17	0.006369426751592357	3.4522292993630574	1.4967520109595219e-06	7.402446123432982e-05	4.130624744814166	0.015397087936740602	SLC6A1, KANSL1, EXT1, SMARCE1, ZSWIM6, ARID1A, ARID1B, TRPS1, SMARCA2, ANKRD17, ARID2, ABCA5, CHD2, KCNH1, NEXMIF, NF1, SCN1A
HP:0001273	Abnormal corpus callosum morphology	47	0.017609591607343576	3.421576874951399	1.6737145556222599e-15	3.0745538631582476e-13	12.51221789414072	1.721750163368619e-11	SLC12A5, KMT2E, GABBR2, KCNC2, DNM1, CACNA1B, GABRB2, ARID1A, SCN2A, SYNJ1, NTRK2, KCNA2, FGF12, SCN3A, PNPT1, ATP6V1A, SCN1A, MID1, CSPP1, CNKSR2, CYFIP2, TBC1D24, DISP1, PDHX, TUBB3, CREBBP, HCN1, SCN8A, GABRA2, WWOX, ATP1A3, PPP3CA, GFM2, UBA5, KMT2A, EP300, FOXG1, ABAT, CLTC, YWHAG, RPGRIP1L, ZEB2, GABRG2, PLCB1, PAFAH1B1, CELF2, KCNB1
HP:0002384	Focal impaired awareness seizure	54	0.020232296740352193	3.33363506931435	5.496800344833166e-17	1.3463234558880662e-14	13.870850587785657	5.654558514729878e-13	SLC12A5, AGO1, CACNA1D, ATP6V1B2, CEP85L, GABBR2, KCNC2, DNM1, CNTNAP2, HTT, SCN2A, POGZ, ATP6V0A1, SCN3A, FGF13, MYT1L, ARHGEF9, SCN1A, ATXN10, EEFSEC, DEPDC5, FRRS1L, DNM1L, LGI1, TBC1D24, MACF1, PCDH19, CDH2, GNB1, FMN2, GNAI1, GNAO1, SCN8A, HCN1, TSC1, ATP1A3, FIG4, GRIK2, VPS35L, STRADA, PPFIBP1, RERE, ATP6V0C, DOCK7, GRIN2B, STXBP1, GABRA1, PNPLA8, GABRG2, PLCB1, PAFAH1B1, GRIN2A, KCNQ3, KCNB1
HP:0011153	Focal motor seizure	23	0.008617459722742601	3.2867629712890114	6.67308915467255e-08	4.038004007889207e-06	5.393833254336584	0.0006864606813411652	NDUFAF6, PIK3CA, BTD, SCN2A, SLC35A3, AKT3, SCN1A, ATXN10, FRRS1L, TBC1D24, CASK, FAR1, GNAO1, CDKL5, SCN8A, ATP1A3, DMXL2, PPP3CA, STXBP1, YWHAG, PAFAH1B1, GRIN2A, KCNQ3
HP:0002373	Febrile seizure (within the age range of 3 months to 6 years)	50	0.018733608092918696	3.1626015760799464	1.0141713430955444e-14	1.630121969753729e-12	11.787779899394048	1.0432780606423866e-10	SLC12A5, MBD5, AGO1, SLC13A3, CHD2, CEP85L, AUH, KCTD7, CACNB4, SCN2A, RSRC1, POGZ, KCNA2, WDR26, FGF13, APP, ATP6V1A, NFIX, SLC25A12, SCN1A, SLC44A1, MAF, KCNJ6, HNRNPR, CNKSR2, TBC1D24, KMT5B, CASK, GABRB3, PCDH19, GNB1, GNAO1, SCN8A, HCN1, HERC2, DMXL2, GRIA2, TBCD, DYRK1A, CDKL5, SPTBN1, OTUD7A, ATP6V0C, GABRA1, SETBP1, GLS, GABRG2, GRIN2A, KCNQ3, RFX7
HP:0005484	Secondary microcephaly	53	0.01985762457849382	3.1460587370666055	2.1086563699891308e-15	3.7399565651858943e-13	12.42713344154541	2.1691748078078188e-11	SLC12A5, MBD5, MED17, RAB3GAP2, NGLY1, PRORP, RAP1B, GABBR2, DNM1, CACNA1B, SNRPN, EXOC2, GABRB2, EFTUD2, NTRK2, NEXMIF, CTNNA2, KIF5C, FGF12, CERT1, SLC25A12, SCN1A, EEFSEC, HNRNPR, ATP9A, TBC1D24, ARNT2, VPS50, TAF2, UBE3A, WDR37, CREBBP, CDKL5, WWOX, DYRK1A, TBCD, ADAM22, TRIO, TCF4, RUSC2, FTO, COG6, DCX, UBA5, EP300, PPP1R12A, TRAPPC9, CLTC, GLS, ZEB2, PAFAH1B1, GRIN2A, SDHD
HP:0010818	Generalized tonic seizure	26	0.009741476208317721	3.1349288122892465	3.07239585338393e-08	2.0131042129783754e-06	5.696133742274803	0.0003160573614376049	CHD2, CUX2, DNM1, CACNB4, SCN2A, ARHGEF9, MAPK10, SCN1A, VPS50, CTCF, GABRB3, CASK, PCDH19, GNB1, GNAO1, SCN8A, CDKL5, DMXL2, TBCD, DOCK7, STXBP1, GABRA1, GABRG2, PAFAH1B1, GRIN2A, KCNQ3
HP:0000729	Autistic behavior	179	0.06706631697264893	3.132194703783849	9.157513597079746e-49	9.420334237315935e-45	44.02593368798772	9.420334237315934e-45	MED13, NDN, PHF21A, TAF1, MED12L, TCF20, GABBR2, KCNC2, WAC, PIGL, CRB1, ADNP, SETD2, SNX14, VPS13B, USP7, RORA, NTRK2, POGZ, ARID2, CC2D2A, ZMYM2, NLGN1, FGF13, MID1, TAOK1, SYN1, ZSWIM6, NOVA2, RIMS2, FRRS1L, TBC1D24, KMT5B, THOC2, CASK, GABRB3, HECW2, CDH2, PHACTR1, ZNF462, NF1, SPECC1L, CREBBP, GABRA2, HERC2, GRIK2, CAMTA1, EP300, RPGRIP1L, GALNT2, NEXMIF, FOXP1, PTEN, TIAM1, TNRC6B, PACS1, ARID1B, ATP6V1B2, SON, BCL11B, SBDS, SYT1, COG5, CLCN3, SCN2A, CTNNB1, HIVEP2, AFF3, PLCB4, WDR26, ACBD6, NIPBL, NFIX, MAPK8IP3, KAT6A, GATAD2B, MAP1B, PCDH19, CUL3, GABBR1, SCN8A, CDKL5, SBF2, SOX6, HCN1, TRIO, RERE, DCX, PRKAR1B, JARID2, ATP2B1, SLF2, CAPRIN1, ATG7, TBC1D23, GRIN2A, MBD5, RLIM, ANKRD17, PRORP, TCF12, CHD2, CUX2, ZNF292, HDAC4, UBE3C, SNRPN, PPP2CA, SETD5, SMARCA2, AFF2, RSRC1, TRIP12, AUTS2, MYT1L, SCN1A, NBEA, SLC6A1, MTSS2, SPEN, STAG2, FRMPD4, FBXO11, PDE4D, ALMS1, DYRK1A, DMXL2, SPTBN1, TANC2, MEF2C, GABRA1, STXBP1, GABRG2, NAA15, PSMD12, PDZD8, TBL1XR1, AGO1, NLGN4X, CEP85L, SMARCE1, ASH1L, DNM1, USP9X, CNTNAP2, FBXW11, KANSL1, ARID1A, ZNF711, ASXL3, CTNNA2, ATP6V0A1, SLC35A3, GNAQ, STAG1, MAPK10, GRIA1, DEPDC5, ATP9A, MED13L, ANK3, CTCF, UBE3A, TLK2, CDK8, GNAO1, GNAI1, EXT2, VAMP2, ATP1A3, KMT2C, TSC1, GRIA2, TCF4, TOGARAM1, SETBP1, SPATA7, CELF2, RFX7
HP:0012760	Reduced social responsiveness	28	0.01049082053203447	3.1314339083736513	9.402740839048321e-09	6.625068151458225e-07	6.178809649821343	9.672599501129008e-05	MBD5, CHD2, GABBR2, CNTNAP2, SNRPN, VPS13C, ZMYND11, ADNP, SYNJ1, POGZ, NLGN1, SCN1A, SLC6A1, UCHL1, PRKN, HERC1, GTF2E2, TUBB3, NF1, CREBBP, CDKL5, SPTBN1, GRIK2, DNAJC6, FOXG1, EP300, CLTC, NEXMIF
