Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5246584741596578	-2.9748535886969703	<0.0001	<0.0001	PL21
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.4347702049428793	-2.7887511337941904	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.3983398470606945	2.749985952539336	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.4157118537185996	-2.7162394990408827	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4682967660845969	-2.701213516329537	<0.0001	<0.0001	U937
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.4228696010415805	-2.694818954332729	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.3852913276410165	-2.6675163429858046	<0.0001	<0.0001	NEU
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.4456130445153407	-2.6636128215017245	<0.0001	<0.0001	U937
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.3884000799459011	-2.6572842381429775	<0.0001	<0.0001	NEU
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4304917940448686	-2.654036258537886	<0.0001	<0.0001	THP1
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.4408835398689263	2.628399058631846	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.44714676139482595	-2.612284211670704	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.374157208441507	2.5901461131572976	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.38325897665268194	2.5865018599231853	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.459590755591103	-2.5856282601555662	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A11	DB07232	Veliparib	0.3752272615822182	2.5793572461410292	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.439430500876032	-2.5588163886028856	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.43476479787515177	-2.5464574748228066	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:A07	DB07232	Veliparib	0.40765602635008696	2.5324919271513324	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.40955668594556865	-2.520949819422774	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:E01	DB11743	Ipatasertib	-0.37481517987502794	-2.520656281830239	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.4103798845631974	-2.508013892953699	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:C01	DB11800	Tivozanib	0.41813137977142145	2.4915573152126385	<0.0001	<0.0001	JURKAT
LJP007_NEU_24H:P04	DB09054	Idelalisib	0.35928164341463603	2.48553679042236	<0.0001	<0.0001	NEU
LJP008_NEU_24H:O04	DB07101	PD-0325901	0.3838956284251723	2.4792016339571186	<0.0001	<0.0001	NEU
LJP007_NEU_24H:N14	DB09330	Osimertinib	0.39927324645497814	2.4781991722912213	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M05	DB02709	Resveratrol	0.364524732844358	2.465086304030735	<0.0001	<0.0001	NEU
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.42200037669090895	-2.460486666994569	<0.0001	<0.0001	NOMO1
LJP007_NEU_24H:H07	DB09053	Ibrutinib	0.4016663843887725	2.4563961968236887	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D24	DB06616	Bosutinib	-0.4031124650230791	-2.4476410683855034	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O06	DB07101	PD-0325901	0.33072126072959585	2.4232905982953694	<0.0001	<0.0001	NEU
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.3800010798950834	-2.4011347207670197	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:O03	DB07101	PD-0325901	0.3342201878382314	2.3998770293489935	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.378373411692129	-2.393848729138258	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O05	DB07101	PD-0325901	0.3349306981790891	2.3936500229436666	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D23	DB06616	Bosutinib	-0.3705641123280473	-2.3928611791336496	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D24	DB13061	MLN8054	-0.3651740428817797	-2.3926753121529427	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A18	DB12742	Amuvatinib	-0.3445965087147031	-2.3851440020813235	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.420497689384716	2.3785969193687744	<0.0001	<0.0001	NPC
LJP008_NEU_24H:M06	DB02709	Resveratrol	0.37215769058721	2.3765713000667206	<0.0001	<0.0001	NEU
