GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0051963	regulation of synapse assembly	17	0.006369426751592357	3.8583739228175347	2.0303309059144253e-07	7.335040450997645e-05	4.134597486783667	0.0024538579328881745	OPCML, CRTAC1, CTNNB1, NEGR1, CHD4, SEMA4D, SRGAP2, RAP2A, SRGAP2C, SETD5, OGT, SRGAP3, CLSTN3, SRGAP2B, NLGN4X, LSAMP, MEF2C
GO:0007612	learning	27	0.010116148370176097	3.205418335879183	9.435766268168036e-09	6.3355928398377155e-06	5.198212740682067	0.00011404067111707889	GABRB3, PAK5, SYT11, CNTNAP2, NLGN4Y, PLCB1, BCHE, NRXN1, NLGN4X, ELAVL4, ATAD1, GRM5, SLC24A2, SYNJ1, PRKN, APP, PPP3CB, FYN, SHANK2, FGF13, NRXN3, NTRK2, SLC12A5, ATP8A1, GRIN2A, ATXN1, SLC8A3
GO:0042752	regulation of circadian rhythm	28	0.01049082053203447	3.177484407026205	6.372177566030623e-09	4.530243415473301e-06	5.343878462190978	7.701413806304611e-05	PSPC1, CSNK1E, USP9X, CLOCK, MAPK10, FBXW7, TARDBP, MAGED1, GSK3B, KDM2A, MAPK8, HNRNPD, PRKAA2, UBE3A, PPARGC1A, PRKDC, ADCY1, BTRC, RORA, ROCK2, OPN3, SFPQ, ATG7, USP7, PROX1, MAPK9, SKP1, NR1D2
GO:0050808	synapse organization	29	0.010865492693892843	3.024130912478608	1.3208160547920316e-08	8.401780441166577e-06	5.075628671814417	0.00015963382838216495	SLC6A1, SYN1, SNCB, NLGN4X, GPHN, TSC1, SYN3, GRM5, NPTN, APP, CTNNB1, SYN2, LARGE1, NRCAM, CNTN4, GET1, CAPS2, SHANK2, PPFIA2, CNTN6, PAK3, TNR, CAPRIN1, CD2AP, MAPT, APBB2, CTNND2, SLC8A3, NBEA
GO:0048812	neuron projection morphogenesis	27	0.010116148370176097	2.8541396141389983	1.7016458690257988e-07	6.63422321711155e-05	4.178209920165206	0.0020566091973045803	PPP1R12B, GABRB3, NYAP2, KIRREL3, PACSIN1, CNTNAP2, NRXN1, EPB41L3, MAP4K4, PLXNA4, SLIT1, NEGR1, TRIO, NCKAP1, VPS54, TAOK3, PPP1R12A, DICER1, GAS7, NLGN1, SRGAP2, CNTNAP1, TNIK, GPM6A, ATP9A, SGK1, KDM1A
GO:0050804	modulation of chemical synaptic transmission	44	0.016485575121768452	2.853251304268429	2.5469926453779193e-11	3.4203281235597257e-08	7.46593222861761	3.078295311203753e-07	PRKAR1B, NXPH1, GRIK1, PTPRD, CPLX2, GRIA4, SYN1, NLGN4X, ARHGAP44, BSN, EPHA7, DLGAP1, BTBD9, SYN3, GRM5, DLGAP2, GRID1, PXK, AKAP7, NRG3, PLPPR4, NPTN, PRKN, STAU1, PPP3CA, UBE3A, ADCY1, GRIA1, FYN, PAFAH1B1, MAPK9, JAK2, GRIK2, DGKE, CDKL5, NLGN1, CACNA1B, TNR, PCDH8, GRIN2A, LRRC4C, RTN4, LRP8, GRIA2
GO:0007416	synapse assembly	28	0.01049082053203447	2.770114611253615	2.098928379014185e-07	7.335040450997645e-05	4.134597486783667	0.002536764838876544	MAP1B, KIRREL3, DNM3, NLGN4Y, NRXN1, NLGN4X, GPHN, ERBB4, CLSTN3, PLXNA4, DNER, SLC25A46, NRG3, NRCAM, RYK, GRIA1, SHANK2, PTEN, ADD2, CDH2, FARP1, DSCAM, NLGN1, CAPRIN1, PLXNA2, GPM6A, MAPT, ADGRL3
GO:0070936	protein K48-linked ubiquitination	34	0.012738853503184714	2.704839451047344	2.1706942570560753e-08	1.3117505395389863e-05	4.882148748498973	0.0002623501079077973	CDC27, UBE2H, HACE1, MYCBP2, TTC3, SKP1, ASB3, ANAPC10, RFFL, CDC16, UBE2D3, ITCH, KLHL3, CUL3, RNF216, HUWE1, ZNRF2, UBR5, KBTBD6, PRKN, FBXO38, UBE3A, UBE2K, UBE2E3, BTRC, UBE2D2, UBR4, ANAPC5, ANAPC1, UBE3C, ANAPC4, NEDD4L, UBE2E2, UBE2E1
GO:0017148	negative regulation of translation	32	0.011989509179467965	2.5722492818783564	2.1241636255578155e-07	7.335040450997645e-05	4.134597486783667	0.0025672641578491757	CIRBP, DAPK1, QKI, ILF3, DDX6, RBM4, PURA, CPEB3, CELF4, CPEB1, XRN1, NCL, FXR1, SYNCRIP, SERBP1, EIF2AK2, LSM14A, GAPDH, SAMD4A, LARP1, EPHA4, PUS7, CSNK2A1, PURB, PAIP2, CAPRIN1, CNOT9, IREB2, PRKCA, HELZ, ZNF540, GIGYF2
GO:0048511	rhythmic process	48	0.01798426376920195	2.5370129903457763	3.7211888127281655e-10	2.998285866042174e-07	6.523126962506398	4.497428799063261e-06	PSPC1, NRIP1, PER3, NCOA2, MYCBP2, OGT, NCOR1, CREBBP, CSNK1E, HNRNPU, USP9X, CLOCK, LGR4, MAPK10, FBXW7, TARDBP, HUWE1, MAGED1, GSK3B, KDM2A, MAPK8, HNRNPD, SIRT1, KMT2A, PRKAA2, GPR176, AHR, UBE3A, PPARGC1A, ENOX1, HLF, PRKDC, ADCY1, BTRC, EP300, RORA, CREB1, ROCK2, CSNK2A1, SFPQ, NLGN1, ATG7, USP7, DNM1L, PROX1, MAPK9, FBXW11, NR1D2
