GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0040082	Happy demeanor	15	0.005620082427875608	5.511962746882192	1.1824801655022796e-09	9.578089340568465e-08	7.01872111635011	1.216417346252195e-05	PRKAR1B, ZSWIM6, TASP1, ASXL1, ADNP, UBE3A, TCF4, TBC1D23, DYRK1A, WDR26, HNRNPC, SNRPN, GRIK2, ZEB2, HDAC8
HP:0007270	Atypical absence seizure	23	0.008617459722742601	4.930144456933517	1.4967848058784186e-12	1.7698189997783094e-10	9.752071146868122	1.5397425298071293e-08	GABRB3, CUX2, SCN1A, CHD2, PCDH19, HNRNPU, ZEB2, EIF4A2, MAPK10, CACNB4, FRRS1L, CEP85L, PPP3CA, UBE3A, PAFAH1B1, KCNB1, SCN2A, GABRG2, DNM1, GRIN2A, KCNMA1, OTUD7A, GABRA1
HP:0011185	EEG with focal epileptiform discharges	12	0.004496065942300487	4.630048707381042	1.0050736149453266e-06	5.143876754697798e-05	4.288709445487387	0.010339192276942575	UBE3A, GABRA1, RNF13, SCN1A, DEPDC5, KANSL1, PCDH19, STXBP1, SCN2A, LGI1, GABRG2, KCTD7
HP:0006813	Focal hemiclonic seizure	15	0.005620082427875608	4.630048707381041	4.263461895910416e-08	2.6420622001946056e-06	5.578056962314485	0.00043858232523230454	SLC12A5, FRRS1L, SCN8A, SCN1A, ATP1A3, GRIN2A, CUX2, PCDH19, PLCB1, KANSL1, SCN2A, TBC1D24, GNB1, GABRG2, GABRA1
HP:0100023	Recurrent hand flapping	18	0.0067440989134507304	4.630048707381041	1.8387489677432805e-09	1.443909208486651e-07	6.840460113894421	1.8915210631175127e-05	NEXMIF, PRKAR1B, PDZD8, SLC4A10, UBE3A, TRAPPC9, KMT5B, HERC2, GABBR2, MBD5, CUX2, HECW2, TRAPPC6B, NOVA2, AFF2, CSNK2A1, GRIK2, ASXL3
HP:0020221	Clonic seizure	16	0.005994754589733983	4.57288761222819	1.9178554513479488e-08	1.281102534286776e-06	5.8924161096831815	0.0001972897902801635	NAPB, SCN3A, SCN2A, TPK1, KIF5C, ATP6V1A, DENND5A, DNM1, SCN8A, HCN1, SPTBN1, KIF5A, GRIK2, TBC1D24, GRIA2, ATP6V0A1
HP:0002883	Hyperventilation	20	0.007493443237167478	4.539263438608864	3.751738829035558e-10	3.2706896046007444e-08	7.4853606693893715	3.859413733428879e-06	GABRB3, TCF4, SYT1, GABBR2, CNTNAP2, MT-ND3, CPLANE1, NRXN1, BTD, MT-ND2, MT-ND5, HLCS, ARL13B, MT-ND4, MT-ND6, DEPDC5, GABRG2, CDKL5, TLK2, GABRA1
HP:0032792	Tonic seizure	48	0.01798426376920195	4.462697549282932	5.0347968206329555e-22	2.339322200604212e-19	18.63090995762326	5.179295489385121e-18	CLCN3, TBL1XR1, ST3GAL3, GABBR2, CUX2, SCN1A, CHD2, FGF12, CNTNAP2, PLCB1, HNRNPU, ATP6V0C, UFSP2, COG3, SLC25A12, DMXL2, CUL3, PPFIBP1, ARHGEF9, RUSC2, DOCK7, MTHFS, SYNJ1, NAPB, CEP85L, PPP3CA, ADNP, LNPK, KCNC2, DENND5A, ALG13, SCN8A, ATP1A3, TSEN2, SCN2A, GRIK2, GNB1, GABRG2, NEXMIF, ATP6V1A, CACNA1B, NSF, DNM1, ARFGEF1, CACNA1C, GRIA2, PHACTR1, ATP6V0A1
HP:0002266	Focal clonic seizure	13	0.004870738104158861	4.179905083052329	1.7461054150886561e-06	8.553422097627146e-05	4.067860095707686	0.017962186405017004	UFSP2, KCNQ3, ST3GAL3, ADAM22, FRRS1L, PEX3, DMXL2, WWOX, GABBR2, SCN8A, GRIN2A, SCN2A, LGI1
HP:0010844	EEG with multifocal slow activity	28	0.01049082053203447	4.076772446750603	4.1649566287696076e-12	4.5579690255481863e-10	9.34122863046745	4.284490884015295e-08	SCN3A, CYFIP2, UBA5, GABBR2, SCN1A, FGF12, HCN1, KCNA2, CNKSR2, YWHAG, SYNJ1, CELF2, GABRB2, PPP3CA, WWOX, KCNC2, SCN8A, ATP1A3, KCNB1, GABRG2, NTRK2, CLTC, ATP6V1A, CACNA1B, DNM1, GRIN2A, FOXG1, GABRA2
