ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB00679	DB06448	Thioridazine	Lonafarnib	1.4583333333333335	N		False	False
DB06448	DB00939	Lonafarnib	Meclofenamic acid	1.3285714285714283		M	False	False
DB06448	DB00898	Lonafarnib	Ethanol	1.3062678062678064		V, D	False	False
DB01954	DB00590	Rolipram	Doxazosin	1.2083333333333335		C	False	False
DB06448	DB00590	Lonafarnib	Doxazosin	1.2083333333333335		C	False	False
DB06075	DB00590	Linsitinib	Doxazosin	1.2083333333333335		C	False	False
DB00694	DB00898	Daunorubicin	Ethanol	1.158119658119658	L	V, D	False	False
DB01954	DB00170	Rolipram	Menadione	1.15		B	False	False
DB00898	DB01954	Ethanol	Rolipram	1.084045584045584	V, D		False	False
DB06448	DB00170	Lonafarnib	Menadione	1.0666666666666664		B	False	False
DB00939	DB01954	Meclofenamic acid	Rolipram	1.0428571428571427	M		False	False
DB07232	DB00939	Veliparib	Meclofenamic acid	1.0428571428571427		M	False	False
DB00694	DB00590	Daunorubicin	Doxazosin	1.0416666666666665	L	C	False	False
DB06448	DB12010	Lonafarnib	Fostamatinib	1.0181581703320832		B	False	False
DB07374	DB01954	Anisomycin	Rolipram	1.0			False	False
DB00824	DB06448	Enprofylline	Lonafarnib	1.0			False	False
DB08877	DB01954	Ruxolitinib	Rolipram	1.0	L		False	False
DB00694	DB01954	Daunorubicin	Rolipram	1.0	L		False	False
DB07374	DB08877	Anisomycin	Ruxolitinib	1.0		L	False	False
DB07232	DB01954	Veliparib	Rolipram	1.0			False	False
DB07232	DB08877	Veliparib	Ruxolitinib	1.0		L	False	False
DB03496	DB00694	Alvocidib	Daunorubicin	1.0		L	False	False
DB06448	DB01954	Lonafarnib	Rolipram	1.0			False	False
DB06448	DB08877	Lonafarnib	Ruxolitinib	1.0		L	False	False
DB00694	DB06075	Daunorubicin	Linsitinib	1.0	L		False	False
DB07232	DB06075	Veliparib	Linsitinib	1.0			False	False
DB00694	DB01259	Daunorubicin	Lapatinib	1.0	L	L	False	False
DB00694	DB08877	Daunorubicin	Ruxolitinib	1.0	L	L	False	False
DB06448	DB06075	Lonafarnib	Linsitinib	1.0			False	False
DB06448	DB07232	Lonafarnib	Veliparib	1.0			False	False
DB06448	DB00694	Lonafarnib	Daunorubicin	1.0		L	False	False
DB03496	DB06448	Alvocidib	Lonafarnib	1.0			False	False
DB06448	DB01259	Lonafarnib	Lapatinib	1.0		L	False	False
DB01791	DB00590	Piclamilast	Doxazosin	1.0		C	False	False
DB00824	DB00694	Enprofylline	Daunorubicin	1.0		L	False	False
DB01954	DB06075	Rolipram	Linsitinib	1.0			False	False
DB01954	DB01259	Rolipram	Lapatinib	1.0		L	False	False
DB01791	DB00170	Piclamilast	Menadione	0.9892857142857143		B	False	False
DB06075	DB00170	Linsitinib	Menadione	0.9833333333333334		B	False	False
DB06448	DB00421	Lonafarnib	Spironolactone	0.9833333333333334		C	False	False
DB07232	DB00898	Veliparib	Ethanol	0.9729344729344729		V, D	False	False
DB01954	DB12010	Rolipram	Fostamatinib	0.9646464646464645		B	False	False
DB00679	DB01954	Thioridazine	Rolipram	0.9583333333333335	N		True	False
DB00679	DB00694	Thioridazine	Daunorubicin	0.9583333333333335	N	L	False	False
DB00679	DB07232	Thioridazine	Veliparib	0.9583333333333335	N		False	False
DB00679	DB06075	Thioridazine	Linsitinib	0.9583333333333335	N		False	False
DB06448	DB00273	Lonafarnib	Topiramate	0.9545454545454546		N	False	False
DB06448	DB01065	Lonafarnib	Melatonin	0.95		N	False	False
DB00898	DB08877	Ethanol	Ruxolitinib	0.9478021978021975	V, D	L	False	False
DB00694	DB12010	Daunorubicin	Fostamatinib	0.9412350934090064	L	B	False	False
DB00898	DB01791	Ethanol	Piclamilast	0.9299450549450547	V, D		False	False
DB00898	DB00590	Ethanol	Doxazosin	0.9299450549450547	V, D	C	False	False
DB00824	DB00590	Enprofylline	Doxazosin	0.9249999999999998		C	False	False
DB00679	DB00170	Thioridazine	Menadione	0.9208333333333334	N	B	False	False
DB00170	DB00590	Menadione	Doxazosin	0.9178571428571427	B	C	False	False
DB06595	DB01954	Midostaurin	Rolipram	0.9166666666666665	L		False	False
DB06595	DB07232	Midostaurin	Veliparib	0.9166666666666665	L		False	False
DB06595	DB06448	Midostaurin	Lonafarnib	0.9166666666666665	L		False	False
DB07232	DB12010	Veliparib	Fostamatinib	0.9111347589608458		B	False	False
DB01954	DB02546	Rolipram	Vorinostat	0.8999999999999999		L	False	False
DB07374	DB00939	Anisomycin	Meclofenamic acid	0.8999999999999999		M	False	False
DB07374	DB00170	Anisomycin	Menadione	0.8999999999999999		B	False	False
DB00694	DB00939	Daunorubicin	Meclofenamic acid	0.8999999999999999	L	M	False	False
DB00939	DB06075	Meclofenamic acid	Linsitinib	0.8999999999999999	M		False	False
DB08877	DB00170	Ruxolitinib	Menadione	0.8999999999999999	L	B	False	False
DB00939	DB08877	Meclofenamic acid	Ruxolitinib	0.8999999999999999	M	L	False	False
DB00694	DB00170	Daunorubicin	Menadione	0.8999999999999999	L	B	False	False
DB03496	DB00939	Alvocidib	Meclofenamic acid	0.8999999999999999		M	False	False
DB00939	DB01791	Meclofenamic acid	Piclamilast	0.8861111111111111	M		False	False
DB12010	DB00590	Fostamatinib	Doxazosin	0.8761913151448035	B	C	True	False
DB01791	DB01259	Piclamilast	Lapatinib	0.875		L	False	False
DB07374	DB00590	Anisomycin	Doxazosin	0.875		C	False	False
DB06448	DB08059	Lonafarnib	Wortmannin	0.875			False	False
DB06448	DB01791	Lonafarnib	Piclamilast	0.875			False	False
DB08877	DB01791	Ruxolitinib	Piclamilast	0.875	L		False	False
DB03496	DB00590	Alvocidib	Doxazosin	0.875		C	False	False
DB07232	DB01791	Veliparib	Piclamilast	0.875			False	False
DB07232	DB08059	Veliparib	Wortmannin	0.875			False	False
DB01259	DB00590	Lapatinib	Doxazosin	0.875	L	C	False	False
DB07232	DB00590	Veliparib	Doxazosin	0.875		C	False	False
DB00694	DB01791	Daunorubicin	Piclamilast	0.875	L		False	False
DB07374	DB01791	Anisomycin	Piclamilast	0.875			False	False
DB01791	DB06075	Piclamilast	Linsitinib	0.875			False	False
DB08877	DB00590	Ruxolitinib	Doxazosin	0.875	L	C	False	False
DB12010	DB06075	Fostamatinib	Linsitinib	0.874345461301983	B		False	False
DB00939	DB00170	Meclofenamic acid	Menadione	0.8666666666666669	M	B	False	False
DB07374	DB06075	Anisomycin	Linsitinib	0.8666666666666667			False	False
DB00694	DB07374	Daunorubicin	Anisomycin	0.8666666666666667	L		False	False
DB00898	DB00939	Ethanol	Meclofenamic acid	0.8622132253711203	V, D	M	True	False
DB00898	DB06075	Ethanol	Linsitinib	0.8618233618233617	V, D		False	False
DB00824	DB08877	Enprofylline	Ruxolitinib	0.8500000000000001		L	False	False
DB00939	DB12010	Meclofenamic acid	Fostamatinib	0.8480901732557362	M	B	False	False
DB08059	DB00170	Wortmannin	Menadione	0.8464285714285715		B	False	False
DB03496	DB01954	Alvocidib	Rolipram	0.8461538461538463			False	False
DB12010	DB00170	Fostamatinib	Menadione	0.8385878327246405	B	B	False	False
DB02424	DB00694	Geldanamycin	Daunorubicin	0.8333333333333335		L	False	False
DB00499	DB06075	Flutamide	Linsitinib	0.8333333333333335	L		False	False
DB00499	DB01954	Flutamide	Rolipram	0.8333333333333335	L		False	False
DB02424	DB07232	Geldanamycin	Veliparib	0.8333333333333335			False	False
DB00499	DB08877	Flutamide	Ruxolitinib	0.8333333333333335	L	L	False	False
DB02424	DB01954	Geldanamycin	Rolipram	0.8333333333333335			False	False
DB00694	DB00499	Daunorubicin	Flutamide	0.8333333333333335	L	L	False	False
DB00679	DB07374	Thioridazine	Anisomycin	0.8333333333333335	N		False	False
DB02424	DB06448	Geldanamycin	Lonafarnib	0.8333333333333335			False	False
DB06448	DB00499	Lonafarnib	Flutamide	0.8333333333333335		L	False	False
DB00824	DB00939	Enprofylline	Meclofenamic acid	0.8318181818181816		M	False	False
DB01791	DB12010	Piclamilast	Fostamatinib	0.8296796872378267		B	False	False
