# Reference distribution mean: 0.4613978928308757 and standard deviation: 1.6385374027916813
# Threshold: 0.89
# 23.24% of reference distribution below threshold, 25.31% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB02235	-7.859026979751538	-5.077958463692298	L-methionine (R)-S-oxide
DB09151	-7.859026979751538	-5.077958463692298	Flutemetamol (18F)
DB05088	-7.859026979751538	-5.077958463692298	Tetrathiomolybdate
DB12274	-7.859026979751538	-5.077958463692298	Aducanumab
DB05150	-7.859026979751538	-5.077958463692298	CAD106
DB09149	-7.859026979751538	-5.077958463692298	Florbetapir (18F)
DB09148	-7.859026979751538	-5.077958463692298	Florbetaben (18F)
DB06782	-7.859026979751538	-5.077958463692298	Dimercaprol
DB05938	-7.859026979751538	-5.077958463692298	Edonerpic
DB00746	-7.859026979751538	-5.077958463692298	Deferoxamine
DB03754	-7.859026979751538	-5.077958463692298	Tromethamine
DB05846	-7.859026979751538	-5.077958463692298	Mito-4509
DB00317	-7.445417556701687	-4.825532475524339	Gefitinib
DB16640	-7.445417556701687	-4.825532475524339	Almonertinib
DB12202	-7.445417556701687	-4.825532475524339	Zalutumumab
DB01269	-7.445417556701687	-4.825532475524339	Panitumumab
DB11963	-7.445417556701687	-4.825532475524339	Dacomitinib
DB09559	-7.445417556701687	-4.825532475524339	Necitumumab
DB05101	-7.445417556701687	-4.825532475524339	Matuzumab
DB05524	-7.445417556701687	-4.825532475524339	Pelitinib
DB11828	-7.445417556701687	-4.825532475524339	Neratinib
DB11737	-7.445417556701687	-4.825532475524339	Icotinib
DB05374	-7.445417556701687	-4.825532475524339	Rindopepimut
DB13164	-7.445417556701687	-4.825532475524339	Olmutinib
DB09330	-7.445417556701687	-4.825532475524339	Osimertinib
DB07602	-7.445417556701687	-4.825532475524339	S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE
DB05424	-7.445417556701687	-4.825532475524339	Canertinib
DB16390	-7.445417556701687	-4.825532475524339	Mobocertinib
DB11942	-7.247792581767846	-4.704921878172619	Selinexor
DB02623	-7.177782416195197	-4.662194647501309	Aminophosphonic acid-guanylate ester
DB02840	-7.00397413672268	-4.556119388446258	4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid
DB07100	-7.00397413672268	-4.556119388446258	4-CHLORO-6-(4-PIPERAZIN-1-YL-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB07317	-7.00397413672268	-4.556119388446258	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB06964	-7.00397413672268	-4.556119388446258	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE
DB04054	-7.00397413672268	-4.556119388446258	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
