	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
0	DB00313	valproic-acid	"**Indicated** for:[Label] 

1) Use as monotherapy or adjunctive therapy in the management of complex partial seizures and simple or complex absence seizures. 

2) Adjunctive therapy in the management of multiple seizure types that include absence seizures. 

3) Prophylaxis of migraine headaches.

4) Acute management of mania associated with bipolar disorder.


**Off-label** uses include:
 
1) Maintenance therapy for bipolar disorder.[A177919]

2) Treatment for acute bipolar depression.[A177928,A177931,A177934]

3) Emergency treatment of status epilepticus.[A177955]"	OGDH, HDAC2, PPARD, ALDH5A1, PPARG, SCN1A, HDAC9, ACADSB, PPARA	-0.6340473602475019	1.802753098299324e-18
1	DB02424	geldanamycin		HSP90AB1, HSP90B1, HSP90AA1	-2.897405595421956	2.350284665883487e-16
2	DB00197	troglitazone	For the treatment of Type II diabetes mellitus. It is used alone or in combination with a sulfonylurea, metformin, or insulin as an adjunct to diet and exercise.	ACSL4, ESRRA, PPARD, SERPINE1, SLC29A1, ESRRG, PPARG, GSTP1, PPARA	-0.0379267972487888	2.580443708492089e-15
3	DB03496	alvocidib	Investigated for use/treatment in esophageal cancer, leukemia (lymphoid), lung cancer, liver cancer, and lymphoma (unspecified).	PYGM, EGFR, CDK5, CDK7, CDK2, CDK6, CDK9, PYGB, CDK4, CDK8, CDK1	-0.8477376300452232	5.0448283065745315e-12
4	DB06595	midostaurin	Investigated for use/treatment in adult patients with high-risk acute myeloid leukemia (AML) who are FLT3 mutation-positive, agressive systemic mastocytosis (ASM), systemic mastocytosis with associated hematological neoplasm (SM-AHN), or mast cell leukemia (MCL). 	KDR, PDGFRA, KIT, FLT3, PRKCA, PDGFRB	-1.0261302071206364	1.3576042286259176e-11
5	DB00679	thioridazine	For the treatment of schizophrenia and generalized anxiety disorder.	ADRA1A, HTR2A, KCNH2, DRD2, DRD1, ADRA1B	-0.1646320834602972	3.477389444932702e-11
6	DB00824	enprofylline	Used in the management of symptoms of asthma. Also used in the treatment of peripheral vascular diseases and in the management of cerebrovascular insufficiency, sickle cell disease, and diabetic neuropathy.	PDE4A, ADORA3, ADORA2B, ADORA2A, ADORA1, PDE4B	-0.1223016086807903	2.578445455205911e-10
7	DB06448	lonafarnib	Lonafarnib is a farnesyltransferase inhibitor indicated in patients aged 12 months and older with a body surface area of at least 0.39 m<sup>2</sup> to reduce the risk of mortality associated with Hutchinson-Gilford progeria syndrome (HGPS). It is also indicated in this same population for the treatment of processing-deficient progeroid laminopathies that either involve a heterozygous _LMNA_ mutation resulting in the accumulation of a progerin-like protein or homozygous/compound heterozygous mutations in _ZMPSTE24_.[L23414]	FNTA, FNTB	-1.3907295512834923	6.520213091403223e-10
8	DB00273	topiramate	"Topiramate is indicated  for the following conditions: 1)Monotherapy for partial onset or primary generalized tonic-clonic seizures for patients 2 years of age and above 2)Adjunctive therapy for partial onset seizures or primary generalized tonic-clonic seizures for both adult and pediatric patients above 2 years old 3)Adjunctive therapy for seizures associated with Lennox-Gastaut syndrome in patients above 2 years of age 4)Prophylaxis of migraine in children 12 years of age and older and adults.[L10544]

Topiramate is also used off-label as an adjunct therapy for weight management[L10550] and for mood disorders.[A188312]"	GRIK1, CA1, CACNA1E, SCN1A, CA3, CA4, CACNA1C, CA2, GABRA1	-0.718297675645672	1.6095910028892334e-09
9	DB00694	daunorubicin	"For remission induction in acute nonlymphocytic leukemia (myelogenous, monocytic, erythroid) of adults and for remission induction in acute lymphocytic leukemia of children and adults.

Daunorubicin is indicated in combination with [cytarabine] for the treatment of newly-diagnosed therapy-related acute myeloid leukemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC) in adults and pediatric patients 1 year and older.[L32843]"	TOP2B, TOP2A	-1.566116809344411	4.1086809302133424e-09
10	DB00499	flutamide	For the management of locally confined Stage B2-C and Stage D2 metastatic carcinoma of the prostate	NR1I2, AHR, AR	-0.8843330442841292	4.1086809302133424e-09
11	DB07232	veliparib		PARP2, PARP1	-2.0104757731556644	2.3780298438968725e-08
12	DB07374	anisomycin		RPL10L, RPL15, RSL24D1, RPL19, SNU13, RPL23A, RPL8, RPL11, RPL23, RPL37, RPL3, RPL13A, RPL26L1	0.0528909815489178	2.3780298438968725e-08
13	DB12442	alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-4.556119388446258	5.450276117592741e-08
14	DB08059	wortmannin		PIK3R1, PIK3CA, PLK1, PIK3CG	-1.7346567360576823	5.450276117592741e-08
15	DB00898	palmitoylethanolamide	For therapeutic neurolysis of nerves or ganglia for the relief of intractable chronic pain in such conditions as inoperable cancer and trigeminal neuralgia (tic douloureux), in patients for whom neurosurgical procedures are contraindicated.	GABRB3, CHRNA6, SLC29A2, CACNA1S, CHRNA5, GRIA4, KCNJ6, CACNA1D, SLC29A1, GABRA6, CACNG1, L1CAM, GABRQ, CACNB1, GABRE, CHRNA7, GABRB1, GABRP, GLRA2, CHRNA9, GABRG1, HTR3C, HTR3A, GRIA2, GABRA3, GABRB2, GABRA4, KCNJ5, HTR3D, GRIA1, KCNJ3, HTR3E, GRIN3A, HTR3B, GABRG3, GABRD, CHRNA3, GABRA5, CHRNA4, CHRNB3, GRIA3, CHRNB2, GLRA1, CACNG2, CHRNA10, KCNJ9, CHRNA2, CACNA1C, GABRA2, VCAM1, CHRNB4, GABRA1	-0.3002299603449723	5.450276117592741e-08
16	DB00820	tadalafil	Tadalafil is indicated for the treatment of erectile dysfunction (ED) and either alone or in combination with [finasteride] for the treatment of benign prostatic hypertrophy (BPH).[L39095,L39439] It is also indicated for the treatment of pulmonary arterial hypertension (PAH) both alone and in combination with [macitentan] or other endothelin-1 antagonists.[L39100,L39105]	PDE5A, PDE11A, PDE6G	-0.0982188884505879	5.450276117592741e-08
