Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.567680368733814	-3.2178540056264766	<0.0001	<0.0001	PL21
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5136094937104244	-2.9591545813438733	<0.0001	<0.0001	U937
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.4582488346675219	-2.914468884047232	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.4960389088486939	-2.88727124022208	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.48750467330632613	-2.861790973140463	<0.0001	<0.0001	NPC.TAK
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.4733172404417616	-2.831592885506127	<0.0001	<0.0001	U937
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.4392161055061729	-2.821001252556737	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.40541149698045403	-2.8187895995261076	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.4071974888164013	2.805244106683031	<0.0001	<0.0001	NEU
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.45481272183655974	-2.8037133496419386	<0.0001	<0.0001	THP1
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.4227826063225093	-2.7634482445858946	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.4463323240468142	-2.743975232743238	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.3888198367822761	2.6951057098564504	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.3937149471320311	-2.6935745329431287	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A11	DB07232	Veliparib	0.3888387927738578	2.691901298217964	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A07	DB07232	Veliparib	0.43036686724233314	2.6762197202097577	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.44420317205275306	2.6496685982272417	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.47029659798252904	-2.6444862475720337	<0.0001	<0.0001	NEU
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.41909798680254645	-2.6193557002777514	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.41164902086328164	-2.6093166825877234	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.38366307807344485	2.5878631584024663	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.4428907538295599	-2.5871882108345066	<0.0001	<0.0001	NEU
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4411434218325433	-2.575332970646707	<0.0001	<0.0001	NOMO1
LJP007_JURKAT_24H:C01	DB11800	Tivozanib	0.4278226962051304	2.5515135668423965	<0.0001	<0.0001	JURKAT
LJP008_NEU_24H:M05	DB02709	Resveratrol	0.3773545944800389	2.5506371595457735	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:P13	DB05294	Vandetanib	-0.40941265739468435	-2.549789687212881	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:O06	DB07101	PD-0325901	0.36504019144021904	2.547445291637089	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D24	DB06616	Bosutinib	-0.41430380973974695	-2.519390328040895	<0.0001	<0.0001	NEU
LJP008_NEU_24H:O04	DB07101	PD-0325901	0.3895788724317549	2.518245863870051	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D11	DB08875	Cabozantinib	0.40987016899273454	2.5176248317339165	<0.0001	<0.0001	NEU
LJP007_NEU_24H:N14	DB09330	Osimertinib	0.40479733639186627	2.5102137244244966	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.41031795353324585	-2.5066244070121817	<0.0001	<0.0001	NEU
LJP007_NEU_24H:E01	DB11743	Ipatasertib	-0.37155169774602553	-2.4988137046796557	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D23	DB06616	Bosutinib	-0.3866463554723425	-2.4973447745536896	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:F13	DB12247	AZD-4547	-0.37995380137800683	-2.497071485509597	<0.0001	<0.0001	NPC.TAK
CPC006_WSUDLCL2_6H:BRD-K73319509-001-02-3:40	DB12848	PF-04217903	0.40246880472589297	2.485122167077804	<0.0001	<0.0001	WSUDLCL2
DOSBIO001_NEU_24H:BRD-A19037878:3.33333	DB04297	Trichostatin A	-0.4425505241098094	-2.477440806402488	<0.0001	<0.0001	NEU
LJP008_NEU_24H:N07	DB02665	(1R,2S)-2-Phenylcyclopropanaminium	0.38024866604601754	2.464718230653594	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.43547879293869196	2.462543095571636	<0.0001	<0.0001	NPC
LJP007_JURKAT_24H:I24	DB13005	Rebastinib	0.408942731064125	2.462135136943018	<0.0001	<0.0001	JURKAT
CPC006_WSUDLCL2_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.38873664921806267	-2.459469613788007	<0.0001	<0.0001	WSUDLCL2
CPC006_U937_6H:BRD-A26711594-003-06-4:10	DB00622	Nicardipine	0.41406698008849957	2.458137915575275	<0.0001	<0.0001	U937
LJP007_NEU_24H:C04	DB11800	Tivozanib	-0.37783364214485393	-2.456227729158648	<0.0001	<0.0001	NEU
