GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0042405	nuclear inclusion body	9	0.0034856700232378003	5.982571649883812	1.1625585951817901e-06	4.145727820553931e-05	4.382399214039486	0.0021972357448935835	NUP153, NUP98, RAD18, ATXN3, SLF1, RANBP2, NBN, TPR, ATXN1
GO:0099523	presynaptic cytosol	16	0.006196746707978312	4.4009722481903895	4.807844061167539e-08	2.3299551988735e-06	5.632652429647407	9.086825275606648e-05	SENP5, LRRK2, CALM3, PRKCB, CALB1, SYT1, HTT, CALM2, USP14, SH3GL2, SENP7, FUS, CALM1, BAIAP2, PIAS1, ANKS1B
GO:0043194	axon initial segment	13	0.005034856700232378	4.320746191582753	1.1902128832503405e-06	4.165745091376192e-05	4.380307308751154	0.0022495023493431434	PRICKLE2, KCNQ3, LGI1, NRCAM, NAV1, ANK3, IQCJ-SCHIP1, LRRC7, SCN8A, SCN1A, SPTBN4, MAP1A, MAP2
GO:0099524	postsynaptic cytosol	15	0.005809450038729667	4.12591148267849	3.9202372724534866e-07	1.4818496889874181e-05	4.829195846663042	0.0007409248444937089	KIF5C, SENP5, CALM3, UBE3A, CALB1, SYT1, HTT, GNAQ, HOMER1, KIF5B, SENP7, FUS, PLCB1, BAIAP2, PIAS1
GO:0043198	dendritic shaft	20	0.0077459333849728895	3.79845819040242	2.779929553688129e-08	1.3826491727554115e-06	5.859288001860799	5.254066856470564e-05	KIRREL3, GABBR1, HCN1, GRM7, BAIAP2, MAP2, CNIH3, PSEN1, RGS7BP, GRM5, APP, ZNF804A, NEGR1, GRIA1, PRKAR2B, ZMYND8, JPH4, NSF, STAU2, MAP1A
GO:0030136	clathrin-coated vesicle	34	0.013168086754453912	3.5685515104570102	3.775094969470282e-12	2.972887288457847e-10	9.526821555957765	7.1349294922988324e-09	EPS15, PIK3C2A, AAK1, LMBRD1, VAMP2, SYNRG, AFTPH, ASTN1, DNAJC6, RNF216, EPN2, CLVS2, MYO6, SORT1, ADAM10, SGIP1, BTBD8, DENND1B, AP1G1, PICALM, NUMB, CLVS1, ASTN2, SNAP91, SNX9, VPS41, GGA2, GAS7, CLTC, VTI1A, DENND1A, SCAMP1, HEATR5B, FCHO2
GO:0043197	dendritic spine	63	0.024399690162664602	3.3955136391232443	6.345093380781552e-20	7.495141556048208e-18	17.12522016049014	1.1992226489677133e-16	MAP1B, GABRB3, APBA1, GRIA4, SEPTIN11, GRM3, SYT11, GABBR1, DNM3, KCND3, DGKI, BAIAP2, ACTN2, OPHN1, GPHN, ARHGAP44, ARHGAP32, SORCS2, DOCK10, DTNBP1, AKAP5, GRM5, GRID1, ABI2, ARFGEF2, ANKS1B, APP, ZNF804A, GABRB2, NEGR1, PPP3CA, ASIC2, GRIA1, SHANK2, PRKAR2B, PTEN, ZMYND8, HOMER1, CPEB4, PTPRO, PPFIA2, ITSN1, PDE4B, GABRG2, NTRK2, MYH10, FARP1, GRIA3, NLGN1, SRGAP2, SIPA1L1, GRIN2A, GPM6A, TANC2, DIP2A, CTTNBP2, ABR, STRN, FRMPD4, KCND2, GRIA2, GRID2, TENM2
GO:0098982	GABA-ergic synapse	47	0.01820294345468629	3.3775479584929626	4.058865616797814e-15	4.037503166183088e-13	12.393887124089867	7.671256015747868e-12	GABRB3, CLCN3, PCLO, GUCY1A1, SLC4A10, KIF5C, EFNA5, SLC6A1, GABBR1, CACNA2D1, PCDH17, CNTNAP2, PLCB1, ERC2, KCND3, NRXN1, NLGN4X, RPS27, GPHN, GAP43, CALB1, GABARAP, ERBB4, SH3KBP1, LAMP5, ARHGEF9, FUS, GRID1, ARFGEF2, GABRB2, GLRB, GABRA4, GNAO1, CACNA2D3, GABRG3, PTPRO, GABRA5, GABRG2, NLGN1, NSF, PIK3C3, LRFN5, MKLN1, ATP2B2, KCND2, GABRA2, GABRB1
GO:0098839	postsynaptic density membrane	46	0.017815646785437646	3.0834542957384348	4.3747765561600007e-13	3.758330768701091e-11	10.425005000526031	8.268327691142402e-10	NEO1, GRIA4, SHISA9, NLGN4Y, NLGN4X, GSG1L, SLC16A7, EPHA7, SORCS2, ERBB4, RGS7BP, NETO2, GRM5, GRID1, GRM1, PLPPR4, ADGRB3, LIN7A, NETO1, ADAM22, NRCAM, NSG2, ASIC2, KCNH1, GRIA1, RYK, CSMD2, DLG1, DLG2, GRIN2B, DCC, PTPRO, GRIK2, GRIA3, NTM, IQSEC1, SORCS3, LRFN5, LRRTM3, ATP2B2, SLITRK5, GRIN2A, LRRC4C, GRID2, CACNA1C, GRIA2
GO:0014069	postsynaptic density	100	0.038729666924864445	3.079830965191151	9.19896981653779e-27	1.9317836614729358e-24	23.714041511403586	1.7386052953256423e-23	PCLO, SYT1, INPP4A, DTNB, SLC8A1, DNM3, KALRN, ARHGAP44, DROSHA, NETO2, SYN2, GRIA1, RTN3, GRIK2, IQSEC1, CAMK2D, SRGAP2, ABI1, EGLN1, CACNA1C, MAP1B, PDPK1, BAIAP2, GAP43, PLEKHA5, DTNBP1, DNAJC6, AKAP5, PRNP, SYN3, ADD1, GRM1, ANKS1B, NETO1, PAK2, SHANK2, PTEN, PTK2B, GRIN2B, BMPR2, PAK3, GRIP1, STRN, SOS1, DAPK1, GRM3, SHISA9, CAPZB, EIF3E, CPEB3, ITPR1, DLGAP1, LRRC7, CTNNA2, CNKSR2, PKP4, MPDZ, SH3KBP1, ARHGEF9, DLGAP2, PRKN, PJA2, NEGR1, FYN, HOMER1, DLG1, ABLIM1, PPFIA2, PDE4B, NLGN1, MAGI2, RTN4, GRIA2, MAP2K1, SYT11, SPTBN1, RPS27, PPP1R9A, DGKI, GPHN, PRICKLE2, ARHGAP32, SORCS2, CAP2, HNRNPD, ADAM10, NPTN, ADD3, ADD2, DLG2, CPEB4, NTRK2, SORCS3, SIPA1L1, MIB1, ABL1, GRIN2A, KPNA1, CTNND2, PSD3
