GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0006863	Severe expressive language delay	9	0.0034856700232378003	5.982571649883812	1.1625585951817901e-06	5.1107864395876386e-05	4.291512266187477	0.011959240268635075	GRIA3, POGZ, ARID1B, EHMT1, ASXL1, TAF1, KMT2C, HERC1, DPYD
HP:0100033	Tics	12	0.004647560030983733	5.98257164988381	1.6442156909147593e-08	9.776905671930712e-07	6.009798574889613	0.0001691404681244013	POGZ, ACBD6, ZSWIM6, CHD8, GATAD2B, KMT5B, MAPK1, ZBTB20, ARID2, SPTBN1, FRYL, VPS13A
HP:0040082	Happy demeanor	14	0.005422153369481022	5.3178414665633875	1.1240927518530017e-08	6.924276729528041e-07	6.159625583820123	0.00011563542138311829	ZSWIM6, TASP1, ASXL1, ADNP, UBE3A, SLC9A6, TCF4, DYRK1A, WDR26, HNRNPC, SNRPN, GRIK2, ZEB2, HDAC8
HP:0004684	Talipes valgus	13	0.005034856700232378	4.713541299908457	3.029314318109872e-07	1.4768984071277846e-05	4.830649377904892	0.0031162556390396255	SCN2A, EXT2, SCN9A, DNMT3A, GABRG2, SCN1A, FGF13, HNRNPH1, HCN1, LIFR, RAB3GAP2, EXT1, ADGRV1
HP:0007270	Atypical absence seizure	21	0.008133230054221533	4.653111283242964	8.992468998684293e-11	7.1709712084856845e-09	8.144422021191058	9.250552858946533e-07	GABRB3, SCN1A, CHD2, HNRNPU, ZEB2, MAPK10, CACNB4, FRRS1L, CEP85L, PPP3CA, CACNA1A, UBE3A, PAFAH1B1, KCNB1, SCN2A, GABRG2, SCN9A, DNM1, GRIN2A, KCNMA1, OTUD7A
HP:0002236	Frontal upsweep of hair	15	0.005809450038729667	4.43153455546949	1.1248487693913634e-07	5.844100651883311e-06	5.233282312898404	0.0011571319290728955	CAMTA1, TCF4, MED27, FBXO11, TRIO, HERC2, OGT, BRD4, CREBBP, EP300, FRMPD4, UBR1, MED13L, FOXP1, HDAC4
HP:0010844	EEG with multifocal slow activity	29	0.011231603408210689	4.364643467839761	2.2298290305060858e-13	2.548694581868456e-11	10.593682204293897	2.2938251236816104e-09	SCN3A, CYFIP2, TRAK1, SCN1A, CACNA2D1, FGF12, HCN1, CNKSR2, YWHAG, SYNJ1, CELF2, GABRB2, PPP3CA, CACNA1A, WWOX, CDK19, SCN8A, ATP1A3, KCNB1, GABRA5, GABRG2, NTRK2, CLTC, ATP6V1A, CACNA1B, DNM1, GRIN2A, SLC1A2, GABRA2
HP:0032792	Tonic seizure	45	0.017428350116189	4.324750590277454	8.86951832108069e-20	2.534464860248807e-17	16.596113725788314	9.124073496895705e-16	CLCN3, TBL1XR1, ST3GAL3, SCN1A, CHD2, FGF12, CNTNAP2, PLCB1, HNRNPU, ATP6V0C, SLC25A12, DMXL2, CUL3, ARHGEF9, DOCK7, SYNJ1, NAPB, CEP85L, PPP3CA, CACNA1A, ADNP, MECP2, DENND5A, ALG13, SCN8A, CACNA1C, ATP1A3, TSEN2, SCN2A, VPS53, GABRA5, GNB1, GABRG2, GRIK2, NEXMIF, ATP6V1A, CACNA1B, NSF, KCNQ5, ARFGEF1, DNM1, GLUL, GRIA2, PHACTR1, ATP6V0A1
HP:0011443	Abnormality of coordination	29	0.011231603408210689	4.205929159918315	7.896574299119381e-13	8.641708490961816e-11	10.063400387747304	8.123205981504108e-09	SCN3A, CYFIP2, TRAK1, SCN1A, CACNA2D1, FGF12, HCN1, CNKSR2, YWHAG, SYNJ1, CELF2, GABRB2, PPP3CA, CACNA1A, WWOX, CDK19, SCN8A, ATP1A3, KCNB1, GABRA5, GABRG2, NTRK2, CLTC, ATP6V1A, CACNA1B, MYT1L, DNM1, SLC1A2, GABRA2
HP:0012547	Abnormal involuntary eye movements	35	0.013555383423702556	4.166965328277281	4.945306936439142e-15	7.267481779307065e-13	12.138616048399133	5.087237245514946e-11	SCN3A, CYFIP2, TRAK1, SCN1A, CACNA2D1, FGF12, HCN1, TBCK, TUBB3, CNKSR2, KIF21A, YWHAG, SYNJ1, CELF2, GABRB2, PPP3CA, CACNA1A, WWOX, CDK19, SLC1A3, HTT, SCN8A, ATP1A3, KCNB1, SCN2A, GABRA5, GABRG2, NTRK2, CLTC, ATP6V1A, CACNA1B, DNM1, GRIN2A, SLC1A2, GABRA2
