ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB01030	DB01092	Topotecan	Ouabain	1.0	L	C	False	False
DB01030	DB08911	Topotecan	Trametinib	1.0	L	L	False	False
DB03496	DB00694	Alvocidib	Daunorubicin	1.0		L	False	False
DB08911	DB00762	Trametinib	Irinotecan	1.0	L	L	False	False
DB00694	DB08877	Daunorubicin	Ruxolitinib	1.0	L	L	False	False
DB08911	DB01092	Trametinib	Ouabain	1.0	L	C	False	False
DB01092	DB08877	Ouabain	Ruxolitinib	1.0	C	L	False	False
DB01092	DB00694	Ouabain	Daunorubicin	1.0	C	L	False	False
DB01092	DB00762	Ouabain	Irinotecan	1.0	C	L	False	False
DB08911	DB00694	Trametinib	Daunorubicin	1.0	L	L	False	False
DB08911	DB08877	Trametinib	Ruxolitinib	1.0	L	L	False	False
DB08911	DB01645	Trametinib	Genistein	0.98974358974359	L		False	False
DB08911	DB06595	Trametinib	Midostaurin	0.9166666666666665	L	L	False	False
DB02546	DB00762	Vorinostat	Irinotecan	0.8999999999999999	L	L	True	False
DB01030	DB02546	Topotecan	Vorinostat	0.8999999999999999	L	L	True	False
DB08059	DB01092	Wortmannin	Ouabain	0.875		C	False	False
DB01030	DB08059	Topotecan	Wortmannin	0.875	L		True	False
DB08059	DB00762	Wortmannin	Irinotecan	0.875		L	True	False
DB01092	DB01065	Ouabain	Melatonin	0.8538461538461537	C	N	False	False
DB01030	DB02424	Topotecan	Geldanamycin	0.8333333333333335	L		False	False
DB02424	DB01092	Geldanamycin	Ouabain	0.8333333333333335		C	False	False
DB02424	DB00694	Geldanamycin	Daunorubicin	0.8333333333333335		L	False	False
DB02424	DB00762	Geldanamycin	Irinotecan	0.8333333333333335		L	False	False
DB08911	DB01065	Trametinib	Melatonin	0.7833333333333334	L	N	False	False
DB01782	DB00694	Pyrazolanthrone	Daunorubicin	0.75		L	False	False
DB01782	DB00762	Pyrazolanthrone	Irinotecan	0.75		L	False	False
DB08877	DB00451	Ruxolitinib	Levothyroxine	0.75	L	H	False	False
DB01782	DB08877	Pyrazolanthrone	Ruxolitinib	0.75		L	False	False
DB01030	DB00451	Topotecan	Levothyroxine	0.75	L	H	False	False
DB00694	DB00451	Daunorubicin	Levothyroxine	0.75	L	H	False	False
DB01030	DB01782	Topotecan	Pyrazolanthrone	0.75	L		False	False
DB01092	DB00451	Ouabain	Levothyroxine	0.75	C	H	False	False
DB01782	DB01092	Pyrazolanthrone	Ouabain	0.75		C	False	False
DB08911	DB00451	Trametinib	Levothyroxine	0.75	L	H	False	False
DB00762	DB00451	Irinotecan	Levothyroxine	0.75	L	H	False	False
DB01030	DB00820	Topotecan	Tadalafil	0.7333333333333332	L	C, G	False	False
DB00762	DB00820	Irinotecan	Tadalafil	0.7333333333333332	L	C, G	False	False
DB01645	DB00762	Genistein	Irinotecan	0.7230769230769232		L	False	False
DB01030	DB01645	Topotecan	Genistein	0.7230769230769232	L		False	False
DB00313	DB08877	Valproic acid	Ruxolitinib	0.7222222222222223	N	L	False	False
DB03496	DB01092	Alvocidib	Ouabain	0.7142857142857142		C	False	False
DB02424	DB08059	Geldanamycin	Wortmannin	0.7083333333333335			False	False
DB00694	DB08080	Daunorubicin	Latrunculin B	0.7000000000000002	L		False	False
DB00762	DB01065	Irinotecan	Melatonin	0.7	L	N	False	False
DB01030	DB01065	Topotecan	Melatonin	0.7	L	N	False	False
DB01092	DB06595	Ouabain	Midostaurin	0.6944444444444442	C	L	False	False
DB00273	DB00762	Topiramate	Irinotecan	0.6818181818181817	N	L	False	False
DB00273	DB00694	Topiramate	Daunorubicin	0.6818181818181817	N	L	False	False
DB08911	DB00273	Trametinib	Topiramate	0.6818181818181817	L	N	False	False
DB01030	DB00273	Topotecan	Topiramate	0.6818181818181817	L	N	False	False
DB02546	DB08877	Vorinostat	Ruxolitinib	0.6777777777777776	L	L	True	False
DB01645	DB01092	Genistein	Ouabain	0.6730769230769231		C	False	False
DB01030	DB08877	Topotecan	Ruxolitinib	0.6666666666666667	L	L	True	False
DB00762	DB08877	Irinotecan	Ruxolitinib	0.6666666666666667	L	L	True	False
DB00197	DB08877	Troglitazone	Ruxolitinib	0.6666666666666665	A	L	False	False
DB01092	DB00197	Ouabain	Troglitazone	0.6666666666666665	C	A	False	False
DB00197	DB00762	Troglitazone	Irinotecan	0.6666666666666665	A	L	False	False
DB01030	DB00197	Topotecan	Troglitazone	0.6666666666666665	L	A	False	False
DB00694	DB06595	Daunorubicin	Midostaurin	0.6666666666666665	L	L	False	False
DB01782	DB06595	Pyrazolanthrone	Midostaurin	0.6666666666666665		L	False	False
DB02546	DB01092	Vorinostat	Ouabain	0.6499999999999999	L	C	False	False
DB00694	DB00482	Daunorubicin	Celecoxib	0.6428571428571428	L	C, L, G, M	False	False
DB01030	DB00482	Topotecan	Celecoxib	0.6428571428571428	L	C, L, G, M	False	False
DB00762	DB00482	Irinotecan	Celecoxib	0.6428571428571428	L	C, L, G, M	False	False
DB02546	DB06595	Vorinostat	Midostaurin	0.6348484848484848	L	L	False	False
DB01645	DB08877	Genistein	Ruxolitinib	0.6289592760180995		L	False	False
DB00694	DB01065	Daunorubicin	Melatonin	0.6166666666666667	L	N	False	False
DB08911	DB03496	Trametinib	Alvocidib	0.6153846153846154	L		False	False
DB08911	DB02546	Trametinib	Vorinostat	0.6142857142857141	L	L	False	False
DB02424	DB00451	Geldanamycin	Levothyroxine	0.5833333333333335		H	False	False
DB00273	DB08877	Topiramate	Ruxolitinib	0.5769230769230771	N	L	False	False
DB01645	DB06595	Genistein	Midostaurin	0.5765856950067478		L	False	False
DB00313	DB01092	Valproic acid	Ouabain	0.5555555555555556	N	C	False	False
DB08059	DB00694	Wortmannin	Daunorubicin	0.5416666666666667		L	True	False
DB01030	DB06595	Topotecan	Midostaurin	0.5416666666666665	L	L	False	False
DB00762	DB06595	Irinotecan	Midostaurin	0.5416666666666665	L	L	False	False
DB08059	DB00197	Wortmannin	Troglitazone	0.5416666666666665		A	False	False
DB00313	DB00762	Valproic acid	Irinotecan	0.5404040404040404	N	L	True	False
DB01030	DB00313	Topotecan	Valproic acid	0.5404040404040404	L	N	False	False
DB03496	DB08877	Alvocidib	Ruxolitinib	0.5333333333333334		L	False	False
DB00694	DB00820	Daunorubicin	Tadalafil	0.5333333333333334	L	C, G	False	False
