# Reference distribution mean: 0.4766500828216643 and standard deviation: 1.6278512145831987
# Threshold: 0.51
# 20.91% of reference distribution below threshold, 22.63% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB05846	-7.859026979751538	-5.1206627411016195	Mito-4509
DB06782	-7.859026979751538	-5.1206627411016195	Dimercaprol
DB09151	-7.859026979751538	-5.1206627411016195	Flutemetamol (18F)
DB12274	-7.859026979751538	-5.1206627411016195	Aducanumab
DB03754	-7.859026979751538	-5.1206627411016195	Tromethamine
DB09149	-7.859026979751538	-5.1206627411016195	Florbetapir (18F)
DB09148	-7.859026979751538	-5.1206627411016195	Florbetaben (18F)
DB02235	-7.859026979751538	-5.1206627411016195	L-methionine (R)-S-oxide
DB05938	-7.859026979751538	-5.1206627411016195	Edonerpic
DB05150	-7.859026979751538	-5.1206627411016195	CAD106
DB05088	-7.859026979751538	-5.1206627411016195	Tetrathiomolybdate
DB00746	-7.859026979751538	-5.1206627411016195	Deferoxamine
DB00317	-7.445417556701687	-4.866579677892582	Gefitinib
DB05524	-7.445417556701687	-4.866579677892582	Pelitinib
DB07602	-7.445417556701687	-4.866579677892582	S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE
DB16640	-7.445417556701687	-4.866579677892582	Almonertinib
DB16390	-7.445417556701687	-4.866579677892582	Mobocertinib
DB12202	-7.445417556701687	-4.866579677892582	Zalutumumab
DB05101	-7.445417556701687	-4.866579677892582	Matuzumab
DB01269	-7.445417556701687	-4.866579677892582	Panitumumab
DB09330	-7.445417556701687	-4.866579677892582	Osimertinib
DB09559	-7.445417556701687	-4.866579677892582	Necitumumab
DB11737	-7.445417556701687	-4.866579677892582	Icotinib
DB11828	-7.445417556701687	-4.866579677892582	Neratinib
DB05374	-7.445417556701687	-4.866579677892582	Rindopepimut
DB05424	-7.445417556701687	-4.866579677892582	Canertinib
DB11963	-7.445417556701687	-4.866579677892582	Dacomitinib
DB13164	-7.445417556701687	-4.866579677892582	Olmutinib
DB11942	-7.247792581767846	-4.745177320500575	Selinexor
DB03276	-7.007600613951853	-4.597625771769206	4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid
DB00061	-7.007600613951853	-4.597625771769206	Pegademase
DB00993	-6.953684210870537	-4.56450456106008	Azathioprine
DB00838	-6.9411900550683745	-4.556829316731708	Clocortolone
DB05423	-6.9411900550683745	-4.556829316731708	ORG-34517
DB00620	-6.9411900550683745	-4.556829316731708	Triamcinolone
DB00635	-6.9411900550683745	-4.556829316731708	Prednisone
DB01260	-6.9411900550683745	-4.556829316731708	Desonide
DB00663	-6.9411900550683745	-4.556829316731708	Flumethasone
DB00596	-6.9411900550683745	-4.556829316731708	Ulobetasol
DB00896	-6.9411900550683745	-4.556829316731708	Rimexolone
DB11921	-6.9411900550683745	-4.556829316731708	Deflazacort
DB00253	-6.9411900550683745	-4.556829316731708	Medrysone
DB00769	-6.9411900550683745	-4.556829316731708	Hydrocortamate
DB00547	-6.9411900550683745	-4.556829316731708	Desoximetasone
DB00180	-6.9411900550683745	-4.556829316731708	Flunisolide
DB00394	-6.9411900550683745	-4.556829316731708	Beclomethasone dipropionate
DB01410	-6.9411900550683745	-4.556829316731708	Ciclesonide
DB00223	-6.9411900550683745	-4.556829316731708	Diflorasone
DB01384	-6.9411900550683745	-4.556829316731708	Paramethasone
DB00240	-6.9411900550683745	-4.556829316731708	Alclometasone
DB00846	-6.9411900550683745	-4.556829316731708	Flurandrenolide
DB01130	-6.9411900550683745	-4.556829316731708	Prednicarbate
DB14596	-6.9411900550683745	-4.556829316731708	Loteprednol etabonate
DB13003	-6.9411900550683745	-4.556829316731708	Cortivazol
DB13158	-6.9411900550683745	-4.556829316731708	Clobetasone
DB15566	-6.9411900550683745	-4.556829316731708	Prednisolone acetate
DB06781	-6.9411900550683745	-4.556829316731708	Difluprednate
DB00860	-6.9411900550683745	-4.556829316731708	Prednisolone
DB00324	-6.9411900550683745	-4.556829316731708	Fluorometholone
DB00443	-6.9411900550683745	-4.556829316731708	Betamethasone
DB08473	-6.746412128573374	-4.437175920432297	Dichlororibofuranosylbenzimidazole
