	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
0	DB04690	camptothecin	Investigated for the treatment of cancer.	TOP1	-3.915470832566463	1.8036970799743525e-45
1	DB01030	topotecan	For the treatment of advanced ovarian cancer in patients with disease that has recurred or progressed following therapy with platinum-based regimens. Also used as a second-line therapy for treatment-sensitive small cell lung cancer, as well as in combination with cisplatin for the treatment of stage IV-B, recurrent, or persistent cervical cancer not amenable to curative treatment with surgery and/or radiation therapy.	TOP1, TOP1MT	-1.7969867211660502	2.0210541063257514e-31
2	DB00313	valproic-acid	"**Indicated** for:[Label] 

1) Use as monotherapy or adjunctive therapy in the management of complex partial seizures and simple or complex absence seizures. 

2) Adjunctive therapy in the management of multiple seizure types that include absence seizures. 

3) Prophylaxis of migraine headaches.

4) Acute management of mania associated with bipolar disorder.


**Off-label** uses include:
 
1) Maintenance therapy for bipolar disorder.[A177919]

2) Treatment for acute bipolar depression.[A177928,A177931,A177934]

3) Emergency treatment of status epilepticus.[A177955]"	OGDH, HDAC2, PPARD, ALDH5A1, PPARG, SCN1A, HDAC9, ACADSB, PPARA	-0.3179939232402033	1.5156096093898025e-20
3	DB02424	geldanamycin		HSP90AB1, HSP90B1, HSP90AA1	-1.141848725931557	7.552282887315199e-19
4	DB08911	trametinib	"Trametinib is indicated for the treatment of unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test [FDA].

In May 2018, it was approved for use with [DB08912] for the treatment of treat anaplastic thyroid cancer caused by an abnormal BRAF V600E gene [L2726]."	MAP2K1, MAP2K2	-1.7063657098248566	3.0795240677661124e-15
5	DB03496	alvocidib	Investigated for use/treatment in esophageal cancer, leukemia (lymphoid), lung cancer, liver cancer, and lymphoma (unspecified).	PYGM, EGFR, CDK5, CDK7, CDK2, CDK6, CDK9, PYGB, CDK4, CDK8, CDK1	-0.8626722098391694	8.564153297191597e-14
6	DB00273	topiramate	"Topiramate is indicated  for the following conditions: 1)Monotherapy for partial onset or primary generalized tonic-clonic seizures for patients 2 years of age and above 2)Adjunctive therapy for partial onset seizures or primary generalized tonic-clonic seizures for both adult and pediatric patients above 2 years old 3)Adjunctive therapy for seizures associated with Lennox-Gastaut syndrome in patients above 2 years of age 4)Prophylaxis of migraine in children 12 years of age and older and adults.[L10544]

Topiramate is also used off-label as an adjunct therapy for weight management[L10550] and for mood disorders.[A188312]"	GRIK1, CA1, CACNA1E, SCN1A, CA3, CA4, CACNA1C, CA2, GABRA1	-0.4042975070474001	8.564153297191597e-14
7	DB01782	pyrazolanthrone		TTK, MAPK8IP1, MAPK8, MAPK10	-1.4942121082064754	7.185490243147532e-13
8	DB01645	genistein	Currently Genistein is being studied in clinical trials as a treatment for prostate cancer.  	ESR1, NCOA1, SHBG, ESRRA, GPER1, ESR2, TOP2A, NR1I2, NCOA2, ESRRB, AKT1, CYP1B1, PTK2B	-0.5148952141415537	7.185490243147532e-13
9	DB08059	wortmannin		PIK3R1, PIK3CA, PLK1, PIK3CG	-1.7554135829038264	1.9527909517926546e-12
10	DB02546	vorinostat	For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.	HDAC2, HDAC1, HDAC3, HDAC6, HDAC8	-0.4021988635083288	5.366603099426745e-12
