GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0031371	ubiquitin conjugating enzyme complex	4	0.0064	32.9536	8.401136305228945e-07	5.670767006029538e-05	4.246358196140982	0.0015878147616882707	UBE2V1, UBE2N, STUB1, UBE2V2
GO:0061202	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	5	0.008	20.596	1.3147207594101538e-06	8.094381095620157e-05	4.091816352226553	0.002484822235285191	SYT1, RAB3A, SLC32A1, GAD1, VAMP2
GO:0031105	septin complex	7	0.0112	17.744246153846156	3.355153449817113e-08	2.7570608783279754e-06	5.559553644184395	6.341240020154344e-05	SEPTIN11, SEPTIN10, SEPTIN3, SEPTIN7, SEPTIN8, SEPTIN2, SEPTIN6
GO:0005940	septin ring	7	0.0112	17.744246153846156	3.355153449817113e-08	2.7570608783279754e-06	5.559553644184395	6.341240020154344e-05	SEPTIN11, SEPTIN10, SEPTIN3, SEPTIN7, SEPTIN8, SEPTIN2, SEPTIN6
GO:0033176	proton-transporting V-type ATPase complex	8	0.0128	16.4768	7.140082449366043e-09	6.76466492536447e-07	6.169753710473487	1.3494755829301822e-05	ATP6V1D, ATP6V1G1, ATP6V0C, ATP6AP2, ATP6V1C1, ATP6V0A1, RNASEK, ATP6AP1
GO:0032153	cell division site	7	0.0112	16.4768	6.534479983072092e-08	4.940066867202502e-06	5.306267172562077	0.00012350167168006254	SEPTIN11, SEPTIN10, SEPTIN3, SEPTIN7, SEPTIN8, SEPTIN2, SEPTIN6
GO:0030665	clathrin-coated vesicle membrane	12	0.0192	11.298377142857143	2.419790154211519e-10	4.15763944678161e-08	7.381153175673769	4.5734033914597713e-07	ATP6V1D, ATP6V0E2, ATP6V0C, ATP6AP2, ATP6V1C1, ATP6V1B2, NECAP1, ATP6V0A1, SYT11, RNASEK, ATP6V1G2, ATP6AP1
GO:0005875	microtubule associated complex	9	0.0144	8.015740540540541	1.1981053198133443e-06	7.808341567059382e-05	4.107441197205537	0.0022644190544472208	GABARAP, MAP2, DCTN1, MAP1B, MAP1A, MAP7, DYNLL2, PAFAH1B1, SHTN1
GO:0030672	synaptic vesicle membrane	26	0.0416	6.253967883211678	6.155074404295262e-14	1.6618700891597208e-11	10.779402928666357	1.1633090624118046e-10	ATP6V1G1, RAC1, ATP6V1B2, ATP6V1G2, SV2A, SCAMP1, STX1B, SYT1, SLC32A1, ATP6V0A1, KIF1B, DNM1L, RAB3A, ATP6AP2, SYT4, CALM3, VAMP2, ATP6V0E2, SYT13, ATP6V0C, SNCA, SYNGR3, ATP6V1C1, ATP2B1, ATP6AP1, SEPTIN8
GO:0022626	cytosolic ribosome	16	0.0256	5.325834343434344	4.67465421879525e-08	3.6812901973012597e-06	5.433999945628874	8.835096473523023e-05	UBA52, RPL13A, RPS2, RPLP1, RPL17, RPL37, RPL37A, RPS28, RPSA, RPL34, RPL18, RPL15, RPS17, RPL8, EEF1A1, GSPT1
GO:0015630	microtubule cytoskeleton	32	0.0512	4.997702369668247	5.749994595398995e-14	1.6618700891597208e-11	10.779402928666357	1.08674897853041e-10	TUBB, SEPTIN11, TUBA1B, DCTN1, TUBA1A, AGBL4, MAP9, SEPTIN2, VAPA, DST, DPYSL2, KIF3A, DNAJA1, PPP2CA, MYCBP2, SHTN1, SNX10, APC, TUBGCP4, SEPTIN7, SPECC1L, TUBB3, TUBB4A, TUBB4B, BMERB1, MAP7, SEPTIN10, DYNLL2, SEPTIN3, PAFAH1B1, SEPTIN8, SEPTIN6
GO:0042470	melanosome	15	0.024	4.894099009900991	3.8430087645273823e-07	2.793571755752597e-05	4.553840168861838	0.0007263286564956752	CTSB, CTSD, HSP90B1, RAC1, HSP90AA1, YWHAB, ATP6V1B2, CLTC, ATP6V0A1, YWHAZ, HSPA5, ATP6V1G2, RAB2A, YWHAE, CCT4
GO:0098793	presynapse	35	0.056	4.825841004184101	1.107776604563674e-14	5.234244456563359e-12	11.281145998230846	2.0936977826253437e-11	SGIP1, DSTN, VPS35, SYT11, ACTB, THY1, SV2A, CRH, TNIK, STX1B, CACNB4, SLC32A1, APP, ATP6V1D, PRAF2, GAP43, BLOC1S6, YWHAH, KIF1B, RAB3A, TBC1D24, GAD1, BAIAP3, CANX, SNCA, CLN8, NECAP1, STXBP1, KIF21A, YWHAG, SEPTIN3, DNM3, SCRN1, SEPTIN8, SEPTIN6
GO:0098982	GABA-ergic synapse	15	0.024	4.453189189189189	1.327649809334523e-06	8.094381095620157e-05	4.091816352226553	0.002509258139642248	PRAF2, GAP43, GABARAP, PCDH17, SLC32A1, GABRA1, GAD1, GABRG2, BAIAP3, NPY, GLRB, GNAO1, SV2A, NSF, CLSTN3
GO:0031982	vesicle	25	0.04	4.358941798941799	6.628092633663917e-10	9.63622698278831e-08	7.01609297868081	1.2527095077624804e-06	CD59, SYT11, BASP1, ACTB, VAPA, CFL1, UBA52, PICALM, CALM2, MIF, CALM1, CD81, RABGEF1, YWHAZ, DYNC1I2, RAB3A, DPP7, SYT4, CALM3, VAMP2, RAB3IP, LRPAP1, DNAJC6, YWHAG, PAFAH1B1
GO:0098794	postsynapse	27	0.0432	3.818657510729614	2.7079658926678943e-09	3.412037024761547e-07	6.4669862648543415	5.11805553714232e-06	RAC1, DSTN, VPS35, PPP3R1, INA, THY1, RPL8, SNX14, RTN4, APP, PRAF2, KIF1B, RAB3A, MAP1B, NEDD8, AP2M1, SPTBN1, SNCA, PRNP, STXBP1, GABRA1, PDXP, DYNLL2, GABRG2, EEF2, CALR, ATAD1
GO:0030424	axon	46	0.0736	3.652688192771084	3.289125554734296e-14	1.243289459689564e-11	10.905427748179806	6.21644729844782e-11	NPTN, SEPTIN11, UHMK1, DCTN1, SACS, AGBL4, MAP9, SYT11, ACTB, DST, ALCAM, CFL1, CD200, STX1B, SYT1, MYCBP2, SCN2A, RNF6, APP, BMPR2, SHTN1, UCHL1, GAP43, KIF1B, RAB3A, MAP1B, ATP6AP2, GAD1, SYT4, FZD3, TUBB3, SCN8A, ATP1A3, SYT13, SNCA, ACADM, MAP1A, SCN9A, STXBP1, PTPRN, KIF21A, MAP7, ATL1, GABRG2, PAFAH1B1, SEPTIN8
GO:0005874	microtubule	34	0.0544	3.0950895027624306	6.1783475125075324e-09	6.487264888132908e-07	6.1879383685865355	1.1677076798639236e-05	TTLL7, MAP2, TUBB, TUBA1B, DCTN1, TUBA1A, MAP9, DST, GOLGA2, DPYSL2, GABARAP, KIF3A, BEX4, SHTN1, DYNC1I2, APC, TUBGCP4, KIF1B, DNM1L, MAP1B, DYNLT3, GABARAPL1, TUBB3, CCT4, TUBB4A, TUBB4B, KLC1, STMN1, MAP1A, MAP7, KIF21A, DYNLL2, DNM3, PAFAH1B1
GO:0005925	focal adhesion	37	0.0592	2.9957818181818183	3.1992525736605804e-09	3.556816096599116e-07	6.448938589213136	6.046587364218497e-06	CD59, RPS2, RAC1, NME2, STX16, MARCKS, JAK1, ACTB, THY1, DST, CD99L2, ALCAM, HACD3, CFL1, RPL8, HSP90B1, RPL13A, CD81, SCARB2, RPL37A, RPLP1, YWHAZ, HSPA5, RPS17, PTPRA, BLOC1S6, KRAS, YWHAB, ATP6V0C, HSPA9, HNRNPK, CLTC, YWHAG, RPL18, MCAM, CALR, YWHAE
