GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0010850	EEG with spike-wave complexes	14	0.0224	10.029356521739132	4.760057448508975e-11	8.161118495468637e-08	7.088250316353778	4.896671097281183e-07	STX1B, SYT1, CACNB4, SCN2A, GOSR2, SCN9A, SLC32A1, PRNP, GABRA1, GABRG2, PAFAH1B1, GNAO1, AP2M1, SCN8A
HP:0011182	Interictal epileptiform activity	12	0.0192	8.0702693877551	1.8138417581604715e-08	1.2439326777464513e-05	4.905203123241977	0.0001865899016619677	SLC9A6, STRADA, SCN2A, MAP1B, GOSR2, SCN9A, GABRA1, NECAP1, GABRG2, AP2M1, CRH, SCN8A
HP:0010818	Generalized tonic seizure	13	0.0208	6.6937	5.1811590578870094e-08	2.961032401582426e-05	4.528556840246141	0.0005329858322848367	CACNB4, SCN2A, TUBA1A, SLC32A1, SCN9A, GABRA1, NECAP1, STXBP1, GABRG2, GNB1, PAFAH1B1, GNAO1, SCN8A
HP:0002384	Focal impaired awareness seizure	22	0.0352	5.7998336	2.5453801611036092e-11	5.236865143454566e-08	7.280928609640164	2.6184325717272826e-07	ATP6V1B2, STX1B, SCN2A, SLC32A1, ATP6V0A1, DNM1L, TBC1D24, GNB1, GNAO1, GNAI1, AP2M1, SCN8A, ATP1A3, STRADA, ATP6V0C, SCN9A, STXBP1, GABRA1, CLN8, GABRG2, CLCN4, PAFAH1B1
HP:0002121	Generalized non-motor (absence) seizure	24	0.0384	5.772893430656934	3.507762070017021e-12	1.2028116138088364e-08	7.919802387198772	3.60843484142651e-08	PPFIA3, TUBA1A, GOSR2, ALDH5A1, STX1B, PPP2CA, CACNB4, SCN2A, SETD5, SLC32A1, GNB1, TUBB3, GNAO1, GNAI1, AP2M1, SCN8A, ATP1A3, ATP6V0C, SCN9A, GABRA1, YWHAG, CAPRIN1, GABRG2, CLCN4
HP:0032792	Tonic seizure	14	0.0224	5.558438554216868	1.8648595598814746e-07	8.719913769318513e-05	4.059487809757147	0.0019183810292500729	STX1B, ATP6V0C, PSAP, TMEM147, SCN2A, ST3GAL3, NAPB, ATP1A3, ATP6V0A1, GABRG2, GNB1, SV2A, NSF, SCN8A
HP:0010819	Atonic seizure	16	0.0256	5.4922666666666675	2.9791483639778104e-08	1.8027352482493963e-05	4.74406804957655	0.00030646499220239734	STX1B, COX8A, ATP6V0C, SCN2A, ST3GAL3, SCN9A, GOSR2, STXBP1, SLC32A1, ATP6AP2, GABRA1, GABRG2, GNB1, PAFAH1B1, GNAO1, AP2M1
HP:0002067	Bradykinesia	19	0.0304	5.217653333333333	3.687945767225949e-09	3.5177420733395864e-06	5.45373600690012	3.793789810745334e-05	DCTN1, CHCHD2, VPS35, SLC9A6, STX1B, SCN2A, UCHL1, ATP6AP2, ATP1A3, DNAJC6, SNCA, ATL1, CLTC, GABRA1, PRNP, SCN9A, GABRG2, PDE8B, FTL
HP:0002063	Rigidity	31	0.0496	5.1855918781725885	5.110537418587026e-14	5.257209842500474e-10	9.279244687691257	5.257209842500474e-10	STUB1, ADAR, DCTN1, CHCHD2, VPS35, SCN9A, SLC9A6, SCN2A, GLRB, UCHL1, CTSD, PSAP, ATP6AP2, KRAS, SCN8A, ATP1A3, DNAJC6, SNCA, TUBB4A, ATL1, CLTC, REEP2, ITM2B, YWHAG, GABRA1, NECAP1, PRNP, PDE8B, GABRG2, FTL, ATAD1
HP:0200134	Epileptic encephalopathy	18	0.0288	4.598176744186047	7.157531317591747e-08	3.875238140214016e-05	4.411701604176241	0.000736295246640663	SLC9A6, NSF, DNM1L, SCN2A, TBC1D24, ST3GAL3, SLC32A1, NAPB, GABRA1, NECAP1, STXBP1, GABRG2, CLCN4, PAFAH1B1, GNAO1, AP2M1, MDH1, SCN8A
HP:0007359	Focal-onset seizure	25	0.04	4.139899497487438	1.975181252955575e-09	2.53983619364425e-06	5.5951942922345665	2.0318689549154e-05	TUBA1A, GOSR2, GOLGA2, STX1B, PPP2CA, SCN2A, SLC32A1, DNM1L, MAP1B, TBC1D24, ATP5PO, GNB1, TUBB3, GNAO1, VAMP2, AP2M1, SCN8A, ATP1A3, SPTBN1, ATP6V0C, MBOAT7, SCN9A, GABRA1, CAPRIN1, GABRG2
HP:0001268	Mental deterioration	22	0.0352	4.095927683615819	2.2400122023718092e-08	1.4401878453624251e-05	4.841580858679874	0.00023043005525798802	STUB1, GOSR2, VPS35, ACTB, SLC9A6, SCN2A, SCARB2, APP, BSCL2, CTSD, PSAP, PRKAR1A, SCN8A, ATP1A3, SNCA, CLTC, CLN8, NECAP1, YWHAG, PRNP, GABRG2, PDE11A
HP:0002133	Status epilepticus	22	0.0352	3.8156800000000004	8.11949943511929e-08	4.176264534453607e-05	4.37921199989688	0.0008352529068907214	ALDH5A1, STX1B, CACNB4, SCN2A, SLC32A1, BSCL2, CTSD, PSAP, DNM1L, TBC1D24, GNB1, SCN8A, ATP1A3, STRADA, SCN9A, CLTC, STXBP1, PGM2L1, YWHAG, GABRA1, NECAP1, GABRG2
HP:0002069	Bilateral tonic-clonic seizure	40	0.064	3.723570621468926	8.78554987167951e-13	4.518847576498356e-09	8.344972307441113	9.037695152996712e-09	STUB1, HSD17B4, TUBA1A, GOSR2, ATP6V1B2, SV2A, WAC, CRH, ALDH5A1, STARD7, STX1B, PPP2CA, CACNB4, ATRX, SCN2A, SETD5, SLC32A1, CERT1, ATP6V0A1, PSAP, DNM1L, TBC1D24, ATP6AP2, GNB1, GNAO1, GNAI1, AP2M1, SCN8A, ATP1A3, PRPS1, CAMTA1, ATP6V0C, ST3GAL3, ACADM, SCN9A, STXBP1, GABRA1, CLN8, GABRG2, CLCN4
