Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP007_NEU_24H:I01	DB01268	Sunitinib	-0.5315501134429432	-3.342807900884344	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D24	DB13978	Selisistat	-0.5384908598034074	-3.1534986672849956	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A18	DB12742	Amuvatinib	-0.4976191740192975	-3.1234022262059833	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D01	DB11775	PF-03758309	-0.5391530272427423	-3.112352096451721	<0.0001	<0.0001	NEU
LJP007_NEU_24H:E01	DB11743	Ipatasertib	-0.504261077340688	-3.0879699264826916	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.515329873140312	-3.048877272519535	<0.0001	<0.0001	NEU
NMH001_NEU_24H:BRD-A47564106-001-07-5:10	DB12161	Deutetrabenazine	-0.5252048890740872	-3.0465036058229096	<0.0001	<0.0001	NEU
LJP008_NEU_24H:C08	DB13877	Iniparib	-0.49478095577771536	-3.014932619719918	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K38615104-001-06-8:10	DB08073	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	-0.4997506351374885	-3.0085228876377776	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.47130320653944435	-2.9994294483647894	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I24	DB13005	Rebastinib	-0.4500912137293257	-2.998073510059454	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P09	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	0.44892310484405007	2.9785106071515215	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.4782227978596887	-2.9609370150654217	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.48453052349781434	2.9601888413375637	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-K72238567-001-12-4:10	DB04441	2-Fluoroadenosine	-0.4876732266357824	-2.958543238412189	<0.0001	<0.0001	NEU
LJP008_NEU_24H:B03	DB00877	Sirolimus	-0.4449067708272266	-2.9351086908779336	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.5020871944868639	-2.929861680155351	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K37130656-001-01-2:10	DB06228	Rivaroxaban	0.46805584244049814	2.9275359499029774	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-K08316444-001-06-8:10	DB11457	Rotenone	-0.5096638279908962	-2.9237067363541063	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D24	DB13061	MLN8054	-0.4883812246055395	-2.910022433593543	<0.0001	<0.0001	NEU
LJP007_NEU_24H:E21	DB12021	Dinaciclib	-0.47759601104690097	-2.9094087021944226	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D01	DB12494	SGI-1776	-0.47466966506986774	-2.890708650171556	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B12	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.4678040217476179	-2.8778915991627185	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.48204287741780394	-2.862831095128039	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.532151674621964	-2.8596556534481943	<0.0001	<0.0001	NEU
LJP009_NEU_24H:B24	DB16107	BI 2536	-0.49216377294327157	-2.857778135708155	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P22	DB11886	Infigratinib	-0.4664067653150838	-2.8108650430028796	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-K17561142-003-25-9:10	DB01118	Amiodarone	-0.48790231956632846	-2.798846580502434	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O05	DB07101	PD-0325901	0.4273987106217236	2.7918119349385635	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O03	DB07101	PD-0325901	0.4301527493800701	2.7861586185840617	<0.0001	<0.0001	NEU
NMH001_NEU_24H:BRD-K47029922-001-02-0:10	DB02665	(1R,2S)-2-Phenylcyclopropanaminium	-0.45174475890526905	-2.786034098893142	<0.0001	<0.0001	NEU
LJP007_NEU_24H:E05	DB11743	Ipatasertib	-0.4422165181463961	-2.7726969207462138	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-K60623809-001-04-6:10	DB08009	SU-11652	-0.4905950736304837	-2.7575182130428266	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-K62012036-001-10-2:10	DB00459	Acitretin	-0.4386739555252508	-2.749385429814174	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M10	DB05575	Motesanib	0.41052676013854095	2.7484303242312915	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P04	DB09054	Idelalisib	0.43597637658579924	2.736524273635819	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M13	DB01262	Decitabine	0.4516341008124303	2.7313870331945687	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.4338860891199988	2.7161080667949187	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-K33127281-001-02-3:10	DB00210	Adapalene	0.4588056748810836	2.711142075606313	<0.0001	<0.0001	NEU
LJP009_NEU_24H:F02	DB11962	GSK-1059615	-0.4669841349075229	-2.6955839708979386	<0.0001	<0.0001	NEU
LJP008_NEU_24H:F05	DB12376	Ricolinostat	-0.4725629638609869	-2.6921483363514116	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A23	DB11740	MK-1775	-0.46535867050851576	-2.690891980288494	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D23	DB06616	Bosutinib	-0.4598477717348523	-2.690796906565415	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E19	DB08901	Ponatinib	-0.444531893879969	-2.6889384838404644	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O06	DB07101	PD-0325901	0.4075104958072386	2.6869583845330323	<0.0001	<0.0001	NEU
LJP007_NEU_24H:N13	DB09330	Osimertinib	-0.4298170410561545	-2.6721776277524816	<0.0001	<0.0001	NEU
LJP008_NEU_24H:G18	DB01254	Dasatinib	-0.44436583560884224	-2.66830644669102	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K25991148-001-01-7:10	DB14055	(S)-Warfarin	0.43695129447114844	2.6614158338876215	<0.0001	<0.0001	NEU
LJP008_NEU_24H:K24	DB12332	Rucaparib	-0.4529029886246499	-2.6518330880470407	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-K17953061-001-12-7:10	DB02010	Staurosporine	-0.4921186220687594	-2.6449609620959538	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K07762753-001-02-8:10	DB07379	(2S)-2-({6-[(3-Amino-5-chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-3-methyl-1-butanol	-0.4423308685041636	-2.644656372741408	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-K13927029-001-02-7:10	DB00162	Vitamin A	-0.46728577858782744	-2.643970802474136	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K01493881-001-19-5:10	DB07352	Apigenin	0.42752790447494016	2.6328904455418223	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K54472332-001-01-8:10	DB09101	Elvitegravir	-0.433956430657312	-2.6321386360813515	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-K08807999-001-01-6:10	DB12445	Nitroaspirin	-0.4313132737067186	-2.6295200642777696	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F01	DB12848	PF-04217903	0.4124297537374132	2.626087147379994	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.47167253353691824	-2.6257863060791826	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H08	DB09053	Ibrutinib	0.40097490266331803	2.624847425757088	<0.0001	<0.0001	NEU
CPC013_NEU_24H:BRD-K87909389-001-01-2:10	DB03496	Alvocidib	-0.4278953533956132	-2.624278863019026	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E24	DB08901	Ponatinib	-0.4565347197699061	-2.6214933444725568	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K12513978-001-16-7:10	DB08981	Fenbufen	0.44567640500896255	2.6198403531904084	<0.0001	<0.0001	NEU
