ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB00773	DB01069	Etoposide	Promethazine	1.1118881118881119	L	V, R, D	False	False
DB05022	DB01069	Amonafide	Promethazine	1.1118881118881119		V, R, D	False	False
DB00380	DB01069	Dexrazoxane	Promethazine	1.1118881118881119	V	V, R, D	False	False
DB00694	DB01069	Daunorubicin	Promethazine	1.1118881118881119	L	V, R, D	False	False
DB05022	DB02659	Amonafide	Cholic Acid	1.098343685300207		A	False	False
DB00380	DB02659	Dexrazoxane	Cholic Acid	1.098343685300207	V	A	False	False
DB00694	DB02659	Daunorubicin	Cholic Acid	1.098343685300207	L	A	False	False
DB00773	DB02659	Etoposide	Cholic Acid	1.098343685300207	L	A	False	False
DB00773	DB00818	Etoposide	Propofol	1.0857142857142856	L	N	False	False
DB00694	DB00818	Daunorubicin	Propofol	1.0857142857142856	L	N	False	False
DB00380	DB00818	Dexrazoxane	Propofol	1.0857142857142856	V	N	False	False
DB05022	DB00818	Amonafide	Propofol	1.0857142857142856		N	False	False
DB00694	DB06080	Daunorubicin	Linifanib	1.0416666666666665	L		False	False
DB00773	DB06080	Etoposide	Linifanib	1.0416666666666665	L		False	False
DB00380	DB06080	Dexrazoxane	Linifanib	1.0416666666666665	V		False	False
DB05022	DB06080	Amonafide	Linifanib	1.0416666666666665			False	False
DB00773	DB01268	Etoposide	Sunitinib	1.0375	L	L	False	False
DB00380	DB01268	Dexrazoxane	Sunitinib	1.0375	V	L	True	False
DB00694	DB01268	Daunorubicin	Sunitinib	1.0375	L	L	False	False
DB05022	DB01268	Amonafide	Sunitinib	1.0375		L	False	False
DB00380	DB03566	Dexrazoxane	Spermidine	1.0333333333333337	V		False	False
DB00694	DB03566	Daunorubicin	Spermidine	1.0333333333333337	L		False	False
DB05022	DB03566	Amonafide	Spermidine	1.0333333333333337			False	False
DB00773	DB03566	Etoposide	Spermidine	1.0333333333333337	L		False	False
DB00773	DB06589	Etoposide	Pazopanib	1.0333333333333334	L	L	False	False
DB00773	DB00794	Etoposide	Primidone	1.0333333333333334	L	N	False	False
DB00380	DB00794	Dexrazoxane	Primidone	1.0333333333333334	V	N	False	False
DB00694	DB00794	Daunorubicin	Primidone	1.0333333333333334	L	N	False	False
DB05022	DB00794	Amonafide	Primidone	1.0333333333333334		N	False	False
DB05022	DB06589	Amonafide	Pazopanib	1.0333333333333334		L	False	False
DB00380	DB06589	Dexrazoxane	Pazopanib	1.0333333333333334	V	L	True	False
DB00694	DB06589	Daunorubicin	Pazopanib	1.0333333333333334	L	L	False	False
DB01092	DB00518	Ouabain	Albendazole	1.0	C	P	False	False
DB00380	DB00643	Dexrazoxane	Mebendazole	1.0	V	P	False	False
DB08877	DB00570	Ruxolitinib	Vinblastine	1.0	L	L	False	False
DB08877	DB08437	Ruxolitinib	Puromycin	1.0	L		False	False
DB04868	DB00643	Nilotinib	Mebendazole	1.0	L	P	False	False
DB01092	DB08437	Ouabain	Puromycin	1.0	C		True	False
DB00694	DB00518	Daunorubicin	Albendazole	1.0	L	P	False	False
DB08877	DB00518	Ruxolitinib	Albendazole	1.0	L	P	False	False
DB08877	DB00643	Ruxolitinib	Mebendazole	1.0	L	P	False	False
DB00694	DB00643	Daunorubicin	Mebendazole	1.0	L	P	False	False
DB00773	DB04513	Etoposide	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	1.0	L		False	False
DB00773	DB07080	Etoposide	TO-901317	1.0	L		False	False
DB00773	DB01092	Etoposide	Ouabain	1.0	L	C	False	False
DB00773	DB08399	Etoposide	Piceatannol	1.0	L		False	False
DB00694	DB08877	Daunorubicin	Ruxolitinib	1.0	L	L	False	False
DB00694	DB08895	Daunorubicin	Tofacitinib	1.0	L	L	False	False
DB00694	DB00541	Daunorubicin	Vincristine	1.0	L	L	False	False
DB04868	DB00541	Nilotinib	Vincristine	1.0	L	L	False	False
DB04513	DB00541	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	Vincristine	1.0		L	False	False
DB04513	DB00518	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	Albendazole	1.0		P	False	False
DB04513	DB00643	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	Mebendazole	1.0		P	False	False
DB07080	DB00541	TO-901317	Vincristine	1.0		L	False	False
DB00773	DB00518	Etoposide	Albendazole	1.0	L	P	False	False
DB00380	DB00541	Dexrazoxane	Vincristine	1.0	V	L	True	False
DB05134	DB00773	Tanespimycin	Etoposide	1.0		L	False	False
DB00773	DB07780	Etoposide	Farnesyl diphosphate	1.0	L		False	False
DB05134	DB00694	Tanespimycin	Daunorubicin	1.0		L	False	False
DB00773	DB00541	Etoposide	Vincristine	1.0	L	L	False	False
DB00380	DB00518	Dexrazoxane	Albendazole	1.0	V	P	False	False
DB07374	DB08895	Anisomycin	Tofacitinib	1.0		L	False	False
DB05134	DB05022	Tanespimycin	Amonafide	1.0			False	False
DB05022	DB08895	Amonafide	Tofacitinib	1.0		L	False	False
DB05022	DB08877	Amonafide	Ruxolitinib	1.0		L	False	False
DB01092	DB08895	Ouabain	Tofacitinib	1.0	C	L	False	False
DB01092	DB07374	Ouabain	Anisomycin	1.0	C		False	False
DB01092	DB04513	Ouabain	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	1.0	C		False	False
DB08895	DB07080	Tofacitinib	TO-901317	1.0	L		False	False
DB07374	DB08877	Anisomycin	Ruxolitinib	1.0		L	False	False
DB00694	DB07080	Daunorubicin	TO-901317	1.0	L		False	False
DB00380	DB07780	Dexrazoxane	Farnesyl diphosphate	1.0	V		False	False
DB00773	DB00643	Etoposide	Mebendazole	1.0	L	P	False	False
DB08877	DB07080	Ruxolitinib	TO-901317	1.0	L		False	False
DB07374	DB07080	Anisomycin	TO-901317	1.0			False	False
DB08895	DB08437	Tofacitinib	Puromycin	1.0	L		False	False
DB08895	DB00643	Tofacitinib	Mebendazole	1.0	L	P	False	False
DB08895	DB00570	Tofacitinib	Vinblastine	1.0	L	L	False	False
DB01092	DB08877	Ouabain	Ruxolitinib	1.0	C	L	False	False
DB01092	DB07080	Ouabain	TO-901317	1.0	C		False	False
DB05022	DB00518	Amonafide	Albendazole	1.0		P	False	False
DB05022	DB07780	Amonafide	Farnesyl diphosphate	1.0			False	False
DB00380	DB04513	Dexrazoxane	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	1.0	V		False	False
DB00380	DB01092	Dexrazoxane	Ouabain	1.0	V	C	False	False
DB00380	DB08877	Dexrazoxane	Ruxolitinib	1.0	V	L	True	False
DB05022	DB00541	Amonafide	Vincristine	1.0		L	False	False
DB00694	DB01092	Daunorubicin	Ouabain	1.0	L	C	False	False
DB08399	DB08877	Piceatannol	Ruxolitinib	1.0		L	False	False
DB05022	DB07080	Amonafide	TO-901317	1.0			False	False
DB00380	DB07080	Dexrazoxane	TO-901317	1.0	V		False	False
DB00380	DB08895	Dexrazoxane	Tofacitinib	1.0	V	L	False	False
DB07780	DB00643	Farnesyl diphosphate	Mebendazole	1.0		P	False	False
DB07780	DB00541	Farnesyl diphosphate	Vincristine	1.0		L	False	False
DB05134	DB00380	Tanespimycin	Dexrazoxane	1.0		V	False	False
DB07780	DB00518	Farnesyl diphosphate	Albendazole	1.0		P	False	False
DB08399	DB08437	Piceatannol	Puromycin	1.0			False	False
DB07080	DB00518	TO-901317	Albendazole	1.0		P	False	False
DB05134	DB01092	Tanespimycin	Ouabain	1.0		C	False	False
