	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
0	DB12442	Alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-8.361878469093895	-1.9292214839564834	<0.0001
1	DB00361	Vinorelbine	"
 Vinorelbine tartrate is indicated for adults in the treatment of advanced non-small cell lung cancer (NSCLC), as a single therapy or in combination with other chemotherapeutic drugs [L1998].

Used in relapsed or refractory Hodgkin lymphoma, in combination with other chemotherapy agents [L2011].
 
For the treatment of desmoid tumor or aggressive fibromatosis, in combination with methotrexate [L2011].

For the treatment of recurrent or metastatic squamous cell head and neck cancer [L2011].

For the treatment of recurrent ovarian cancer [L2011].

For the treatment of metastatic breast cancer, in patients previously treated with anthracyline and/or taxane therapy [L2011].

For the treatment of HER2-positive, trastuzumab-resistant, advanced breast cancer in patients previously treated with a taxane, in combination with trastuzumab and everolimus [L2011].
"	TUBB	-7.877765742858109	-2.1514221546629764	<0.0001
2	DB03719	N-Ethyl-5'-Carboxamido Adenosine		HSP90B1	-7.478829165744848	1.4868655348120396	<0.0001
3	DB07705	(S)-econazole		CYP51A1	-5.980749574358	-2.044163052018076	<0.0001
4	DB02424	Geldanamycin		HSP90AA1, HSP90AB1, HSP90B1	-5.320508359879047	-2.4423155137752346	<0.0001
5	DB05134	Tanespimycin	Investigated for use/treatment in leukemia (myeloid) and solid tumors.	HSP90AA1, HSP90AB1	-4.2413479569461465	-2.3616183913952185	<0.0001
6	DB07594	CCT-018159		HSP90AA1, HSP90AB1	-4.2413479569461465	-1.6919738594206204	<0.0001
7	DB06470	Clomethiazole	Investigated for use/treatment in strokes.	GABRA1	-4.234907887947758	-2.249689080736924	<0.0001
8	DB03010	Patupilone	Investigated for use/treatment in ovarian cancer, lung cancer, brain cancer, breast cancer, and gastric cancer.	TUBA4A, TUBB, TUBA1C, TUBA3C, TUBB4B, TUBB4A, TUBA8, TUBA1B, TUBA1A, TUBB3, TUBB1	-4.115612545071606	2.1102169500138843	<0.0001
9	DB13520	Metergoline		SCN2A	-4.067574961489459	-1.608815698118388	<0.0001
10	DB00773	Etoposide	For use in combination with other chemotherapeutic agents in the treatment of refractory testicular tumors and as first line treatment in patients with small cell lung cancer. Also used to treat other malignancies such as lymphoma, non-lymphocytic leukemia, and glioblastoma multiforme.	TOP2A, TOP2B	-3.3175265696005733	2.1453880767564755	<0.0001
11	DB05022	Amonafide	Investigated for use/treatment in breast cancer, ovarian cancer, and prostate cancer.	TOP2A, TOP2B	-3.3175265696005733	-2.0318130963597865	<0.0001
12	DB00380	Dexrazoxane	For reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin hydrochloride dose of 300 mg/m^2 and would benefit from continued doxorubicin therapy. Also approved for the treatment of extravasation from intravenous anthracyclines.	TOP2A, TOP2B	-3.3175265696005733	1.9181856428372568	<0.0001
13	DB00694	Daunorubicin	"For remission induction in acute nonlymphocytic leukemia (myelogenous, monocytic, erythroid) of adults and for remission induction in acute lymphocytic leukemia of children and adults.

Daunorubicin is indicated in combination with [cytarabine] for the treatment of newly-diagnosed therapy-related acute myeloid leukemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC) in adults and pediatric patients 1 year and older.[L32843]"	TOP2A, TOP2B	-3.3175265696005733	-1.8050963006523935	<0.0001
14	DB05913	OSI-930	Investigated for use/treatment in solid tumors.	FLT1, KIT	-3.133504498578204	-2.2775145981913383	<0.0001
15	DB04868	Nilotinib	For the potential treatment of various leukemias, including chronic myeloid leukemia (CML).	ABL1, KIT	-3.133504498578204	-1.332096033908115	<0.0001
16	DB00850	Perphenazine	For use in the management of the manifestations of psychotic disorders and for the control of severe nausea and vomiting in adults.	CALM1, DRD1, DRD2	-2.6767853107368014	-1.5314616507178895	<0.0001
17	DB01205	Flumazenil	For the complete or partial reversal of the sedative effects of benzodiazepines in cases where general anesthesia has been induced and/or maintained with benzodiazepines, and where sedation has been produced with benzodiazepines for diagnostic and therapeutic procedures. Also for the management of benzodiazepine overdose as an adjunct for appropriate supportive and symptomatic measures.	GABRA1, GABRG2, GABRA5	-2.5683046419507987	-1.547170438361213	<0.0001
18	DB08399	Piceatannol		ATP5F1A, ATP5F1B, ATP5F1C	-2.561523162400946	-2.050321335292513	<0.0001
19	DB08348	N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE		PARP15, EEF2, PARP3	-2.5254472349393593	-1.4055821894226321	<0.0001
20	DB03777	Bisindolylmaleimide I		PRKCI, PDPK1, PIM1	-2.384168874499039	-1.671259779525101	<0.0001
21	DB12500	Fedratinib	Fedratinib is indicated to treat adults with primary or secondary myelofibrosis that is either intermediate-2 or high risk.[L8090]	JAK2, JAK1, FLT3	-2.3603988895469143	2.053476269650304	<0.0001
22	DB01092	Ouabain	For the treatment of atrial fibrillation and flutter and heart failure	ATP1A2, ATP1A1, ATP1A3	-2.3464454618384036	-1.9125100864221714	<0.0001
23	DB04513	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide		TNNI3, TNNC1, CALM1	-2.333578262024793	1.3238031294866703	<0.0001
24	DB07374	Anisomycin		RPL19, RPL13A, RSL24D1, RPL3, RPL37, SNU13, RPL10L, RPL26L1, RPL11, RPL23, RPL15, RPL8, RPL23A	-2.2731924396082044	-1.4526631875826834	<0.0001
25	DB00140	Riboflavin	For the treatment of ariboflavinosis (vitamin B2 deficiency).	RFK, BLVRB	-2.2029803587492247	-2.364269872902923	<0.0001
26	DB01100	Pimozide	Used for the suppression of motor and phonic tics in patients with Tourette's Disorder who have failed to respond satisfactorily to standard treatment.	CALM1, DRD3, DRD2, KCNH2	-2.0377933442522003	2.0185636745307045	<0.0001
27	DB08080	Latrunculin B		SPIRE2, MRTFA, ACTA1	-1.9679669221742397	-1.8838449227671403	<0.0001
28	DB03758	Radicicol		DLAT, HSP90AB1, HSP90B1, PDK3	-1.9603203750350093	-1.9754681250582526	<0.0001
29	DB12695	Phenethyl Isothiocyanate		PSMC3, FBXO41, YWHAQ, TPM4, TUBA1A, ATP5F1B, ATP5MG, DIABLO, HSPB1, TPM1, TXN, ACTB, SMARCE1, S100A10, RANBP1, TUBA4A, TPM3, HSPA4, YWHAZ, PSMA3, HSPH1, NUDC, UCHL1, YWHAH, SF3A3, TUBB2A, ATP5ME, USP14, ACTA2, SUCLG2, PAPPA, HSPE1, TUBB3, TUBB1, YWHAB, TPD52L2, TUBA3C, TUBB4B, VIM, HNRNPK, MT-ND1, HNRNPF, VCP, CYB5B, YWHAE	-1.914281830779935	1.5239361675924694	<0.0001
30	DB08895	Tofacitinib	"For the treatment of moderate to severe rheumatoid arthritis which is resistant or intolerant to methotrexate therapy. It may also be used as an adjunct to methotrexate therapy, or other non-biologic disease-modifying antirheumatic drugs (DMARDS), when methotrexate alone is not sufficient.  

Tofacitinib has also been investigated as a preventative therapy for kidney transplant rejections, and as a treatment for psoriasis, ulcerative colitis, and ankylosing spondylitis. 

It is not to be initiated in patients with a history of chronic or recurrent infections, or in the presence of active infection, even if localized, due to reports of serious and sometimes fatal infections (commonly pneumonia, herpes zoster and urinary tract infections). Use of tofacitinib is also discouraged in those who have been, or are likely to be, exposed to TB. An increased likelihood of exposure may be encountered by traveling to certain areas. In addition, tofacitinib is not to be used in patients with severe hepatic impairment, or low hemoglobin (less than 9g/dL). Cautioned is advised when using tofacitinib in patients at risk of gastrointestinal perforation, and in the elderly who are more susceptible to infection.   "	TYK2, JAK2, JAK1, JAK3	-1.8005035283597848	-2.014777543811403	<0.0001
31	DB08877	Ruxolitinib	"Ruxolitinib is indicated for the treatment of inte1mediate or high-risk myelofibrosis (MF), including prima1y MF, post-polycythemia vera MF and post-essential thrombocythemia MF in adults.[L31938] It is also indicated to treat disease-related splenomegaly or symptoms in adult patients with these conditions.[L32073]

Ruxolitinib is indicated for the treatment of polycythemia vera (PV) in adults who have had an inadequate response to or are intolerant of hydroxyurea.[L31938]

Ruxolitinib is indicated for the treatment of steroid-refracto1y acute graft-versus-host disease (GVHD) in adult and pediatric patients 12 years and older.[L31938]

Ruxolitinib is indicated for topical non-continuous and short-term treatment of mild to moderate atopic dermatitis in immunocompetent patients who are 12 years and older and whose disease is not adequately controlled with topical prescription therapies or when the topical prescription therapies are not advisable.[L39125]"	TYK2, JAK2, JAK1, JAK3	-1.8005035283597848	1.9271933667094274	<0.0001
32	DB00831	Trifluoperazine	For the treatment of anxiety disorders, depressive symptoms secondary to anxiety and agitation.	CALM1, S100A4, DRD2, ADRA1A, TNNC1, CALY	-1.7556408750121408	-2.162429430147491	<0.0001
33	DB03566	Spermidine		ADRB1, TXNRD1, ADRB2	-1.588599401832534	1.9574132959824075	<0.0001
34	DB07557	3,20-Pregnanedione		NCOA1, NR1I3, AKR1D1, RXRA	-1.430391637238247	-2.36226893824307	<0.0001
35	DB01104	Sertraline	"Sertraline is indicated for the management of major depressive disorder (MDD), post-traumatic stress disorder (PTSD), obsessive-compulsive disorder (OCD), panic disorder (PD), premenstrual dysphoric disorder (PMDD), and social anxiety disorder (SAD).[L9016] Common off-label uses for sertraline include the prevention of post stroke depression[A187078], generalized anxiety disorder (GAD), fibromyalgia, premature ejaculation, migraine prophylaxis, diabetic neuropathy, and neurocardiogenic syncope.[L5227]
"	SLC29A4, PGRMC1, SLC6A4, SLC6A2, SLC6A3	-1.2751879145006717	1.89903659117895	<0.0001
36	DB06777	Chenodeoxycholic acid	Chenodiol is indicated for patients with radiolucent stones in well-opacifying gallbladders, in whom selective surgery would be undertaken except for the presence of increased surgical risk due to systemic disease or age. Chenodiol will not dissolve calcified (radiopaque) or radiolucent bile pigment stones.	NR1H4, NR1I2, GPBAR1, AKR1C2	-1.2621491916570118	2.0200242753822275	<0.0001
