GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0031371	ubiquitin conjugating enzyme complex	4	0.0064	32.9536	8.401136305228945e-07	5.670767006029538e-05	4.246358196140982	0.0015878147616882707	UBE2N, STUB1, UBE2V1, UBE2V2
GO:0061202	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	5	0.008	20.596	1.3147207594101538e-06	8.094381095620157e-05	4.091816352226553	0.002484822235285191	RAB3A, SYT1, SLC32A1, GAD1, VAMP2
GO:0031105	septin complex	7	0.0112	17.744246153846156	3.355153449817113e-08	2.7570608783279754e-06	5.559553644184395	6.341240020154344e-05	SEPTIN11, SEPTIN7, SEPTIN2, SEPTIN8, SEPTIN6, SEPTIN3, SEPTIN10
GO:0005940	septin ring	7	0.0112	17.744246153846156	3.355153449817113e-08	2.7570608783279754e-06	5.559553644184395	6.341240020154344e-05	SEPTIN11, SEPTIN7, SEPTIN2, SEPTIN8, SEPTIN6, SEPTIN3, SEPTIN10
GO:0033176	proton-transporting V-type ATPase complex	8	0.0128	16.4768	7.140082449366043e-09	6.76466492536447e-07	6.169753710473487	1.3494755829301822e-05	ATP6AP2, ATP6V1G1, ATP6V1D, ATP6V1C1, ATP6AP1, RNASEK, ATP6V0C, ATP6V0A1
GO:0032153	cell division site	7	0.0112	16.4768	6.534479983072092e-08	4.940066867202502e-06	5.306267172562077	0.00012350167168006254	SEPTIN11, SEPTIN7, SEPTIN2, SEPTIN8, SEPTIN6, SEPTIN3, SEPTIN10
GO:0030665	clathrin-coated vesicle membrane	12	0.0192	11.298377142857143	2.419790154211519e-10	4.15763944678161e-08	7.381153175673769	4.5734033914597713e-07	ATP6AP2, ATP6V1G2, NECAP1, ATP6V1B2, ATP6V1D, ATP6V0E2, SYT11, ATP6V1C1, ATP6AP1, RNASEK, ATP6V0C, ATP6V0A1
GO:0005875	microtubule associated complex	9	0.0144	8.015740540540541	1.1981053198133443e-06	7.808341567059382e-05	4.107441197205537	0.0022644190544472208	MAP1B, GABARAP, MAP7, PAFAH1B1, DYNLL2, SHTN1, MAP1A, DCTN1, MAP2
GO:0030672	synaptic vesicle membrane	26	0.0416	6.253967883211678	6.155074404295262e-14	1.6618700891597208e-11	10.779402928666357	1.1633090624118046e-10	CALM3, SYT1, SYNGR3, ATP6AP1, VAMP2, RAB3A, ATP6V0C, SYT13, ATP6AP2, STX1B, ATP6V1B2, SLC32A1, ATP6V1C1, ATP6V1G1, ATP6V0E2, SYT4, SV2A, SNCA, SCAMP1, KIF1B, DNM1L, ATP2B1, RAC1, SEPTIN8, ATP6V1G2, ATP6V0A1
GO:0022626	cytosolic ribosome	16	0.0256	5.325834343434344	4.67465421879525e-08	3.6812901973012597e-06	5.433999945628874	8.835096473523023e-05	RPS17, RPL15, RPLP1, UBA52, GSPT1, RPL18, RPL34, RPL8, RPL37A, RPSA, RPL37, RPS28, RPS2, EEF1A1, RPL17, RPL13A
GO:0015630	microtubule cytoskeleton	32	0.0512	4.997702369668247	5.749994595398995e-14	1.6618700891597208e-11	10.779402928666357	1.08674897853041e-10	SEPTIN11, TUBA1B, MYCBP2, APC, SNX10, DYNLL2, TUBGCP4, TUBB3, SEPTIN10, DST, TUBB4A, DNAJA1, AGBL4, SEPTIN2, SEPTIN6, MAP9, TUBB, PAFAH1B1, SEPTIN7, TUBA1A, BMERB1, SHTN1, TUBB4B, SEPTIN3, SPECC1L, VAPA, MAP7, PPP2CA, DPYSL2, DCTN1, SEPTIN8, KIF3A
GO:0042470	melanosome	15	0.024	4.894099009900991	3.8430087645273823e-07	2.793571755752597e-05	4.553840168861838	0.0007263286564956752	CTSB, CCT4, HSP90B1, CLTC, ATP6V1G2, YWHAZ, CTSD, ATP6V1B2, HSPA5, YWHAE, RAB2A, HSP90AA1, YWHAB, RAC1, ATP6V0A1
GO:0098793	presynapse	35	0.056	4.825841004184101	1.107776604563674e-14	5.234244456563359e-12	11.281145998230846	2.0936977826253437e-11	PRAF2, NECAP1, ACTB, CRH, SYT11, DNM3, BAIAP3, CANX, RAB3A, CLN8, THY1, CACNB4, GAP43, VPS35, STX1B, ATP6V1D, KIF21A, YWHAG, SLC32A1, STXBP1, GAD1, SEPTIN6, TBC1D24, APP, SGIP1, DSTN, SV2A, BLOC1S6, SEPTIN3, SNCA, KIF1B, SCRN1, TNIK, SEPTIN8, YWHAH
GO:0098982	GABA-ergic synapse	15	0.024	4.453189189189189	1.327649809334523e-06	8.094381095620157e-05	4.091816352226553	0.002509258139642248	GAP43, PRAF2, GLRB, NSF, GABARAP, GNAO1, NPY, SLC32A1, PCDH17, CLSTN3, SV2A, BAIAP3, GAD1, GABRG2, GABRA1
GO:0031982	vesicle	25	0.04	4.358941798941799	6.628092633663917e-10	9.63622698278831e-08	7.01609297868081	1.2527095077624804e-06	UBA52, CALM3, ACTB, CALM2, SYT11, RABGEF1, CALM1, BASP1, VAMP2, RAB3A, DPP7, LRPAP1, CD59, DNAJC6, YWHAG, MIF, YWHAZ, PICALM, PAFAH1B1, CFL1, SYT4, RAB3IP, VAPA, CD81, DYNC1I2
GO:0098794	postsynapse	27	0.0432	3.818657510729614	2.7079658926678943e-09	3.412037024761547e-07	6.4669862648543415	5.11805553714232e-06	MAP1B, PRAF2, NEDD8, SPTBN1, DYNLL2, RAB3A, THY1, VPS35, ATAD1, INA, PRNP, RPL8, PPP3R1, STXBP1, APP, CALR, DSTN, EEF2, SNX14, GABRG2, SNCA, AP2M1, PDXP, KIF1B, RTN4, RAC1, GABRA1
GO:0030424	axon	46	0.0736	3.652688192771084	3.289125554734296e-14	1.243289459689564e-11	10.905427748179806	6.21644729844782e-11	MAP1B, ACTB, SYT1, SEPTIN11, MYCBP2, ALCAM, SYT11, TUBB3, RAB3A, GAP43, ATP6AP2, SYT13, DST, STX1B, FZD3, KIF21A, RNF6, AGBL4, STXBP1, GAD1, NPTN, APP, MAP9, UCHL1, PAFAH1B1, CFL1, SCN8A, SYT4, ATP1A3, SACS, SHTN1, SCN2A, ATL1, GABRG2, BMPR2, SCN9A, SNCA, KIF1B, UHMK1, MAP7, PTPRN, CD200, ACADM, MAP1A, DCTN1, SEPTIN8
GO:0005874	microtubule	34	0.0544	3.0950895027624306	6.1783475125075324e-09	6.487264888132908e-07	6.1879383685865355	1.1677076798639236e-05	MAP1B, GABARAPL1, TUBA1B, APC, DNM3, DYNLL2, TUBGCP4, TUBB3, MAP2, DST, KLC1, GABARAP, TUBB4A, BEX4, KIF21A, STMN1, MAP9, CCT4, TUBB, TTLL7, PAFAH1B1, TUBA1A, SHTN1, TUBB4B, KIF1B, MAP7, DPYSL2, DNM1L, DYNLT3, DYNC1I2, GOLGA2, MAP1A, DCTN1, KIF3A
GO:0005925	focal adhesion	37	0.0592	2.9957818181818183	3.1992525736605804e-09	3.556816096599116e-07	6.448938589213136	6.046587364218497e-06	RPS17, RPLP1, ACTB, HSPA5, YWHAE, ALCAM, HACD3, CD99L2, ATP6V0C, THY1, MCAM, DST, CD59, RPL37A, STX16, RPL8, YWHAG, JAK1, HNRNPK, YWHAB, CALR, YWHAZ, CFL1, PTPRA, BLOC1S6, RPL18, RPL13A, NME2, HSP90B1, CLTC, MARCKS, CD81, KRAS, RPS2, SCARB2, RAC1, HSPA9
GO:0098978	glutamatergic synapse	47	0.0752	2.7608185383244206	3.5615659959482707e-10	5.6094664436185267e-08	7.251078445626585	6.731359732342231e-07	MAP1B, NEO1, PRAF2, ACTB, SYT1, GUCY1B1, FXYD6, PCDH17, NEDD8, SPTBN1, DYNLL2, THY1, CACNB4, VPS35, CLSTN1, FZD3, ARHGAP32, ATAD1, ARPC1A, CLSTN3, PPP3R1, STXBP1, PLPPR4, NAPB, PJA2, CALR, YWHAZ, PRKAR1A, NSG2, CALY, GNAO1, DSTN, PAFAH1B1, EEF2, CFL1, SYT4, SV2A, AP2M1, PDXP, PPFIA3, TNIK, DLG3, PRKCI, ATP2B1, RTN4, YWHAH, RAC1
GO:0005765	lysosomal membrane	33	0.0528	2.6394873786407764	4.4598757741668905e-07	3.1219130419168236e-05	4.50557919798777	0.0008429165213175423	UBA52, PSAP, SYT11, RAB2A, ATP6AP1, ATP6V0C, FNIP1, VPS35, ATP6AP2, CTSD, ATP6V1B2, ATP6V1D, SLC7A14, ATP6V1C1, OSTM1, GNAI1, ATP6V1G1, ATP6V0E2, TRIM23, SNX14, CLCN4, GNB1, RAB14, CLCN6, AP2M1, TMEM9, NSF, ITM2C, BORCS7, PLD3, SCARB2, RNASEK, ATP6V0A1
