term	id	nGeneIds	geneSetFdaCountsById.nodes	geneSetHash	pvalue	FDR	oddsRatio	nOverlap	Cell_Line	DrugBank_Name	DrugBank_ID
ASG002_JHH7_24H_C15_nutlin-3_0.12uM up	364ca555-d223-4914-a5b2-7cd1f7b94f85	250	[{'approved': False, 'count': 1672}]	a8980117-658d-5c8b-9446-07d04a0ba954	1.6985958575247685e-14	4.749854371223907e-09	3.885942857142857	42	24H	nutlin-3	DB08294
MOAR010_MELHO_24H_M05_oxybenzone_3.33uM up	45860e6f-4546-45a1-9498-9dfd7bb8839a	250	[{'approved': True, 'count': 474}]	6d3b486e-ba73-5ab2-93dc-bdd1cedb6aff	8.25999230259792e-14	9.239104256840202e-09	3.7934204081632656	41	24H	oxybenzone	DB01428
PBIOA022_MCF7_24H_K08_MG-132_10uM up	a16adc1b-378b-4e2b-92d3-65c62c51a088	250	[{'approved': False, 'count': 16514}]	c362c306-8c57-5a7e-8ed9-b9c1e8575c20	8.25999230259792e-14	9.239104256840202e-09	3.7934204081632656	41	24H	MG-132	DB05490
REP.B003_YAPC_24H_M01_ciclesonide_2.22uM down	c83dc5ef-1167-4b42-87cb-94ced29f0287	250	[{'approved': True, 'count': 238}]	069a3bc4-3333-5b17-bd74-0e8ab92decca	8.25999230259792e-14	9.239104256840202e-09	3.7934204081632656	41	24H	ciclesonide	DB01410
MOAR005_PC3_24H_E12_ciclopirox_1.11uM up	45472229-9bde-4f56-9421-503daabe23dd	250	[{'approved': True, 'count': 116}]	bd297724-0c71-5e52-b825-64cef53e70ee	8.25999230259792e-14	9.239104256840202e-09	3.7934204081632656	41	24H	ciclopirox	DB01188
MOAR010_MELHO_24H_M11_relcovaptan_3.33uM up	f75eb643-000e-4224-8801-ad6ba3944d8e	250	[{'approved': False, 'count': 504}]	076fe038-9b29-51ce-bdf7-2c21a482c209	8.25999230259792e-14	9.239104256840202e-09	3.7934204081632656	41	24H	relcovaptan	DB13929
LJP008_YAPC_24H_P02_GSK-J2_3.33uM up	377e058d-c402-4e35-a958-177fe3d45546	250	[{'approved': False, 'count': 332}]	4e7001ba-9cdb-5203-8b8a-635d6b5b745b	8.25999230259792e-14	9.239104256840202e-09	3.7934204081632656	41	24H	GSK-J2	DB12745
ASG002_BICR6_24H_O20_salmeterol_1.11uM up	d1e0e9d7-6017-4918-8f9d-e21e809a879e	250	[{'approved': True, 'count': 632}]	1c347c0a-dd3a-59ba-a493-80d7e4330428	8.25999230259792e-14	9.239104256840202e-09	3.7934204081632656	41	24H	salmeterol	DB00938
REP.B008_THP1_24H_F03_miglustat_0.25uM up	75dddaea-b506-49a4-ab00-45080c479f36	250	[{'approved': True, 'count': 242}]	074fa693-de57-5fde-96fd-3060fd26a9db	3.8936245973856706e-13	2.1073363927795692e-08	3.7008979591836733	40	24H	miglustat	DB00419
ASG002_CJM_24H_D19_rucaparib_10uM up	7aa21747-77a7-46f0-a24b-c3bcf0020181	250	[{'approved': False, 'count': 1098}]	0460ce5f-d08a-5783-bccb-9d86fdca8c1b	3.8936245973856706e-13	2.1073363927795692e-08	3.7008979591836733	40	24H	rucaparib	DB12332
REP.A017_A375_24H_J23_trilostane_0.125uM up	eb73f069-4e35-4a77-9c66-fdff3c7860b0	250	[{'approved': True, 'count': 310}]	a4fb57ed-8d7f-5e01-97e1-75be384801a9	3.8936245973856706e-13	2.1073363927795692e-08	3.7008979591836733	40	24H	trilostane	DB01108
LJP007_CD34_24H_A03_vorinostat_10uM up	dc1193e0-c743-4cf4-916e-5ae8244cfce9	250	[{'approved': True, 'count': 6488}]	af29e8f7-e2e0-540a-ab9b-e186f3ad2108	3.8936245973856706e-13	2.1073363927795692e-08	3.7008979591836733	40	24H	vorinostat	DB02546
